,line_text,spans,x0,y0,x1,y1,page,x0_type,x1_type,label
0,1.—LIST OF LAWS AND ORDERS OF 1944 NOT PUBLISHED IN THE,['1.—LIST OF LAWS AND ORDERS OF 1944 NOT PUBLISHED IN THE'],35.0,94.69,342.19,104.79,3,1,2,start
1,"LEGISLATIVE SERIES FOR THAT YEAR WHICH AMEND, RE","['LEGISLATIVE SERIES FOR THAT YEAR WHICH AMEND, RE']",48.0,104.29,336.14,114.79,3,-1,1,other
2,PEAL OR SUPERSEDE LA\VS AND ORDERS PUBLISHED PRE,['PEAL OR SUPERSEDE LA\\VS AND ORDERS PUBLISHED PRE'],49.0,114.39,338.64,124.89,3,-1,2,other
3,VIOUSLY IN THE LEGISLATIVE SERIES,['VIOUSLY IN THE LEGISLATIVE SERIES'],48.0,124.46,236.91,134.86,3,-1,1,other
4,ARGENTINE REPUBLIC,['ARGENTINE REPUBLIC'],26.0,147.26,151.34,158.86,3,0,0,country
5,FEDERAL GOVERNMENT,['FEDERAL GOVERNMENT'],127.0,163.84,243.31,173.74,3,-1,1,other
6,"June 3 Decree No. 13,943/44, to repeal section 32 [hours of work of night","['June 3', 'Decree No. 13,943/44, to repeal section 32 [hours of work of night']",34.0,178.21,340.15,187.99,3,1,2,start
7,"watchmen] of Decree No. 562 of 31st December, 19301, respecting","['watchmen] of Decree No. 562 of 31st December, 19301, respecting']",80.0,186.46,339.66,196.06,3,2,2,middle
8,the hours of work of persons engaged in maritime and inland,['the hours of work of persons engaged in maritime and inland'],80.0,193.84,340.92,204.54,3,2,2,middle
9,"navigation and dock and harbour services. (B.O. 12th June, 1944,","['navigation and dock and harbour services.', '(B.O. 12th June, 1944,']",80.0,202.66,340.2,212.46,3,2,2,middle
10,"No. 14,919, p. 5)","['No. 14,919, p. 5)']",81.0,211.18,144.29,220.49,3,2,0,end
11,"Sept. 11 Decrees No. 24,335/44 and 24,336/44, (1) to amend Act No. 11,933","['Sept. 11', 'Decrees No. 24,335/44 and 24,336/44, (1) to amend Act No. 11,933']",35.0,225.04,339.57,234.54,3,1,2,start
12,"of 15th October, 19342, respecting the employment of women before","['of 15th October, 19342, respecting the employment of women before']",80.0,233.41,340.8,242.81,3,2,2,middle
13,and after confinement [by adding a paragraph to section 2 with,['and after confinement [by adding a paragraph to section 2 with'],80.0,240.74,339.16,251.04,3,2,2,middle
14,"respect to allowances], and (2) to amend section 42 of Decree","['respect to allowances], and (2)', 'to amend section 42 of Decree']",80.0,248.71,341.0,259.49,3,2,2,middle
15,"No. 80,229 of 15th April, issuing regulations under Act","['No. 80,229 of', '15th April,', 'issuing regulations under Act']",81.0,257.06,341.01,267.64,3,2,2,middle
16,"No. 11,933 of 15th October, 1934. (B.O. 20th September, 1944,","['No. 11,933 of 15th October, 1934.', '(B.O. 20th September, 1944,']",81.0,265.24,340.96,275.51,3,2,2,middle
17,"No. 15,000, pp. 9-10)","['No. 15,000, pp. 9-10)']",81.0,274.04,159.61,283.14,3,2,0,end
18,"Nov. 4 Decree No. 29,830/44, to amend certain sections of Act No. 12,637","['Nov. 4', 'Decree No. 29,830/44, to amend certain sections of Act No. 12,637']",35.0,288.06,339.88,297.69,3,1,2,start
19,"of 10th September, respecting security of tenure and salary","['of 10th September,', 'respecting security of tenure and salary']",80.0,295.96,340.9,306.06,3,2,2,middle
20,"scales for employees of private banks. (B.O. 4th December, 1944,","['scales for employees of private banks.', '(B.O. 4th December, 1944,']",81.0,304.36,340.07,313.96,3,2,2,middle
21,"No. 15,061, p. 19)","['No. 15,061, p. 19)']",81.0,312.64,150.4,322.14,3,2,0,end
22,AUSTRALIA,['AUSTRALIA'],26.0,326.58,90.03,337.89,3,0,0,country
23,COMMON WEALTH,['COMMON WEALTH'],144.0,343.11,229.37,352.51,3,-1,1,other
24,Apr. 6 An Act the Invalid and Old-age Pensions Act 1908-1943'.,"['Apr. 6', 'An Act', ""the Invalid and Old-age Pensions Act 1908-1943'.""]",35.0,356.66,341.84,366.66,3,1,2,start
25,No. 16 of 1944. Invalid and Old-age Pensions Act 1944.,"['No. 16 of 1944.', 'Invalid and Old-age Pensions Act 1944.']",81.0,365.36,298.98,374.93,3,2,1,end
26,Dec. 21 Amendment of the National Security (Industrial Peace) Regula,"['Dec. 21', 'Amendment of the National Security (Industrial Peace) Regula']",35.0,378.91,337.94,389.11,3,1,2,start
27,"tions1: inserts definition of ""organization"" in sub-regulation (1) of","['tions1: inserts definition of ""organization"" in sub-regulation (1) of']",81.0,387.31,339.96,397.11,3,2,2,middle
28,"regulation 2. Statutory Rules 1944, No. 191.","['regulation 2.', 'Statutory Rules 1944, No. 191.']",81.0,395.49,258.44,405.31,3,2,1,end
29,STATES,['STATES'],165.0,413.84,201.3,423.74,3,-1,1,other
30,New South Wales,['New South Wales'],27.0,430.14,110.04,441.64,3,0,0,country
31,Dec. 8 An Act to provide for the payment of compensation to persons who,"['Dec. 8', 'An Act to provide for the payment of compensation to persons who']",35.0,446.46,340.43,456.09,3,1,2,start
32,receive injury or suffer loss arising out of or in the course of,['receive injury or suffer loss arising out of or in the course of'],81.0,453.76,341.34,464.56,3,2,2,middle
33,"fighting bush fires; to amend the Workers' Compensation Act,","['fighting bush fires;', ""to amend the Workers' Compensation Act,""]",81.0,462.24,340.51,472.54,3,2,2,middle
34,and for purposes connected therewith. No. 32 of 1944.,"['and for purposes connected therewith.', 'No. 32 of 1944.']",125.0,470.89,341.16,480.58,3,-1,2,other
