country,region,text,date,year,page,extracted_date,full_text
ARGENTINE REPUBLIC,Santa Fe,"Decree no. 173, to issue provincial regulations under Act no. 11,544 [of 12th September, 1929, respecting the eight hour day?]. (Boletin Mensual del Departamento Provincial del Trabajo, no. 5, p. 136)",20.11.,1934,1,Nov. 20,"Nov. 20 Decree no. 173, to issue provincial regulations under Act no. 11,544 [of 12th September, 1929, respecting the eight hour day?]. (Boletin Mensual del Departamento Provincial del Trabajo, no. 5, p. 136) "
AUSTRALIA,,"Amendment of Form 47 in the Regulations under the Invalid and Old-age Pensions Act 1908—1933!5. (C.S.R. no. 12, p. 338)",25.1.,1934,1,Jan. 25,"Jan. 25 Amendment of Form 47 in the Regulations under the Invalid and Old-age Pensions Act 1908—1933!5. (C.S.R. no. 12, p. 338) "
AUSTRALIA,,"Amendment of the Waterside Workers Regulations under the Transport Workers Act 1928—1929)®. (C.S.R. no. 29, p. 332)",7.3.,1934,1,Mar. 7,"Mar. 7 Amendment of the Waterside Workers Regulations under the Transport Workers Act 1928—1929)®. (C.S.R. no. 29, p. 332) "
AUSTRALIA,,"Amendment of the Regulations under the Invalid and Old-age Pensions Act 1908—19331° [supersedes Form 23 (income and property statement)]. (C.S.R. no. 59, p- 338)",16.5.,1934,1,May 16,"May 16 Amendment of the Regulations under the Invalid and Old-age Pensions Act 1908—19331° [supersedes Form 23 (income and property statement)]. (C.S.R. no. 59, p- 338) "
AUSTRALIA,,"Amendment of Regulation 14 of the Regulations under the Commonwealth Employees’ Compensation Act 19301’. (C.S.R. no. 79, p. 416)",4.7.,1934,1,July 4,"July 4 Amendment of Regulation 14 of the Regulations under the Commonwealth Employees’ Compensation Act 19301’. (C.S.R. no. 79, p. 416) "
AUSTRALIA,,"Act no. 16, to provide relief to taxpayers; to amend laws relating to financial emergency; to provide financial relief for certain primary producers; and for other purposes [Part III, maternity allowances]. Financial Relief Act 1934",1.8.,1934,1,Aug. I,"Aug. I Act no. 16, to provide relief to taxpayers; to amend laws relating to financial emergency; to provide financial relief for certain primary producers; and for other purposes [Part III, maternity allowances]. Financial Relief Act 1934. "
AUSTRALIA,,"Act no. 39, to grant and apply out of the Consolidated Revenue Fund a sum for invalid and old-age pensions",4.8.,1934,1,Aug. 4,"Aug. 4 Act no. 39, to grant and apply out of the Consolidated Revenue Fund a sum for invalid and old-age pensions. "
AUSTRALIA,,"Act no. 45, to revise the Statute Law of the Commonwealth..... [unter alia, amends the Commonwealth Conciliation and Arbitration Acts 1904—1930}8, and the Pacific Island Labourers Act 1g9g01—1906]. Extract: Austral. 15 (note)",6.8.,1934,1,Aug. 6,"Aug. 6 Act no. 45, to revise the Statute Law of the Commonwealth..... [unter alia, amends the Commonwealth Conciliation and Arbitration Acts 1904—1930}8, and the Pacific Island Labourers Act 1g9g01—1906]. Extract: Austral. 15 (note) "
AUSTRALIA,,"Amendment of Form 47 in the Regulations under the Invalid and Old-age Pensions Act 1908—1933)5. (C.S.R. no. 112, p. 341)",3.9.,1934,1,Sept. 3,"Sept. 3 Amendment of Form 47 in the Regulations under the Invalid and Old-age Pensions Act 1908—1933)5. (C.S.R. no. 112, p. 341) "
AUSTRALIA,,"Amendment of Regulation 16 of the Navigation (Deck Cargo and Live Stock) Regulations [carriage of cargo on deck and on the hatches of small vessels]. (C.S.R. no. 119, Pp. 325)",20.9.,1934,1,Sept. 20,"Sept. 20 Amendment of Regulation 16 of the Navigation (Deck Cargo and Live Stock) Regulations [carriage of cargo on deck and on the hatches of small vessels]. (C.S.R. no. 119, Pp. 325) "
AUSTRALIA,,"Amendment of Forms A and B (claims) in the Regulations under the Maternity Allowance Act 1912—1934. (C.S.R. no. 126, p. 352) _",8.10.,1934,1,Oct. 8,"Oct. 8 Amendment of Forms A and B (claims) in the Regulations under the Maternity Allowance Act 1912—1934. (C.S.R. no. 126, p. 352) _ "
AUSTRALIA,,"Amendment of the Regulations under the Invalid and Old-age Pensions Act 1908193315. (C.S.R. no. 142, p. 341)",7.11.,1934,1,Nov. 7,"Nov. 7. Amendment of the Regulations under the Invalid and Old-age Pensions Act 1908193315. (C.S.R. no. 142, p. 341) "
AUSTRALIA,,"Amendment of the Waterside Workers Regulations under the Transport Workers Act 1928—1929!® [new § 9 A, fees to be paid to members of com- mittee]. (C.S.R. no. 146, p. 335)",14.11.,1934,1,Nov. 14,"Nov. 14 Amendment of the Waterside Workers Regulations under the Transport Workers Act 1928—1929!® [new § 9 A, fees to be paid to members of com- mittee]. (C.S.R. no. 146, p. 335) "
AUSTRALIA,,"Amendment of the Navigation (Examination of Masters and Mates) Regula- tions. (C.S.R. no. 151, p. 326)",5.12.,1934,1,Dec. 5,"Dec. 5 Amendment of the Navigation (Examination of Masters and Mates) Regula- tions. (C.S.R. no. 151, p. 326) "
AUSTRALIA,,"Act no. 49, to give effect to certain International Conventions, to amend the provisions of the Navigation Act, 1912—1926, relating to matters dealt with by those Conventions, and to repeal section eight and amend section four hundred and nineteen of the said Act. Navigation (Maritime Conventions) Act 1934. Extracts: Austral. 10",5.12.,1934,1,Dec. 5,"Dec. 5 Act no. 49, to give effect to certain International Conventions, to amend the provisions of the Navigation Act, 1912—1926, relating to matters dealt with by those Conventions, and to repeal section eight and amend section four hundred and nineteen of the said Act. Navigation (Maritime Conventions) Act 1934. Extracts: Austral. 10 "
AUSTRALIA,,"Proclamation to fix 24th December, 1934, as the date upon which the Naviga- tion (Maritime Conventions) Act 1934 shall commence. (Commonwealth of Australia Gazette, no. 84, p. 2557)",12.12.,1934,1,Dec. 12,"Dec. 12 Proclamation to fix 24th December, 1934, as the date upon which the Naviga- tion (Maritime Conventions) Act 1934 shall commence. (Commonwealth of Australia Gazette, no. 84, p. 2557) "
AUSTRALIA,,"Act no. 54, to amend sections forty-four and fifty A of the Commonwealth Conciliation and Arbitration Act 1904—1930!8, as amended by the Statute Law Revision Act 1934, and to amend the First Schedule to the Statute Law Revision Act 1934. Text: Austral. 15",17.12.,1934,2,Dec. 17,"Dec. 17. Act no. 54, to amend sections forty-four and fifty A of the Commonwealth Conciliation and Arbitration Act 1904—1930!8, as amended by the Statute Law Revision Act 1934, and to amend the First Schedule to the Statute Law Revision Act 1934. Text: Austral. 15 "
AUSTRALIA,,"Conciliation and Arbitration (Inspectors) Regulations. (C.S.R. no. 156, p. 2) STATES",20.12.,1934,2,Dec. 20,"Dec. 20 Conciliation and Arbitration (Inspectors) Regulations. (C.S.R. no. 156, p. 2) STATES "
AUSTRALIA,New South Wales,"Regulation under the Mines Rescue Act, 1925!*: rate of owners’ contributions. (N.G.G. p. 644)",2.2.,1934,2,Feb. 2,"Feb. 2 Regulation under the Mines Rescue Act, 1925!*: rate of owners’ contributions. (N.G.G. p. 644) "
AUSTRALIA,New South Wales,"Proclamation to notify that the provisions of section 8 of the Industrial Arbitration (Eight Hours) Amendment Act, 19302, as amended by the Industrial Arbitration (Eight Hours) Further Amendment Act, 19302}, and the Industrial Arbitration (Eight Hours) Amendment Act, 19322*, shall remain in force for a further period of twelve months from 16th June, 1934. (N.G.G. p. 2182; N.I.G. vol. XLV, p. 1157)",6.6.,1934,2,June 6,"June 6 Proclamation to notify that the provisions of section 8 of the Industrial Arbitration (Eight Hours) Amendment Act, 19302, as amended by the Industrial Arbitration (Eight Hours) Further Amendment Act, 19302}, and the Industrial Arbitration (Eight Hours) Amendment Act, 19322*, shall remain in force for a further period of twelve months from 16th June, 1934. (N.G.G. p. 2182; N.I.G. vol. XLV, p. 1157) "
