country,region,text,date,year,page,extracted_date,full_text
INTERNATIONAL,Austria— Estonia,"Consular Convention between the Republic of Austria and Estonia. (Riigi Teataja [Estonia], 1927, p. 1134)",15.10.,1926,4,Oct. 15,"Oct. 15 Consular Convention between the Republic of Austria and Estonia. (Riigi Teataja [Estonia], 1927, p. 1134) "
INTERNATIONAL,Austria— Germany,"Convention between the German Federation and the Republic of Austria concerning the administration of social insurance in intercourse between the two States. (Bundesgesetzblatt fiir die Republik Osterreich, 1926, no. 264, p. 1143; Reichsgesetzblatt [Germany], 1926, II, no. 30, p. 356) Text: Int. 1",8.1.,1926,4,Jan. 8,"Jan. 8 Convention between the German Federation and the Republic of Austria concerning the administration of social insurance in intercourse between the two States. (Bundesgesetzblatt fiir die Republik Osterreich, 1926, no. 264, p. 1143; Reichsgesetzblatt [Germany], 1926, II, no. 30, p. 356) Text: Int. 1 "
INTERNATIONAL,Austria—Hungary,"Agreement supplementary to the Treaty of Commerce between the Re- public of Austria and the Kingdom of Hungary concluded at Budapest on 8th February, 1922 {protocol respecting the regulation of questions relating to agricultural migrant workers]. (Bundesgesetzblatt fiir die Republik Oster- reich, 1926, no. 238, p. 875)",9.4.,1926,4,Apr. 9,"Apr. 9 Agreement supplementary to the Treaty of Commerce between the Re- public of Austria and the Kingdom of Hungary concluded at Budapest on 8th February, 1922 {protocol respecting the regulation of questions relating to agricultural migrant workers]. (Bundesgesetzblatt fiir die Republik Oster- reich, 1926, no. 238, p. 875) "
INTERNATIONAL,Austria—Hungary,"Convention between the Republic of Austria and the Kingdom of Hungary respecting facilities in connection with local frontier traffic. (Bundesgesetz- blatt fiir die Republik Osterreich, 1926, no. 354, p. 1551)",14.7.,1926,4,July 14,"July 14 Convention between the Republic of Austria and the Kingdom of Hungary respecting facilities in connection with local frontier traffic. (Bundesgesetz- blatt fiir die Republik Osterreich, 1926, no. 354, p. 1551) "
INTERNATIONAL,Austria—Hungary,"Convention between the Republic of Austria and the Kingdom of Hungary to regulate local frontier traffic (persons). (Bundesgesetzblatt fiir die Re- publik Osterreich, 1927, no. 35, p. 113)",14.7.,1926,4,July 14,"July 14 Convention between the Republic of Austria and the Kingdom of Hungary to regulate local frontier traffic (persons). (Bundesgesetzblatt fiir die Re- publik Osterreich, 1927, no. 35, p. 113) "
INTERNATIONAL,Belgium—France,"Arrangement between Belgium and France to simplify transit formalities for emigrants passing through their respective territories. (Moniteur belge, 1926, no. 91, p. 1676; Journal officiel de la République frangaise, no. 93, Pp. 4675)",27.1.,1926,4,Jan. 27,"Jan. 27 Arrangement between Belgium and France to simplify transit formalities for emigrants passing through their respective territories. (Moniteur belge, 1926, no. 91, p. 1676; Journal officiel de la République frangaise, no. 93, Pp. 4675) "
INTERNATIONAL,Belgium—Luxemburg,"Labour Treaty between Belgium and the Grand Duchy of Luxemburg. (Moniteur belge, 1928, no. 22, p. 185) Text: Int. 5",20.10.,1926,4,Oct. 20,"Oct. 20 Labour Treaty between Belgium and the Grand Duchy of Luxemburg. (Moniteur belge, 1928, no. 22, p. 185) Text: Int. 5 "
INTERNATIONAL,BelgoLuxemburg E Union—Estonia,"Treaty of Commerce and Navigation between Estonia and the Belgo-Luxem- burg Economic Union [articles 14—18: navigation]. (Riigi Teataja [Estonia], 1927, NO. 32, p. 434) Beigo-Luxemburg Economic Union—Kingdom of the Serbs, Croats and Slovenes",28.9.,1926,4,Sept. 28,"Sept. 28 Treaty of Commerce and Navigation between Estonia and the Belgo-Luxem- burg Economic Union [articles 14—18: navigation]. (Riigi Teataja [Estonia], 1927, NO. 32, p. 434) Beigo-Luxemburg Economic Union—Kingdom of the Serbs, Croats and Slovenes "
INTERNATIONAL,BelgoLuxemburg E Union—Estonia,"Treaty of Commerce and Navigation, concluded at Brussels between the Belgo-Luxemburg Economic Union and the Kingdom of the Serbs, Croats and Slovenes. (Moniteur belge, 1928, no. 37—38, p. 332; SluZbene Novine, 1928, no. 44—XI, p. 114)",16.12.,1926,4,Dec. 16,"Dec. 16 Treaty of Commerce and Navigation, concluded at Brussels between the Belgo-Luxemburg Economic Union and the Kingdom of the Serbs, Croats and Slovenes. (Moniteur belge, 1928, no. 37—38, p. 332; SluZbene Novine, 1928, no. 44—XI, p. 114) "
INTERNATIONAL,Denmark—Finland— Iceland—Norway—Sweden,"Agreement between Denmark, Finland, Iceland, Norway and Sweden re- specting the equipment and seaworthiness of vessels (instruments of ratifi- cation deposited by Denmark on 27th February, 1926, and by the other States on 17th June, 1926]. (Lovtidenden for Kongeriget Danmark, 1926, A, no. 31, p. 1190; Overenskomster med fremmede Stater [Norway],1926, no. 7, p. 276)",28.1.,1926,4,Jan. 28,"Jan. 28 Agreement between Denmark, Finland, Iceland, Norway and Sweden re- specting the equipment and seaworthiness of vessels (instruments of ratifi- cation deposited by Denmark on 27th February, 1926, and by the other States on 17th June, 1926]. (Lovtidenden for Kongeriget Danmark, 1926, A, no. 31, p. 1190; Overenskomster med fremmede Stater [Norway],1926, no. 7, p. 276) "
