country,region,text,date,year,page,extracted_date,full_text
ALBANIA,,"Administrative Regulations under the Highways Act [of szth March, 1932; labour dues]. (Fletorja Zyrtare, no. 34, p. i)",30.5.,1933,3,May 30,"May 30 Administrative Regulations under the Highways Act [of szth March, 1932; labour dues]. (Fletorja Zyrtare, no. 34, p. i) "
ARGENTINE REPUBLIC,,"Decree no. 16,115, to issue regulations under Act no. 11,544, respecting the statutory hours of work'. (B.O. no. ss,6oo, p. 961) Text: Arg. 1",16.1.,1933,4,Jan. 16,"Jan. 16 Decree no. 16,115, to issue regulations under Act no. 11,544, respecting the statutory hours of work'. (B.O. no. ss,6oo, p. 961) Text: Arg. 1 "
ARGENTINE REPUBLIC,,"Decree no. 16,127, to issue regulations under Acts no. 4661 [of 31st August, '905] respecting Sunday rest2 and no. 11,640 [of 7th October, 1931] respecting Saturday afternoon rest3. (B.O. no. rr,óoo, p. 964)",16.1.,1933,4,Jan. 16,"Jan. 16 Decree no. 16,127, to issue regulations under Acts no. 4661 [of 31st August, '905] respecting Sunday rest2 and no. 11,640 [of 7th October, 1931] respecting Saturday afternoon rest3. (B.O. no. rr,óoo, p. 964) "
ARGENTINE REPUBLIC,,"Decree no. 17,8,6, to supplement the Decree [of 31st December, 1930] to issue regulations respecting the employment of persons engaged in tramway and omnibus undertakings4 [mainly details relating to the time sheets, registers, etc.]. (B.O. no. 11,629, p. 201)",3.3.,1933,4,Mar. 3,"Mar. 3 Decree no. 17,8,6, to supplement the Decree [of 31st December, 1930] to issue regulations respecting the employment of persons engaged in tramway and omnibus undertakings4 [mainly details relating to the time sheets, registers, etc.]. (B.O. no. 11,629, p. 201) "
ARGENTINE REPUBLIC,,"Decree no. 59,653, to prolong for ninety days, as from 1st April of the current year, the time limit fixed in section s8 of Decree no. i6,n7 of ioth January last to issue regulations under Acts no. 4662 [of 31st August, respecting Sunday rest2, no. 9105 [of 12th August, 1913] respecting compulsory rest on national holidays and no. '5,640 [of 7th October, 1931] respecting Saturday afternoon rest1 28 relates to the time limit for the application of Act no.11,640 to work in ports, maritime work, and work in tramway and omnibus under- takings]. (B.O. no. 11,663, p. 577)",5.4.,1933,4,Apr. 5,"Apr. 5 Decree no. 59,653, to prolong for ninety days, as from 1st April of the current year, the time limit fixed in section s8 of Decree no. i6,n7 of ioth January last to issue regulations under Acts no. 4662 [of 31st August, respecting Sunday rest2, no. 9105 [of 12th August, 1913] respecting compulsory rest on national holidays and no. '5,640 [of 7th October, 1931] respecting Saturday afternoon rest1 28 relates to the time limit for the application of Act no.11,640 to work in ports, maritime work, and work in tramway and omnibus under- takings]. (B.O. no. 11,663, p. 577) "
ARGENTINE REPUBLIC,,"Decree no. 21,041, to issue regulations for the installation and operation of wireless stations [III, 38—79, equipment of vessels with wireless]. (B.O. no. 11,733, p. 562)",3.5.,1933,4,May 3,"May 3 Decree no. 21,041, to issue regulations for the installation and operation of wireless stations [III, 38—79, equipment of vessels with wireless]. (B.O. no. 11,733, p. 562) "
ARGENTINE REPUBLIC,,"Decree no. 23,054, to set up a tripartite committee of inquiry into the system of employment in bakeries (Act no. 11,338'). (B.O. no. 11,722, p. 1122)",8.6.,1933,4,June 8,"June 8 Decree no. 23,054, to set up a tripartite committee of inquiry into the system of employment in bakeries (Act no. 11,338'). (B.O. no. 11,722, p. 1122) "
ARGENTINE REPUBLIC,,"Decree no.- 24,768, to prolong for nioety days as from 1st July, 1933, the time limit fixed in section 28 of Decree no. 16,""7 of i6th January last to issue regulations under Acts no. 4661 [of 31st August, 1905] respecting Sunday rest2, no. 9505 [of 12th August, 1913] respecting compulsory rest on national holidays, and no. 11,640 [of 7th October, '932] respecting Saturday afternoon rest3 28 relates to the application of Act no. 11,640 to work in ports, maritime work and work in tramway and omnibus undertakings]. (B.O. no. 11,741, p. 997)",8.7.,1933,4,July 8,"July 8 Decree no.- 24,768, to prolong for nioety days as from 1st July, 1933, the time limit fixed in section 28 of Decree no. 16,""7 of i6th January last to issue regulations under Acts no. 4661 [of 31st August, 1905] respecting Sunday rest2, no. 9505 [of 12th August, 1913] respecting compulsory rest on national holidays, and no. 11,640 [of 7th October, '932] respecting Saturday afternoon rest3 28 relates to the application of Act no. 11,640 to work in ports, maritime work and work in tramway and omnibus undertakings]. (B.O. no. 11,741, p. 997) "
ARGENTINE REPUBLIC,,"Decree no. 25,652, to amend certain paragraphs of section 35' of the Decree [of 31st December, 193o]° issuing regulations under Act no. 11,544 [of 12th September, 1929, respecting the eight-hour day]' for the railway services, and to fix the time for the preparation of locomotives. (B.O. no. 21,759, p. 418)",27.7.,1933,4,July 27,"July 27 Decree no. 25,652, to amend certain paragraphs of section 35' of the Decree [of 31st December, 193o]° issuing regulations under Act no. 11,544 [of 12th September, 1929, respecting the eight-hour day]' for the railway services, and to fix the time for the preparation of locomotives. (B.O. no. 21,759, p. 418) "
ARGENTINE REPUBLIC,,"Act no. 11,719, respecting bankruptcy 229, no. 3, priority for wages and salaries of employees of bankrupt]. (B.O. no. 11,799, p. 2393)",27.9.,1933,4,Sept. 27,"Sept. 27 Act no. 11,719, respecting bankruptcy 229, no. 3, priority for wages and salaries of employees of bankrupt]. (B.O. no. 11,799, p. 2393) "
