country,region,text,page
ALBANIA,,"Mar. 22 Legislative Decree No. 318, respecting State economic under-  takings. (G.Z. 3 April, No. 29, p. 1)  ",3
ALBANIA,,"May 6 Legislative Decree No. 427, to establish a Directorate of Labour  [approved by Act No. 489, promulgated by Decree No. 409 of  July 34]. (G.Z. 15 May, No. 45, p. 6, and 11 September, No. 84,  p. 4)  ",3
ALBANIA,,"July 26 Decree No. 371, to promulgate Act No. 442, to approve the  Albanian national economic plan for the year 1947. (G.Z. 1 Aug-  ust, No. 78, p. 1)  ",3
ALBANIA,,"July 14 Order No. 26, to set up vocational courses and administrative  courses, (G.Z. 21 July, No. 66, p. 14)  ",3
ALBANIA,,"Aug. 25 Decree No. 447, to promulgate Act No. 527 of 25 August 1947  enacting the Labour Code. (G.Z. 16 September, No. 86, p. 1)  Alb. 1  ",3
ALBANIA,,"Aug. 26 Decree No. 449, to promulgate Act No. 528 respecting social  insurance for wage-earning and salaried employees and officials)  (G.Z. 22 September, No. 87, p.1; errata: 23 October, No. 94, p. 15)  Alb. 2 (A)  ",3
ALBANIA,,"Sept. 4 Order No. 42, respecting the wages of agricultural workers.  (G.Z. 15 October, No. 92, p. 2) .  ",3
ALBANIA,,"Sept. 4 Order No. 48, to fix the rate of contributions to social insurance  and other social services payable by wage-earning and salaried  employees and officials. (G.Z. 23 October, No. 94, p. 5)  Alb. 2 (B)  ",3
ALBANIA,,"Dec. 4 General Regulations respecting industrial hygiene and safety  [under section 130 of the Labour Code]. No. 1. (G.Z. 2 Feb-  ruary 1948, No. 16, p. 1)  ",3
ALBANIA,,"Dec. 11 Regulations for the organisation and functioning of the employ-  ment offices. No. 3. (G.Z. 16 January 1948, No. 10, p. 1)  Alb. 3  ",3
ALBANIA,,G.Z. = Gazeta Zyrtare.  ,3
ALBANIA,,1947—Index I —4—  ,4
ALBANIA,,"Dec. 11 Order No. 1 [under the third paragraph of section 5 of the Labour  Code], to specify the categories of employees and the number  thereof who need not be engaged through the employment offices.  (G.Z. 16 January 1948, No. 10, p. 6)  ",4
ARGENTINE REPUBLIC,,"Jan. 15 Decree No. 906, to declare places where certain processes in the  sugar industry are carried on to be unhealthy [for the purpose  of section 2 of Act No. 11,544 of 12 September 1929 respecting  hours of work! and section 5 of Decree No. 16,163/46]. (B.O.  24 January, p. 7; errata: 8 April, p. 7; A.L.A. p. 507)  ",4
ARGENTINE REPUBLIC,,"Feb. 20 Act No. 12,948 to provide that the Decree respecting the estab-  lishment of labour courts [Legislative Decree No. 32,347 of 30 No-  vember 1944] shall continue in operation with force of law and  to repeal, as from the date of promulgation of this Act, Decree  No, 21,425 [of 10 August 1944] to establish compulsory admi-  nistrative procedure for compensation for industrial accidents ?.  (B.O. 6 March, p. 4; erratum: 14 June, p. 3; A.L.A. p. 203)  ",4
