country,region,text,date,year,page,extracted_date,full_text
INDE,,"Notification modifiant le plan de 1952 relatif à la caisse de pré- voyance des salariés. S.R.O. 2035. (Gazette of India, 31 oct. 1953, partie II, sect. 3) Incluse dans Inde 2 (B)",28.10.,1953,12,28 oct. 1953,"28 oct. 1953 Notification modifiant le plan de 1952 relatif à la caisse de pré- voyance des salariés. S.R.O. 2035. (Gazette of India, 31 oct. 1953, partie II, sect. 3) Incluse dans Inde 2 (B) "
INDE,,"Loi n° XXXVII de 1953 modifiant la loi de 1952 sur les caisses de prévoyance des salariés. (Ibid., 12 déc. 1953, numéro extraor- dinaire, partie II, sect. 1) Incluse dans Inde 2 (A)",12.12.,1953,12,12 déc. 1953,"12 déc. 1953 Loi n° XXXVII de 1953 modifiant la loi de 1952 sur les caisses de prévoyance des salariés. (Ibid., 12 déc. 1953, numéro extraor- dinaire, partie II, sect. 1) Incluse dans Inde 2 (A) "
P A Y S  B A S,,"Arrêté portant règlement d'administration publique en vertu des articles 3, 12, paragraphe 5), et 29, paragraphe 3), de la loi sur les allocations familiales (extension de la notion de salarié et de la notion de salaire et désignation de l'association profes- sionnelle). (Staatsblad, 1953, n° 142) P.-B. 4 (C)",24.3.,1953,12,24 mars 1953,"24 mars 1953 Arrêté portant règlement d'administration publique en vertu des articles 3, 12, paragraphe 5), et 29, paragraphe 3), de la loi sur les allocations familiales (extension de la notion de salarié et de la notion de salaire et désignation de l'association profes- sionnelle). (Staatsblad, 1953, n° 142) P.-B. 4 (C) "
SUÈDE,,"Loi n° 157 modifiant la loi n° 431 du 29 juin 1946 sur les pensions nationales. (Soensk Författningssamling, 1951, p. 359) Sue. 2 (B)",13.4.,1951,12,13 avril 1951,"13 avril 1951 Loi n° 157 modifiant la loi n° 431 du 29 juin 1946 sur les pensions nationales. (Soensk Författningssamling, 1951, p. 359) Sue. 2 (B) "
TURQUIE,,"Loi n° 5518 portant modification de certains articles du Code du travail. (T.C. Resmî Gazete, 31 janv. 1950, p. 17685) Tur. 1 (B) III. ERRATA Série législative 1946",25.1.,1950,12,25 janv. 1950,"25 janv. 1950 Loi n° 5518 portant modification de certains articles du Code du travail. (T.C. Resmî Gazete, 31 janv. 1950, p. 17685) Tur. 1 (B) III. ERRATA Série législative 1946 "
TURQUIE,lire  «pourra être subordonné »,IV. RÉPERTOIRE CHRONOLOGIQUE DE LA LÉGISLATION DU TRAVAIL POUR 1952,18.2.,1952,12,18 février 1952,18 février 1952 ». IV. RÉPERTOIRE CHRONOLOGIQUE DE LA LÉGISLATION DU TRAVAIL POUR 1952 
ALLEMAGNE (RÉPUBLIQUE FÉDÉRALE),,"Loi portant modification de la loi [du 9 avril 1949] sur les conventions collectives. (B.G.B., 17 janv.)",11.1.,1952,13,11 janv.,"11 janv. Loi portant modification de la loi [du 9 avril 1949] sur les conventions collectives. (B.G.B., 17 janv.) "
ALLEMAGNE (RÉPUBLIQUE FÉDÉRALE),,"Loi sur la protection des travailleuses mères (lois sur la protection de la maternité). (B.G.B., 30 janv.) All. (R. F.) 2",24.1.,1952,13,24 janv.,"24 janv. Loi sur la protection des travailleuses mères (lois sur la protection de la maternité). (B.G.B., 30 janv.) All. (R. F.) 2 "
ALLEMAGNE (RÉPUBLIQUE FÉDÉRALE),,"Loi instituant un Etablissement fédéral du placement et de l'assurance- chômage. (B.G.B., 12 mars) All. (R. F.) 3",10.3.,1952,13,10 mars,"10 mars Loi instituant un Etablissement fédéral du placement et de l'assurance- chômage. (B.G.B., 12 mars) All. (R. F.) 3 "
ALLEMAGNE (RÉPUBLIQUE FÉDÉRALE),,"Loi abrogeant certaines dispositions en matière de protection du travail [abroge les §§ 4 et 6 de l'ordonnance du 1 e r septembre 1939 * modifiant et complétant certaines prescriptions en matière de protec- tion du travail]. (B.G.B., 24 mars)",21.3.,1952,13,21 mars,"21 mars Loi abrogeant certaines dispositions en matière de protection du travail [abroge les §§ 4 et 6 de l'ordonnance du 1 e r septembre 1939 * modifiant et complétant certaines prescriptions en matière de protec- tion du travail]. (B.G.B., 24 mars) "
