country,region,text,date,year,page,extracted_date,full_text
Cz 1 A)],,,16.11.,1956,12,16 November 1956,16 November 1956. 
Cz 1 A)],,Consolidated text of the Social Insurance Act of (L.S,15.4.,1948,12,15 April 1948,[Consolidated text of the Social Insurance Act of 15 April 1948 (L.S. 
Cz 1 A)],,Labour Conference in 1946. Dated,4.5.,1956,12,4 May 1956,Labour Conference in 1946. Dated 4 May 1956. 
Cz 1 A)],,An Act to amend the Act respecting family allowances [of :,30.4.,1943,12,30 April 1943,An Act to amend the Act respecting family allowances [of 30 April 1943: 
Cz 1 A)],,L.S. 1943—Fin. 2 A]. Dated,9.11.,1956,12,9 November 1956,L.S. 1943—Fin. 2 A]. Dated 9 November 1956. 
Cz 1 A)],,An Act to amend the National Pensions Act [of ]. Dated,8.6.,1956,12,8 June 1956,•An Act to amend the National Pensions Act [of 8 June 1956]. Dated 
Cz 1 A)],,,15.12.,1956,12,15 December 1956,15 December 1956. 
Cz 1 A)],,security. Dated,10.12.,1956,12,10 December 1956,security. Dated 10 December 1956. 
Cz 1 A)],,"Journal Officiel, , No. 294, p. 12140; erratum: ibid",18.12.,1956,12,18 December 1956,"(Journal Officiel, 18 December 1956, No. 294, p. 12140; erratum: ibid., "
Cz 1 A)],,"No. 5, p. 373)",6.1.,1957,12,6 January 1957,"6 January 1957, No. 5, p. 373) "
Cz 1 A)],,"Decree No. 56-1277, to amend Decree No. 46-2769 of , respecting the organisation of social security in the mining industry [L.S",27.11.,1946,12,27 November 1946,"Decree No. 56-1277, to amend Decree No. 46-2769 of 27 November 1946, respecting the organisation of social security in the mining industry [L.S. "
Cz 1 A)],,1946—Fr. 14]. Dated,15.12.,1956,12,15 December 1956,1946—Fr. 14]. Dated 15 December 1956. 
Cz 1 A)],,"Ibid., , No. 293, p. 12109)",16.12.,1956,12,16 December 1956,"(Ibid., 16 December 1956, No. 293, p. 12109) "
Cz 1 A)],,"Decree No. 56-1278, to extend Decree No. 55-568 of to the system of social security in the mining industry. Dated 15 December",20.5.,1955,12,20 May 1955,"Decree No. 56-1278, to extend Decree No. 55-568 of 20 May 1955 to the system of social security in the mining industry. Dated 15 December "
Cz 1 A)],,Amends Decree No. 46-2769 of (L.S. 1946—Fr. 14).] Algeria,27.11.,1946,12,27 November 1946,[Amends Decree No. 46-2769 of 27 November 1946 (L.S. 1946—Fr. 14).] Algeria 
Cz 1 A)],,"Decree No. 56-1016, to make applicable in Algeria Act No. 54-912 of , to define industrial accidents in agriculture (containing the text of Act No. 54-912 of ). Dated",5.10.,1956,12,5 October 1956,"Decree No. 56-1016, to make applicable in Algeria Act No. 54-912 of 15 September 1954, to define industrial accidents in agriculture (containing the text of Act No. 54-912 of 15 September 1954). Dated 5 October 1956. "
Cz 1 A)],,"Journal Officiel de l'Algérie, , No. 86, p. 1850) French Cameroons",23.10.,1956,12,23 October 1956,"(Journal Officiel de l'Algérie, 23 October 1956, No. 86, p. 1850) French Cameroons "
Cz 1 A)],,Dated,5.10.,1956,12,5 October 1956,Dated 5 October 1956. 
Cz 1 A)],,"Journal Officiel du Cameroun Français, , No. 1145",17.10.,1956,12,17 October 1956,"(Journal Officiel du Cameroun Français, 17 October 1956, No. 1145, "
Cz 1 A)],,"Order No. 6676, to regulate the use in painting of white lead and lead compounds in cases where such use is still permitted. Dated",5.10.,1956,12,5 October 1956,"Order No. 6676, to regulate the use in painting of white lead and lead compounds in cases where such use is still permitted. Dated 5 October 1956. "
Cz 1 A)],,earners in the Gabun. Dated . — 5 —,22.8.,1956,12,22 August 1956,earners in the Gabun. Dated 22 August 1956. — 5 — 
Cz 1 A)],,Journal Officiel de l'Afrique Equatoriale Française,12.10.,1956,13,12 October 1956,"(Journal Officiel de l'Afrique Equatoriale Française, 12 October 1956, "
Cz 1 A)],,Under art. 237 of Act No. 52-1322 of (L.S. 1952—,15.12.,1952,13,15 December 1952,[Under art. 237 of Act No. 52-1322 of 15 December 1952 (L.S. 1952— 
Cz 1 A)],Fr S) to establish a Labour Code for Overseas France],in the French Establishments in Oceania. Dated,28.9.,1956,13,28 September 1956,in the French Establishments in Oceania. Dated 28 September 1956. 
Cz 1 A)],Fr S) to establish a Labour Code for Overseas France],Journal Officiel des Etablissements Français de l'Oceanie,25.10.,1956,13,25 October 1956,"(Journal Officiel des Etablissements Français de l'Oceanie, 25 October 1956, "
Cz 1 A)],Fr S) to establish a Labour Code for Overseas France],Dated,17.12.,1956,13,17 December 1956,Dated 17 December 1956. 
Cz 1 A)],Fr S) to establish a Labour Code for Overseas France],Journal Officiel de l'Afrique Occidentale Française,29.12.,1956,13,29 December 1956,"(Journal Officiel de l'Afrique Occidentale Française, 29 December 1956, "
Cz 1 A)],Fr S) to establish a Labour Code for Overseas France],An Act to amend and supplement the Act respecting employment exchanges and unemployment insurance [of : L.S. 1929—Ger. 5]. Dated,12.10.,1929,13,12 October 1929,An Act to amend and supplement the Act respecting employment exchanges and unemployment insurance [of 12 October 1929 : L.S. 1929—Ger. 5]. Dated 
Cz 1 A)],Fr S) to establish a Labour Code for Overseas France],,23.12.,1956,13,23 December 1956,23 December 1956. 
