country,region,text,page
AUSTRIA,,"19/1/1983 Ley federal por la que se modifica la ley [texto 31 de 1969] sobre el fomento del  empleo y la ley de 1977 [SL 1977—Aus. 2 (texto codificado)] sobre el seguro de desem-  pleo. (Bundesgesetzbiatt, texto 61.)  ",1
AUSTRIA,,"1/11/1983 Orden del Ministro Federal de la Administracién Social por la que se modifica la  orden que establece oficinas de colocacién de Land y oficinas de colocacién y se determi-  na su competencia. (/bid., texto 74.)  ",1
AUSTRIA,,"3/11/1983 Ley federal modificatoria de la ley [texto 200 de 1967] sobre el seguro de enferme-  dad y accidentes de los funcionarios (duodécima ley modificatoria sobre e! seguro de  enfermedad y accidentes de los funcionarios). (/bid., texto 78.)  ",1
AUSTRIA,,"3/11/1983 Ley federal nor la que se modifican ciertas disnosiciones legales relativas a las va-  caciones de la ley sobre las vacaciones {texto 390 de 1976], de la ley sobre los periodistas  [texto 88 de 1920], de la ley sobre los porteros [texto 16 de 1970], de la ley federal sobre el  trabajo de los nifios y los adolescentes [texto 146 de 1948: SL 1948—Aus. 3 ... 1969—  Aus. 4B] y de la ley de empleados domésticos [texto 235 de 1962: SL 1962—Aus. 2].  (bid., texto 81.)  ",1
AUSTRIA,,"3/11/1983 Ley federal modificatoria de la ley [de 2 junio 1948: SL 1948—Aus. 2 ... 1971—  Aus. 1A] sobre el trabajo agricola. (Jbid., texto 82.)  ",1
AUSTRIA,,"3/11/1983 Ley federal modificatoria de la ley de 1972 sobre las vacaciones de los trabajadores  de la construccién. (/bid., texto 83.)  ",1
AUSTRIA,,"3/11/1983 Ley federal modificatoria de la ley de 1960 sobre el trabajo a domicilio. (/bid., tex-  to 84.)  ",1
BELGICA,,"13/1/1983 Real orden de aplicacion del art. 66 de las leyes relativas a la indemnizacion de los  dafios causados por enfermedad profesional, coordinadas el 3 junio 1970. (Moniteur bel-  ge — Belgisch Staatsblad, 20 enero.)  ",1
BELGICA,,"13/1/1983 Real orden de aplicacién del art. 42bis de la ley de 10 abril 1971 [SL  1971—Bél. 3] sobre los accidentes del trabajo. (/bid.)  [Art. 42bis insertado por la ley de 2 julio 1981. Concierne, en particular, a la acumula-  cién, con ciertas reservas, de las prestaciones otorgadas en aplicacién de la ley de 10 abril  1971 con las otorgadas en virtud de otras reglas de seguridad y prevision social.]  ",1
BELGICA,,13/1/1983 Real orden modificatoria de la real orden de 30 julio 1964 por la que se determi-  las condiciones de extension a los trabajadores independientes de la aplicacién de la  ley de 9 agosto 1963 por la que se instituye y organiza un régimen de seguro obligatorio  de enfermedad e invalidez. ([bid.)  ,1
BELGICA,,"21/1/1983 Real orden modificatoria de la real orden de 22 diciembre 1967 por la que se dicta  reglamento general relativo a la pension de retiro y de supervivientes de los trabajadores  independientes. (Jbid., 8 febrero.)  ",1
BELGICA,,"8/11/1983 Real orden modificatoria de la real orden de 4 noviembre 1963 de aplicacién de la  ley de 9 agosto 1963 por la que se instituye y organiza un régimen de seguro obligatorio de  enfermedad e invalidez. (/bid., 12 febrero.)  2 (146)  ",1
BELGICA,,"8/11/1983 Real orden modificatoria del art. 21, parrafo primero, de la ley de 13 junio  1966 relativa a la pensidn de retiro y de supervivientes de los obreros, de los emplea-  dos, de los marinos que naveguen bajo pabellon belga, de los mineros y de los asegurados  libres. (/bid., 22 febrero.)  ",2
BELGICA,,"2/11/1983 Real orden modificatoria de la real orden de 21 dic. 1971 de aplicacién de cier-  tas disposiciones de Ia ley de [0 abril 1971 [SL 1971—Bél. 3] sobre los accidentes del tra-  bajo. (bid., 9 febrero.)  ",2
CANADA,,"14/1/1983 DORS/83-77: C.P. 1983-12: Reglamento sobre la seguridad matenial, dictado en  aplicacion de la ley sobre el control de la energia atémica. (Canada Gazette — Gazette du  Canada, parte Il, 26 enero.)  ",2
CANADA,,"25/11/1983 DORS/83-189: C.P. 1983-526: Reglamento sobre el seguro de desempleo —  Modificacion. (fbid.,, 9 marzo.)  [Deroga el art. 58 (8).]  ",2
CANADA,,"4/111/1983 DORS/83-215: Reglamento sobre la movilidad de la mano de obra — Modi-  ficacion. (/bid., 23 marzo.)  ",2
CANADA,Terranova,"1/1/1983  Reglamento sobre las normas del trabajo (/bid., 17 dic. 1982.)  (Deroga el reglamento de 1980 sobre la misma matenia.]  ",2
DINAMARCA,,"7/11/1983 Notificacién relativa a las raciones a bordo de los buques daneses. (Lovtidende A,  1983, num. 9, texto 54.)  ",2
DINAMARCA,,"18/11/1983 Notificacion relativa a la creacién de empleos. (/bid., nim. 10, texto 66.)  [Promocién de las oportunidades de empleo merced a la adopcién de medidas para fo-  mentar los proyectos locales, en particular en el sector privado, que prevén nuevas  actividades. ]  ",2
DINAMARCA,,"18/11/1983 Notificacién relativa a las ofertas de empleo destinadas a los desempleados.  ([bid., num. 11, texto 70.)  (Deroga las notificaciones 431 de 1981 y 569 de 1982 sobre la misma materia. ]  ",2
