country,region,text,page
ALGERIA,,"24/X1/1984 Decree No. 84-354, made under s. 42 of Act No. 82-06 of 27 February 1982 [LS 1982—  Alg. 2] respecting individual employment relationships. (Journal officiel, 28 Nov.)  [Ch. II: Rights and duties of workers. Repeals Decree No. 83-313 of 7 May 1983 to lay down  conditions for the assignment of workers employed in services of the State.]  ",1
ALGERIA,,"24/XI11/1984 Decree No. 84-404, to dissolve the paid leave funds and to transfer their activities to  the social security bodies. (ibid., 30 Dec.)  ",1
ALGERIA,,"9/11/1985 Decree No. 85-30, to fix the distribution of the amount of the social security contribution.  (ibid., 24 Feb.)  ",1
ALGERIA,,"9/11/1985 Decree No. 85-31, to provide for the application of Title I] of Act No. 83-12 of 2 July  1983 [LS 1983—Alg. 1B] respecting retirement pensions. (ibid.)  ",1
ALGERIA,,"9/11/1985 Decree No. 85-32, respecting validation for retirement pension purposes, of certain  periods of work occurring before | January 1985. (ibid.)  {S. 1: The validation of periods of work or periods treated as such, as provided in s. 56 of Act  No. 83-12 of 2 July 1983 (LS 1983—Alg. 1B), is for purposes of benefits and contributions. ]  ",1
ALGERIA,,"9/11/1985 Decree No. 85-33, to prescribe the list of workers treated as employees for purposes of  social security. (ibid.)  ",1
ALGERIA,,"9/11/1985 Decree No. 85-34, to fix the rate of social security contributions for special categories of  insured persons. (ibid.)  (S. 1: Special categories of insured persons to draw benefits under certain conditions. S. 2: Rate of  contributions payable by each of the categories listed in s. 1.]  ",1
ALGERIA,,"9/11/1985 Decree No. 85-35, respecting the social security of persons engaged in an occupational  activity who are not employees. (ibid.)  [Inter alia, conditions of application of the provisions of Act No. 83-11 of 2 July 1983 (LS 1983—  Alg. 1A) respecting social insurance and Act No. 83-12 of 2 July 1983 (LS 1983—Alg. 1B)  respecting retirement pensions. Commencement: | Jan. 1984.]  ",1
ALGERIA,,"16/11/1985 Act No. 85-05, respecting health protection and promotion. (ibid., 17 Feb.)  {Inter alia, Ch. VI of Title I]: Protection measures in the working environment. ]  ",1
ALGERIA,,"23/111/1985 Decree No. 85-59, to issue model regulations for workers employed in public  institutions and administrations. (ibid., 24 Mar.; errata: ibid., 3 July)  {S. 1: Purpose of the Decree, under s. 2 of Act No. 78-12 of 5 Aug. 1978 (LS 1978—Alg. 1) to make  general provision for workers’ conditions of employment, is to determine the sector of activity of  public institutions and administrations and to issue statutory regulations applicable to the  workers employed in such institutions and administrations. }  ",1
ALGERIA,,"23/11/1985 Decree No. 85-60, to lay down measures for the immediate application of Decree  No. 85-59 of 23 March 1985 to issue model regulations for workers employed in public  institutions and administrations. (ibid., 24 Mar.)  ",1
ANTIGUA AND BARBUDA,,8/X/1984 Pensions (Miscellaneous Provisions) Act 1984. No. 9.  [Miscellaneous amendments relating to retirement age from the public service.]  ,1
ANTIGUA AND BARBUDA,,Copyright © International Labour Organisation 1986 3/1986  ,1
ANTIGUA AND BARBUDA,,1986—List No. 3 2 (72)  ,2
ANTIGUA AND BARBUDA,,"30/1V/1985 Industrial Court Amendment Act 1985.  (Inter alia, amends s. 4 (court to be composed of barristers with experience of industrial  relations). ]  ",2
ARGENTINA,,"23/X/1984 Act No. 23157, to provide that the work done by convicts as provided in Decree  No. 412/58 shall be taken into account for social insurance purposes. (Boletin Oficial, 7 Nov.)  ",2
ARGENTINA,,"2/X1/1984 Act No. 231 26, to fix the period in which the collective labour agreements shall be given  full legal effect again, and to repeal de facto provisions Nos. 21476 and 21418. (ibid., 12 Nov.)  [Period fixed at 365 days from the promulgation of the Act.]  ",2
ARGENTINA,,"21/X11/1984 Decree No. 3992, to approve the consolidated text of Act No. 11179 to promulgate the  Penal Code of Argentina. (ibid., 16 Jan. 1985)  ",2
ARGENTINA,,"15/1/1985 Decree No. 95, issued under Act No. 23107 to institute a procedure for the integration in  the social security scheme of rural workers employed in the cultivation of cotton. (ibid., 21 Jan.)  ",2
ARGENTINA,,"8/11/1985 Resolution No. 121 to lay down the procedure for fixing the amounts due as  contributions to the national retirement and pension scheme that are payable to the National  Social Services Institute for Retired Persons and Pensioners and the National Housing Fund.  (ibid., 26 Mar.)  ",2
ARGENTINA,,"30/IV/ 1985 Order No. 99 concerning the procedure to be observed by trade union bodies that call  elections pursuant to the rules laid down in section 27 of Act No. 23071. (ibid., 31 May)  ",2
