country,region,text,date,year,page,extracted_date,full_text
ALGERIA,,"Decree No. 84-354, made under s. 42 of Act No. 82-06 of 27 February 1982 [LS 1982— Alg. 2] respecting individual employment relationships. (Journal officiel, 28 Nov.) Ch. II: Rights and duties of workers. Repeals Decree No. 83-313 of 7 May 1983 to lay down conditions for the assignment of workers employed in services of the State.]",24.11.,1984,1,24/X1/1984,"24/X1/1984 Decree No. 84-354, made under s. 42 of Act No. 82-06 of 27 February 1982 [LS 1982— Alg. 2] respecting individual employment relationships. (Journal officiel, 28 Nov.) Ch. II: Rights and duties of workers. Repeals Decree No. 83-313 of 7 May 1983 to lay down conditions for the assignment of workers employed in services of the State.] "
ALGERIA,,"Decree No. 84-404, to dissolve the paid leave funds and to transfer their activities to the social security bodies. (ibid., 30 Dec.)",24.12.,1984,1,24/XI11/1984,"24/XI11/1984 Decree No. 84-404, to dissolve the paid leave funds and to transfer their activities to the social security bodies. (ibid., 30 Dec.) "
ALGERIA,,"Decree No. 85-30, to fix the distribution of the amount of the social security contribution. (ibid., 24 Feb.)",9.2.,1985,1,9/11/1985,"9/11/1985 Decree No. 85-30, to fix the distribution of the amount of the social security contribution. (ibid., 24 Feb.) "
ALGERIA,,"Decree No. 85-31, to provide for the application of Title I] of Act No. 83-12 of 2 July 1983 [LS 1983—Alg. 1B] respecting retirement pensions. (ibid.)",9.2.,1985,1,9/11/1985,"9/11/1985 Decree No. 85-31, to provide for the application of Title I] of Act No. 83-12 of 2 July 1983 [LS 1983—Alg. 1B] respecting retirement pensions. (ibid.) "
ALGERIA,,"Decree No. 85-32, respecting validation for retirement pension purposes, of certain periods of work occurring before | January 1985. (ibid.) S. 1: The validation of periods of work or periods treated as such, as provided in s. 56 of Act No. 83-12 of 2 July 1983 (LS 1983—Alg. 1B), is for purposes of benefits and contributions. ]",9.2.,1985,1,9/11/1985,"9/11/1985 Decree No. 85-32, respecting validation for retirement pension purposes, of certain periods of work occurring before | January 1985. (ibid.) S. 1: The validation of periods of work or periods treated as such, as provided in s. 56 of Act No. 83-12 of 2 July 1983 (LS 1983—Alg. 1B), is for purposes of benefits and contributions. ] "
ALGERIA,,"Decree No. 85-33, to prescribe the list of workers treated as employees for purposes of social security. (ibid.)",9.2.,1985,1,9/11/1985,"9/11/1985 Decree No. 85-33, to prescribe the list of workers treated as employees for purposes of social security. (ibid.) "
ALGERIA,,"Decree No. 85-34, to fix the rate of social security contributions for special categories of insured persons. (ibid.) (S. 1: Special categories of insured persons to draw benefits under certain conditions. S. 2: Rate of contributions payable by each of the categories listed in s. 1.]",9.2.,1985,1,9/11/1985,"9/11/1985 Decree No. 85-34, to fix the rate of social security contributions for special categories of insured persons. (ibid.) (S. 1: Special categories of insured persons to draw benefits under certain conditions. S. 2: Rate of contributions payable by each of the categories listed in s. 1.] "
ALGERIA,,"Decree No. 85-35, respecting the social security of persons engaged in an occupational activity who are not employees. (ibid.) Inter alia, conditions of application of the provisions of Act No. 83-11 of 2 July 1983 (LS 1983— Alg. 1A) respecting social insurance and Act No. 83-12 of 2 July 1983 (LS 1983—Alg. 1B) respecting retirement pensions. Commencement: | Jan. 1984.]",9.2.,1985,1,9/11/1985,"9/11/1985 Decree No. 85-35, respecting the social security of persons engaged in an occupational activity who are not employees. (ibid.) Inter alia, conditions of application of the provisions of Act No. 83-11 of 2 July 1983 (LS 1983— Alg. 1A) respecting social insurance and Act No. 83-12 of 2 July 1983 (LS 1983—Alg. 1B) respecting retirement pensions. Commencement: | Jan. 1984.] "
ALGERIA,,"Act No. 85-05, respecting health protection and promotion. (ibid., 17 Feb.) Inter alia, Ch. VI of Title I]: Protection measures in the working environment. ]",16.2.,1985,1,16/11/1985,"16/11/1985 Act No. 85-05, respecting health protection and promotion. (ibid., 17 Feb.) Inter alia, Ch. VI of Title I]: Protection measures in the working environment. ] "
ALGERIA,,"Decree No. 85-59, to issue model regulations for workers employed in public institutions and administrations. (ibid., 24 Mar.; errata: ibid., 3 July) S. 1: Purpose of the Decree, under s. 2 of Act No. 78-12 of 5 Aug. 1978 (LS 1978—Alg. 1) to make general provision for workers’ conditions of employment, is to determine the sector of activity of public institutions and administrations and to issue statutory regulations applicable to the workers employed in such institutions and administrations. }",23.3.,1985,1,23/111/1985,"23/111/1985 Decree No. 85-59, to issue model regulations for workers employed in public institutions and administrations. (ibid., 24 Mar.; errata: ibid., 3 July) S. 1: Purpose of the Decree, under s. 2 of Act No. 78-12 of 5 Aug. 1978 (LS 1978—Alg. 1) to make general provision for workers’ conditions of employment, is to determine the sector of activity of public institutions and administrations and to issue statutory regulations applicable to the workers employed in such institutions and administrations. } "
ALGERIA,,"Decree No. 85-60, to lay down measures for the immediate application of Decree No. 85-59 of 23 March 1985 to issue model regulations for workers employed in public institutions and administrations. (ibid., 24 Mar.)",23.2.,1985,1,23/11/1985,"23/11/1985 Decree No. 85-60, to lay down measures for the immediate application of Decree No. 85-59 of 23 March 1985 to issue model regulations for workers employed in public institutions and administrations. (ibid., 24 Mar.) "
ANTIGUA AND BARBUDA,,Pensions (Miscellaneous Provisions) Act 1984. No. 9. Miscellaneous amendments relating to retirement age from the public service.],8.10.,1984,1,8/X/1984,8/X/1984 Pensions (Miscellaneous Provisions) Act 1984. No. 9. Miscellaneous amendments relating to retirement age from the public service.] 
ANTIGUA AND BARBUDA,,"Industrial Court Amendment Act 1985. (Inter alia, amends s. 4 (court to be composed of barristers with experience of industrial relations). ]",30.4.,1985,2,30/1V/1985,"30/1V/1985 Industrial Court Amendment Act 1985. (Inter alia, amends s. 4 (court to be composed of barristers with experience of industrial relations). ] "
ARGENTINA,,"Act No. 23157, to provide that the work done by convicts as provided in Decree No. 412/58 shall be taken into account for social insurance purposes. (Boletin Oficial, 7 Nov.)",23.10.,1984,2,23/X/1984,"23/X/1984 Act No. 23157, to provide that the work done by convicts as provided in Decree No. 412/58 shall be taken into account for social insurance purposes. (Boletin Oficial, 7 Nov.) "
ARGENTINA,,"Act No. 231 26, to fix the period in which the collective labour agreements shall be given full legal effect again, and to repeal de facto provisions Nos. 21476 and 21418. (ibid., 12 Nov.) Period fixed at 365 days from the promulgation of the Act.]",2.11.,1984,2,2/X1/1984,"2/X1/1984 Act No. 231 26, to fix the period in which the collective labour agreements shall be given full legal effect again, and to repeal de facto provisions Nos. 21476 and 21418. (ibid., 12 Nov.) Period fixed at 365 days from the promulgation of the Act.] "
ARGENTINA,,"Decree No. 3992, to approve the consolidated text of Act No. 11179 to promulgate the Penal Code of Argentina. (ibid., 16 Jan. 1985)",21.12.,1984,2,21/X11/1984,"21/X11/1984 Decree No. 3992, to approve the consolidated text of Act No. 11179 to promulgate the Penal Code of Argentina. (ibid., 16 Jan. 1985) "
ARGENTINA,,"Decree No. 95, issued under Act No. 23107 to institute a procedure for the integration in the social security scheme of rural workers employed in the cultivation of cotton. (ibid., 21 Jan.)",15.1.,1985,2,15/1/1985,"15/1/1985 Decree No. 95, issued under Act No. 23107 to institute a procedure for the integration in the social security scheme of rural workers employed in the cultivation of cotton. (ibid., 21 Jan.) "
ARGENTINA,,"Resolution No. 121 to lay down the procedure for fixing the amounts due as contributions to the national retirement and pension scheme that are payable to the National Social Services Institute for Retired Persons and Pensioners and the National Housing Fund. (ibid., 26 Mar.)",8.2.,1985,2,8/11/1985,"8/11/1985 Resolution No. 121 to lay down the procedure for fixing the amounts due as contributions to the national retirement and pension scheme that are payable to the National Social Services Institute for Retired Persons and Pensioners and the National Housing Fund. (ibid., 26 Mar.) "
ARGENTINA,,"Order No. 2380 (with rules annexed) concerning the provision of benefits in the form of services for non-permanent rural workers. (ibid., 13 Aug.)",9.8.,1985,2,9/VIII/1985,"9/VIII/1985 Order No. 2380 (with rules annexed) concerning the provision of benefits in the form of services for non-permanent rural workers. (ibid., 13 Aug.) "
AUSTRALIA,,"Conciliation and Arbitration Regulations (Amendment). (Statutory Rules, 1984, No. 101)",31.5.,1984,2,31/V/1984,"31/V/1984 Conciliation and Arbitration Regulations (Amendment). (Statutory Rules, 1984, No. 101) "
AUSTRALIA,,"Public Service Reform Act 1984. Inter alia, amends |. the Public Service Act 1922 by inserting after Part II a Part IIA: Personnel Management (personnel management reviews, equal employment opportunity programmes, industrial democracy plans (participation by employees in decision-making processes), etc.); after Div. 2A of Part III, inserts a Div. 2B: Part-time offices; 2. the Long Service Leave (Commonwealth Employees) Act 1976.]",25.7.,1984,2,25/V1I/1984,"25/V1I/1984 Public Service Reform Act 1984. Inter alia, amends |. the Public Service Act 1922 by inserting after Part II a Part IIA: Personnel Management (personnel management reviews, equal employment opportunity programmes, industrial democracy plans (participation by employees in decision-making processes), etc.); after Div. 2A of Part III, inserts a Div. 2B: Part-time offices; 2. the Long Service Leave (Commonwealth Employees) Act 1976.] "
AUSTRALIA,,Social Security and Repatriation Legislation Amendment Act 1984,25.6.,1984,2,25/V1/1984,25/V1/1984 Social Security and Repatriation Legislation Amendment Act 1984. 
AUSTRALIA,,"Public Service Regulations (Amendment). (ibid., No. 140) Miscellaneous amendments. Inter alia, insert a new Div. I1]A—Discrimination in employment. Repeal Reg. 122 of the Public Service Regulation (Statutory Rules 1935 No. [8). Entry into force on | July 1984.]",27.6.,1984,2,27/V1/1984,"27/V1/1984 Public Service Regulations (Amendment). (ibid., No. 140) Miscellaneous amendments. Inter alia, insert a new Div. I1]A—Discrimination in employment. Repeal Reg. 122 of the Public Service Regulation (Statutory Rules 1935 No. [8). Entry into force on | July 1984.] "
AUSTRALIA,,"Health Legislation Amendment Act 1984. Inter alia, Part III: Amendments of the Health Insurance Act 1973.]",25.10.,1984,2,25/X/1984,"25/X/1984 Health Legislation Amendment Act 1984. Inter alia, Part III: Amendments of the Health Insurance Act 1973.] "
AUSTRALIA,,Conciliation and Arbitration Amendment Act 1984,25.10.,1984,2,25/X/1984,25/X/1984 Conciliation and Arbitration Amendment Act 1984. 
AUSTRALIA,,Conciliation and Arbitration Regulations (Amendment). No. 315 of 1984. Miscellaneous amendments relating to a ballot of the members of an organisation of workers or employers. ],26.10.,1984,2,26/X/1984,26/X/1984 Conciliation and Arbitration Regulations (Amendment). No. 315 of 1984. Miscellaneous amendments relating to a ballot of the members of an organisation of workers or employers. ] 
AUSTRALIA,,Superannuation (Retiring Age) Regulations (Amendment). No. 368 of 1984,27.11.,1984,2,27/X1/1984,27/X1/1984 Superannuation (Retiring Age) Regulations (Amendment). No. 368 of 1984. 
AUSTRALIA,,"Public Service Regulations (Amendment). No. 471 of 1984. Amend, inter alia, Part V: Promotion, transfer and temporary performance and repeal Part V1.]",19.12.,1984,2,19/X1I/1984,"19/X1I/1984 Public Service Regulations (Amendment). No. 471 of 1984. Amend, inter alia, Part V: Promotion, transfer and temporary performance and repeal Part V1.] "
AUSTRALIA,,"Superannuation (Retiring age) Regulations (Amendment). (ibid., 1984, No. 480) Amend Reg. 5 (minimum retiring age).]",21.12.,1984,2,21/XI1/1984,"21/XI1/1984 Superannuation (Retiring age) Regulations (Amendment). (ibid., 1984, No. 480) Amend Reg. 5 (minimum retiring age).] "
AUSTRALIA,Queensland,Carriage of Dangerous Goods by Road Act 1984,12.10.,1984,3,12/X/1984,12/X/1984 Carriage of Dangerous Goods by Road Act 1984. 
AUSTRALIA,Queensland,Superannuation Trust Funds (Protection of Employee Entitlements) Act 1984,26.10.,1984,3,26/X/1984,26/X/1984 Superannuation Trust Funds (Protection of Employee Entitlements) Act 1984. 
AUSTRALIA,Queensland,"Industrial Conciliation and Arbitration Amendment Act 1985. Amendments relating, inter alia, to the definition of “strikes”; resignation from membership of an industrial union; offences by industrial unions in relation to strikes or lock-outs; cancellation of registration of union; power to direct secret ballots. Insertion of a new s. 101A (prejudice of employee by reason of non-membership of union).}",20.3.,1985,3,20/111/1985,"20/111/1985 Industrial Conciliation and Arbitration Amendment Act 1985. Amendments relating, inter alia, to the definition of “strikes”; resignation from membership of an industrial union; offences by industrial unions in relation to strikes or lock-outs; cancellation of registration of union; power to direct secret ballots. Insertion of a new s. 101A (prejudice of employee by reason of non-membership of union).} "
AUSTRALIA,Queensland,Act to amend the Queensland Marine Act 1958-1979 and the Queensland Marine Amendment Act 1981 each in certain particulars. No. 8 of 1985,20.3.,1985,3,20/II1/1985,20/II1/1985 Act to amend the Queensland Marine Act 1958-1979 and the Queensland Marine Amendment Act 1981 each in certain particulars. No. 8 of 1985. 
AUSTRALIA,Queensland,Construction Safety Act Amendment Act 1985. Amendments relating to powers of inspectors and police; licences for construction and demolition; restricted employment in certain occupations. },15.4.,1985,3,15/IV/1985,15/IV/1985 Construction Safety Act Amendment Act 1985. Amendments relating to powers of inspectors and police; licences for construction and demolition; restricted employment in certain occupations. } 
AUSTRALIA,South Australia,"Regulations under the Industrial Safety, Health and Welfare Act 1972. No. 36. (Government Gazette, 8 Mar.) (Construction work.]",8.3.,1984,3,8/II1/1984,"8/II1/1984 Regulations under the Industrial Safety, Health and Welfare Act 1972. No. 36. (Government Gazette, 8 Mar.) (Construction work.] "
AUSTRALIA,South Australia,"Industrial Conciliation and Arbitration Act Amendment Act 1984. Amends, inter alia, s. 3 (objects of the Act), s. 108 (approval of industrial agreements), s. 115 (registration of associations of employees and employers).]",3.5.,1984,3,3/V/1984,"3/V/1984 Industrial Conciliation and Arbitration Act Amendment Act 1984. Amends, inter alia, s. 3 (objects of the Act), s. 108 (approval of industrial agreements), s. 115 (registration of associations of employees and employers).] "
AUSTRALIA,South Australia,"Equal Opportunity Act 1984. No. 95. Inter alia, Part III: Prohibition of discrimination on the ground of sex, sexuality, marital status or pregnancy; Part IV: Prohibition of discrimination on the ground of race; Part V: Prohibition of discrimination on the ground of physical impairment. ]",20.12.,1984,3,20/XI1/1984,"20/XI1/1984 Equal Opportunity Act 1984. No. 95. Inter alia, Part III: Prohibition of discrimination on the ground of sex, sexuality, marital status or pregnancy; Part IV: Prohibition of discrimination on the ground of race; Part V: Prohibition of discrimination on the ground of physical impairment. ] "
AUSTRALIA,South Australia,Nurses Act 1984,20.12.,1984,3,20/XI1/1984,20/XI1/1984 Nurses Act 1984. 
AUSTRALIA,South Australia,Co-operatives Act Amendment Act 1984,20.12.,1984,3,20/XII/1984,20/XII/1984 Co-operatives Act Amendment Act 1984. 
AUSTRALIA,South Australia,"Regulations under the Radiation Protection and Control Act 1982. No. 47. (ibid., 4 Apr.)",4.4.,1985,3,4/IV/1985,"4/IV/1985 Regulations under the Radiation Protection and Control Act 1982. No. 47. (ibid., 4 Apr.) "
AUSTRALIA,South Australia,"Regulations under the Industrial Safety, Health and Welfare Act 1972. No. 122 of 1985. (South Australian Government Gazette, 27 June) Amend the Construction Safety Regulations, 1974, to enforce stricter control of the use of asbestos in certain insulating materials. ]",27.7.,1985,3,27/V1I/1985,"27/V1I/1985 Regulations under the Industrial Safety, Health and Welfare Act 1972. No. 122 of 1985. (South Australian Government Gazette, 27 June) Amend the Construction Safety Regulations, 1974, to enforce stricter control of the use of asbestos in certain insulating materials. ] "
AUSTRALIA,Victoria,Superannuation (Amendment) Act 1984. Miscellaneous amendments. },15.5.,1984,3,15/V/1984,15/V/1984 Superannuation (Amendment) Act 1984. Miscellaneous amendments. } 
AUSTRALIA,Victoria,Equal Opportunity Act 1984,22.5.,1984,3,22/V/1984,22/V/1984 Equal Opportunity Act 1984. 
AUSTRALIA,Victoria,Local Government (Long Service Leave) Act 1984. Miscellaneous amendments. ],11.9.,1984,3,11/IX/1984,11/IX/1984 Local Government (Long Service Leave) Act 1984. Miscellaneous amendments. ] 
AUSTRALIA,Victoria,Workers Compensation (Amendment) Act 1984,11.9.,1984,3,11/IX/1984,11/IX/1984 Workers Compensation (Amendment) Act 1984. 
