country,region,text,page
AUSTRIA,,"Dec. 6 Act to prolong [till 31st December, 1935] the period of operation of the Order  of r2th October, 1933, respecting the temporary suspension of certain em-  ployees of the Austrian State Railways Undertaking and respecting special  measures relating to these employees. (B.G.Bl. If, no. 427)  ",1
AUSTRIA,,"Dec. rx Order respecting the compilation of a list of the undertakings within the  jurisdiction of the General Federation of Austrian Industrial Employers.  (B.G.BIl. II, no. 402; A.N. p. 347)  ",1
AUSTRIA,,"Dec. 12 Order respecting the employers’ contribution to the Federal Housing and  Land Settlement Fund. (B.G.BI. IT, no. 428; A.N. p. 352)  ",1
AUSTRIA,,"Dec. 13 Order to amend the Order of 18th October, 1932, respecting voluntary labour  service. (B.G.Bl. II, no. 419; A.N. p. 351)  ",1
AUSTRIA,,"Dec. 20 Act respecting the dismissal of private employees for activities hostile to the  State or the Government [amends Order of 9th March, 1934]. (B.G.BI. II,  no. 446; A.N. p. 325)  ",1
AUSTRIA,,"Dec. 20 Act to supplement and prolong the operation of the Order (of 23rd March,  1934] respecting the term of office of the administrative bodies of social  insurance carriers. (B.G.BIl. II, no. 448; A.N. p. 319)  ",1
AUSTRIA,,"Dec. 2x Act to amend the Act of 16th January, 1895, relating to the regulation of  Sunday rest and public holidays in industrial undertakings. (B.G.BI. II,  no. 421; A.N. p. 324) Text: Aus. 11  ",1
AUSTRIA,,"Dec. 29 Act to extend the operation of the Order of roth November, 1933, respecting  the continuance of the contract of employment or service of members of the  Volunteer Defence Corps. (B.G.BI. IT, no. 441; A.N. p. 325)  ",1
AUSTRIA,,"Dec. 31 Order to issue the rules for the General Federation of Austrian Industrial  Employers. (B.G.BI. 1935, no. 1; A.N. 1935, p. 8)  ",1
AUSTRIA,,"Dec. 3x Act to allocate establishments liable to accident insurance to risk classes  and to fix the percentages for the risk classes for the period from ist January,  1935, to 31st December, 1939. (B.G.Bl. 1935, no. 4; A.N. 1935, Pp. 2)  ",1
BELGIUM,,"Jan. 6 Act to amend section 22 of the Act of 30th December, 19294, respecting  compensation for industrial accidents sustained by seamen [adds following  words at end of § 22:— ‘‘if the vessel is propelled by an oil engine of less  than 60 h.p., or is a decked sailing boat engaged in fishing or is a half-decked  or open boat.  ‘‘The horse-power of the oil engine shall be ascertained in conformity  with the provisions of the Royal Order of 7th June, 1930, issued under the  Act of 30th Decetnber, 1929.’’}. (M. p. 266)  ",1
BELGIUM,,Feb. ro Act to issue regulations governing wages and hygiene in homework. (M.  p. 1488; R.T. p. 523) Text: Bel. 2  ,1
BELGIUM,,"Feb. ro Order to amend the Orders of 26th December, 1930, and 28th September, 1931,  issued under the Acts of rst August, 1930%* and 22nd July, 193148, respecting  the miners’ pension retirement system. (M. p. 672; erratum, p. 847; R.T.  Pp. 376)  ",1
BELGIUM,,B.G.Bl. = Bundesgesetzblatt.  ,1
BELGIUM,,A.N. = Amitliche Nachrichten des Bundesmtnisteriums fiir Soziale Verwaltung.  ,1
BELGIUM,,M.= Moniteur belge.  ,1
BELGIUM,,R.T. = Revue du Travail.  ,1
BELGIUM,,"46 LS, 1929 (Bel. to). — #7 L.S. 1930 (Bel. 8). — #8 L.S. 1931 (Bel. 6).  113  — 3m — (1768)  ",1
BELGIUM,,Mar. 22 Act respecting the estimates of the Ministry of Social Welfare and Public  Health for the financial year 1934 [§ 2 suspends during 1934 the application  of § 52 of the Family Allowances Act of 4th August 1930*° (ve State grant)].  (M. p. 2239)  ,2
BELGIUM,,"Apr. 5 Order [to supersede section 3 of the Order of 15th May, 1919, amended by  the Order of 13th March, 1923] respecting the lighting of fiery mines by portable  electric lamps. (M. p. 1824; R.T. p. 654)  ",2
BELGIUM,,Apr. 12 Order under the Consolidated Acts respecting compensation for injuries  resulting from industrial accidents®® to fix the contribution to the Guarantee  Fund payable in 1934 for the year 1933. (M. p. 2194; R.T. p. 653)  ,2
BELGIUM,,Apr. 19 Act to amend the provisions of the Disciplinary and Penal Code for the  mercantile marine and the sea-fishing industry®! respecting the clandestine  embarkation and landing of persons. (M. p. 2636) Text: Bel. 3  ,2
BELGIUM,,"Apr. 20 Order to amend certain items in the schedule of dangerous, unhealthy or  offensive establishments [appended to the Order of roth August, 1933  (flour mills, windmills, etc.)]. (M. p. 2487)  ",2
BELGIUM,,Apr. 21 Order [under section 8 of the Consolidated Acts respecting compensation for  industrial accidents®®] respecting the keeping of the wage books. (M.  Pp. 2650)  ,2
BELGIUM,,"Apr. 28 Order respecting the institution of an advisory cominittee for supervision  and disputes under the Act of 4th August, 1930*9, respecting family allowances.  (M. p. 2650)  ",2
BELGIUM,,"Apr. 30 Order to amend [§ 8 of] the Order of 7th December, 1931, issuing general  regulations for industrial accident insurance [adds item to no. 1 (permissible  investments)]. (M. p. 2652)  ",2
BELGIUM,,"May 15 Order to amend the sickness, invalidity and agricultural accident insurance  systems in force in the cantons of Eupen, Malmédy and St. Vith. (M. p. 3001;  R.T. p. 834)  ",2
BELGIUM,,"May 29 Acts toratify the Conventions adopted by the International Labour Conference  (1) concerning the age for admission of children to non-industrial employment  (1932), and (2) concerning the marking of the weight on heavy packages  transported by vessels (Twelfth Session, 1929). (M. p. 3931 and p. 4163;  R.T. p. 1069)  ",2
BELGIUM,,"June 2 Act to ratify the Treaty of settlement and labour between Belgium and the  Netherlands, concluded on zoth February, 19335. (M. 1936, p. 338)  ",2
BELGIUM,,"June 9 Order under section 5 of the Act of 14th June, 192153: seasonal industries:  cycle industry. (M. p. 3319) Text: Bel. 4 (A)  ",2
BELGIUM,,June 23 Order to amend the rules of the Welfare and Relief Fund for seamen sailing  under the Belgian flag. (M. p. 3822)  ,2
BELGIUM,,"June 25 Order under section 2 of the Act of 14th June, 192154: specification of officials  and employees of the Belgian National Railway Company in positions of  trust. (M. p. 3713; R.T. p. 1087) Text: Bel. 4 (B)  ",2
BELGIUM,,"June 25 Order to fix the rate of contributions to be paid for 1934 by heads of under-  takings covered by the Act of 24th July, 1927, respecting compensation for  injury caused by occupational diseases5*. (M. p. 3778)  ",2
BELGIUM,,July g Order respecting insurance against accidents occurring in the workshops and  laboratories of technical schools. (M. p. 4061)  ,2
BELGIUM,,July 10 Order respecting insurance against industrial accidents in technical schools.  (M. p. 4062)  ,2
BELGIUM,,"July 25 Act to supplement the provisions of the Act of 24th January, 1931°5, to set  up the National Institution for Orphans of Victims of Industrial Accidents.  (M. p. 4211) Text: Bel. 5  ",2
BELGIUM,,July 27 Order to reorganise the unemployment funds and claims boards. (M. p. 4129;  erratum: p. 5720; R.T. p. 1069) Extracts: Bel. 6 (A)  ,2
BELGIUM,,M. = Monttieur belge.  ,2
BELGIUM,,R.T. = Revue du Travail.  ,2
BELGIUM,,"49 L.S. 1930 (Bel. 9); amendment, 1933 (Bel. 6). — 5° L.S. 1931 (Bel. 9). — 5! L.S.  1928 (Bel. 5, B). — 5? Extracts, L.S. 1936 (Int. 1). — 58 LS. 1921 (Bel. 1). — §4 LS.  ",2
BELGIUM,,1927 (Bel. 7). — 55 L.S. 1931 (Bel. 1).  ,2
BELGIUM,,(1769) — 19 —  ,3
BELGIUM,,"July 30 Act to amend section 5 of the Act of 16th August, 18875*, issuing regulations  for the payment of wages to employees. (M. p. 4288; R.T. p. 1479)  Text: Bel. 7 (A)  ",3
BELGIUM,,"July 30 Act to prolong [to 30th June, 1935] the provisions of the Act of 12th July,  1932 [fixing a minimum payment to be made by persons liable to old age  insurance who are unernployed] which was prolonged by the Order of 29th  June, 1933, issued under the Act of 17th May, 1933. (M. p. 4316; R.T. p. 1179)  ",3
