country,region,text,page
ARGENTINA,,"Sep. 27 Act No. 13980, to amend Act No. 13075 respecting assistance and social  insurance for rallwaymen. (B.O. 13 Nov.)  ",3
ARGENTINA,,"Sep. 29 Act No. 13995, respecting the leasing and sale of State land to rural workers.  (B.O. 13 Oct.)  ",3
ARGENTINA,,"Nov. 17. Decree No. 24450, to make provision for the housing and vocational guidance  of repatriated citizens. (B.O. 28 Nov.)  ",3
ARGENTINA,,"Nov. 17 Decree No. 24453, to make free entry into the country dependent upon the  ability to read a language or dialect. (B.O. 28 Nov.)  ",3
ARGENTINA,,B.O. = Boletin Oficial de la Republica Argentina.  1 LS. 1944 (Arg. 4A).  ,3
ARGENTINA,,{950—Index I —4—  ,4
ARGENTINA,Cordoba,"Nov. 28 Decree No. 16680, to make reguiations under Acts No. 4257 and No. 4260  respecting oid-age and invaiidity pensions and marriage loans. (B.I. 5 Jan.)  PROVINCES  ",4
ARGENTINA,Mendoza,"Nov. 7 Act No. 1932, to amend Act No. 1828 respecting retirement pensions. (B.O.  17 Nov.)  ",4
ARGENTINA,Santa Fé,"Aug. 11 Act No. 3767, to provide for the compulsory instalment of day nurseries in  all factories with over 150 female employees. (B.O. 5 Aug.)  ",4
AUSTRALIA,,"Mar. 30 Amendments [of the definitions and Schedule] of the Seamen’s Compensation  Regulations [S.R. No. 135 of 1926, as amended], made under the Seamen’s  Compensation Act 1911-47. S.R. No. 18.  ",4
AUSTRALIA,,June 28 Act to amend the provisions of the Social Services Consolidation Act 1947-49  relating to child endowment. No.6. Social Services Consolidation Act 1950.  Aust. 1A  ,4
AUSTRALIA,,"Aug. 16 Pharmaceutical Benefits Regulations 1950 [amended by S.R. No. 51 of  31 Aug., No. 55 of 7 Sep., No. 62 of 27 Sep. and No. 94 of 30 Nov.; repeals  the Pharmaceutical Benefits Regulations 1948, as amended]. S.R. No. 48.  ",4
AUSTRALIA,,"Aug. 25 National Health (Medical Services to Pensioners) Regulations, under the  National Health Service Act 1948-49. S.R. No. 50.  ",4
AUSTRALIA,,Oct. 19 Amendment of the Re-establishment and Employment Regulations 1945  {fixes time within which application for re-establishment is to be made].  S.R. No. 68.  ,4
AUSTRALIA,,"Nov. 3 Act to enable the jurisdiction of the Commonwealth Court of Conciliation  and Arbitration to be exercised, in certain circumstances, by two judges.  No. 20. Conciliation and Arbitration Act 1950. Aust, 2  ",4
AUSTRALIA,,"Nov. 27 Act to amend the Social Services Consolidation Act 1947-49, as amended by  the Social Services Consolidation Act 1950. No. 26. Social Services  Consolidation Act (No. 2) 1950. Aust. 1B  STATES  ",4
AUSTRALIA,New South Wales,Feb. 24 Amendments to the Scheme set out in the Schedule to the Workmen’s  Compensation (Broken Hill) Act 1920-48 1 [payment of cost of ambulance  service]. (N.G.G. 10 Mar.)  ,4
AUSTRALIA,New South Wales,"Feb. 27 Rules to amend [rule 15 of] the Workers’ Compensation Rules 1926, under  the Workers’ Compensation Act 1926-48. (N.G.G. 24 Apr.)  ",4
AUSTRALIA,New South Wales,"Mar. 8 Proclamation, under the Factories and Shops Act 1912-48 2 to declare that  any office, building or place in which less than four persons are engaged,  directly or indirectly, in a manufacturing process involving—(1) the use of  lead or a compound of lead or an alloy of lead; or (2) the use of accumulator  plates containing lead or a compound of lead or an alloy of lead—~in connection  with the making or assembling or repair of electric accumulators to be a  factory for the purpose of the said Act. (N.G.G. 17 Mar.)  ",4
AUSTRALIA,New South Wales,May 15 Act to amend the Co-operation Act 1923-29 in certain respects; to valldate  certain matters; and for purposes connected therewith. No. 18.  ,4
AUSTRALIA,New South Wales,B.I. = Boletin Informativo de Legislacién Argentina.  ,4
AUSTRALIA,New South Wales,B.O. = Boletin Oficial de la Republica Argentina.  ,4
AUSTRALIA,New South Wales,S.R. = Statutory Rules.  ,4
AUSTRALIA,New South Wales,"N.G.G. = New South Wales Government Gazette.  1 L.S. 1929 (Aust. 9), 1934 (Aust. 12). — 3 Bulletin of the International Labour Office  (Basle), 1915, Vol. X, pp. 264 and 286; L.S. 1927 (Aust.1) ... 1936 (Aust. 3).  —5— 1950—Index I  ",4
