country,region,text,page
° ” BULGARIA,,A Resolution of the Council of Ministers to prescribe annual public  ,4
° ” BULGARIA,,holidays. Dated 15 October 1956.  ,4
° ” BULGARIA,,"(Izvestiya, 23 October 1956, No. 85, p. 1)  ",4
° ” BULGARIA,,An Ukase to amend and supplement the Ukase [of 29 June 1951:  L.S. 1951—Bul. 1] respecting the encouragement of childbearing and large  ,4
° ” BULGARIA,,families. Dated 24 November 1956.  ,4
° ” BULGARIA,,"(Ibid., 27 November 1956, No. 95, p. 1)  ",4
° ” BULGARIA,,[Amends art. 2 (change of figures); inserts a new art. 2A (cases in which  monthly children’s supplements are not paid or are paid at a reduced rate).]  CANADA  Manitoba  ,4
° ” BULGARIA,,"An Act to amend the Fair Employment Practices Act (R.S., Ch. 84).  ",4
° ” BULGARIA,,"4 & 5 Eliz. II, Ch. 20. Dated 15 March 1956.  ",4
° ” BULGARIA,,"(Statutes of Manitoba, 1956, p. 71)  ",4
° ” BULGARIA,,{Amends s. 4 to prohibit discriminatory application forms. ]  ,4
° ” BULGARIA,,"An Act to prevent discrimination between the sexes in the payment of  wages for the doing of similar work. 4 & 5 Eliz. II, Ch. 18. The Equal  ",4
° ” BULGARIA,,Pay Act. Dated 23 April 1956.  ,4
° ” BULGARIA,,"(Ibid., p. 63)  FINLAND  ",4
° ” BULGARIA,,*An Act respecting the national pension system. Dated 8 June 1956.  ,4
° ” BULGARIA,,"(Finlands Férfattningssamling, 1956, No. 347)  ",4
° ” BULGARIA,,*An Act to prescribe that the pensions and assistance referred to in the  Act respecting the national pension system shall be modified in accordance  ,4
° ” BULGARIA,,with cost-of-living fluctuations. Dated 8 June 1956.  ,4
° ” BULGARIA,,"(Ibid., No. 348)  ",4
° ” BULGARIA,,An Act to amend the Act [of 30 September 1950] respecting state  employees’ retirement pensions. Dated 15 June 1956.  ,4
° ” BULGARIA,,"(Ibid., No. 365)  ",4
° ” BULGARIA,,"{Amends s. 5 (1) of the Act, as amended by the Act of 30 December 1955;  fixes the pension: 66 per cent. of the basic salary, with an upper limit of  ",4
° ” BULGARIA,,"185,700 marks. ]  —5 —  FRANCE  ",4
° ” BULGARIA,,"An Order to co-ordinate the application of the Decree of 27 November  1952 [L.S. 1952—Fr. 3] and the Decree of 20 August 1946, respecting the  organisation of industrial medical services. Dated 29 October 1956.  ",5
° ” BULGARIA,,"(Journal Officiel, 10 November 1956, No. 262, p. 10769)  French Equatorial Africa  Gabun  ",5
° ” BULGARIA,,"Order No. 1846/IT/GA, to set up labour courts in the territory of Gabun.  ",5
° ” BULGARIA,,Dated 25 July 1956.  ,5
° ” BULGARIA,,"(Journal Officiel de V Afrique Equatoriale Frangaise, 1 September 1956,  ",5
° ” BULGARIA,,"No. 18, p. 1123)  ",5
° ” BULGARIA,,([Repeals and replaces Order No. 232/IT/GA of 4 February 1954.]  French Guiana  ,5
° ” BULGARIA,,"Order No. 430/1D/1B, to administer in Guiana the Act of 21 June 1936,  to introduce a 40-hour week [L.S. 1936—Fr. 8]. Dated 9 July 1956.  ",5
° ” BULGARIA,,"(Bulletin des Actes Administratifs de la Préfecture de la Guyane, 12 July  ",5
° ” BULGARIA,,"1956, No. 13, p. 104)  ",5
° ” BULGARIA,,[Repeals all contrary enactments. ]  GERMANY (DEMOCRATIC REPUBLIC)  ,5
° ” BULGARIA,,Regulations No. 4 under the Ordinance [of 25 October 1951: L.S. 19514—  Ger. D.R. 5] respecting the protection of labour: Study and prevention of  ,5
° ” BULGARIA,,pneumoconiosis. Dated 5 October 1956.  ,5
° ” BULGARIA,,"(Gesetzblatt, Part I, 27 October 1956, No. 92, p. 895)  GERMANY (FEDERAL REPUBLIC)  ",5
° ” BULGARIA,,Shop Closing Act. Dated 28 November 1956.  ,5
° ” BULGARIA,,"(Bundesgesetzblatt, Part I, 29 November 1956, No. 50, p. 875)  ",5
° ” BULGARIA,,"{Amends the second sentence of subsection (4) of s. 18 of the Protection  of Young Persons Act (of 30 April 1938: L.S. 1938—Ger. 5); repeals, inter alia,  ss. 22 and 23 and the second sentence of subsection (1) of s. 27 of the Ordinance  to make regulations respecting hours of work (of 30 April 1938: L.S. 1938—  Ger. 6), s. 44 (a) of the Industrial Code and the Ordinances of 21 December  1939 and 9 January 1942, respecting the closing of shops.]  ",5
° ” BULGARIA,,An Act respecting mineworkers’ bonuses. Dated 20 December 1956.  ,5
° ” BULGARIA,,"(Ibid., 24 December 1956, No. 52, p. 927)  INDIA  ",5
° ” BULGARIA,,"§.R.O. 2027, to further amend the Employees’ Provident Funds Scheme  1952 [L.S. 1952—Ind. 2B]. Dated 3 September 1956.  ",5
° ” BULGARIA,,"(Gazette of India, 8 September 1956, Part II, Section 3, p. 1533)  ",5
° ” BULGARIA,,[Amends paragraphs 1 and 2.]  ,5
° ” BULGARIA,,*An Act further to amend the Industrial Disputes Act 1947 [L.S. 1947—  Ind.1 ... 1953—Ind. 1]. No. 44 of 1956. Dated 4 September 1956.  ,5
° ” BULGARIA,,"(1bid., 4 September 1956, Part II, Section 1, Extraordinary, p. 839)  IRELAND  ",5
° ” BULGARIA,,Metalliferous Mines (General) Regulations 1956. Dated 27 October 1956.  ,5
° ” BULGARIA,,"(Statutory Instruments, 1956, No. 273)  ",5
° ” BULGARIA,,Quarries (General) Regulations 1956. Dated 27 October 1956.  ,5
° ” BULGARIA,,"(Ibid., No. 274)  — 6 —  ITALY  ",5
° ” BULGARIA,,"*Decree No. 648 of the President of the Republic, to amend Act No. 455  of 12 April 1943, respecting compulsory insurance against silicosis and  ",6
° ” BULGARIA,,asbestosis [L.S. 1943—It. 3]. Dated 20 March 1956.  ,6
° ” BULGARIA,,"(Gazzetta Ufficiale, 13 July 1956, No. 173, p. 2496)  NEW ZEALAND  ",6
° ” BULGARIA,,The Industrial Conciliation and Arbitration Regulations 1956. 1956/53.  ,6
° ” BULGARIA,,Dated 18 April 1956.  ,6
° ” BULGARIA,,(Printed separately)  ,6
° ” BULGARIA,,[Revoke the Industrial Conciliation and Arbitration Regulations 1927-52. ]  NORWAY  ,6
° ” BULGARIA,,"An Act to amend the Act of 16 July 1936, respecting old-age pensions  [L.S. 1936—Nor. 4 ... 1952—Nor. 1]. No. 3 of 31 May 1956.  ",6
° ” BULGARIA,,"(Norsk Lovtidend, 18 June 1956, No. 22, p. 412)  ",6
° ” BULGARIA,,"[Amends ss. 4 (minimum pension rate fixed at 1,860 crowns) and 31;  ",6
° ” BULGARIA,,repeals ss. 33 (1) and 34.]  ,6
° ” BULGARIA,,"An Act to amend the Act of 24 October 1946, respecting family allowances  ",6
° ” BULGARIA,,[L.S. 1946—Nor. 7]. No. 5 of 31 May 1956.  ,6
° ” BULGARIA,,"(Ibid., p. 414)  ",6
° ” BULGARIA,,[Amends the first paragraph of s. 2 (rate of allowance raised from 180  ,6
° ” BULGARIA,,to 300 crowns a year).]  ,6
° ” BULGARIA,,"An Act to amend the Act of 14 November 1947, respecting annual holi-  ",6
° ” BULGARIA,,days [L.S. 1947—Nor. 1]. No. 2 of 14 June 1956.  ,6
° ” BULGARIA,,"(1bid., 30 June 1956, No. 24, p. 453)  ",6
° ” BULGARIA,,[Amends s. 11 (employers may be authorised to pay reduced contribu-  tions to the Annual Holidays Fund in respect of the workers specified in s. 8  of the Act of 2 March 1956 respecting sickness insurance). ]  PAKISTAN  East Bengal  ,6
° ” BULGARIA,,The East Bengal Factories (Exemption) Rules 1956. Dated 6 March  ,6
° ” BULGARIA,,1956.  ,6
° ” BULGARIA,,"(East Pakistan Labour Journal, March 1956, p. 41)  PERU  ",6
° ” BULGARIA,,"*Presidential Decree No. 1 D.T., to establish arbitration rules for the  settlement of collective claims and industrial disputes. Dated 8 August 1956.  ",6
° ” BULGARIA,,"(El Peruano, 9 August 1956, No. 4617, p. 1)  ",6
° ” BULGARIA,,"Decree No. 7 D.T. of the Ministry of Labour and Indigenous Affairs,  to provide that days of absence from work due to accident or illness shall  be computed as working days for the purposes of annual leave. Dated  ",6
° ” BULGARIA,,18 August 1956.  ,6
° ” BULGARIA,,"(Ibid., 3 September 1956, No. 4636, p. 1)  ",6
° ” BULGARIA,,"Presidential Order No. 5 D.T., to require all persons employing 100  workers or more to send a copy of the rules of employment of their work-  places to the National Labour Directorate. Dated 20 September 1956.  ",6
° ” BULGARIA,,"(Ibid., 29 September 1956, No. 4658, p. 4)  —_—7—  POLAND  ",6
° ” BULGARIA,,An Order of the Minister of State Farms and the Minister of Agriculture  respecting occupational safety and health in connection with the operation  ,7
° ” BULGARIA,,of farm tractors. Dated 24 October 1956.  ,7
° ” BULGARIA,,"(Dztennik Ustaw, 21 November 1956, No. 51, Text 228)  ",7
° ” BULGARIA,,*An Act respecting workers’ councils. Dated 19 November 1956.  ,7
° ” BULGARIA,,"(Ibid., 24 November 1956, No. 53, Text 238)  RUMANIA  ",7
° ” BULGARIA,,"Decree No. 571, to award a state allowance to the children of wage  ",7
° ” BULGARIA,,earners and pensioners. Dated 3 November 1956.  ,7
° ” BULGARIA,,"(Buletinul Oficial, 5 November 1956, No. 28, p. 241)  SWEDEN  ",7
° ” BULGARIA,,"*An Order to amend the Order (Proclamation) of 6 May 1949 (No. 208)  [L.S. 1949—Swe. 4], to issue regulations under the Workers’ Protection Act  [L.S. 1949—Swe. 1] (Workers’ Protection Order). Dated 21 September 1956.  ",7
° ” BULGARIA,,"(Svensk Férfattningssamling, 1956, No. 476)  ",7
° ” BULGARIA,,"An Order respecting hours of work of ships’ crews, pilots and lighthouse  ",7
° ” BULGARIA,,keepers. Dated 16 November 1956.  ,7
° ” BULGARIA,,"(Ibid., No. 550)  SWITZERLAND  ",7
° ” BULGARIA,,"An Ordinance to administer the federal Act [of 23 September 1953],  respecting seagoing ships flying the Swiss flag (Maritime Navigation Ordin-  ",7
° ” BULGARIA,,ance). Dated 20 November 1956.  ,7
° ” BULGARIA,,"(Recueil des Lois Fédérales, 28 November 1956, No. 49, p. 1458)  ",7
° ” BULGARIA,,[Ch. IV (rules governing employment at sea); Schedule II] (provisions  ,7
° ” BULGARIA,respecting crew accommodation)],"A Decree to establish industrial medical services in commerce, industry  ",7
° ” BULGARIA,respecting crew accommodation)],and the liberal professions. Dated 25 October 1956.  ,7
° ” BULGARIA,respecting crew accommodation)],"(Journal Offictel Tunisien, 30 October 1956, No. 87, p. 1435)  UNION OF SOUTH AFRICA  ",7
° ” BULGARIA,respecting crew accommodation)],"Government Notice No. 1580: Regulations under the Workmen’s Com-  pensation Act 1941, as amended. Dated 31 August 1956.  ",7
° ” BULGARIA,respecting crew accommodation)],"(Government Gazette, 31 August 1956, No. 5733, p. 1)  ",7
° ” BULGARIA,respecting crew accommodation)],"[Repeal the Regulations of 14 July 1950, 26 October 1951 and 27 June  ",7
° ” BULGARIA,respecting crew accommodation)],1952.]  UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND  ,7
° ” BULGARIA,respecting crew accommodation)],"The Family Allowances, National Insurance and Industrial Injuries  ",7
° ” BULGARIA,respecting crew accommodation)],(Refugees) Order 1956. Dated 341 October 1956.  ,7
° ” BULGARIA,respecting crew accommodation)],"(Statutory Instruments, 1956, No. 1698)  ",7
° ” BULGARIA,respecting crew accommodation)],"[Gives effect in England, Wales and Scotland to certain provisions of the  Convention relating to the Status of Refugees made between governments  at Geneva on 28 July 1951 in so far as these provisions provide for reciprocity  in relation to the Family Allowances Acts 1945-56 (L.S. 1945—-U.K. 3), the  National Insurance Acts 1946-56 (L.S. 1946—U.K. 3, 1951—U.K. 3) and the  National Insurance (Industrial Injuries) Acts 1946-56 (L.S. 1946—U.K. 2,  ",7
° ” BULGARIA,respecting crew accommodation)],1948—U.K. 2).]  —g—  Leeward Islands  Antigua  ,7
