country,region,text,page
RU 2,,"Aus. 2 (arts. 2-7: salarios); Nig. 1 (arts. 66, 87); Pol. 1A (arts.  ",48
RU 2,,"217, 218, 228); Pol. 3 (Anexo).  Bienestar en la empresa: Argl. 1 B; Nig. 1 (arts. 65, 66); Pol. 1A  ",48
RU 2,,"(arts. 94, 95, 222).  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Pol. 1 A (arts. 223-226, 237).  Inspecci6én del trabajo: Arg. 3 (arts. 2, 13); Argl. 1 E (art. 27);  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Fil. 1 A (arts. 160-163); R.U. 2 (arts. 19-28, 33, 39).  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),Medio ambiente: R.U. 2 (art. 5); Yug. 1 (art. 87).  Servicios médicos: Arg. 2 (art. 80); Bul. 1; Cam. 1 (arts. 105-110);  ,48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Dah. 2 (art. 47); Fil. 1 A (arts. 154-159); Nig. 1 (arts. 8, 10, 16,  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"27, 39. 32, 38, 66); Pol. 1 A (arts. 216, 219); Pol. 5; R.U. 2 farts.  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"55, 56).  Trabajos peligrosos: Arg. 2 (arts. 71, 217); Pol. 1A (arts. 129, 130:  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"duracién del trabajo; 215, 220-231). Pol. 5 (art. 9).  V. también Aprendices; Mineros; ‘Readaptacién profesional; Seguridad social:  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),indemnizaci6én por accidentes del trabajo y enfermedades profesionales;  ,48
RU 2,Dispositivos de seguridad RU 2 (art 6),Trabajadores adolescentes; Trabajadores agricolas; Trabajo de las muje-  ,48
RU 2,Dispositivos de seguridad RU 2 (art 6),res; Trabajo de los ninos.  Seguridad social: Esp. 2; Pol. 1A (arts. 271-280: tribunales del trabajo);  ,48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Pol. 6; Yug. 1 (arts. 53, 163).  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Asegurados facultativos: Per. 2 (arts. 4, 70-77).  Cotizaciones: Arg. 3 A (arts. 8-25, 55, 61); Esp. 2 (arts. 12-19, 57-59,  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"63-82, 181, 185); Fil. 1 A (arts. 181, 182, 194).  Indemizacién por accidentes del trabajo y enfermedades profesionales:  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Esp. 2 (arts. 83-97, 126-131, 202-208, 213-215); Fil. 1 A (art. 164);  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Pol. 3.  Pensién de invalidez: Al1.(R.F.) 2; Arg. 3 (arts. 26, 33-37, 44, 46,  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"52-54, 65); Esp. 2 (arts. 92, 132-145, 211, 212); Per. 2 larts. 6-37,  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"82-91}; Pol. 6 (arts. 1-4, 19-23, 42-44, 46-59).  Pensién de jubilaci6n y vejez: Al.(R.F.) 2; Arg. 3; Dah. 2 (arts. 56, 57);  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"Esp. 2 (arts. 92, 153-156, 212); Fil. 1 A (art. 277); Per. 2 (arts. 1l-  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"23, 38-49, 78-91).  - 10 ~  Prestaciones familiares: Dah, 2 (art. 48); Esp. 2 (arts. 167-171, 211).  Seguro de enfermedad y prestaciones médicas: Aus. 2 (art. 4); Dah. 2  ",48
RU 2,Dispositivos de seguridad RU 2 (art 6),"(art. 49); Esp. 2 (arts. 98-131, 208, 209); Fil. 1 A (art. 207);  ",49
RU 2,Dispositivos de seguridad RU 2 (art 6),"Pol. 6 (arts. 1-18, 42-44, 46-59).  ",49
RU 2,Dispositivos de seguridad RU 2 (art 6),"Servicios sociales: Esp. 2 (arts. 36, 37).  Supsiate de desempleo: Al.(R.F.) 1 (arts. 5, 6, 9); Esp. 2 (arts. 172-180,  ",49
RU 2,Dispositivos de seguridad RU 2 (art 6),"211); P.B. 1.  Subsidio de maternidad: Pol. 6 (arts. 1-4, 24-34, 42-48, 50-55, 57-59).  Subsidio de sobrevivientes: Al.(R.F.) 2; Arg. 3 larts. 26, 38-42, 44,  ",49
RU 2,Dispositivos de seguridad RU 2 (art 6),"51-54); Esp. 2 (arts. 92, 157-166, 212); Fil. 1A (arts. 192, 193);  ",49
