country,region,text,page,full_date,year
ARGENTINE REPUBLIC,,"Mar. 15 Act no. 12,154, to amend Act no. 10,650 [of 30th April, 1919] respecting superannuation allowances and pensions for railway employees. (B.O. no. 12,237, Pp. 1083) ",1,Mar. 15,0
ARGENTINE REPUBLIC,,"Mar. 26 Act no. 12,161, respecting the regulations governing the working of petroleum and liquid hydrocarbon deposits [adds a new Part XVII (§§ 373—408) to the Mining Code: § 394(c), concession-holder must ensure employees against industrial accidents}. (B.O. no. 12,238, p. 1) ",1,Mar. 26,0
ARGENTINE REPUBLIC,,"May 21 Decree no. 61,136, to amend section 110 of the regulations for passenger vessels fone life jacket must be carried for each passenger and member of the crew]. (B.O. no. 12,402, p. 1380) ",1,May 21,0
ARGENTINE REPUBLIC,,"June 11 Decree no. 61,907, to issue regulations for the national territories under Act no. 4661 fof 31st August, 1905, respecting Sunday rest]!, Act no. 9105 [of rath August, 1913 (application of Act no. 4661 to the national holidays of 25th May and oth July)] and Act no. 11,640 [of 7th October, 1932, respecting Saturday afternoon rest]?. (B.O. no. 12,329, p. 1133) ",1,June 11,0
ARGENTINE REPUBLIC,,"June 11 Decree no. 61,908, to amend Decree no, 16,117 [of 16th January, 19331] to issue reguiations under Act no. 4661 [of 31st August, 1905, respecting Sun- day rest]!, Act no. g105 [of 12th August, 1913 (application of Act no. 4661 to the national holidays of 25th May and goth July)] and Act no. 11,640 [of 7th October, 1932, respecting Saturday afternoon rest]*. (B.O. no. 13,205, p. 1) . ",1,June 11,0
ARGENTINE REPUBLIC,,"June 14 Decree no. 62,038, to amend section 9 of the Order of 8th January, 1906, respecting the inspection of the hulls aud equipment of boats in the mer- cantilc marine [fines for contravention of § 8]. (B.O. no. 12,403, p. 1426) ",1,June 14,0
ARGENTINE REPUBLIC,,"June 21 Decree no. 62,393, to amend the Decree issuing regulations for theatres and cinematographic establishments under Act no. 4661 [of 31st August, 1905, respecting Sunday rest]+, Act no. 11,640 [of 7th October, 1932, respecting Saturday afternoon rest]?, and Act no. 11,544 [of 12th September, 1929. respecting hours of work]® [repeals Decree no. 51,459 of 13th November, 1934] (B.O. no. 12,316, p. 561) ",1,June 21,0
ARGENTINE REPUBLIC,,"June 22 Acts nos. 12,165 and 12,166, to approve the adhesion of the Argentine Gov- ernment to the International Conventions respecting load lines and respect- ing the safety of life at sea signed in London on 5th July, 1930, and 31st May, 1929 respectively. (B.O. no. 12,400, pp. 1255—6) ",1,June 22,0
ARGENTINE REPUBLIC,,"Aug. 3. Decree no. 64,657, to approve the general measurement regulations for the mercantile marine. (B.O. no. 12,373, p. 819) ",1,Aug. 3,0
ARGENTINE REPUBLIC,,"Aug. 10 Decree no. 65,240, under Act no. 11,544 [of 12th September, 1929, respecting the eight-hour day]? to issue special regulations for railway services under national jurisdiction. (B.O. no. 12,347, p. 748) ",1,Aug. 10,0
ARGENTINE REPUBLIC,,"Aug. 12 Act no. 12,186, to authorise the Government to adhere to the Berne Con- vention of 26th September, 1906, concerning the prohibition of white phos- phorus in the match industry. (B.O. no. 12,364, p. 369) ",1,Aug. 12,0
ARGENTINE REPUBLIC,,"Sept. 13 Decree no. 66,947, to amend [§§ 34, 35 and 36 of] the regulations for the shipwreck and fire service on board vessels registered in the Argentine Republic. (B.O. 1936, no. 12,465, Pp. 481) ",1,Sept. 13,0
ARGENTINE REPUBLIC,,B.O. = Boletin Oficial. ,1,,0
ARGENTINE REPUBLIC,,"1 LS. 1926 (Arg. 2, appendix). —? L.S. 1932 (Arg. 2). — 3 L.S. 1929 (Arg. 1, A). ",1,,0
ARGENTINE REPUBLIC,,(1587) — 3 — ,2,,0
