country,region,text,page,full_date,year
ARGENTINE REPUBLIC,Santa Fe,"Nov. 20 Decree no. 173, to issue provincial regulations under Act no. 11,544 [of 12th September, 1929, respecting the eight hour day?]. (Boletin Mensual del Departamento Provincial del Trabajo, no. 5, p. 136) ",1,Nov. 20,0
AUSTRALIA,,"Jan. 25 Amendment of Form 47 in the Regulations under the Invalid and Old-age Pensions Act 1908—1933!5. (C.S.R. no. 12, p. 338) ",1,Jan. 25,0
AUSTRALIA,,"Mar. x Amendment of Regulations 9 and 10 of the Navigation (Manning and Accommodation) Regulations [amends tables]. (C.S.R. no. 31, p. 331) ",1,,0
AUSTRALIA,,"Mar. 7 Amendment of the Waterside Workers Regulations under the Transport Workers Act 1928—1929)®. (C.S.R. no. 29, p. 332) ",1,Mar. 7,0
AUSTRALIA,,"May 16 Amendment of the Regulations under the Invalid and Old-age Pensions Act 1908—19331° [supersedes Form 23 (income and property statement)]. (C.S.R. no. 59, p- 338) ",1,May 16,0
AUSTRALIA,,"July 4 Amendment of Regulation 14 of the Regulations under the Commonwealth Employees’ Compensation Act 19301’. (C.S.R. no. 79, p. 416) ",1,July 4,0
AUSTRALIA,,"Aug. I Act no. 16, to provide relief to taxpayers; to amend laws relating to financial emergency; to provide financial relief for certain primary producers; and for other purposes [Part III, maternity allowances]. Financial Relief Act 1934. ",1,Aug. I,0
AUSTRALIA,,"Aug. 4 Act no. 39, to grant and apply out of the Consolidated Revenue Fund a sum for invalid and old-age pensions. ",1,Aug. 4,0
AUSTRALIA,,"Aug. 6 Act no. 45, to revise the Statute Law of the Commonwealth..... [unter alia, amends the Commonwealth Conciliation and Arbitration Acts 1904—1930}8, and the Pacific Island Labourers Act 1g9g01—1906]. Extract: Austral. 15 (note) ",1,Aug. 6,0
AUSTRALIA,,"Sept. 3 Amendment of Form 47 in the Regulations under the Invalid and Old-age Pensions Act 1908—1933)5. (C.S.R. no. 112, p. 341) ",1,Sept. 3,0
AUSTRALIA,,"Sept. 20 Amendment of Regulation 16 of the Navigation (Deck Cargo and Live Stock) Regulations [carriage of cargo on deck and on the hatches of small vessels]. (C.S.R. no. 119, Pp. 325) ",1,Sept. 20,0
AUSTRALIA,,"Oct. 8 Amendment of Forms A and B (claims) in the Regulations under the Maternity Allowance Act 1912—1934. (C.S.R. no. 126, p. 352) _ ",1,Oct. 8,0
AUSTRALIA,,"Nov. 7. Amendment of the Regulations under the Invalid and Old-age Pensions Act 1908193315. (C.S.R. no. 142, p. 341) ",1,Nov. 7,0
AUSTRALIA,,"Nov. 14 Amendment of the Waterside Workers Regulations under the Transport Workers Act 1928—1929!® [new § 9 A, fees to be paid to members of com- mittee]. (C.S.R. no. 146, p. 335) ",1,Nov. 14,0
AUSTRALIA,,"Dec. 5 Amendment of the Navigation (Examination of Masters and Mates) Regula- tions. (C.S.R. no. 151, p. 326) ",1,Dec. 5,0
AUSTRALIA,,"Dec. 5 Act no. 49, to give effect to certain International Conventions, to amend the provisions of the Navigation Act, 1912—1926, relating to matters dealt with by those Conventions, and to repeal section eight and amend section four hundred and nineteen of the said Act. Navigation (Maritime Conventions) Act 1934. Extracts: Austral. 10 ",1,Dec. 5,0
AUSTRALIA,,"Dec. 12 Proclamation to fix 24th December, 1934, as the date upon which the Naviga- tion (Maritime Conventions) Act 1934 shall commence. (Commonwealth of Australia Gazette, no. 84, p. 2557) ",1,Dec. 12,0
AUSTRALIA,,"Dec? 15 Amendment of the Navigation (Life-saving and Fire Appliances) Regulations new § 102 C, emergency wireless apparatus]. (C.S.R. no. 153, p. 330) ",1,,0
AUSTRALIA,,C.S.R. = Commonwealth Statutory Rules. ,1,,0
AUSTRALIA,,15 LS. 1923 (Austral. 7); 1928 (Austral. 4); 1931 (Austral. 14); 1932 (Austral. 4 and 10); 1933 (Austral. 8). — 16 L.S. 1928 (Austral. 7) ; 1929 (Austral. 4). — 1’ L.S. 1930 (Austral. 5). 18 L.S. 1928 (Austral. 2); 1930 (Austral. 11); see also Act no. 54 of Dec. 17 below. ,1,,0
AUSTRALIA,,(1757) —_— 7 — ,2,,0
AUSTRALIA,,"Dec. 17. Act no. 54, to amend sections forty-four and fifty A of the Commonwealth Conciliation and Arbitration Act 1904—1930!8, as amended by the Statute Law Revision Act 1934, and to amend the First Schedule to the Statute Law Revision Act 1934. Text: Austral. 15 ",2,Dec. 17,0
AUSTRALIA,,"Dec. 20 Conciliation and Arbitration (Inspectors) Regulations. (C.S.R. no. 156, p. 2) STATES ",2,Dec. 20,0
AUSTRALIA,New South Wales,"Feb. 2 Regulation under the Mines Rescue Act, 1925!*: rate of owners’ contributions. (N.G.G. p. 644) ",2,Feb. 2,0
AUSTRALIA,New South Wales,"June 6 Proclamation to notify that the provisions of section 8 of the Industrial Arbitration (Eight Hours) Amendment Act, 19302, as amended by the Industrial Arbitration (Eight Hours) Further Amendment Act, 19302}, and the Industrial Arbitration (Eight Hours) Amendment Act, 19322*, shall remain in force for a further period of twelve months from 16th June, 1934. (N.G.G. p. 2182; N.I.G. vol. XLV, p. 1157) ",2,June 6,0
AUSTRALIA,New South Wales,"June 12 Proclamation to extend the operation of Part II of the Prevention and Relief of Unemployment Acts, 1930—1932, as amended by subsequent Acts, for a further period of four months after 30th June, 1934. (N.G.G. p. 2271; N.L.G. vol. XLV, p. 1157) ",2,June 12,0
AUSTRALIA,New South Wales,"June 29 Act no. 4, to constitute a Homes for Unemployed Trust, and to define its purposes, authorities, duties and functions; and for purposes connected therewith. Housing of the Unemployed Act, 1934. ",2,June 29,0
AUSTRALIA,New South Wales,"June 29 Act no. 5, to appropriate and apply out of the Consolidated Revenue Fund of New South Wales certain sums for the housing of unemployed persons to be paid and applied in accordance with and subject to the provisions of the Housing of the Unemployed Act, 1934. Housing of the Unemployed (Grant) Act, 1934. ",2,June 29,0
AUSTRALIA,New South Wales,"June 29 Amendments of the Regulations under the Special Income and Wages Tax (Management) Act, 1933. (N.G.G. pp. 2387—8; N.{.G. vol. XLV, pp. 1152—1154) ",2,June 29,0
AUSTRALIA,New South Wales,"Sept. 14 Amendment of Form 3 [medical certificate] in the Rules under the Workers’ Compensation Act, 1926—-192928, (N.G.G. p. 3707; N.L.G. vol. XLVI, P. 714) ",2,Sept. 14,0
AUSTRALIA,New South Wales,"Nov. x Act no. 17, to amend the Special Income and Wages Tax (Management) Act, 1933, in certain respects; and for purposes connected therewith. ",2,,0
AUSTRALIA,New South Wales,"Nov. 1 Act no. 18, to impose a special income tax on net assessable incomes; to impose a wages tax On income from wages; and for purposes connected therewith. Special Income and Wages Tax Act, 1934. ",2,Nov. 1,0
AUSTRALIA,New South Wales,"Nov. 9 Act no. 25, to extend the operation of Part II of the Prevention and Relief of Unemployment Acts, 1930—1932, as amended by subsequent Acts. ",2,Nov. 9,0
AUSTRALIA,New South Wales,"Nov. 26 Act no. 40, to consolidate the law relating to early closing of shops and to regulate the hours of employment in shops. Early Closing Act, 1934. Extracts: Austral. 9 ",2,Nov. 26,0
AUSTRALIA,New South Wales,"Dec. 28 Act no. 54, to amend the Income Tax (Management) Act, 1928, and certain other Acts in certain respects; to validate certain matters, and for other purposes connected therewith. ",2,Dec. 28,0
AUSTRALIA,New South Wales,"Dec. 28 Act no.55, to provide for compensation for certain persons under the Workmen's Compensation (Broken Hill) Act, rg20~~192974; to amend that Act in certain ",2,Dec. 28,0
