country,region,text,page,full_date,year
AUSTRIA,,"Jan. 5 Order to issue regulations for social insurance carriers with respect to property rights. (B.G.Bl. I, no. 11; A.N. p. 60) ",1,Jan. 5,0
AUSTRIA,,"Jan. 23 Order respecting the employment of workers in connection with public works and supplies to public authorities. (B.G.Bl. I, no. 45; A.N. p. 19) ",1,Jan. 23,0
AUSTRIA,,"Jan. 29 Order to exempt certain classes of employees [higher grade employees of Federal theatre] from the provisions of section I of the Order of 21st December, 1933 {respecting employees’ representative bodies in Federal establishments]. (B.G.Bl. I, no. 57) ",1,Jan. 29,0
AUSTRIA,,"Jan. 29 Order to restrict the classes of employees to whom the provisions of the Act of 19th December, 1925°8, respecting the temporary restriction of the em- ployment of alien wage-earning and salaried employees (Protection of National Workers Act) do not apply [repeals § II (1) (c) of the Order of 18th March, 1926]. (B.G.BIl. I, no. 172; A.N. p. 75) ",1,Jan. 29,0
AUSTRIA,,"Feb. 6 Order respecting the installation and operation of lifts and hoists in industrial establishinents. (B.G.Bl. I, no. 107; A.N. p. 79) ",1,Feb. 6,0
AUSTRIA,,"Feb. 9 Order respecting the term of office of the works councils in establishments of social insurance carriers [prolongation until a date to be fixed by the Minister of Social Administration]. (B.G.Bl. I, no. 84; A.N. p. 8) ",1,Feb. 9,0
AUSTRIA,,"Feb. 13 Order to supplement the Exceptions Order®® under the Eight-hour Day Act*®, (B.G.BIL. I, no. 93; A.N. p. 19) Text: Aus. 1 (A) ",1,Feb. 13,0
AUSTRIA,,"Feb. 16 Order respecting the maintenance of collective contracts. (B.G.BI. I, no. 94; A.N. p. 20) Text: Aus. 2 ",1,Feb. 16,0
AUSTRIA,,"Feb. 16 Order respecting the appointment of the assessors to the arbitration board of the disablement compensation boards. (B.G.Bl. I, no. 95; A.N. p. 2) ",1,Feb. 16,0
AUSTRIA,,"Feb.'16 Order respecting the appointment of administrative committees to the district industrial boards. (B.G.Bl. I, no. 96; A.N. p. 17) ",1,,0
AUSTRIA,,"Feb. 16 Order respecting the term of office of the administrative bodies of the social insurance carriers. (B.G.Bl. I, no. 97; A.N. p. 8) ",1,Feb. 16,0
AUSTRIA,,"Feb. 19 Order respecting exceptions to the Eight-hour Day Act for credit institutions and banking businesses. (B.G.Bl. I, no. 109; A.N. p. 77) Text: Aus. 1 (B) ",1,Feb. 19,0
AUSTRIA,,"Feb. 23 Order respecting extraordinary measures in connection with the works council systeni and respecting the appointment of assessors to industrial courts and conciliation boards. (B.G.Bl. I, no. 112; A.N. p. 78) Extract: Aus. 13 ",1,Feb. 23,0
AUSTRIA,,"Feb. 23 Order respecting the service regulations of employees of chambers of wage- rning and salaried employees. (B.G.Bi. I, no. 113; A.N. p. 75) ",1,Feb. 23,0
AUSTRIA,,"Feb. 23 Order to amend the Order of roth April, 1933, respecting measures to reduce the administrative expenses of the social insurance carriers and federations thereof in respect of staff. (B.G.BI. [, no. 114; A.N. p. 61) ",1,Feb. 23,0
AUSTRIA,,"Feb. 23 Order respecting the maintenance of collective contracts with employees in agriculture and forestry. (B.G.BIl. I, no. 117; A.N. p. 77) ",1,Feb. 23,0
AUSTRIA,,"Feb. 23 Order to amend the Order of 19th September, 1933 {respecting extraordinary measures in the coal mines of the “ Osterreichische Alpine Montangesell- schaft’’ and the ‘‘ Graz-K6flache Eisenbahn- und Bergbau-Gesellschaft ”’; inter alia, wages for overtime]. (B.G.Bl. I, no. 122; A.N. p. 117) ",1,Feb. 23,0
AUSTRIA,,"Feb. 23 Order to amend section 206 of the General Mining Act of 23rd May, 1854, as amended by the Act of 17th May, ro1z2, and the Order of 1st August, 1933 payment of wages]. (B.G.Bl. I, no. 125; A.N. p. 77) ",1,Feb. 23,0
AUSTRIA,,"Feb. 24 Order respecting the mandates, in bodies set up under the Industrial Code, which are exercised by persons belonging to the former Austrian Social- Democratic Party. (B.G.Bl. I, no. 126) ",1,Feb. 24,0
AUSTRIA,,"Feb. 28 Order for the administration of section 2 of the Order of 23rd February, 1934, respecting the maintenance of collective contracts with employees in agriculture and forestry. (B.G.Bl. I, no. 129; A.N. p. 78) ",1,Feb. 28,0
AUSTRIA,,B.G.Bt. = Bundesgesetzblatt. ,1,,0
AUSTRIA,,A.N. = Amtliche Nachrichten des Bundesministerrums fiir Soztale Verwaltung. ,1,,0
AUSTRIA,,"3% LS. 1925 (Aus. 2). — 99 L.S. r920 (Aus. 12-15, p. 4); 1920 (Aus. 21); 1924 (Aus. 3); 1925 (Aus. 1); 1927 (Aus. 3); 1928 (Aus. 2); 1929 (Indexes, p. 18, Mar. 19}; 1931 (Aus. 2); 1932 (Aus. 2); 1933 (Aus. 5, B). — #° L.S. 1920 (Aus. 12—15, p. 1); 1933 (Aus. 5, A). 14 — (1764) ",1,,0
AUSTRIA,,"Mar. 2. Order respecting the establishment of the General Federation of Trade Unions of Austrian Wage-earning and Salaried Employees. (B.G.Bl. I, no. 132; A.N. p. 87) Text: Aus. 3 ",2,Mar. 2,0
AUSTRIA,,"Mar. 2 Order respecting the removal of certain persons from offices in the social insurance carriers and federations thereof. (B.G.Bl. I, no. 142; A.N. p. 62) ",2,Mar. 2,0
