country,region,text,page,full_date,year
ALGERIA,,"7/V/1983 Decree No. 83-313, to lay down conditions for the assignment of workers employed in services of the State, local authorities, public establishments and socialist institutions to work in the Party, mass organisations, cultural and occupational unions and elected assemblies. (Journal Officiel, 10 May) Repeals Decree No. 79-104 of 23 June 1979.] ",1,7/V/1983,1983
ALGERIA,,"2/VI1/1983 *Act No. 83-11, respecting social insurance. (ibid., 15 July) Ch. I: Sickness insurance; Ch. II: Maternity insurance; Ch. III: Disability insurance; Ch. IV: Insurance payable upon death. Commencement: | Jan. 1984.] ",1,2/VI1/1983,1983
ALGERIA,,"2/VII/1983 *Act No. 83-12, respecting retirement pensions (ibid.) Commencement: | Jan. 1984.] ",1,2/VII/1983,1983
ALGERIA,,"2/VI1I/1983 Act No. 83-13, respecting employment accidents and occupational diseases. (ibid.) (Commencement: | Jan. 1984.} ",1,2/VI1I/1983,1983
ALGERIA,,"2/VI1/1983 Act No. 83-14, respecting the obligations of persons subject to social security. (ibid.) (Commencement: | Jan. 1984. Title VI: Penalties relating to employment accidents and occupational diseases. ] ",1,2/VI1/1983,1983
ALGERIA,,"2/VII/1983 Act No. 83-15, respecting disputes relating to social security. (ibid.) (Commencement: | Jan. 1984. Title V: Compensation in the event of a fault of the employer or of a third party.} ",1,2/VII/1983,1983
ARGENTINA,,"24/V/1983 Act No. 22816, to amend the penalties provided for in Act No. 20337 respecting co- operative societies [LS 1973—Arg. 1.]. (Boletin Oficial, 27 May) ",1,24/V/1983,1983
ARGENTINA,,"3/V1/1983 Decree No. 1419, to approve the regulations made under Act No. 22804 to institute a complementary retirement pension and pension scheme for the teaching profession and for teaching staff under the Ministry of Education. (ibid., 9 July) ",1,3/V1/1983,1983
AUSTRALIA,,19/V1/1983 An Act to amend the Conciliation and Arbitration Act 1904 [LS 1956—Aust. 1 (consolidation) ... 1972—Aust. 1]. No. 33. Conciliation and Arbitration Amendment Act 1983. ,1,19/V1/1983,1983
AUSTRALIA,,19/V1I/1983 An Act to provide for the creation of additional employment throughout Australia. No. 34. Community Employment Act 1983. ,1,19/V1I/1983,1983
AUSTRALIA,New South Wales,"21/1V/1983 An Act to amend the Employment Protection Act 1982, with respect to the powers and duties of the Industrial Commission of New South Wales under the Act, and for other purposes. No. 19. Employment Protection (Amendment) Act 1983. ",1,21/1V/1983,1983
