country,region,text,page,full_date,year
Cz 1 A)],,"16 November 1956. (Lovtidende A, 1956, No. XX XIII, p. 719) Consolidated text of the Social Insurance Act of 15 April 1948 (L.S. ",12,,0
Cz 1 A)],,1948—Den.2 ... 1950—Den. 1).] FINLAND Ordinance respecting the coming into operation of the Convention con- ,12,,0
Cz 1 A)],,"cerning the medical examination of seafarers, adopted by the International ",12,,0
Cz 1 A)],,"Labour Conference in 1946. Dated 4 May 1956. (Finlands Férfattningssamling, 1956, No. 275) An Act to amend the Act respecting family allowances [of 30 April 1943: ",12,,0
Cz 1 A)],,"L.S. 19483—Fin. 2 A]. Dated 9 November 1956. (Ibid., No. 548) An Act to amend the National Pensions Act [of 8 June 1956]. Dated ",12,,0
Cz 1 A)],,"15 December 1956. (Ibid., No. 606) FRANCE Decree No. 56-1279, to consolidate the legislation respecting social ",12,,0
Cz 1 A)],,"security. Dated 10 December 1956. (Journal Officiel, 18 December 1956, No. 294, p. 12140; erratum: ibid., ",12,,0
Cz 1 A)],,"6 January 1957, No. 5, p. 373) Decree No. 56-1277, to amend Decree No. 46-2769 of 27 November 1946, ",12,,0
Cz 1 A)],,respecting the organisation of social security in the mining industry [L.S. ,12,,0
Cz 1 A)],,"1946—Fr. 14]. Dated 15 December 1956. (Ibid., 16 December 1956, No. 293, p. 12109) Decree No. 56-1278, to extend Decree No. 55-568 of 20 May 1955 to ",12,,0
Cz 1 A)],,the system of social security in the mining industry. Dated 15 December ,12,,0
Cz 1 A)],,"1956. (Ibid., p. 12110) . Amends Decree No. 46-2769 of 27 November 1946 (L.S. 1946—Fr. 14}.} Algeria Decree No. 56-1016, to make applicable in Algeria Act No. 54-912 of ",12,,0
Cz 1 A)],,"15 September 1954, to define industrial accidents in agriculture (containing ",12,,0
Cz 1 A)],,"the text of Act No. 54-912 of 15 September 1954). Dated 5 October 1956. (Journal Officiel de l Algérie, 23 October 1956, No. 86, p. 1850) French Cameroons Order No. 6675, to prohibit the use of white lead, lead sulphate and all ",12,,0
Cz 1 A)],,products containing such pigments in painting work in the building trades. ,12,,0
Cz 1 A)],,"Dated 5 October 1956. (Journal Officiel du Cameroun Frangais, 17 October 1956, No. 1145, ",12,,0
Cz 1 A)],,"p. 1804) Order No. 6676, to regulate the use in painting of white lead and lead ",12,,0
Cz 1 A)],,"compounds in cases where such use is still permitted. Dated 5 October 1956. (Ibid.} French Equatorial Africa Gabun Order No. 2073/IT/GA, to establish a family benefits scheme for wage rners in the Gabun. Dated 22 August 1956. (Journal Officiel de V Afrique Equatoriale Frangaise, 12 October 1956, ",12,,0
Cz 1 A)],,"No. 24, p. 1283) (Under art. 237 of Act No. 52-1322 of 15 December 1952 (L.S. 1952— ",13,,0
Cz 1 A)],,"Fr. 5), to establish a Labour Code for Overseas France.] French Establishments in Oceania Order No. 1335/it, to establish a family benefits scheme for wage earners ",13,,0
Cz 1 A)],,"in the French Establishments in Oceania. Dated 28 September 1956. (Journal Officiel des Etablissements Frangais de l’Océanie, 25 October 1956, ",13,,0
Cz 1 A)],,"No. 25, p. 515) French West Africa Order No. 10844/IGTLS/AOF, to establish a paid annual leave scheme. ",13,,0
Cz 1 A)],,"Dated 17 December 1956. (Journal Officiel de l’ Afrique Occidentale Frangaise, 29 December 1956, ",13,,0
Cz 1 A)],,"No. 2863, p. 2569) GERMANY (FEDERAL REPUBLIC) An Act to amend and supplement the Act respecting employment exchanges ",13,,0
Cz 1 A)],,and unemployment insurance [of 12 October 1929: L.S. 1929—Ger. 5]. Dated ,13,,0
Cz 1 A)],,"23 December 1956. (Bundesgesetzblatt, Part I, 29 December 1956, No. 54, p. 1018) Provides for the publication of a consolidated text; amends and supple- ",13,,0
Cz 1 A)],,"ments, inter alia, the Federal Insurance Code (L.S. 1924—-Ger. 10) (ss. 537 (a), ",13,,0
Cz 1 A)],,"543 (a), 563, 564, 626, 892, 896); repeals 65 texts and provisions, including: ",13,,0
Cz 1 A)],,the Act of 5 November 1935 (L.S. 1935—Ger. 11 A) respecting employment ,13,,0
Cz 1 A)],,"exchanges, vocational guidance and the placing of apprentices; the Act of ",13,,0
Cz 1 A)],,"15 May 1934 (L.S. 1934—Ger. 7) to regulate the allocation of employment, ",13,,0
Cz 1 A)],,as amended by the Act of 26 February 1935 (L.S. 1935—Ger. 12) to provide ,13,,0
Cz 1 A)],,for the satisfaction of the needs of agriculture in respect of labour; the Act ,13,,0
Cz 1 A)],,of 26 February 1935 (L.S. 1935—Ger. 6) respecting the introduction of work ,13,,0
Cz 1 A)],,"books; the Order of 13 February 1939 (L.S. 1939—Ger.1), to ensure the ",13,,0
Cz 1 A)],,labour supply for work of special national importance; s. 24 of the Act of ,13,,0
Cz 1 A)],,10 August 1951 (L.S. 1951—Ger. F.R. 4) to provide protection against un- ,13,,0
Cz 1 A)],,"warranted dismissal; s. 11 (2), third sentence, of the Act of 24 January 1952 ",13,,0
Cz 1 A)],,(L.S. 1952—Ger. F.R. 2) for the protection of working mothers; ss. 1-3 of the ,13,,0
Cz 1 A)],,Act of 24 August 1953 to amend and supplement the provisions respecting ,13,,0
Cz 1 A)],,unemployment insurance and unemployment assistance; s. 222 of the Act of ,13,,0
Cz 1 A)],,3 September 1953 (L.S. 1953—Ger. F.R. 2) respecting labour courts; and the ,13,,0
Cz 1 A)],,Act of 16 April 1956 to amend and supplement the Act respecting employ- ,13,,0
Cz 1 A)],ment exchanges and unemployment insurance ],"Peasants’ Government, respecting the functions of workers’ councils. Dated ",13,,0
Cz 1 A)],ment exchanges and unemployment insurance ],"16 November 1956. (Magyar Kézlény, 20 November 1956, No. 94, p. 572) Legislative Ordinance No. 25/1956 of the Praesidium of the People’s ",13,,0
Cz 1 A)],ment exchanges and unemployment insurance ],"Republic, respecting the workers’ councils. Dated 24 November 1956. (Ibid., 24 November 1956, No. 95, p. 575) Ordinance No. 12/1956 of the Hungarian Revolutionary Workers’ and ",13,,0
Cz 1 A)],ment exchanges and unemployment insurance ],"Peasants’ Government, respecting public holidays. Dated 19 December 1956. (Ibid., 19 December 1956, No. 104, p. 602) IRAQ Social Security Law. No. 27 of 1956. Dated 17 May 1956. (Al-Wagayi Al-Iragiya, 2 June 1956, No. 3799) 6 — ITALY Act No. 706, to amend Act No. 25 of 19 January 1955 [to lay down ",13,,0
Cz 1 A)],ment exchanges and unemployment insurance ],"rules respecting apprenticeship: L.S. 1955—It.41]. Dated 8 July 1956. (Gazzetta Ufficiale, 23 July 1956, No. 182, p. 2667) Act No. 1453: Rules to apply s. 8 of Act No. 64 of 20 February 1950, ",14,,0
Cz 1 A)],ment exchanges and unemployment insurance ],to amend the provisions relating to compulsory insurance against occupa- ,14,,0
