country,region,text,page,full_date,year
ALGERIA,,"1/IX Decree No. 87-203 of 1 September 1987 setting forth the conditions applicable to the duration and maintenance of an employment relationship in certain construction and public works activities. (ibid., 2 Sep.) (The Decree lays down the period, not to exceed 18 months (which is renewable once), for a fixed-term employment relationship in the activities listed in an attached appendix.] ",1,,0
ALGERIA,,"8/IX Decree No. 87-209 of 8 November 1987 setting forth how training and advanced training abroad is to be planned and managed. (ibid., 9 Sep.) (The Decree calls for the establishment of a council responsible for ensuring the co-ordination and supervision of training and advanced training programmes abroad. It defines in particular the types of training and advanced training affected, the categories of participants (students and workers), conditions for admission, supervisory and follow-up procedures, educational regulations, and general and financial requirements for candidates (e.g. conditions under which the employing entity bears the costs). It repeals all contrary provisions, particularly Decree No. 81-17 of 14 February 1981.] ",1,,0
ALGERIA,,"8/XII_ Act No. 87-19 of 8 December 1987 laying down the manner for cultivating agricultural land which falls under national jurisdiction and setting forth the rights and duties of agricultural producers. (ibid., 12 Sep.) The Act amends the manner in which agricultural land under public jurisdiction is to be cultivated. Land titles remain with the State, which grants agricultural collectives the transferrable right of use of this land in perpetuity. In return, the collectives are to pay rent to the State. The farmers also acquire full ownership rights in all forms of property other than the land. In addition, the Act stipulates that the producers’ income shall come exclusively from the fruits of production. The State will no longer guarantee agricultural workers a wage and is no longer to be involved in the management of agricultural production. Ordinance No. 67-653 of 30 December 1968 and ss. 858 to 866 of Ordinance No. 75-68 of 26 September 1975, as amended, are repealed.] ",1,,0
ANGOLA,,"25/FX Executive Decree No. 30 approving Regulations on the right to annual leave. (Didrio da Republica, 25 July) Governs the right to paid annual leave guaranteed to all workers. The annual maximum period of leave is 30 calendar days.] ",1,,0
ANGOLA,,Copyright © International Labour Organisation 1988 3/1988 ,1,,0
ANGOLA,,1987 List 2 (108) ,2,,0
ANTIGUA AND BARBUDA,,"26/II_ Ratification of Treaties Act 1987. No. 1. Subsec. 3 of s. 3 provides: “‘No provisions of a treaty [as defined in the Act] shall become, or be enforceable as, part of the law of Antigua and Barbuda except by or under an Act of Parliament.”’} ",2,,0
ARGENTINA,,"12/Il Decree No. 182 to restore to the General Confederation of Labour the function of administering its property. (Boletin Oficial, 23 Feb.) ",2,,0
ARGENTINA,,"30/IV Decree No. 648 setting up a scheme for voluntary participation by beneficiaries of the National Social Welfare System for workers employed by others, and containing other provisions. (ibid., 4 May) ",2,,0
ARGENTINA,,"10/VII Decree No. 1101 to establish the National Advisory Committee on the Integration of Disabled Persons. (ibid., 27 Oct.) The tasks of the Committee are, in particular, to do studies towards drawing up a national! plan of assistance and support for disabled persons, to propose national programmes in the fields of prevention, promotion, assistance, protection and rehabilitation of disabled persons and to promote relationships between trade unions to co-ordinate activities and programmes: ",2,,0
AUSTRALIA,,30/I Sex Discrimination (Operation of Legislation) (No. 2) Regulations (Amendment). Statutory Rules 1987. No. 4. ,2,,0
AUSTRALIA,,30/I Sex Discrimination (Operation of Legislation) (No. 3) Regulations (Amendment). Statutory Rules 1987. No. 5. ,2,,0
AUSTRALIA,,30/I Sex Discrimination (Operation of Legislation) (No. 1) Regulations (Amendment). Statutory Rules No. 8. Substitutes Regulations 3 and 4 of the Sex Discrimination (Operation of Legislation) (No. 1) Regulations in regard to the operation of paragraphs 40(1)(a) and (b) of the Sex Discrimi- nation Act 1984.} ,2,,0
AUSTRALIA,,"5/11 Social Services (Reciprocity with the United Kingdom) Regulations (Amendment). Statu- tory Rules 1987. No. 16. Amends the Social Services (Reciprocity with the United Kingdom) Regulations (Statutory Rules 1958 No. 30, as amended) by substituting new Schedules which reproduce agreements reached by the Governments of the United Kingdom and Australia.] ",2,,0
AUSTRALIA,,"11/1 Public Service Regulations (Amendment). Statutory Rules 1987. No. 25. Repeals Regulations 15, 53A, 61 to 61T of the Public Service Regulations and amends Regulations 48 (leave of absence without pay), 76 and 137.] ",2,,0
AUSTRALIA,,"23/IV Superannuation (Salary) Regulations (Amendment). Statutory Rules 1987. No. 70. Circumstances where part of salary or wages is not to be treated as salary for purposes of the Superannuation Act 1976, among other matters.] ",2,,0
