country,region,text,date,year,page,extracted_date,full_text
BRAZIL,,"Jan. iS Decree no. 23,766, to regulate the hoors of work of employees in land trans port undertakings. (DO. no. 57, p. '356; errata: no. 24, p. 1956; no. 26, p. 2114) Text: Braz. I (A)",,,1,,"Jan. iS Decree no. 23,766, to regulate the hoors of work of employees in land trans port undertakings. (DO. no. 57, p. '356; errata: no. 24, p. 1956; no. 26, p. 2114) Text: Braz. I (A) "
BRAZIL,,"Jan. s8 Decree no. 23,768, to regulate the granting of annual leave to industrial employees who are members of industrial associations. (DO. no. 28, p. 1412; errata: no. 28, p. 2276; Legislaçao Social—Trahalhista, suplemento n. s, p. 65) Text: Braz. 4",,,1,,"Jan. s8 Decree no. 23,768, to regulate the granting of annual leave to industrial employees who are members of industrial associations. (DO. no. 28, p. 1412; errata: no. 28, p. 2276; Legislaçao Social—Trahalhista, suplemento n. s, p. 65) Text: Braz. 4 "
BRAZIL,,"Feb. 7 Decree no. 23,849, to repeal a provision [section 26] contained in the Decree to regulate the hours of work ot persons employed in land transport under takings. (DO. DO. 46, p. 3833; errata: no. 59, p. 4862; B.M.T. 1935, January, p. 13)",,,1,,"Feb. 7 Decree no. 23,849, to repeal a provision [section 26] contained in the Decree to regulate the hours of work ot persons employed in land transport under takings. (DO. DO. 46, p. 3833; errata: no. 59, p. 4862; B.M.T. 1935, January, p. 13) "
BRAZIL,,"Feb. 54 Decree no. 23,871, to extend [br two years] the time limit tixed for the be ginniog ot the payment of contributions by members ot the superannuation and pension funds. (DO. no. 40, p. 3307)",,,1,,"Feb. 54 Decree no. 23,871, to extend [br two years] the time limit tixed for the be ginniog ot the payment of contributions by members ot the superannuation and pension funds. (DO. no. 40, p. 3307) "
BRAZIL,,"Apr. 3 Decree no. 24,077, to alter the organisation of the Seamen's Retirement and Survivors' Pension Snstitution and to provide for other matters [relates to the administration of Decree no. 22,872 of 29th June, 5933, and Decree nO. 22,992 of aôth July, 193366]. (DO. no. 78, p. 6471)",,,1,,"Apr. 3 Decree no. 24,077, to alter the organisation of the Seamen's Retirement and Survivors' Pension Snstitution and to provide for other matters [relates to the administration of Decree no. 22,872 of 29th June, 5933, and Decree nO. 22,992 of aôth July, 193366]. (DO. no. 78, p. 6471) "
BRAZIL,,"Apr. sa Decree no. 24,114, to approve the Regulations for the protection of vegeta tion 52—219, inspection of insecticides, installation and equipment of industrial establishments, protection of workers, etc.]. (DO. no. ios, p. 8514)",,,1,,"Apr. sa Decree no. 24,114, to approve the Regulations for the protection of vegeta tion 52—219, inspection of insecticides, installation and equipment of industrial establishments, protection of workers, etc.]. (DO. no. ios, p. 8514) "
BRAZIL,,"May 9 Decree no. 24,255, to issue provisions respecting the entry of aliens into Brazilian territory. (DO. no. 213, p. 9452; errata: no. s8o, p. 16,221)",,,1,,"May 9 Decree no. 24,255, to issue provisions respecting the entry of aliens into Brazilian territory. (DO. no. 213, p. 9452; errata: no. s8o, p. 16,221) "
BRAZIL,,"May 9 Decree no. 24,217, to transfer to the Welfare Institution for Public Employees of the Union the existing balance of the special fund created by Decree no. 59,482 of sath December, 193067 [respecting immigration] and to pro vide for other matters. (DO. no. 556, p. 9697)",,,1,,"May 9 Decree no. 24,217, to transfer to the Welfare Institution for Public Employees of the Union the existing balance of the special fund created by Decree no. 59,482 of sath December, 193067 [respecting immigration] and to pro vide for other matters. (DO. no. 556, p. 9697) "
BRAZIL,,"May 10 Decree no. 24,222, to amend certain provisions of Decree no. 24,077 of 3rd April, 1934 [relating to the organisation of the Seamen's Retirement and Survivors' Pension Institution]. (DO. no. so8, p. 9098)",,,1,,"May 10 Decree no. 24,222, to amend certain provisions of Decree no. 24,077 of 3rd April, 1934 [relating to the organisation of the Seamen's Retirement and Survivors' Pension Institution]. (DO. no. so8, p. 9098) "
BRAZIL,,"May sO Decree no. 24,258, to approve the Regulations for the entry of aliens into Brazilian territory [chap. I, immigrants, i.e. persons coming to Brazil to engage in an occupation]. (DO. no. 533, p. ir,sgo; crrata: no. s8o, p. 16,122)",,,1,,"May sO Decree no. 24,258, to approve the Regulations for the entry of aliens into Brazilian territory [chap. I, immigrants, i.e. persons coming to Brazil to engage in an occupation]. (DO. no. 533, p. ir,sgo; crrata: no. s8o, p. 16,122) "
BRAZIL,,"May 22 Decree no. 24,273, to set up a Retirement and Survivors' Pension Institu tion for Persons engaged in Commerce, issue regulations for tts operation, and provide for other matters. (DO. no. 259, p. 13,928; errata: no. s8o, p. 16,122; B.M.T. 2935, January, p. 64) Text: Braz. 2",,,1,,"May 22 Decree no. 24,273, to set up a Retirement and Survivors' Pension Institu tion for Persons engaged in Commerce, issue regulations for tts operation, and provide for other matters. (DO. no. 259, p. 13,928; errata: no. s8o, p. 16,122; B.M.T. 2935, January, p. 64) Text: Braz. 2 "
BRAZIL,,"May aa Decrees no. 24,274 and no. 24,275, to set up Retirement and Survivors' Pension Funds (s) for employees in coffee warehouses and stores and (2) for stevedores, and to provide for other matters. (DO. no. 542, pp. 11,980—I; errata: no. x8o, P. 16,122; B.M.T. February, Pp. 21 and 23)",,,1,,"May aa Decrees no. 24,274 and no. 24,275, to set up Retirement and Survivors' Pension Funds (s) for employees in coffee warehouses and stores and (2) for stevedores, and to provide for other matters. (DO. no. 542, pp. 11,980—I; errata: no. x8o, P. 16,122; B.M.T. February, Pp. 21 and 23) "
BRAZIL,,"May aa Decree no. 22,278, to abolish the Inspectorate of Infantile Hygiene and set up a Directorate for Child Welfare and the Protection of Maternity, and provide for other niatters. (DO. no. 119, p. 9987)",,,1,,"May aa Decree no. 22,278, to abolish the Inspectorate of Infantile Hygiene and set up a Directorate for Child Welfare and the Protection of Maternity, and provide for other niatters. (DO. no. 119, p. 9987) "
BRAZIL,,"May 24 Decree no. 24,288, to approve and order the putting into operation ot the Regulations for harbour authorities [Parts TV—VT, mercantile marine; sea men]. (0.0. DO. 153, p. 53,228)",,,1,,"May 24 Decree no. 24,288, to approve and order the putting into operation ot the Regulations for harbour authorities [Parts TV—VT, mercantile marine; sea men]. (0.0. DO. 153, p. 53,228) "
BRAZIL,,DO. = Diorio Of icial,,,1,,DO. = Diorio Of icial. 
BRAZIL,,"BR. F. = Bolefsom do Ministcrio do Trabatho, I;idzcstria e Corn;nercio. L.S. 1933 (Bras. a). 67 CS. 1930 (Bras. a). — 22 — (1772)",,,1,,"BR. F. = Bolefsom do Ministcrio do Trabatho, I;idzcstria e Corn;nercio. L.S. 1933 (Bras. a). 67 CS. 1930 (Bras. a). — 22 — (1772) "
BRAZIL,,"June 27 Decree no. 24,483, to amend Decree no. 22,979 of 24th July, to reg ulate the hours of work and the conditions of employment of persons em ployed in barbers' shops and similar establishments. (DO. no. 151, p. '3,054; B.M.T. 1935, January, p. 13) Text: Braz. I (B)",,,2,,"June 27 Decree no. 24,483, to amend Decree no. 22,979 of 24th July, to reg ulate the hours of work and the conditions of employment of persons em ployed in barbers' shops and similar establishments. (DO. no. 151, p. '3,054; B.M.T. 1935, January, p. 13) Text: Braz. I (B) "
BRAZIL,,"June 28 Decree no. 24,488, to approve the regulations for the purchase or construc tion of property intended for the offices of retirement and survivors' pen sions funds or institutions under the National Labour Council, and for the construction of houses for their members. (D.O. no. 152, p. 23,050)",,,2,,"June 28 Decree no. 24,488, to approve the regulations for the purchase or construc tion of property intended for the offices of retirement and survivors' pen sions funds or institutions under the National Labour Council, and for the construction of houses for their members. (D.O. no. 152, p. 23,050) "
BRAZIL,,"July 3 Decrees no. 24,549 and no. 24,550, to approve Regulations for the Federal inspection of and milk products [chap. III, hygiene in establish ments; chap. V, sanitary inspection] and (2) of meat and meat products [cbap. III, hygiene in establishments; chaps. IV—VII, duties of owners and inspection]. (DO, no. 170, pp. 15,105 and 15,112)",,,2,,"July 3 Decrees no. 24,549 and no. 24,550, to approve Regulations for the Federal inspection of and milk products [chap. III, hygiene in establish ments; chap. V, sanitary inspection] and (2) of meat and meat products [cbap. III, hygiene in establishments; chaps. IV—VII, duties of owners and inspection]. (DO, no. 170, pp. 15,105 and 15,112) "
BRAZIL,,"July 3 Decree no. 24,561, to regulate the hours of work of employees in stores and warehouses of shipping undertakings and similar establishments in the Federal District. (D.O. no. 254, p. 13,324; B.M.T. September, p. 15) Text: Braz. 1 (C)",,,2,,"July 3 Decree no. 24,561, to regulate the hours of work of employees in stores and warehouses of shipping undertakings and similar establishments in the Federal District. (D.O. no. 254, p. 13,324; B.M.T. September, p. 15) Text: Braz. 1 (C) "
BRAZIL,,"July 3 Decree no. 24,562, to regulate the hours of work and conditions of employment of employees in the cold storage industry. (D.O. 00. 262, supplement, p. 3; B.M.T. September, p. i8) Text: Braz. 1 (D)",,,2,,"July 3 Decree no. 24,562, to regulate the hours of work and conditions of employment of employees in the cold storage industry. (D.O. 00. 262, supplement, p. 3; B.M.T. September, p. i8) Text: Braz. 1 (D) "
BRAZIL,,"July 5 Decree no. 24,585, to approve and put into operation the Regulations for the Administrative Maritime Court. (DO. no. 270, p. 25,122; errata: 2935, flO. 31, p. 2705, and no, p. 3722)",,,2,,"July 5 Decree no. 24,585, to approve and put into operation the Regulations for the Administrative Maritime Court. (DO. no. 270, p. 25,122; errata: 2935, flO. 31, p. 2705, and no, p. 3722) "
BRAZIL,,"July 6 Decree no. 24,609, to set up the National Statistical Institution and to issue rules for the work of the statistical services. (D.O. no. 162, p. 24,257; B.M.T. September, p. 88)",,,2,,"July 6 Decree no. 24,609, to set up the National Statistical Institution and to issue rules for the work of the statistical services. (D.O. no. 162, p. 24,257; B.M.T. September, p. 88) "
BRAZIL,,"July 9 Decree no. 24,615, to set up a Retirement and Survivors' Pension Institu tion for Bank Employees. (D.O. no. 162, p. 14,282; errata: no. 164, p. '4,402; B.M.T. September, 24)",,,2,,"July 9 Decree no. 24,615, to set up a Retirement and Survivors' Pension Institu tion for Bank Employees. (D.O. no. 162, p. 14,282; errata: no. 164, p. '4,402; B.M.T. September, 24) "
BRAZIL,,"July mo Decree no. 24,634, to regulate the hours of work of employees in the sub marine and subfluvial cable, wireless telegraphy and wireless telephone services. (DO. no. ,6o, p. 14,ooo; errafa: no. 183, p. 26,338; B.M.T. Sep teniber, p. 34) Text: Braz. 1 (E)",,,2,,"July mo Decree no. 24,634, to regulate the hours of work of employees in the sub marine and subfluvial cable, wireless telegraphy and wireless telephone services. (DO. no. ,6o, p. 14,ooo; errafa: no. 183, p. 26,338; B.M.T. Sep teniber, p. 34) Text: Braz. 1 (E) "
BRAZIL,,"July io Decree no. 24,637, to issue new rules respecting liability for industrial acci dents, and to provide for other matters. (DO. no. ,6o, p. ,4,ool; errata: no. ,8o, p. 26,222, and no. 245, p. 22,553; B.M.T. September, p. 39) Text: Braz. 3",,,2,,"July io Decree no. 24,637, to issue new rules respecting liability for industrial acci dents, and to provide for other matters. (DO. no. ,6o, p. ,4,ool; errata: no. ,8o, p. 26,222, and no. 245, p. 22,553; B.M.T. September, p. 39) Text: Braz. 3 "
BRAZIL,,"July lo Decree no. 24,642, to issue a Mining Code 68—78, inspection of safety conditions; § 90, special privileges granted to undertakings which employ a fixed minimum percentage of Brazilians and provide schools and medical services for their employees]. (D.O. no. 167, p. 14,750; errata: no. 222, p. 19,585, and no. 243, 21,362)",,,2,,"July lo Decree no. 24,642, to issue a Mining Code 68—78, inspection of safety conditions; § 90, special privileges granted to undertakings which employ a fixed minimum percentage of Brazilians and provide schools and medical services for their employees]. (D.O. no. 167, p. 14,750; errata: no. 222, p. 19,585, and no. 243, 21,362) "
BRAZIL,,"July xo Decree no. 24,643, to issue the Water Code 295, employment of fixed minimum percentage of Brazilians]. (DO. no. 167, p. 24,738; errata: no. 173, p. 15,458)",,,2,,"July xo Decree no. 24,643, to issue the Water Code 295, employment of fixed minimum percentage of Brazilians]. (DO. no. 167, p. 24,738; errata: no. 173, p. 15,458) "
BRAZIL,,"July iz Decree no. 24,692. to approve the Regulations for the National Labour Department. (D.O. 00. 262, supplement, p. '0; B.M.T. November, p. 7)",,,2,,"July iz Decree no. 24,692. to approve the Regulations for the National Labour Department. (D.O. 00. 262, supplement, p. '0; B.M.T. November, p. 7) "
BRAZIL,,"July 12 Decree no. 24,694, to issue provisions respecting industrial associations. (D.O. no. i6z, supplement, p. errata: no. 249, p. 21,873; B.M.T. Sep tember, p. 64) Text: Braz. 5",,,2,,"July 12 Decree no. 24,694, to issue provisions respecting industrial associations. (D.O. no. i6z, supplement, p. errata: no. 249, p. 21,873; B.M.T. Sep tember, p. 64) Text: Braz. 5 "
BRAZIL,,"July iz Decree no. 24,695, to set up a service for the identification of immigrants in the National Colonisation Department, and to provide for other matters. (D.O. 00. 199, p. 17,690; B.M.T. 1935, April, p. 83)",,,2,,"July iz Decree no. 24,695, to set up a service for the identification of immigrants in the National Colonisation Department, and to provide for other matters. (D.O. 00. 199, p. 17,690; B.M.T. 1935, April, p. 83) "
