country,region,text,date,year,page,extracted_date,full_text
BELGIUM,,"Order to issue scales for the free old pension bonus, under the Act of 14th July, respecting insurance against old age and premature death amended by the Act of 23rd July, and the Orders of 31st May, 24th July, 193360, and 8th November, 2934. (M. p. 6726)",18.12.,1934,1,Dec 18,"Dec. 18 Order to issue scales for the free old pension bonus, under the Act of 14th July, respecting insurance against old age and premature death amended by the Act of 23rd July, and the Orders of 31st May, 24th July, 193360, and 8th November, 2934. (M. p. 6726) "
BELGIUM,,"Order to amend and supplement certain provisions of the Act of 1st August, 193062, for the purpose of consolidating the position of the National Miners' Pension Fund set up by the said Act. (M. p. 6747) Text: Bel. 9",22.12.,1934,1,Dec 22,"Dec. 22 Order to amend and supplement certain provisions of the Act of 1st August, 193062, for the purpose of consolidating the position of the National Miners' Pension Fund set up by the said Act. (M. p. 6747) Text: Bel. 9 "
BELGIUM,,"Order to amend and supplement the Order of 31st May, 193361, to vary the system of insurance against involuntary unemployment. (M. p. 6855; erratum: 2935, p. 177) Text: Be!. 10",29.12.,1934,1,Dec 29,"Dec. 29 Order to amend and supplement the Order of 31st May, 193361, to vary the system of insurance against involuntary unemployment. (M. p. 6855; erratum: 2935, p. 177) Text: Be!. 10 "
Belgian Congo GENERAL GOVERNMENT,,"Decree to amend [section 32 of] the Decree [of 31st October, 2931] respecting the contract of employment [employers' deposits]. (Bulletin officiel du Congo beige, no. i, p. 6x)",8.1.,1934,1,Jan 8,"Jan. 8 Decree to amend [section 32 of] the Decree [of 31st October, 2931] respecting the contract of employment [employers' deposits]. (Bulletin officiel du Congo beige, no. i, p. 6x) "
Belgian Congo GENERAL GOVERNMENT,,"Legislative Ordinance no. 4, to suspend, in so far as concerns the engagement of unemployed persons locally, the application of certain provisions of the Decrees of 31st October, 1931, respecting the contract of employment, and of 12th July, 1920, respecting the maintenance and repatriation of indigent persons. (B.A.C. no. 2, p. 57)",22.1.,1934,1,Jan 22,"Jan. 22 Legislative Ordinance no. 4, to suspend, in so far as concerns the engagement of unemployed persons locally, the application of certain provisions of the Decrees of 31st October, 1931, respecting the contract of employment, and of 12th July, 1920, respecting the maintenance and repatriation of indigent persons. (B.A.C. no. 2, p. 57) "
Belgian Congo GENERAL GOVERNMENT,,"Ordinance no. 7, to impose certain obligations upon persons holding mining concessions for the purpose of ensuring the protection and economical use of the native labour employed. (B.A.C. no. 2, p. 65) Text: Bel. I",16.1.,1934,1,Jan 16,"Jan. 16 Ordinance no. 7, to impose certain obligations upon persons holding mining concessions for the purpose of ensuring the protection and economical use of the native labour employed. (B.A.C. no. 2, p. 65) Text: Bel. I "
Belgian Congo GENERAL GOVERNMENT,,"Ordinance no. I5bis respecting air navigation 32—93, certificates of competency; 94—115, airworthiness]. (B.A.C. no. 6, p. 175)",27.1.,1934,1,Jan 27,"Jan. 27 Ordinance no. I5bis respecting air navigation 32—93, certificates of competency; 94—115, airworthiness]. (B.A.C. no. 6, p. 175) "
Belgian Congo GENERAL GOVERNMENT,,"Ordinance nO. 28, to amend the provisions respecting the setting up of committees and sub-committees for native labour. (B.A.C. no. 4, p. 134)",13.2.,1934,1,Feb 13,"Feb. 13 Ordinance nO. 28, to amend the provisions respecting the setting up of committees and sub-committees for native labour. (B.A.C. no. 4, p. 134) "
Belgian Congo GENERAL GOVERNMENT,,"Decree to suspend the application of certain provisions of the Decree of 31St October, 1931, respecting the contract of employment, and the Decree of 12th July, 1920, respecting the maintenance and repatriation of persons who are not natives of the Congo or the neighbouring colonies. (Bulletin officio! du Congo belge, no. 6, p. 467)",3.5.,1934,1,May 3,"May 3 Decree to suspend the application of certain provisions of the Decree of 31St October, 1931, respecting the contract of employment, and the Decree of 12th July, 1920, respecting the maintenance and repatriation of persons who are not natives of the Congo or the neighbouring colonies. (Bulletin officio! du Congo belge, no. 6, p. 467) "
Belgian Congo GENERAL GOVERNMENT,,"Ordinance no. 57, for the administration of the Decree [of ist April, 1933]63 to issue regulations for agreements in river navigation. (B.A.C. no. II, p. 472)",2.6.,1934,1,June 2,"June 2 Ordinance no. 57, for the administration of the Decree [of ist April, 1933]63 to issue regulations for agreements in river navigation. (B.A.C. no. II, p. 472) "
