country,region,text,date,year,page,extracted_date,full_text
ALGERI A,,"7/V/198 3 Decre e No . 83-313 , t o la y dow n condition s fo r th e assignmen t o f worker s employe d i n service s o f th e State , loca l authorities , publi c establishment s an d socialis t institution s t o wor k i n th e Party , mas s organisations , cultura l an d occupationa l union s an d electe d assemblies . (Journal Officiel, 1 0 May ) [Repeal s Decre e No . 79-10 4 o f 2 3 Jun e 1979. ]",,,1,,"7/V/198 3   Decre e  No .  83-313 ,  t o  la y  dow n  condition s  fo r  th e  assignmen t  o f  worker s  employe d  i n  service s  o f  th e  State ,  loca l  authorities ,  publi c  establishment s  an d  socialis t  institution s  t o  wor k  i n  th e  Party ,  mas s  organisations ,  cultura l  an d  occupationa l  union s  an d  electe d  assemblies .  (Journal  Officiel,  1 0  May )  [Repeal s  Decre e  No .  79-10 4  o f  2 3  Jun e  1979. ]  "
ALGERI A,,"2/VII/198 3 *Ac t No . 83-11 , respectin g socia l insurance , (ibid. , 1 5 July ) [Ch . I : Sicknes s insurance ; Ch . II : Maternit y insurance ; Ch . Ill : Disabilit y insurance ; Ch . IV : Insuranc e payabl e upo n death . Commencement : 1 Jan . 1984. ]",,,1,,"2/VII/198 3   *Ac t  No .  83-11 ,  respectin g  socia l  insurance ,  (ibid. ,  1 5  July )  [Ch .  I :  Sicknes s  insurance ;  Ch .  II :  Maternit y  insurance ;  Ch .  Ill :  Disabilit y  insurance ;  Ch .  IV :  Insuranc e  payabl e  upo n  death .  Commencement :  1  Jan .  1984. ]  "
ALGERI A,,"2/VII/198 3 ""Ac t No . 83-12 , respectin g retiremen t pension s (ibid. ) [Commencement : 1 Jan . 1984. ]",,,1,,"2/VII/198 3  ""Ac t  No .  83-12 ,  respectin g  retiremen t  pension s  (ibid. )  [Commencement :  1  Jan .  1984. ]  "
ALGERI A,,"2/VII/198 3 Ac t No . 83-13 , respectin g employmen t accident s an d occupationa l diseases , (ibid. ) [Commencement : 1 Jan . 1984. ]",,,1,,"2/VII/198 3   Ac t  No .  83-13 ,  respectin g  employmen t  accident s  an d  occupationa l  diseases ,  (ibid. )  [Commencement :  1  Jan .  1984. ]  "
ALGERI A,,"2/VII/198 3 Ac t No . 83-14 , respectin g th e obligation s o f person s subjec t t o socia l security , (ibid. ) [Commencement : 1 Jan . 1984 . Titl e VI : Penaltie s relatin g t o employmen t accident s an d occupationa l diseases. ]",,,1,,"2/VII/198 3   Ac t  No .  83-14 ,  respectin g  th e  obligation s  o f  person s  subjec t  t o  socia l  security ,  (ibid. )  [Commencement :  1  Jan .  1984 .  Titl e  VI :  Penaltie s  relatin g  t o  employmen t  accident s  an d  occupationa l  diseases. ]  "
ALGERI A,,"2/VII/198 3 Ac t No . 83-15 , respectin g dispute s relatin g t o socia l security , (ibid. ) [Commencement : 1 Jan . 1984 . Titl e V : Compensatio n i n th e even t o f a faul t o f th e employe r o r o f a thir d party. ]",,,1,,"2/VII/198 3   Ac t  No .  83-15 ,  respectin g  dispute s  relatin g  t o  socia l  security ,  (ibid. )  [Commencement :  1  Jan .  1984 .  Titl e  V :  Compensatio n  i n  th e  even t  o f  a  faul t  o f  th e  employe r  o r  o f  a  thir d  party. ]  "
ARGENTIN A,,"24/V/198 3 Ac t No . 22816 , t o amen d th e penaltie s provide d fo r i n Ac t No . 2033 7 respectin g co - operativ e societie s [L S 1973—Arg . I.] . (Boletín Oficial, 2 7 May )",,,1,,"24/V/198 3  Ac t  No .  22816 ,  t o  amen d  th e  penaltie s  provide d  fo r  i n  Ac t  No .  2033 7  respectin g  co - operativ e  societie s  [L S  1973—Arg .  I.] .  (Boletín  Oficial,  2 7  May )  "
ARGENTIN A,,"3/VI/198 3 Decre e No . 1419 , t o approv e th e regulation s mad e unde r Ac t No . 2280 4 t o institut e a complementar y retiremen t pensio n an d pensio n scheme fo r th e teachin g professio n an d fo r teachin g staf f unde r th e Ministr y o f Education , (ibid. , 9 July )",,,1,,"3/VI/198 3   Decre e  No .  1419 ,  t o  approv e  th e  regulation s  mad e  unde r  Ac t  No .  2280 4  t o  institut e  a  complementar y  retiremen t  pensio n  an d  pensio n  scheme  fo r  th e  teachin g  professio n  an d  fo r  teachin g  staf f  unde r  th e  Ministr y  o f  Education ,  (ibid. ,  9  July )  "
AUSTRALI A,,19/VI/198 3 A n Ac t t o amen d th e Conciliatio n an d Arbitratio n Ac t 190 4 [L S 1956—Aust . 1 (consolidation ) . . . 1972—Aust . 1] . No . 33 . Conciliation and Arbitration Amendment Act 1983,,,1,,19/VI/198 3  A n  Ac t  t o  amen d  th e  Conciliatio n  an d  Arbitratio n  Ac t  190 4  [L S  1956—Aust .  1  (consolidation )  .  . .  1972—Aust .  1] .  No .  33 .  Conciliation  and  Arbitration  Amendment  Act  1983.  
AUSTRALI A,,19/VI/198 3 A n Ac t t o provid e fo r th e creatio n o f additiona l employmen t throughou t Australia . No . 34 . Community Employment Act 1983,,,1,,19/VI/198 3  A n  Ac t  t o  provid e  fo r  th e  creatio n  o f  additiona l  employmen t  throughou t  Australia .  No .  34 .  Community  Employment  Act  1983.  
