country,region,text,date,year,page,extracted_date,full_text
Fr,,Algérie,,,9,,= Algérie  
Fr,,Allemagne (République démocratique),,,9,,= Allemagne (République  démocratique)  
Fr,,Allemagne (République fédérale),,,9,,= Allemagne (République  fédérale)  
Fr,,Antilles néerlandaises,,,9,,= Antilles néerlandaises  
Fr,,Autriche,,,9,,= Autriche  
Fr,,Barbade,,,9,,= Barbade  
Fr,,Belgique,,,9,,= Belgique  
Fr,,Birmanie,,,9,,= Birmanie  
Fr,,Bolivie,,,9,,= Bolivie  
Fr,,Brésil,,,9,,= Brésil  
Fr,,Bulgarie,,,9,,= Bulgarie  
Fr,,Canada,,,9,,= Canada  
Fr,,Congo belge,,,9,,= Congo belge  
Fr,,Colombie,,,9,,= Colombie  
Fr,,Costa-Rica,,,9,,= Costa-Rica  
Fr,,Danemark,,,9,,= Danemark  
Fr,,Dominicaine (République),,,9,,= Dominicaine  (République)  
Fr,,Egypte,,,9,,= Egypte  
Fr,,Equateur,,,9,,= Equateur  
Fr,,Espagne,,,9,,= Espagne  
Fr,,Etats-Unis d'Amérique,,,9,,= Etats-Unis d'Amérique  
Fr,,Falkland (Iles),,,9,,= Falkland (Iles)  
Fr,,France,,,9,,= France  
Fr,,Grande-Bretagne et Irlande du Nord (Royaume-Uni de) Grè. Hond. Int. Irl. Isl. It. Mal. Mar. (Pr. fr Nor. = Grèce. = Honduras = International = Irlande = Islande = Italie = Malaisie .) = Maroc (Protectorat de la République fran çaise) = Norvège Pap. et N.-G. = Papouasie et Nouvelle- P.-B. Phi. Pol. Por. S.-A. Sal. Soud. S. Thomé Sue. Sui. Tchsl. Tur. You g. Guinée = Pays-Bas = Philippines = Pologne = Portugal = Union sud-africaine = Salvador = Soudan anglo-égyptien = Sao Thomé et île du Prince = Suède = Suisse = Tchécoslovaquie = Turquie = Yougoslavie,,,9,,= Grande-Bretagne  et  Irlande  du  Nord  (Royaume-Uni  de)  Grè.  Hond.  Int.  Irl.  Isl.  It.  Mal.  Mar.  (Pr. fr  Nor.  = Grèce.  = Honduras  = International  = Irlande  = Islande  = Italie  = Malaisie  .)  =  Maroc (Protectorat  de  la République fran çaise)  = Norvège  Pap.  et  N.-G.  =  Papouasie  et  Nouvelle- P.-B.  Phi.  Pol.  Por.  S.-A.  Sal.  Soud.  S. Thomé  Sue.  Sui.  Tchsl.  Tur.  You g.  Guinée  = Pays-Bas  = Philippines  = Pologne  = Portugal  = Union sud-africaine  = Salvador  = Soudan anglo-égyptien  =  Sao  Thomé  et île du  Prince  = Suède  = Suisse  = Tchécoslovaquie  = Turquie  = Yougoslavie  
ALLOCATIONS  FAMILIALES    Voir  Sécurité sociale,,APPRENTISSAGE : Bré. 3 ; Fr. 5 (art. 52-63) ; Grè. 3 ; Malte 2 ; Pap. et N.-G. 1 ; Tchsl. 1 ; Youg. 5,,,9,,APPRENTISSAGE  :  Bré.  3 ; Fr. 5 (art.  52-63)  ;  Grè.  3 ;  Malte  2 ; Pap. et  N.-G.  1 ;  Tchsl.  1 ;  Youg.  5.  
COGESTION   All (RF) 6,,CONCILIATION ET ARBITRAGE : Col. 1 ; Eg. 2 ; Fr. 5 (art. 209-218) ; Grè. 1 ; Ind. 1 ; Tur. 1 (B art. 78 et 89). Travailleurs agricoles : Col. 2,,,9,,CONCILIATION  ET  ARBITRAGE  : Col. 1 ; Eg. 2 ; Fr. 5 (art.  209-218)  ; Grè. 1 ; Ind. 1 ;  Tur. 1 (B art. 78 et 89).  Travailleurs agricoles  :  Col.  2.  
COGESTION   All (RF) 6,,1952—Index 4,,,10,,1952—Index   4  
COGESTION   All (RF) 6,Voir   de  travail,CONGÉS PAYÉS : Bir. 1 ; Bol. 1 ; Bul. 4 ; Chili 2 ; Eg. 1 (art. 20-23) ; Fr. 5 (art. 121,,,10,,CONGÉS PAYÉS  : Bir. 1  ;  Bol. 1  ;  Bul.  4 ;  Chili 2  ;  Eg.  1  (art. 20-23)  ;  Fr.  5  (art. 121 
COGESTION   All (RF) 6,Voir   de  travail,132; Mar. (Pr. fr.);Nor. 2. Voir également : Ouvriers mineurs. CONSEILS D'ENTREPRISE : AU. (R. F.) 6 ; Fr. 5 (art. 164-169) ; Tur. 1 (B art. 78),,,10,,132;  Mar.  (Pr.  fr.);Nor.  2.  Voir également  :  Ouvriers  mineurs.  CONSEILS D'ENTREPRISE  : AU. (R. F.) 6 ; Fr. 5 (art. 164-169) ; Tur. 1 (B art. 78).  
COGESTION   All (RF) 6,Voir   de  travail,CONTRATS DE TRAVAIL : Eg. 1 ; Equa. 1 ; Fr. 5 (art. 29-90) ; Haïti 1 ; Malte 1 (art. 23 27) ; Tur. 1 ; Youg. 6. Voir également : Gens de mer,,,10,,CONTRATS  DE  TRAVAIL  : Eg. 1  ;  Equa.  1 ;  Fr. 5  (art. 29-90)  ;  Haïti  1  ;  Malte 1 (art.  23 27)  ;  Tur.  1 ;  Youg.  6.  Voir également  :  Gens  de mer.  
