country,region,text,date,year,page,extracted_date,full_text
Cz   1  A) ],,Notificatio n respectin g th e Socia l Insuranc e Act . No . 298 . Date d,,,12,,•Notificatio n  respectin g  th e  Socia l  Insuranc e  Act .   No .  298 .   Date d  
Cz   1  A) ],,1 6 Novembe r 1956,,,12,,1 6  Novembe r  1956 .  
Cz   1  A) ],,"Lovtidende A, 1956 , No . XXXIII , p . 719 )",,,12,,"(Lovtidende  A,  1956 ,  No .  XXXIII ,  p .  719 )  "
Cz   1  A) ],,Consolidate d tex t o f th e Socia l Insuranc e Ac t o f 1 5 Apri l 194 8 (L.S,,,12,,[Consolidate d  tex t  o f  th e  Socia l  Insuranc e  Ac t  o f  1 5  Apri l  194 8  (L.S .  
Cz   1  A) ],,1948—Den . 2 ... 1950—Den . 1). ] FINLAN D,,,12,,1948—Den .  2  ...  1950—Den .  1). ]  FINLAN D  
Cz   1  A) ],,"Ordinanc e respectin g th e comin g int o operatio n o f th e Conventio n con - cernin g th e medica l examinatio n o f seafarers , adopte d b y th e Internationa l",,,12,,"Ordinanc e  respectin g  th e  comin g  int o  operatio n  o f  th e  Conventio n  con - cernin g  th e  medica l  examinatio n  o f  seafarers ,  adopte d  b y  th e  Internationa l  "
Cz   1  A) ],,Labou r Conferenc e i n 1946 . Date d 4 Ma y 1956,,,12,,Labou r  Conferenc e  i n  1946 .  Date d  4  Ma y  1956 .  
Cz   1  A) ],,"Finlands Författningssamling, 1956 , No . 275 )",,,12,,"(Finlands  Författningssamling,  1956 ,  No .  275 )  "
Cz   1  A) ],,A n Ac t t o amen d th e Ac t respectin g famil y allowance s [o f 3 0 Apri l 1943 :,,,12,,A n  Ac t  t o  amen d  th e  Ac t  respectin g  famil y  allowance s  [o f  3 0  Apri l  1943 :  
Cz   1  A) ],,L.S . 1943—Fin . 2 A] . Date d 9 Novembe r 1956,,,12,,L.S .  1943—Fin .  2  A] .  Date d  9  Novembe r  1956 .  
Cz   1  A) ],,"Ibid. , No . 548 )",,,12,,"(Ibid. ,  No .  548 )  "
Cz   1  A) ],,A n Ac t t o amen d th e Nationa l Pension s Ac t [o f 8 Jun e 1956] . Date d,,,12,,•A n  Ac t  t o  amen d  th e  Nationa l  Pension s  Ac t  [o f  8  Jun e  1956] .   Date d  
Cz   1  A) ],,1 5 Decembe r 1956,,,12,,1 5  Decembe r  1956 .  
Cz   1  A) ],,"Ibid. , No . 606 ) FRANC E",,,12,,"(Ibid. ,  No .  606 )  FRANC E  "
Cz   1  A) ],,"Decre e No . 56-1279 , t o consolidat e th e legislatio n respectin g socia l",,,12,,"•Decre e  No .  56-1279 ,  t o  consolidat e  th e  legislatio n  respectin g  socia l  "
Cz   1  A) ],,security . Date d 1 0 Decembe r 1956,,,12,,security .   Date d  1 0  Decembe r  1956 .  
Cz   1  A) ],,"Journal Officiel, 1 8 Decembe r 1956 , No . 294 , p . 12140 ; erratum : ibid",,,12,,"(Journal  Officiel,  1 8  Decembe r  1956 ,  No .  294 ,  p .  12140 ;  erratum :  ibid. ,  "
Cz   1  A) ],,"6 Januar y 1957 , No . 5 , p . 373 )",,,12,,"6  Januar y  1957 ,  No .  5 ,  p .  373 )  "
Cz   1  A) ],,"Decre e No . 56-1277 , t o amen d Decre e No . 46-276 9 o f 2 7 Novembe r 1946 , respectin g th e organisatio n o f socia l securit y i n th e minin g industr y [L.S",,,12,,"Decre e  No .  56-1277 ,  t o  amen d  Decre e  No .  46-276 9  o f  2 7  Novembe r  1946 ,  respectin g  th e  organisatio n  o f  socia l  securit y  i n  th e  minin g  industr y  [L.S .  "
Cz   1  A) ],,1946—Fr . 14] . Date d 1 5 Decembe r 1956,,,12,,1946—Fr .  14] .  Date d  1 5  Decembe r  1956 .  
Cz   1  A) ],,"Ibid. , 1 6 Decembe r 1956 , No . 293 , p . 12109 )",,,12,,"(Ibid. ,  1 6  Decembe r  1956 ,  No .  293 ,  p .  12109 )  "
Cz   1  A) ],,"Decre e No . 56-1278 , t o exten d Decre e No . 55-56 8 o f 2 0 Ma y 195 5 t o th e syste m o f socia l securit y i n th e minin g industry . Date d 1 5 Decembe r",,,12,,"Decre e  No .  56-1278 ,  t o  exten d  Decre e  No .  55-56 8  o f  2 0  Ma y  195 5  t o  th e  syste m  o f  socia l  securit y  i n  th e  minin g  industry .   Date d  1 5  Decembe r  "
Cz   1  A) ],,1956,,,12,,1956 .  
Cz   1  A) ],,"Ibid. , p . 12110 )",,,12,,"(Ibid. ,  p .  12110 )  .  "
Cz   1  A) ],,Amend s Decre e No . 46-276 9 o f 2 7 Novembe r 194 6 (L.S . 1946—Fr . 14). ] Algeri a,,,12,,[Amend s  Decre e  No .  46-276 9  o f  2 7  Novembe r  194 6  (L.S .  1946—Fr .  14). ]  Algeri a  
