country,region,text,date,year,page,extracted_date,full_text
COLOMBIA,,"1958, 14 Nov. Act No. 15, to make provisions concerning workers of 40 years of age or over. (Diario Oficial, 24 Nov. 1958) Col. 1 B",,,1,,"1958, 14 Nov. Act No. 15, to make provisions concerning workers of 40 years of age or over. (Diario Oficial, 24 Nov. 1958) Col. 1 B "
COLOMBIA,,"1959, 30 Dec. Act No. 188, to regulate contracts of apprenticeship. (Ibid., 25 Jan. 1960) Col. 3 B",,,1,,"1959, 30 Dec. Act No. 188, to regulate contracts of apprenticeship. (Ibid., 25 Jan. 1960) Col. 3 B "
FINLAND,,"1954, 30 Dec. An Act to amend the Act respecting unemployment funds entitled to a state grant. (Suomen Asetuskokoelma — Fin- lands Férfattningssamling, 1954, No. 511, p.1026) Fin. 4B",,,1,,"1954, 30 Dec. An Act to amend the Act respecting unemployment funds entitled to a state grant. (Suomen Asetuskokoelma — Fin- lands Férfattningssamling, 1954, No. 511, p.1026) Fin. 4B "
IRELAND,,"1956, 11 July An Act to amend the Social Welfare Act 1952. No. 24 of 1956. (Acts of the Oireachtas, 1956, p. 403) Ire. 1 B",,,1,,"1956, 11 July An Act to amend the Social Welfare Act 1952. No. 24 of 1956. (Acts of the Oireachtas, 1956, p. 403) Ire. 1 B "
IRELAND,,"1958, 23 Dec. An Act to amend and extend the Social Welfare Acts 1952 and 1956. No. 360f1958. (Ibid., 1958, p. 859) Ire. 1C€",,,1,,"1958, 23 Dec. An Act to amend and extend the Social Welfare Acts 1952 and 1956. No. 360f1958. (Ibid., 1958, p. 859) Ire. 1C€ "
MALAYA (FEDERATION),,"1956, 15 Oct. An Ordinance to amend the Workmen’s Compensation Ordinance 1952. No. 314 of 1956. (Government Gazette Supplement, 25 Oct. 1956) Mal. 1B",,,1,,"1956, 15 Oct. An Ordinance to amend the Workmen’s Compensation Ordinance 1952. No. 314 of 1956. (Government Gazette Supplement, 25 Oct. 1956) Mal. 1B "
SWEDEN,,"1958, 29 Aug. An Act to amend the Act of 3 Jan. 1947 (No. 1) respecting public sickness insurance. No. 457. (Svensk Férfatinings- samling, 1958, p. 1209) Swe. 1E",,,1,,"1958, 29 Aug. An Act to amend the Act of 3 Jan. 1947 (No. 1) respecting public sickness insurance. No. 457. (Svensk Férfatinings- samling, 1958, p. 1209) Swe. 1E "
SWEDEN,,"1959, 18 Dec. An Act to amend s. 38 of the Act of 3 Jan. 1947 (No. 1) respecting public sickness insurance. No. 560. (Ibid., 1959, p. 1428) Swe. 1C",,,1,,"1959, 18 Dec. An Act to amend s. 38 of the Act of 3 Jan. 1947 (No. 1) respecting public sickness insurance. No. 560. (Ibid., 1959, p. 1428) Swe. 1C "
SWEDEN,,"1959, 18 Dec. An Act to amend the Act of 3 Jan. 1947 (No. 1) respecting public sickness insurance. No. 585. (Ibid., p. 1467) Swe. 1D",,,1,,"1959, 18 Dec. An Act to amend the Act of 3 Jan. 1947 (No. 1) respecting public sickness insurance. No. 585. (Ibid., p. 1467) Swe. 1D "
UNION OF SOVIET SOCIALIST REPUBLICS,,"1958, 24 Dec. An Act to strengthen the link between school and life and to provide for the further development of the system of national education in the U.S.S.R. (Vedomosti Verkhoonogo Soveta S.S.S.R., 1 Jan. 1959) U.S.S.R. 2 B",,,1,,"1958, 24 Dec. An Act to strengthen the link between school and life and to provide for the further development of the system of national education in the U.S.S.R. (Vedomosti Verkhoonogo Soveta S.S.S.R., 1 Jan. 1959) U.S.S.R. 2 B "
