country,region,text,date,year,page,extracted_date,full_text
ALGERI A,,"24/XI/198 4 Decre e No . 84-354 , mad e unde r s . 4 2 o f Ac t No . 82-0 6 o f 2 7 Februar y 198 2 [L S 1982 — Alg . 2 ] respectin g individua l employmen t relationships . (Journal officiel, 2 8 Nov. ) [Ch . II : Right s an d dutie s o f workers . Repeal s Decre e No . 83-31 3 o f 7 Ma y 198 3 t o la y dow n condition s fo r th e assignmen t o f worker s employe d i n service s o f th e State. }",,,1,,"24/XI/198 4   Decre e  No .  84-354 ,  mad e  unde r  s .  4 2  o f  Ac t  No .  82-0 6  o f  2 7  Februar y  198 2  [L S  1982 —  Alg .  2 ]  respectin g  individua l  employmen t  relationships .  (Journal  officiel,  2 8  Nov. )  [Ch .  II :  Right s  an d  dutie s  o f  workers .  Repeal s  Decre e  No .  83-31 3  o f  7  Ma y  198 3  t o  la y  dow n  condition s  fo r  th e  assignmen t  o f  worker s  employe d  i n  service s  o f  th e  State. }  "
ALGERI A,,"24/XII/198 4 Decre e No . 84-404 , t o dissolv e th e pai d leav e fund s an d t o transfe r thei r activitie s t o th e socia l securit y bodies , (ibid. , 3 0 Dec. )",,,1,,"24/XII/198 4   Decre e  No .  84-404 ,  t o  dissolv e  th e  pai d  leav e  fund s  an d  t o  transfe r  thei r  activitie s  t o  th e  socia l  securit y  bodies ,  (ibid. ,  3 0  Dec. )  "
ALGERI A,,"9/11/198 5 Decre e No . 85-30 , t o fix th e distributio n o f th e amoun t o f th e socia l securit y contribution . (ibid. , 2 4 Feb. )",,,1,,"9/11/198 5   Decre e  No .  85-30 ,  t o  fix  th e  distributio n  o f  th e  amoun t  o f  th e  socia l  securit y  contribution .  (ibid. ,  2 4  Feb. )  "
ALGERI A,,"9/11/ 198 5 Decre e No . 85-31 , t o provid e fo r th e applicatio n o f Titl e I I o f Ac t No . 83-1 2 o f 2 Jul y 198 3 [L S 1983—Alg . IB ] respectin g retiremen t pensions , (ibid. )",,,1,,"9/11/ 198 5   Decre e  No .  85-31 ,  t o  provid e  fo r  th e  applicatio n  o f  Titl e  I I  o f  Ac t  No .  83-1 2  o f  2  Jul y  198 3  [L S  1983—Alg .  IB ]  respectin g  retiremen t  pensions ,  (ibid. )  "
ALGERI A,,"9/II/198 5 Decre e No . 85-32 , respectin g validatio n fo r retiremen t pensio n purposes , o f certai n period s o f wor k occurrin g befor e 1 Januar y 1985 . (ibid. ) [S . 1 : Th e validatio n o f period s o f wor k o r period s treate d a s such , a s provide d i n s . 5 6 o f Ac t No . 83-1 2 o f 2 Jul y 198 3 (L S 1983—Alg . IB) , i s fo r purpose s o f benefit s an d contributions. ]",,,1,,"9/II/198 5   Decre e  No .  85-32 ,  respectin g  validatio n  fo r  retiremen t  pensio n  purposes ,  o f  certai n  period s  o f  wor k  occurrin g  befor e  1  Januar y  1985 .  (ibid. )  [S .  1  :  Th e  validatio n  o f  period s  o f  wor k  o r  period s  treate d  a s  such ,  a s  provide d  i n  s .  5 6  o f  Ac t  No .  83-1 2  o f  2  Jul y  198 3  (L S  1983—Alg .  IB) ,  i s  fo r  purpose s  o f  benefit s  an d  contributions. ]  "
ALGERI A,,"9/II/198 5 Decre e No . 85-33 , t o prescrib e th e lis t o f worker s treate d a s employee s fo r purpose s o f socia l security , (ibid. )",,,1,,"9/II/198 5   Decre e  No .  85-33 ,  t o  prescrib e  th e  lis t  o f  worker s  treate d  a s  employee s  fo r  purpose s  o f  socia l  security ,  (ibid. )  "
ALGERI A,,"9/II/198 5 Decre e No . 85-34 , t o fix th e rat e o f socia l securit y contribution s fo r specia l categorie s o f insure d persons , (ibid. ) [S . 1 : Specia l categorie s o f insure d person s t o dra w benefit s unde r certai n conditions . S . 2 : Rat e o f contribution s payabl e b y eac h o f th e categorie s liste d i n s . 1. ]",,,1,,"9/II/198 5   Decre e  No .  85-34 ,  t o  fix  th e  rat e  o f  socia l  securit y  contribution s  fo r  specia l  categorie s  o f  insure d  persons ,  (ibid. )  [S .  1  :  Specia l  categorie s  o f  insure d  person s  t o  dra w  benefit s  unde r  certai n  conditions .  S .  2 :  Rat e  o f  contribution s  payabl e  b y  eac h  o f  th e  categorie s  liste d  i n  s .  1. ]  "
ALGERI A,,"9/11/198 5 Decre e No . 85-35 , respectin g th e socia l securit y o f person s engage d i n a n occupationa l activit y wh o ar e no t employees , (ibid. ) [Inte r alia , condition s o f applicatio n o f th e provision s o f Ac t No . 83-1 1 of2Jul y 1983(L S 1983 — Alg . 1A ) respectin g socia l insuranc e an d Ac t No . 83-1 2 o f 2 Jul y 198 3 (L S 1983—Alg . IB ) respectin g retiremen t pensions . Commencement : 1 Jan . 1984. ]",,,1,,"9/11/198 5   Decre e  No .  85-35 ,  respectin g  th e  socia l  securit y  o f  person s  engage d  i n  a n  occupationa l  activit y  wh o  ar e  no t  employees ,  (ibid. )  [Inte r  alia ,  condition s  o f  applicatio n  o f  th e  provision s  o f  Ac t  No .  83-1 1  of2Jul y  1983(L S  1983 —  Alg .  1A )  respectin g  socia l  insuranc e  an d  Ac t  No .  83-1 2  o f  2  Jul y  198 3  (L S  1983—Alg .  IB )  respectin g  retiremen t  pensions .  Commencement :  1  Jan .  1984. ]  "
ALGERI A,,"16/11/198 5 Ac t No . 85-05 , respectin g healt h protectio n an d promotion , (ibid. , 1 7 Feb. ) [Inte r alia , Ch . V I o f Titl e II : Protectio n measure s i n th e workin g environment. ]",,,1,,"16/11/198 5  Ac t  No .  85-05 ,  respectin g  healt h  protectio n  an d  promotion ,  (ibid. ,  1 7  Feb. )  [Inte r  alia ,  Ch .  V I  o f  Titl e  II :  Protectio n  measure s  i n  th e  workin g  environment. ]  "
ALGERI A,,"23/111/198 5 Decre e No . 85-59 , t o issu e mode l regulation s fo r worker s employe d i n publi c institution s an d administrations , (ibid. , 2 4 Mar. ; errata : ibid. , 3 July ) [S . 1 : Purpos e o f th e Decree , unde r s . 2 o f Ac t No . 78-1 2 o f 5 Aug . 197 8 (L S 1978—Alg . 1 ) t o mak e genera l provisio n fo r workers ' condition s o f employment , i s t o determin e th e secto r o f activit y o f publi c institution s an d administration s an d t o issu e statutor y regulation s applicabl e t o th e worker s employe d i n suc h institution s an d administrations. ]",,,1,,"23/111/198 5   Decre e  No .  85-59 ,  t o  issu e  mode l  regulation s  fo r  worker s  employe d  i n  publi c  institution s  an d  administrations ,  (ibid. ,  2 4  Mar. ;  errata :  ibid. ,  3  July )  [S .  1  :  Purpos e  o f  th e  Decree ,  unde r  s .  2  o f  Ac t  No .  78-1 2  o f  5  Aug .  197 8  (L S  1978—Alg .  1  )  t o  mak e  genera l  provisio n  fo r  workers '  condition s  o f  employment ,  i s  t o  determin e  th e  secto r  o f  activit y  o f  publi c  institution s  an d  administration s  an d  t o  issu e  statutor y  regulation s  applicabl e  t o  th e  worker s  employe d  i n  suc h  institution s  an d  administrations. ]  "
