country,region,text,date,year,page,extracted_date,full_text
ARGENTINE REPUBLIC,,"Act no. 12,154, to amend Act no. so,6so [of 30th April, 1919] respecting superannuation allowances and pensions for railway employees. (B.O. no. 12,237, p. 1083)",15.3.,1935,1,Mar. 15,"Mar. 15 Act no. 12,154, to amend Act no. so,6so [of 30th April, 1919] respecting superannuation allowances and pensions for railway employees. (B.O. no. 12,237, p. 1083) "
ARGENTINE REPUBLIC,,"Mar. s6 Act no. ss,sós, respecting the regulations governing the working of petroleum and liquid hydrocarbon deposits [adds a new Part XVII 373—408) to the Mining Code: 394(c), concession-holder must ensure employees against industrial accidentsl. (B.O. no. 12,238, p. s)",,,1,,"Mar. s6 Act no. ss,sós, respecting the regulations governing the working of petroleum and liquid hydrocarbon deposits [adds a new Part XVII 373—408) to the Mining Code: 394(c), concession-holder must ensure employees against industrial accidentsl. (B.O. no. 12,238, p. s) "
ARGENTINE REPUBLIC,,"May ss Decree no. 61,136, to amend section iso of the regnlations for passenger vessels [one life jacket must be carried for each passenger and member of the crew]. (B.O. no. 22,402, P. s38o)",,,1,,"May ss Decree no. 61,136, to amend section iso of the regnlations for passenger vessels [one life jacket must be carried for each passenger and member of the crew]. (B.O. no. 22,402, P. s38o) "
ARGENTINE REPUBLIC,,"June ss Decree no. 61,907, to issue regulations for the national territories under Act no. 4661 [of 31st August, 1905, respecting Sunday rest]', Act no. 9105 [of 12th August, 2953 (application of Act no. 4662 to the national holidays of 25th May and 9th July)] and Act no. 11,640 [of 7th October, 2932, respecting Saturday afternoon rest]2. (B.O. no. 52,329, p. 1133)",,,1,,"June ss Decree no. 61,907, to issue regulations for the national territories under Act no. 4661 [of 31st August, 1905, respecting Sunday rest]', Act no. 9105 [of 12th August, 2953 (application of Act no. 4662 to the national holidays of 25th May and 9th July)] and Act no. 11,640 [of 7th October, 2932, respecting Saturday afternoon rest]2. (B.O. no. 52,329, p. 1133) "
ARGENTINE REPUBLIC,,"Decree no. 62,908, to amend Decree no. 16,117 [of ,6th January, 1933] to issue regulations under Act no. 4662 [of 31st August, 2905, respecting Sun-",11.6.,1935,1,June ii,"June ii Decree no. 62,908, to amend Decree no. 16,117 [of ,6th January, 1933] to issue regulations under Act no. 4662 [of 31st August, 2905, respecting Sun- "
ARGENTINE REPUBLIC,,"day rest]', Act no. 9105 [of tsth August, 2923 (application of Act no. 4661 to the national holidays of 25th May and 9th July)] and Act no. 11,640 [of 7th October, 2932, respecting Saturday afternoon rest]2. (B.O. no. 23,205, p.i)",,,1,,"- day rest]', Act no. 9105 [of tsth August, 2923 (application of Act no. 4661 to the national holidays of 25th May and 9th July)] and Act no. 11,640 [of 7th October, 2932, respecting Saturday afternoon rest]2. (B.O. no. 23,205, p.i) "
ARGENTINE REPUBLIC,,"Decree no. 62,038, to amend section 9 of the Order of 8th January, 2906, respecting the inspection of the hulls and equipment of boats in the Iner- cantile marine [fines for contravention of § 8]. (B.O. no. 22,403, p. 2426)",24.6.,1935,1,June 24,"June 24 Decree no. 62,038, to amend section 9 of the Order of 8th January, 2906, respecting the inspection of the hulls and equipment of boats in the Iner- cantile marine [fines for contravention of § 8]. (B.O. no. 22,403, p. 2426) "
ARGENTINE REPUBLIC,,"Decree no. 62,393, to amend the Decree issuing regulations for theatres and cinematographic establishments under Act no. 4661 [of 31st August, 1905, respecting Sunday rest]', Act no. 11,640 [of 7th October, 2932, respecting Saturday afternoon rest]2, and Act no. 22,544 [of 12th September, 2929. respecting hours of work]3 [repeals Decree no.51,459 of i3th November, 2934] (B.O. no. 12,316, p. 562)",22.6.,1935,1,June 22,"June 22 Decree no. 62,393, to amend the Decree issuing regulations for theatres and cinematographic establishments under Act no. 4661 [of 31st August, 1905, respecting Sunday rest]', Act no. 11,640 [of 7th October, 2932, respecting Saturday afternoon rest]2, and Act no. 22,544 [of 12th September, 2929. respecting hours of work]3 [repeals Decree no.51,459 of i3th November, 2934] (B.O. no. 12,316, p. 562) "
ARGENTINE REPUBLIC,,"Acts nos. 21,265 and is,266, to approve the adhesion of the Argentine Gov- ernment to the International Conventions respecting load lines and respect- ing the safety of life at sea signed in London on 5th July, 2930, and 31st May, 2929 respectively. (B.O. no. 22,400, pp. 1255—6)",22.6.,1935,1,June 22,"June 22 Acts nos. 21,265 and is,266, to approve the adhesion of the Argentine Gov- ernment to the International Conventions respecting load lines and respect- ing the safety of life at sea signed in London on 5th July, 2930, and 31st May, 2929 respectively. (B.O. no. 22,400, pp. 1255—6) "
ARGENTINE REPUBLIC,,"Decree no. 64,657, to approve the general measurement regulations for the mercantile marine. (B.O. no. '2,373, p. 819)",3.8.,1935,1,Aug. 3,"Aug. 3 Decree no. 64,657, to approve the general measurement regulations for the mercantile marine. (B.O. no. '2,373, p. 819) "
ARGENTINE REPUBLIC,,"Decree no. 65,240, under Act no. 11,544 [of i2th September, 2929, respecting the eight-hour day]2 to issue special regulations for railway services under national jurisdiction. (B.O. no. 22,347, p. 748)",10.8.,1935,1,Aug. io,"Aug. io Decree no. 65,240, under Act no. 11,544 [of i2th September, 2929, respecting the eight-hour day]2 to issue special regulations for railway services under national jurisdiction. (B.O. no. 22,347, p. 748) "
ARGENTINE REPUBLIC,,"Act no. 12,186, to authorise the Government to adhere to the Berne Con- vention of 26th September, 2906, concerning the prohibition of white phos- phorus in the match industry. (B.O. no. 22,364, P. 369)",22.8.,1935,1,Aug. 22,"Aug. 22 Act no. 12,186, to authorise the Government to adhere to the Berne Con- vention of 26th September, 2906, concerning the prohibition of white phos- phorus in the match industry. (B.O. no. 22,364, P. 369) "
