country,region,text,date,year,page,extracted_date,full_text
AUSTRIA,,"Order to issue regulations for social insurance carriers with respect to property rights. (B.G.Bl. I, no. ix; A.N. p. 6°)",5.1.,1934,1,Jan. 5,"Jan. 5 Order to issue regulations for social insurance carriers with respect to property rights. (B.G.Bl. I, no. ix; A.N. p. 6°) "
AUSTRIA,,"Order respecting the employment of workers in connection with public works and supplies to public authorities. (B.G.Bl. I, no. 45; AN. p. 19)",23.1.,1934,1,Jan. 23,"Jan. 23 Order respecting the employment of workers in connection with public works and supplies to public authorities. (B.G.Bl. I, no. 45; AN. p. 19) "
AUSTRIA,,"Order to exempt certain classes of employees [higher grade employees of Federal theatre] from the provisions of section I of the Order of 21st December, 1933 [respecting employees' representative bodies in Federal establishments]. (B.G.BI. I, no. 57)",29.1.,1934,1,Jan. 29,"Jan. 29 Order to exempt certain classes of employees [higher grade employees of Federal theatre] from the provisions of section I of the Order of 21st December, 1933 [respecting employees' representative bodies in Federal establishments]. (B.G.BI. I, no. 57) "
AUSTRIA,,"Order to restrict the classes of employees to whom the provisions of the Act of 19th December, respecting the temporary restriction of the em- ployment of alien wage-earning and salaried employees (Protection of National Workers Act) do not apply [repeals § 11(i) (c) of the Order of i8tb March, 2926]. (B.G.Bl. I, no. 272; A.N. p. 75)",29.1.,1934,1,Jan. 29,"Jan. 29 Order to restrict the classes of employees to whom the provisions of the Act of 19th December, respecting the temporary restriction of the em- ployment of alien wage-earning and salaried employees (Protection of National Workers Act) do not apply [repeals § 11(i) (c) of the Order of i8tb March, 2926]. (B.G.Bl. I, no. 272; A.N. p. 75) "
AUSTRIA,,"Order respecting the installation and operation of lifts and hoists in industrial establishments. (B.G.B1. I, no. 107; A.N. p. 79)",6.2.,1934,1,Feb. 6,"Feb. 6 Order respecting the installation and operation of lifts and hoists in industrial establishments. (B.G.B1. I, no. 107; A.N. p. 79) "
AUSTRIA,,"Order respecting the term of office of the works councils in establishments of social insurance carriers [prolongation untli a date to be fixed by the Minister of Social Administration]. (B.G.Bl. I, no. 84; A.N. p. 8)",9.2.,1934,1,Feb. 9,"Feb. 9 Order respecting the term of office of the works councils in establishments of social insurance carriers [prolongation untli a date to be fixed by the Minister of Social Administration]. (B.G.Bl. I, no. 84; A.N. p. 8) "
AUSTRIA,,"er to supplement the Exceptions Order39 under the Eight-hour Day Act45. (B.G.Bl. I, no. 93; A.N. p. 19) Text: Aus. I (A)",9.2.,1934,1,Feb. Ord,"Feb. Order to supplement the Exceptions Order39 under the Eight-hour Day Act45. (B.G.Bl. I, no. 93; A.N. p. 19) Text: Aus. I (A) "
AUSTRIA,,"Feb. x6 Order respecting the maintenance of collective contracts. (B.G.Bl. I, no. 94; A.N. p. 20) Text: Aus. 2",,,1,,"Feb. x6 Order respecting the maintenance of collective contracts. (B.G.Bl. I, no. 94; A.N. p. 20) Text: Aus. 2 "
AUSTRIA,,"Order respecting the appointment of the assessors to the arbitration board of the disablement compensation boards. (B.G.Bl. I, no. 95; A.N. p. 2)",16.2.,1934,1,Feb. i6,"Feb. i6 Order respecting the appointment of the assessors to the arbitration board of the disablement compensation boards. (B.G.Bl. I, no. 95; A.N. p. 2) "
AUSTRIA,,"Feb. '6 Order respecting the appointment of administrative committees to the district industrial boards. (B.G.Bl. I, no. 96; A.N. p. 17)",6.2.,1934,1,Feb. 6,"Feb. '6 Order respecting the appointment of administrative committees to the district industrial boards. (B.G.Bl. I, no. 96; A.N. p. 17) "
AUSTRIA,,"Order respecting the term of office of the administrative bodies of the social insurance carriers. (B.G.Bl. I, no. 97; A.N. p. 8)",16.2.,1934,1,Feb. i6,"Feb. i6 Order respecting the term of office of the administrative bodies of the social insurance carriers. (B.G.Bl. I, no. 97; A.N. p. 8) "
AUSTRIA,,"Order respecting exceptions to the Eight-hour Day Act for credit institutions and banking businesses. (B.G.Bl. I, no. 209 A.N. p. 77) Text: Aus. 1 (B)",19.2.,1934,1,Feb. 19,"Feb. 19 Order respecting exceptions to the Eight-hour Day Act for credit institutions and banking businesses. (B.G.Bl. I, no. 209 A.N. p. 77) Text: Aus. 1 (B) "
AUSTRIA,,"Order respecting extraordinary measures in connection with the works counci system and respecting the appointment of assessors to industrial courts and conciliation boards. (B.G.B1. I, no. 212; AN. p. 78) Extract: Aus. 13",23.2.,1934,1,Feb. 23,"Feb. 23 Order respecting extraordinary measures in connection with the works counci system and respecting the appointment of assessors to industrial courts and conciliation boards. (B.G.B1. I, no. 212; AN. p. 78) Extract: Aus. 13 "
AUSTRIA,,"Order respecting the service regulations nf employees of chambers of wage- earning and salaried employees. (B.G.Bl. I, no. 113; A.N. p. 75)",23.2.,1934,1,Feb. 23,"Feb. 23 Order respecting the service regulations nf employees of chambers of wage- earning and salaried employees. (B.G.Bl. I, no. 113; A.N. p. 75) "
AUSTRIA,,"Order to amend the Order of ioth April, 3933, respecting measures to reduce the administrative expenses of the social insurance carriers and federations thereof in respect of staff. (B.G.Bl. I, no. 114; A.N. p. 6i)",23.2.,1934,1,Feb. 23,"Feb. 23 Order to amend the Order of ioth April, 3933, respecting measures to reduce the administrative expenses of the social insurance carriers and federations thereof in respect of staff. (B.G.Bl. I, no. 114; A.N. p. 6i) "
AUSTRIA,,"Order respecting the maintenance of collective contracts with employees in agriculture and forestry. (B.G.Bl. I, no. 117; A.N. p. 77)",23.2.,1934,1,Feb. 23,"Feb. 23 Order respecting the maintenance of collective contracts with employees in agriculture and forestry. (B.G.Bl. I, no. 117; A.N. p. 77) "
AUSTRIA,,"Order to amend the Order of x9th September, 3933 [respecting extraordinary measures in the coal mines of the Osterreichische Alpine Montangesell- schaft"" and the Graz-Ebflache Eisenbahn- und Bergbau-Gesellscbaft""; inter alia, wages for overtime]. (B.G.Bl. I, no. In; A.N. p. 117)",23.2.,1934,1,Feb. 23,"Feb. 23 Order to amend the Order of x9th September, 3933 [respecting extraordinary measures in the coal mines of the Osterreichische Alpine Montangesell- schaft"" and the Graz-Ebflache Eisenbahn- und Bergbau-Gesellscbaft""; inter alia, wages for overtime]. (B.G.Bl. I, no. In; A.N. p. 117) "
AUSTRIA,,"Order to amend section loG of the General Mining Act of 23rd May, 3854, as amended by the Act of 17th May, 1912, and the Order of ist August, 5933 [payment of wages]. (B.G.Bl. I, no. A.N. p. 77)",23.2.,1934,1,Feb. 23,"Feb. 23 Order to amend section loG of the General Mining Act of 23rd May, 3854, as amended by the Act of 17th May, 1912, and the Order of ist August, 5933 [payment of wages]. (B.G.Bl. I, no. A.N. p. 77) "
AUSTRIA,,"Order respecting the mandates, in bodies set up under the Industrial Code, which are exercised by persons belonging to the former Austrian Social- Democratic Party. (B.G.Bl. I, no. 1a6)",24.2.,1934,1,Feb. 24,"Feb. 24 Order respecting the mandates, in bodies set up under the Industrial Code, which are exercised by persons belonging to the former Austrian Social- Democratic Party. (B.G.Bl. I, no. 1a6) "
AUSTRIA,,"Order for the administration of section z of the Order of 23rd February, 5934, respecting the maintenance of collective contracts with employees in agriculture and forestry. (B.G.B1. I, no. 329; A.N. p. 78)",28.2.,1934,1,Feb. 28,"Feb. 28 Order for the administration of section z of the Order of 23rd February, 5934, respecting the maintenance of collective contracts with employees in agriculture and forestry. (B.G.B1. I, no. 329; A.N. p. 78) "
AUSTRIA,,B.G.Bt. = Bundesgesefzblaft,,,1,,B.G.Bt. = Bundesgesefzblaft. 
