country,region,text,date,year,page,extracted_date,full_text
AUSTRIA,,"Order to issue regulations for social insurance carriers with respect to property rights. (B.G.Bl. I, no. 11; A.N. p. 60)",5.1.,1934,1,Jan. 5,"Jan. 5 Order to issue regulations for social insurance carriers with respect to property rights. (B.G.Bl. I, no. 11; A.N. p. 60) "
AUSTRIA,,"Order respecting the employment of workers in connection with public works and supplies to public authorities. (B.G.Bl. I, no. 45; A.N. p. 19)",23.1.,1934,1,Jan. 23,"Jan. 23 Order respecting the employment of workers in connection with public works and supplies to public authorities. (B.G.Bl. I, no. 45; A.N. p. 19) "
AUSTRIA,,"Order to exempt certain classes of employees [higher grade employees of Federal theatre] from the provisions of section I of the Order of 21st December, 1933 {respecting employees’ representative bodies in Federal establishments]. (B.G.Bl. I, no. 57)",29.1.,1934,1,Jan. 29,"Jan. 29 Order to exempt certain classes of employees [higher grade employees of Federal theatre] from the provisions of section I of the Order of 21st December, 1933 {respecting employees’ representative bodies in Federal establishments]. (B.G.Bl. I, no. 57) "
AUSTRIA,,"Order to restrict the classes of employees to whom the provisions of the Act of 19th December, 1925°8, respecting the temporary restriction of the em- ployment of alien wage-earning and salaried employees (Protection of National Workers Act) do not apply [repeals § II (1) (c) of the Order of 18th March, 1926]. (B.G.BIl. I, no. 172; A.N. p. 75)",29.1.,1934,1,Jan. 29,"Jan. 29 Order to restrict the classes of employees to whom the provisions of the Act of 19th December, 1925°8, respecting the temporary restriction of the em- ployment of alien wage-earning and salaried employees (Protection of National Workers Act) do not apply [repeals § II (1) (c) of the Order of 18th March, 1926]. (B.G.BIl. I, no. 172; A.N. p. 75) "
AUSTRIA,,"Order respecting the installation and operation of lifts and hoists in industrial establishinents. (B.G.Bl. I, no. 107; A.N. p. 79)",6.2.,1934,1,Feb. 6,"Feb. 6 Order respecting the installation and operation of lifts and hoists in industrial establishinents. (B.G.Bl. I, no. 107; A.N. p. 79) "
AUSTRIA,,"Order respecting the term of office of the works councils in establishments of social insurance carriers [prolongation until a date to be fixed by the Minister of Social Administration]. (B.G.Bl. I, no. 84; A.N. p. 8)",9.2.,1934,1,Feb. 9,"Feb. 9 Order respecting the term of office of the works councils in establishments of social insurance carriers [prolongation until a date to be fixed by the Minister of Social Administration]. (B.G.Bl. I, no. 84; A.N. p. 8) "
AUSTRIA,,"Order to supplement the Exceptions Order®® under the Eight-hour Day Act*®, (B.G.BIL. I, no. 93; A.N. p. 19) Text: Aus. 1 (A)",13.2.,1934,1,Feb. 13,"Feb. 13 Order to supplement the Exceptions Order®® under the Eight-hour Day Act*®, (B.G.BIL. I, no. 93; A.N. p. 19) Text: Aus. 1 (A) "
AUSTRIA,,"Order respecting the maintenance of collective contracts. (B.G.BI. I, no. 94; A.N. p. 20) Text: Aus. 2",16.2.,1934,1,Feb. 16,"Feb. 16 Order respecting the maintenance of collective contracts. (B.G.BI. I, no. 94; A.N. p. 20) Text: Aus. 2 "
AUSTRIA,,"Order respecting the appointment of the assessors to the arbitration board of the disablement compensation boards. (B.G.Bl. I, no. 95; A.N. p. 2)",16.2.,1934,1,Feb. 16,"Feb. 16 Order respecting the appointment of the assessors to the arbitration board of the disablement compensation boards. (B.G.Bl. I, no. 95; A.N. p. 2) "
AUSTRIA,,"Feb.'16 Order respecting the appointment of administrative committees to the district industrial boards. (B.G.Bl. I, no. 96; A.N. p. 17)",,,1,,"Feb.'16 Order respecting the appointment of administrative committees to the district industrial boards. (B.G.Bl. I, no. 96; A.N. p. 17) "
AUSTRIA,,"Order respecting the term of office of the administrative bodies of the social insurance carriers. (B.G.Bl. I, no. 97; A.N. p. 8)",16.2.,1934,1,Feb. 16,"Feb. 16 Order respecting the term of office of the administrative bodies of the social insurance carriers. (B.G.Bl. I, no. 97; A.N. p. 8) "
AUSTRIA,,"Order respecting exceptions to the Eight-hour Day Act for credit institutions and banking businesses. (B.G.Bl. I, no. 109; A.N. p. 77) Text: Aus. 1 (B)",19.2.,1934,1,Feb. 19,"Feb. 19 Order respecting exceptions to the Eight-hour Day Act for credit institutions and banking businesses. (B.G.Bl. I, no. 109; A.N. p. 77) Text: Aus. 1 (B) "
