country,region,text,date,year,page,extracted_date,full_text
AUSTRIA,,"Dec. 6 Act to prolong [till 31st December, 19351 the period of operation of the Order of 12th October, 1933, respecting the temporary suspension of certain em- ployees of the Austrian State Railways Undertaking and respecting special measures relating to these employees. (B.G.Bl. II, no. 427)",,,1,,"Dec. 6 Act to prolong [till 31st December, 19351 the period of operation of the Order of 12th October, 1933, respecting the temporary suspension of certain em- ployees of the Austrian State Railways Undertaking and respecting special measures relating to these employees. (B.G.Bl. II, no. 427) "
AUSTRIA,,"Dec. I, Order respecting the compilation of a list of the undertakings within the jurisdiction of the General Federation of Austrian Industrial Employers. (B.G.B1. II, no. 402 AN. p. 347)",,,1,,"Dec. I, Order respecting the compilation of a list of the undertakings within the jurisdiction of the General Federation of Austrian Industrial Employers. (B.G.B1. II, no. 402 AN. p. 347) "
AUSTRIA,,"Dec. 12 Order respecting the employers' contribution to the Federal Housing and Land Settlement Fund. (B.G.Bl. II, no. 428; A.N. p. 352)",,,1,,"Dec. 12 Order respecting the employers' contribution to the Federal Housing and Land Settlement Fund. (B.G.Bl. II, no. 428; A.N. p. 352) "
AUSTRIA,,"Dec. 13 Order to amend the Order of x8th October, 2932, respecting voluntary labour service. (B.G.Bl. II, no. 4,9; AN. p. 35v)",,,1,,"Dec. 13 Order to amend the Order of x8th October, 2932, respecting voluntary labour service. (B.G.Bl. II, no. 4,9; AN. p. 35v) "
AUSTRIA,,"Dec. 20 Act respecting the dismissal of private employees for activities hostile to the State or the Government [amends Order of 9th March, 1934]. (B.G.Bl. II, 110. 446; AN. p. 325)",,,1,,"Dec. 20 Act respecting the dismissal of private employees for activities hostile to the State or the Government [amends Order of 9th March, 1934]. (B.G.Bl. II, 110. 446; AN. p. 325) "
AUSTRIA,,"Dec. 20 Act to supplement and prolong the operation of the Order (of 23rd March, 1934] respecting the term of office of the administrative bodies of social insurance carriers. (B.G.Bl. II, 00. 448; AN. p. 319)",,,1,,"Dec. 20 Act to supplement and prolong the operation of the Order (of 23rd March, 1934] respecting the term of office of the administrative bodies of social insurance carriers. (B.G.Bl. II, 00. 448; AN. p. 319) "
AUSTRIA,,"Dec. 22 Act to amend the Act of i6th January, 2895, relating to the regulation of Sunday rest and public holidays in industrial undertakings. (B.G.Bl. II, 00. 421; A.N. p. 324) Text: Aus. 11",,,1,,"Dec. 22 Act to amend the Act of i6th January, 2895, relating to the regulation of Sunday rest and public holidays in industrial undertakings. (B.G.Bl. II, 00. 421; A.N. p. 324) Text: Aus. 11 "
AUSTRIA,,"Dec. 29 Act to extend the operation of the Order of ,oth November, 2933, respecting the continuance of the contract of employment or service of members of the Volunteer Defence Corps. (B.G.Bl. II, nO. 441; AN. p. 325)",,,1,,"Dec. 29 Act to extend the operation of the Order of ,oth November, 2933, respecting the continuance of the contract of employment or service of members of the Volunteer Defence Corps. (B.G.Bl. II, nO. 441; AN. p. 325) "
AUSTRIA,,"Dec. 31 Order to issue the rules for the General Federation of Austrian Industrial Employers. (B.G.Bl. 5935, rIo. I; AN. 1935, p. 8)",,,1,,"Dec. 31 Order to issue the rules for the General Federation of Austrian Industrial Employers. (B.G.Bl. 5935, rIo. I; AN. 1935, p. 8) "
AUSTRIA,,"Dec. 31 Act to allocate estal,lishments liable to accident insurance to risk classes and to fix the percentages for the risk classes for the period from 1st January, ,935, to 31st December, 1939. (B.G.B1. 5935, no. 4; A.N. 2935, p. 2)",,,1,,"Dec. 31 Act to allocate estal,lishments liable to accident insurance to risk classes and to fix the percentages for the risk classes for the period from 1st January, ,935, to 31st December, 1939. (B.G.B1. 5935, no. 4; A.N. 2935, p. 2) "
BELGIUM,,"Jan. 6 Act to amend section 22 of the Act of 30th December, 292946, respecting compensation for industrial accidents sustained by seamen [adds following words at end of § 22 ""if the vessel is propelled by an oil engine of less than 6o h.p., or is a decked sailing boat engaged in fishing or is a half-decked or open boat. ""The horse-power of the oil engine shall he ascertained in conformity with the provisions of the Royal Order of 7th June, 2930, issued under the Act of 3oth December, 2929. ""]. (81. p. s66)",,,1,,"Jan. 6 Act to amend section 22 of the Act of 30th December, 292946, respecting compensation for industrial accidents sustained by seamen [adds following words at end of § 22 ""if the vessel is propelled by an oil engine of less than 6o h.p., or is a decked sailing boat engaged in fishing or is a half-decked or open boat. ""The horse-power of the oil engine shall he ascertained in conformity with the provisions of the Royal Order of 7th June, 2930, issued under the Act of 3oth December, 2929. ""]. (81. p. s66) "
BELGIUM,,"Feb. ,o Act to issue regulations governing wages and hygiene in homework. (M. p. 1488; R.T. p. 523) Text: Bel. 2",,,1,,"Feb. ,o Act to issue regulations governing wages and hygiene in homework. (M. p. 1488; R.T. p. 523) Text: Bel. 2 "
BELGIUM,,"Feb. ro Order to amend the Orders of 26th December, 1930, and 28th September, 1931, issued under the Acts of ist August, and zznd July, 193 respecting the miners' pension retirement system. (81. p. 672; erratum, p. 847; R.T. p. 376)",,,1,,"Feb. ro Order to amend the Orders of 26th December, 1930, and 28th September, 1931, issued under the Acts of ist August, and zznd July, 193 respecting the miners' pension retirement system. (81. p. 672; erratum, p. 847; R.T. p. 376) "
BELGIUM,,B.G.B1. Bundesgesetzbiatt,,,1,,B.G.B1. Bundesgesetzbiatt. 
BELGIUM,,A .N. A mtliche Aachrichten des Bundesministeriiims für Soziale Verivaitung,,,1,,A .N. A mtliche Aachrichten des Bundesministeriiims für Soziale Verivaitung. 
BELGIUM,,1W. = Moniteur beige,,,1,,1W. = Moniteur beige. 
BELGIUM,,"R.T. Revue die Travail. L.S. 1929 (Bel. To). L.S. 1930 (Bel. 8). — L.S. 1931 (Bel. 6). ""3 — i8 (1768)",,,1,,"R.T. Revue die Travail. L.S. 1929 (Bel. To). L.S. 1930 (Bel. 8). — L.S. 1931 (Bel. 6). ""3 — i8 (1768) "
BELGIUM,,Mar. 22 Act respecting the estimates of the Ministry of Social Welfare and Public Health for the financial year 2 suspends during 1934 the application of § 52 of the Family Allowances Act of 4th August (re State grant)]. (M. p. 2239),,,2,,Mar. 22 Act respecting the estimates of the Ministry of Social Welfare and Public Health for the financial year 2 suspends during 1934 the application of § 52 of the Family Allowances Act of 4th August (re State grant)]. (M. p. 2239) 
BELGIUM,,"Apr. 5 Order [to supersede section 3 of the Order of 15th May, 1919, amended by the Order of 13th March, 1923] respecting the lighting of fiery mines by portable electric lamps. (M. p. 1824; R.T. p. 654)",,,2,,"Apr. 5 Order [to supersede section 3 of the Order of 15th May, 1919, amended by the Order of 13th March, 1923] respecting the lighting of fiery mines by portable electric lamps. (M. p. 1824; R.T. p. 654) "
BELGIUM,,Apr. 22 Order under the Consolidated Acts respecting compensation for injuries resulting from industrial accidents5° to fix the contribution to the Guarantee Fund payable in 2934 for the year 2933. (M. p. 2294; R.T. p. 653),,,2,,Apr. 22 Order under the Consolidated Acts respecting compensation for injuries resulting from industrial accidents5° to fix the contribution to the Guarantee Fund payable in 2934 for the year 2933. (M. p. 2294; R.T. p. 653) 
BELGIUM,,Apr. 29 Act to amend the provisions of the Disciplinary and Penal Code for the mercantile marine and the sea-fishing industry51 respecting the clandestine embarkation and landing of persons. (M. p. 2636) Text: Bel. 3,,,2,,Apr. 29 Act to amend the provisions of the Disciplinary and Penal Code for the mercantile marine and the sea-fishing industry51 respecting the clandestine embarkation and landing of persons. (M. p. 2636) Text: Bel. 3 
BELGIUM,,"Apr. 20 Order to amend certain items in the schedule of dangerous, unhealthy or offensive establishments [appended to the Order of 10th August, 1933 (flour mills, windmills, etc.)]. (SI. p. 2487)",,,2,,"Apr. 20 Order to amend certain items in the schedule of dangerous, unhealthy or offensive establishments [appended to the Order of 10th August, 1933 (flour mills, windmills, etc.)]. (SI. p. 2487) "
BELGIUM,,Apr. 21 Order [under section 8 of the Consolidated Acts respecting compensation for industrial accidents50] respecting the keeping of the wage books. (M. p. 2650),,,2,,Apr. 21 Order [under section 8 of the Consolidated Acts respecting compensation for industrial accidents50] respecting the keeping of the wage books. (M. p. 2650) 
BELGIUM,,"Apr. 28 Order respecting the institution of an advisory committee for supervision and disputes under the Act of 4th August, 193o49, respecting family allowances. (M. p. 2650)",,,2,,"Apr. 28 Order respecting the institution of an advisory committee for supervision and disputes under the Act of 4th August, 193o49, respecting family allowances. (M. p. 2650) "
BELGIUM,,"Apr. 30 Order to amend 8 of] the Order of 7th December, 1931, issuing general regulations for industrial accident insurance [adds item to no. i (permissible investments)]. (M. p. 2652)",,,2,,"Apr. 30 Order to amend 8 of] the Order of 7th December, 1931, issuing general regulations for industrial accident insurance [adds item to no. i (permissible investments)]. (M. p. 2652) "
BELGIUM,,"May Order to amend the sickness, invalidity and agricultural accident insurance systems in force in the cantons of Eupen, Malmédy and St. Vith. (M. p. 3002; R.T. p. 834)",,,2,,"May Order to amend the sickness, invalidity and agricultural accident insurance systems in force in the cantons of Eupen, Malmédy and St. Vith. (M. p. 3002; R.T. p. 834) "
BELGIUM,,"May 29 Acts to ratify the Conventions adopted by the International Labour Conference (i) concerning the age for admission of children to non-industrial employment (2932), and (z) concerning the marking of the weight on heavy packages transported by vessels (Twelfth Session, 2929). (M. p. 3931 and p. 4263; R.T. p. 1069)",,,2,,"May 29 Acts to ratify the Conventions adopted by the International Labour Conference (i) concerning the age for admission of children to non-industrial employment (2932), and (z) concerning the marking of the weight on heavy packages transported by vessels (Twelfth Session, 2929). (M. p. 3931 and p. 4263; R.T. p. 1069) "
BELGIUM,,"June 2 Act to ratify the Treaty of settlement and labour between Belgium and the Netherlands, concluded on 20th February, 193352. (M. 1936, p. 338)",,,2,,"June 2 Act to ratify the Treaty of settlement and labour between Belgium and the Netherlands, concluded on 20th February, 193352. (M. 1936, p. 338) "
BELGIUM,,"June 9 Order under section of the Act of 14th June, seasonal industries: cycle industry. (M. p. 3319) Text: Bel. 4 (A)",,,2,,"June 9 Order under section of the Act of 14th June, seasonal industries: cycle industry. (M. p. 3319) Text: Bel. 4 (A) "
BELGIUM,,June 23 Order to amend the rules of the Welfare and Relief Fund for seamen sailing under the Belgian flag. (M. p. 3822),,,2,,June 23 Order to amend the rules of the Welfare and Relief Fund for seamen sailing under the Belgian flag. (M. p. 3822) 
BELGIUM,,"June 25 Order under section 2 of the Act of x4th June, specification of officials and employees of the Belgian National Railway Company in positions of trust. (M. p. 3723; R.T. p. 2087) Text: Be!. 4 (B)",,,2,,"June 25 Order under section 2 of the Act of x4th June, specification of officials and employees of the Belgian National Railway Company in positions of trust. (M. p. 3723; R.T. p. 2087) Text: Be!. 4 (B) "
BELGIUM,,"June 25 Order to fix the rate of contributions to be paid for 2934 by heads of under- takings covered by the Act of 24th July, 1927, respecting compensation for injury caused by occupational diseases54. (M. p. 3778)",,,2,,"June 25 Order to fix the rate of contributions to be paid for 2934 by heads of under- takings covered by the Act of 24th July, 1927, respecting compensation for injury caused by occupational diseases54. (M. p. 3778) "
BELGIUM,,July 9 Order respecting insurance against accidents occurring in the workshops and laboratories of technical schools. (M. p. 4062),,,2,,July 9 Order respecting insurance against accidents occurring in the workshops and laboratories of technical schools. (M. p. 4062) 
BELGIUM,,July jo Order respecting insurance against industrial accidents in technical schools. (M. p. 4062),,,2,,July jo Order respecting insurance against industrial accidents in technical schools. (M. p. 4062) 
BELGIUM,,"July 25 Act to supplement the provisions of the Act of 24th January, to set up the National Institution for Orphans of Victims of Industrial Accidents. (M. p. 4211) Text: Bel. 5",,,2,,"July 25 Act to supplement the provisions of the Act of 24th January, to set up the National Institution for Orphans of Victims of Industrial Accidents. (M. p. 4211) Text: Bel. 5 "
BELGIUM,,July 27 Order to reorganise the unemployment funds and claims boards. (Si. p. 4229; erratum: p. 5720; R.T. p. 2069) Extracts: Bel. 6 (A),,,2,,July 27 Order to reorganise the unemployment funds and claims boards. (Si. p. 4229; erratum: p. 5720; R.T. p. 2069) Extracts: Bel. 6 (A) 
BELGIUM,,M. = Moniteur beige,,,2,,M. = Moniteur beige. 
BELGIUM,,"R.T. = Revue du Travail. L.S. 2930 (Bel. 9); amendment, 2933 (Bel. 6). — se L.S. 2931 (Bel. 9). — L.S. 2928 (Bel. 5, B). — 52 Extracts, L.S. 2936 (Int. i). — L.S. 1921 (Be.l. i). — L.S",,,2,,"R.T. = Revue du Travail. L.S. 2930 (Bel. 9); amendment, 2933 (Bel. 6). — se L.S. 2931 (Bel. 9). — L.S. 2928 (Bel. 5, B). — 52 Extracts, L.S. 2936 (Int. i). — L.S. 1921 (Be.l. i). — L.S. "
BELGIUM,,2927 (Bel. 7). — L.S. 1932 (Be],,,2,,2927 (Bel. 7). — L.S. 1932 (Be]. 
BELGIUM,,1769) — 19 —,,,3,,(1769) — 19 — 
BELGIUM,,"July 30 Act to amend section of the Act of August, 158756, issuing regolations for the payment of wages to employees. (M. p. 4288; R.T. p. 1179) Text: Be!. 7 (A)",,,3,,"July 30 Act to amend section of the Act of August, 158756, issuing regolations for the payment of wages to employees. (M. p. 4288; R.T. p. 1179) Text: Be!. 7 (A) "
BELGIUM,,"July 30 Act to prolong [to 3oth June, '9351 the provisions of the Act of July, 1932 [fixing a minimum payment to he made by persons liable to old age insurance who are unemployed] which was prolonged by the Order of 29th June, 5933, issued under the Act of 17th May, 1933. (M. p.4316; R.T. p. 1179)",,,3,,"July 30 Act to prolong [to 3oth June, '9351 the provisions of the Act of July, 1932 [fixing a minimum payment to he made by persons liable to old age insurance who are unemployed] which was prolonged by the Order of 29th June, 5933, issued under the Act of 17th May, 1933. (M. p.4316; R.T. p. 1179) "
BELGIUM,,"July 35 Act to confer upon the Crown certain powers for the purpose of restoring economic and financial stability and reducing public expenditure. (M. p. 458,)",,,3,,"July 35 Act to confer upon the Crown certain powers for the purpose of restoring economic and financial stability and reducing public expenditure. (M. p. 458,) "
BELGIUM,,"Aug. 29 Order respecting the conditions for insurance and measures for the supervision of the unemployed in the case of workers employed in hotels, restaurants and public houses. (M. p. 4747)",,,3,,"Aug. 29 Order respecting the conditions for insurance and measures for the supervision of the unemployed in the case of workers employed in hotels, restaurants and public houses. (M. p. 4747) "
BELGIUM,,Sept. 12 Order respecting the contributions of the con]munes to the expenses of manage- nient of the employment and unemployment offices. (81. p. 4872; errafunt: p. 5721; RiP. p. 1322),,,3,,Sept. 12 Order respecting the contributions of the con]munes to the expenses of manage- nient of the employment and unemployment offices. (81. p. 4872; errafunt: p. 5721; RiP. p. 1322) 
BELGIUM,,"Sept. 24 Order to amend the Order of 31st May, 1933, to vary the system of insurance against involuntary unemployment. (81. p. 5054) Text: Be!. 6 (B)",,,3,,"Sept. 24 Order to amend the Order of 31st May, 1933, to vary the system of insurance against involuntary unemployment. (81. p. 5054) Text: Be!. 6 (B) "
BELGIUM,,Sept. 27 Order to amend section 4 of the General Police and Shipping Regulations: marking of the weight on heavy packages consigned for transport by vessels. (M. p. 5298) Text: Be!. 11,,,3,,Sept. 27 Order to amend section 4 of the General Police and Shipping Regulations: marking of the weight on heavy packages consigned for transport by vessels. (M. p. 5298) Text: Be!. 11 
BELGIUM,,"Oct. 9 Order under section of the Art of '4th June, 192150: seasonal industries: prolongation of the temporary variation of the system of hours of work applicable to the building industry and public works. (81. p. 5570) Text: Bel. 4 (C)",,,3,,"Oct. 9 Order under section of the Art of '4th June, 192150: seasonal industries: prolongation of the temporary variation of the system of hours of work applicable to the building industry and public works. (81. p. 5570) Text: Bel. 4 (C) "
