country,region,text,date,year,page,extracted_date,full_text
AUSTRIA,,"Act to prolong [till 31st December, 1935] the period of operation of the Order of r2th October, 1933, respecting the temporary suspension of certain em- ployees of the Austrian State Railways Undertaking and respecting special measures relating to these employees. (B.G.Bl. If, no. 427)",6.12.,1934,1,Dec. 6,"Dec. 6 Act to prolong [till 31st December, 1935] the period of operation of the Order of r2th October, 1933, respecting the temporary suspension of certain em- ployees of the Austrian State Railways Undertaking and respecting special measures relating to these employees. (B.G.Bl. If, no. 427) "
AUSTRIA,,"x Order respecting the compilation of a list of the undertakings within the jurisdiction of the General Federation of Austrian Industrial Employers. (B.G.BIl. II, no. 402; A.N. p. 347)",1.12.,1934,1,Dec. r,"Dec. rx Order respecting the compilation of a list of the undertakings within the jurisdiction of the General Federation of Austrian Industrial Employers. (B.G.BIl. II, no. 402; A.N. p. 347) "
AUSTRIA,,"Order respecting the employers’ contribution to the Federal Housing and Land Settlement Fund. (B.G.BI. IT, no. 428; A.N. p. 352)",12.12.,1934,1,Dec. 12,"Dec. 12 Order respecting the employers’ contribution to the Federal Housing and Land Settlement Fund. (B.G.BI. IT, no. 428; A.N. p. 352) "
AUSTRIA,,"Order to amend the Order of 18th October, 1932, respecting voluntary labour service. (B.G.Bl. II, no. 419; A.N. p. 351)",13.12.,1934,1,Dec. 13,"Dec. 13 Order to amend the Order of 18th October, 1932, respecting voluntary labour service. (B.G.Bl. II, no. 419; A.N. p. 351) "
AUSTRIA,,"Act respecting the dismissal of private employees for activities hostile to the State or the Government [amends Order of 9th March, 1934]. (B.G.BI. II, no. 446; A.N. p. 325)",20.12.,1934,1,Dec. 20,"Dec. 20 Act respecting the dismissal of private employees for activities hostile to the State or the Government [amends Order of 9th March, 1934]. (B.G.BI. II, no. 446; A.N. p. 325) "
AUSTRIA,,"Act to supplement and prolong the operation of the Order (of 23rd March, 1934] respecting the term of office of the administrative bodies of social insurance carriers. (B.G.BIl. II, no. 448; A.N. p. 319)",20.12.,1934,1,Dec. 20,"Dec. 20 Act to supplement and prolong the operation of the Order (of 23rd March, 1934] respecting the term of office of the administrative bodies of social insurance carriers. (B.G.BIl. II, no. 448; A.N. p. 319) "
AUSTRIA,,"x Act to amend the Act of 16th January, 1895, relating to the regulation of Sunday rest and public holidays in industrial undertakings. (B.G.BI. II, no. 421; A.N. p. 324) Text: Aus. 11",2.12.,1934,1,Dec. 2,"Dec. 2x Act to amend the Act of 16th January, 1895, relating to the regulation of Sunday rest and public holidays in industrial undertakings. (B.G.BI. II, no. 421; A.N. p. 324) Text: Aus. 11 "
AUSTRIA,,"Act to extend the operation of the Order of roth November, 1933, respecting the continuance of the contract of employment or service of members of the Volunteer Defence Corps. (B.G.BI. IT, no. 441; A.N. p. 325)",29.12.,1934,1,Dec. 29,"Dec. 29 Act to extend the operation of the Order of roth November, 1933, respecting the continuance of the contract of employment or service of members of the Volunteer Defence Corps. (B.G.BI. IT, no. 441; A.N. p. 325) "
AUSTRIA,,"Order to issue the rules for the General Federation of Austrian Industrial Employers. (B.G.BI. 1935, no. 1; A.N. 1935, p. 8)",31.12.,1934,1,Dec. 31,"Dec. 31 Order to issue the rules for the General Federation of Austrian Industrial Employers. (B.G.BI. 1935, no. 1; A.N. 1935, p. 8) "
AUSTRIA,,"x Act to allocate establishments liable to accident insurance to risk classes and to fix the percentages for the risk classes for the period from ist January, 1935, to 31st December, 1939. (B.G.Bl. 1935, no. 4; A.N. 1935, Pp. 2)",3.12.,1934,1,Dec. 3,"Dec. 3x Act to allocate establishments liable to accident insurance to risk classes and to fix the percentages for the risk classes for the period from ist January, 1935, to 31st December, 1939. (B.G.Bl. 1935, no. 4; A.N. 1935, Pp. 2) "
