country,region,text,date,year,page,extracted_date,full_text
INTERNATIONAL,Esthonia — Latvia,"Preliminary Treaty respecting the economic and customs union between Esthonia and Latvia [art. 12: accident compensation]. (Likumu un ministru kabineta noteikumu krajums, 1923, no. 158, p. 360; Riigi Teataja, 1924, no. 8/9, p. 121) Extract: Int. 6",1.11.,1923,2,Nov. 1,"Nov. 1 Preliminary Treaty respecting the economic and customs union between Esthonia and Latvia [art. 12: accident compensation]. (Likumu un ministru kabineta noteikumu krajums, 1923, no. 158, p. 360; Riigi Teataja, 1924, no. 8/9, p. 121) Extract: Int. 6 "
INTERNATIONAL,Finjand — Poland,"Treaty of Commerce and Navigation between Finland and Poland [art. 21: reciprocity of treatment in respect of social insurance]. (Dziennik Ustaw, 1924, no. 81, poz. 781; S. A. and F. F., 1924, no. 234, p.967) Extract: Int.5",10.11.,1923,2,Nov. to,"Nov. to Treaty of Commerce and Navigation between Finland and Poland [art. 21: reciprocity of treatment in respect of social insurance]. (Dziennik Ustaw, 1924, no. 81, poz. 781; S. A. and F. F., 1924, no. 234, p.967) Extract: Int.5 "
INTERNATIONAL,Finland — Sweden,"Sept. 11 Agreement between Sweden and Finland concerning reciprocity in respect of compensation for industrial accidents. (S. A. and F. F., 1923, no. 208; Sveriges Overenkommelser med Frammande Makter, no. 17) Text: Int. 3 (A, i)",,,2,,"Sept. 11 Agreement between Sweden and Finland concerning reciprocity in respect of compensation for industrial accidents. (S. A. and F. F., 1923, no. 208; Sveriges Overenkommelser med Frammande Makter, no. 17) Text: Int. 3 (A, i) "
INTERNATIONAL,Germany — Czechoslovakia,"Protocol concerning the reciprocal treatment of nationals of the two Parties C: employment or dismissal of workers]. (League of Nations Treaty Series, vol. XXXI, p. 165, no. 793)",28.4.,1923,2,Apr. 28,"Apr. 28 Protocol concerning the reciprocal treatment of nationals of the two Parties C: employment or dismissal of workers]. (League of Nations Treaty Series, vol. XXXI, p. 165, no. 793) "
INTERNATIONAL,Germany — Lithuania,"Treaty of Commerce between Germany and Lithuania [arts. 21 —22: migrants]. (Vyriausybes Zinios, 1924, no. 173; Reichsgesetzblatt, 1924, Part EI, no. 29, p. 205) Extract: Int. 4",1.6.,1923,2,June 1,"June 1 Treaty of Commerce between Germany and Lithuania [arts. 21 —22: migrants]. (Vyriausybes Zinios, 1924, no. 173; Reichsgesetzblatt, 1924, Part EI, no. 29, p. 205) Extract: Int. 4 "
INTERNATIONAL,Germany — Saar Basin Governing Commission,P: 1 of 3rd 2 in tters of social insurance. (League,31.5.,1923,2,May 31,May 31 P: 1 of 3rd 2 in tters of social insurance. (League 
INTERNATIONAL,Germany — Saar Basin Governing Commission,"rotocol of 3rd June, 1921, concerning matte Cc u . g of Nations Treaty Series, vol. XXVII, p. 296, no. 693) NATIONAL LEGISLATION",21.7.,1923,2,July 21,"July 21 rotocol of 3rd June, 1921, concerning matte Cc u . g of Nations Treaty Series, vol. XXVII, p. 296, no. 693) NATIONAL LEGISLATION. "
ALBERTA see Canada,,"Algeria, while such matters as do not come within the legislative power are regulated",,,2,,"Algeria, while such matters as do not come within the legislative power are regulated "
ALBERTA see Canada,,"by decree of the President of the Republic.” (Statesman’s Year-Book, 1924, p. 899.)",,,2,,"by decree of the President of the Republic.” (Statesman’s Year-Book, 1924, p. 899.) "
ARGENTINE,Federal Government,"Decree respecting the employment of women. (C.M. May 1923, Pp. 1055)",23.3.,1923,2,Mar. 23,"Mar. 23 Decree respecting the employment of women. (C.M. May 1923, Pp. 1055) "
ARGENTINE,Federal Government,"Decree respecting the work and remuneration of convict labour. (C. M. July 1923, p. 1080)",16.6.,1923,2,June 16,"June 16 Decree respecting the work and remuneration of convict labour. (C. M. July 1923, p. 1080) "
ARGENTINE,Federal Government,"Decree to approve the regulations under the second part of section 9 of Act no. 11,110 (National Superannuation and Pensions Fund). (Almanaque del Trabajo 1924, p. 125)",30.6.,1923,2,June 30,"June 30 Decree to approve the regulations under the second part of section 9 of Act no. 11,110 (National Superannuation and Pensions Fund). (Almanaque del Trabajo 1924, p. 125) "
ARGENTINE,Federal Government,"Sept. 18 Decree respecting the prevention of accidents arising from the use of powet machinery in agriculture. (C.M. Oct. 1923, p. 1140)",,,2,,"Sept. 18 Decree respecting the prevention of accidents arising from the use of powet machinery in agriculture. (C.M. Oct. 1923, p. 1140) "
ARGENTINE,Federal Government,S.A. and F. F. = Suomen Asetuskokoelma and Finlands Férfattningssamling,,,2,,S.A. and F. F. = Suomen Asetuskokoelma and Finlands Férfattningssamling. 
ARGENTINE,Federal Government,C. M. == Cronica Mensual del Departamento Nacional del Trabajo,,,2,,C. M. == Cronica Mensual del Departamento Nacional del Trabajo. 
