country,region,text,date,year,page,extracted_date,full_text
INTERNATIONAL TREATIES AND AGREEMENTS ({,CanadaFrance,"Agreement respecting the admission of trainees to France and Canada. (France: Journal Officiel, 10-11 Dec.)",4.10.,1956,1,Oct. 4,"Oct. 4 Agreement respecting the admission of trainees to France and Canada. (France: Journal Officiel, 10-11 Dec.) "
INTERNATIONAL TREATIES AND AGREEMENTS ({,CzechoslovakiaDemocratic Republic of Germany,"Agreement concerning co-operation in the field of social policy. (Czechoslovakia: Sbirka Zakonui, 28 Nov. 1957, Supplement; Democratic Republic of Germany: Gesetzblatt der Deutschen Republik, 6 Aug. 1957, Part 1.)",11.9.,1956,1,Sep. 11,"Sep. 11 Agreement concerning co-operation in the field of social policy. (Czechoslovakia: Sbirka Zakonui, 28 Nov. 1957, Supplement; Democratic Republic of Germany: Gesetzblatt der Deutschen Republik, 6 Aug. 1957, Part 1.) "
INTERNATIONAL TREATIES AND AGREEMENTS ({,DenmarkIcelandNorwaySweden,"Agreement respecting the transfer of the members of a sick fund in one of the contracting countries to a sick fund in another of the contracting countries, and respecting sickness benefit during temporary residence in one of the said countries {under arts. 7 and 8 of the Convention of 15 Sep. 1955 respecting social security 3. The Convention of 20 July 1953 * and the Supplementary Agree- ment of 30 Dec, 1954 cease to have effect from 41 Jan. 1957]. (Sweden: Svensk Férfatiningssamling, 1957, No. 10}",19.12.,1956,1,Dec. 19,"Dec. 19 Agreement respecting the transfer of the members of a sick fund in one of the contracting countries to a sick fund in another of the contracting countries, and respecting sickness benefit during temporary residence in one of the said countries {under arts. 7 and 8 of the Convention of 15 Sep. 1955 respecting social security 3. The Convention of 20 July 1953 * and the Supplementary Agree- ment of 30 Dec, 1954 cease to have effect from 41 Jan. 1957]. (Sweden: Svensk Férfatiningssamling, 1957, No. 10} "
INTERNATIONAL TREATIES AND AGREEMENTS ({,Dominican RepublicSpain,"Convention on emigration. (Dominican Republic: Gaceta Oficial, 21 Mar.; Spain: Boletin Ofteval, 29 Jan. 1957)",11.2.,1956,1,Feb. 11,"Feb. 11 Convention on emigration. (Dominican Republic: Gaceta Oficial, 21 Mar.; Spain: Boletin Ofteval, 29 Jan. 1957) "
INTERNATIONAL TREATIES AND AGREEMENTS ({,ItalyNetherlands,"Special Arrangement respecting allowances for aged persons under the Special Protocol to the General Convention between the Italian Republic and the Kingdom of the Netherlands respecting social insurance *, (Netherlands: Tractatenblad, 1957, No. 14)",19.12.,1956,1,Dec. 19,"Dec. 19 Special Arrangement respecting allowances for aged persons under the Special Protocol to the General Convention between the Italian Republic and the Kingdom of the Netherlands respecting social insurance *, (Netherlands: Tractatenblad, 1957, No. 14) "
INTERNATIONAL TREATIES AND AGREEMENTS ({,ItalySpain,"Convention respecting social insurance {Instruments of ratification exchanged on 4 Mar. 1958]. (Spain: Boletin Oficial, 15 Mar. 1958)",21.7.,1956,1,July 21,"July 21 Convention respecting social insurance {Instruments of ratification exchanged on 4 Mar. 1958]. (Spain: Boletin Oficial, 15 Mar. 1958) "
INTERNATIONAL TREATIES AND AGREEMENTS ({,MaltaUnited Kingdom,"Agreement on national insurance. (Malta: Malta Government Gazette, 27 Oct.; United Kingdom: Statutory Instruments, No. 1897)",26.10.,1956,1,Oct. 26,"Oct. 26 Agreement on national insurance. (Malta: Malta Government Gazette, 27 Oct.; United Kingdom: Statutory Instruments, No. 1897) "
INTERNATIONAL TREATIES AND AGREEMENTS ({,NetherlandsUnited Kingdom,"Administrative Arrangement for the application of the Convention on social security signed at The Hague on 11 Aug. 1954 *. (Netherlands: Tractatenbdlad, No. 74)",12.6.,1956,1,June 12,"June 12° Administrative Arrangement for the application of the Convention on social security signed at The Hague on 11 Aug. 1954 *. (Netherlands: Tractatenbdlad, No. 74) . "
INTERNATIONAL TREATIES AND AGREEMENTS ({,Netherlands Yugoslavia,"General Convention respecting social insurance. (Netherlands: Ibid., No. 85)",1.6.,1956,1,June 1,"June 1 General Convention respecting social insurance. (Netherlands: Ibid., No. 85) "
INTERNATIONAL TREATIES AND AGREEMENTS ({,SwedenUnited Kingdom,"Convention on social security. (Sweden: Svensk Férfatinings- samling, 1957, No. 154; United Kingdom: Statutory Instruments, 1957, No. 856) (a a 1955 (Int. 1). ~—- ? L.8. 1953 (Int.5). — 3 1.8. 1952 (int. 2). — 41.8. 41954",9.6.,1956,1,June 9,"June 9 Convention on social security. (Sweden: Svensk Férfatinings- samling, 1957, No. 154; United Kingdom: Statutory Instruments, 1957, No. 856) (a a 1955 (Int. 1). ~—- ? L.8. 1953 (Int.5). — 3 1.8. 1952 (int. 2). — 41.8. 41954 "
