country,region,text,date,year,page,extracted_date,full_text
AUSTRIA,,"Ley federal por la que se modifica la ley [texto 31 de 1969] sobre el fomento del empleo y la ley de 1977 [SL 1977—Aus. 2 (texto codificado)] sobre el seguro de desem- pleo. (Bundesgesetzbiatt, texto 61.)",19.1.,1983,1,19/1/1983,"19/1/1983 Ley federal por la que se modifica la ley [texto 31 de 1969] sobre el fomento del empleo y la ley de 1977 [SL 1977—Aus. 2 (texto codificado)] sobre el seguro de desem- pleo. (Bundesgesetzbiatt, texto 61.) "
AUSTRIA,,"Orden del Ministro Federal de la Administracién Social por la que se modifica la orden que establece oficinas de colocacién de Land y oficinas de colocacién y se determi- na su competencia. (/bid., texto 74.)",1.2.,1983,1,1/11/1983,"1/11/1983 Orden del Ministro Federal de la Administracién Social por la que se modifica la orden que establece oficinas de colocacién de Land y oficinas de colocacién y se determi- na su competencia. (/bid., texto 74.) "
AUSTRIA,,"Ley federal modificatoria de la ley [texto 200 de 1967] sobre el seguro de enferme- dad y accidentes de los funcionarios (duodécima ley modificatoria sobre e! seguro de enfermedad y accidentes de los funcionarios). (/bid., texto 78.)",3.2.,1983,1,3/11/1983,"3/11/1983 Ley federal modificatoria de la ley [texto 200 de 1967] sobre el seguro de enferme- dad y accidentes de los funcionarios (duodécima ley modificatoria sobre e! seguro de enfermedad y accidentes de los funcionarios). (/bid., texto 78.) "
AUSTRIA,,"Ley federal nor la que se modifican ciertas disnosiciones legales relativas a las va- caciones de la ley sobre las vacaciones {texto 390 de 1976], de la ley sobre los periodistas texto 88 de 1920], de la ley sobre los porteros [texto 16 de 1970], de la ley federal sobre el trabajo de los nifios y los adolescentes [texto 146 de 1948: SL 1948—Aus. 3 ... 1969— Aus. 4B] y de la ley de empleados domésticos [texto 235 de 1962: SL 1962—Aus. 2]. (bid., texto 81.)",3.2.,1983,1,3/11/1983,"3/11/1983 Ley federal nor la que se modifican ciertas disnosiciones legales relativas a las va- caciones de la ley sobre las vacaciones {texto 390 de 1976], de la ley sobre los periodistas texto 88 de 1920], de la ley sobre los porteros [texto 16 de 1970], de la ley federal sobre el trabajo de los nifios y los adolescentes [texto 146 de 1948: SL 1948—Aus. 3 ... 1969— Aus. 4B] y de la ley de empleados domésticos [texto 235 de 1962: SL 1962—Aus. 2]. (bid., texto 81.) "
AUSTRIA,,"Ley federal modificatoria de la ley [de 2 junio 1948: SL 1948—Aus. 2 ... 1971— Aus. 1A] sobre el trabajo agricola. (Jbid., texto 82.)",3.2.,1983,1,3/11/1983,"3/11/1983 Ley federal modificatoria de la ley [de 2 junio 1948: SL 1948—Aus. 2 ... 1971— Aus. 1A] sobre el trabajo agricola. (Jbid., texto 82.) "
AUSTRIA,,"Ley federal modificatoria de la ley de 1972 sobre las vacaciones de los trabajadores de la construccién. (/bid., texto 83.)",3.2.,1983,1,3/11/1983,"3/11/1983 Ley federal modificatoria de la ley de 1972 sobre las vacaciones de los trabajadores de la construccién. (/bid., texto 83.) "
AUSTRIA,,"Ley federal modificatoria de la ley de 1960 sobre el trabajo a domicilio. (/bid., tex- to 84.)",3.2.,1983,1,3/11/1983,"3/11/1983 Ley federal modificatoria de la ley de 1960 sobre el trabajo a domicilio. (/bid., tex- to 84.) "
BELGICA,,"Real orden de aplicacion del art. 66 de las leyes relativas a la indemnizacion de los dafios causados por enfermedad profesional, coordinadas el 3 junio 1970. (Moniteur bel- ge — Belgisch Staatsblad, 20 enero.)",13.1.,1983,1,13/1/1983,"13/1/1983 Real orden de aplicacion del art. 66 de las leyes relativas a la indemnizacion de los dafios causados por enfermedad profesional, coordinadas el 3 junio 1970. (Moniteur bel- ge — Belgisch Staatsblad, 20 enero.) "
BELGICA,,"Real orden de aplicacién del art. 42bis de la ley de 10 abril 1971 [SL 1971—Bél. 3] sobre los accidentes del trabajo. (/bid.) Art. 42bis insertado por la ley de 2 julio 1981. Concierne, en particular, a la acumula- cién, con ciertas reservas, de las prestaciones otorgadas en aplicacién de la ley de 10 abril 1971 con las otorgadas en virtud de otras reglas de seguridad y prevision social.]",13.1.,1983,1,13/1/1983,"13/1/1983 Real orden de aplicacién del art. 42bis de la ley de 10 abril 1971 [SL 1971—Bél. 3] sobre los accidentes del trabajo. (/bid.) Art. 42bis insertado por la ley de 2 julio 1981. Concierne, en particular, a la acumula- cién, con ciertas reservas, de las prestaciones otorgadas en aplicacién de la ley de 10 abril 1971 con las otorgadas en virtud de otras reglas de seguridad y prevision social.] "
BELGICA,,Real orden modificatoria de la real orden de 30 julio 1964 por la que se determi- las condiciones de extension a los trabajadores independientes de la aplicacién de la ley de 9 agosto 1963 por la que se instituye y organiza un régimen de seguro obligatorio de enfermedad e invalidez. ([bid.),13.1.,1983,1,13/1/1983,13/1/1983 Real orden modificatoria de la real orden de 30 julio 1964 por la que se determi- las condiciones de extension a los trabajadores independientes de la aplicacién de la ley de 9 agosto 1963 por la que se instituye y organiza un régimen de seguro obligatorio de enfermedad e invalidez. ([bid.) 
