country,region,text,date,year,page,extracted_date,full_text
ARGELIA,,"ARGENTINA ISN=4985 Convenciones colectivas de trabajo. Texto ordenado y reglamentación. 1988-01-27 Decreto núm. 108/88 por la que se aprueba el texto ordenado de la ley núm. 14250, de 13 octubre de 1953, que establece disposiciones para las convenciones colectivas de trabajo [SL 1953-Arg. 1] y sus modificaciones [SL 1988-Arg. 1]. (Boletín Oficial, 1988-02-19, No. 26331, p. 4) t ISN=4986 1988-02-15 Decreto núm. 199 que reglamenta la ley núm. 14250 [SL 1988-Arg. 1], texto ordenado por decreto núm. 108/88 por la que se aprueba el texto ordenado de la ley núm. 14250, de 13 de octubre de 1953 que establece disposiciones para las convenciones colectivas de trabajo [SL 1953-Arg. 1] y sus modificaciones [SL 1988-Arg. 1]. (Boletín Oficial, 1988-02-19, No. 26331, p. 1-2) ISN=4987 Procedimiento para las negociaciones colectivas. 1988-02-16 Decreto núm. 200 por el que se dictan normas que reglamentan el procedimiento para las negociaciones colectivas. (Boletín Oficial, 1988-02-19, No. 26331, p. 2)",,,3,,"ARGENTINA ISN=4985 Convenciones colectivas de trabajo. Texto ordenado y reglamentación. 1988-01-27 Decreto núm. 108/88 por la que se aprueba el texto ordenado de la ley núm. 14250, de 13 octubre de 1953, que establece disposiciones para las convenciones colectivas de trabajo [SL 1953-Arg. 1] y sus modificaciones [SL 1988-Arg. 1]. (Boletín Oficial, 1988-02-19, No. 26331, p. 4) t ISN=4986 1988-02-15 Decreto núm. 199 que reglamenta la ley núm. 14250 [SL 1988-Arg. 1], texto ordenado por decreto núm. 108/88 por la que se aprueba el texto ordenado de la ley núm. 14250, de 13 de octubre de 1953 que establece disposiciones para las convenciones colectivas de trabajo [SL 1953-Arg. 1] y sus modificaciones [SL 1988-Arg. 1]. (Boletín Oficial, 1988-02-19, No. 26331, p. 1-2) ISN=4987 Procedimiento para las negociaciones colectivas. 1988-02-16 Decreto núm. 200 por el que se dictan normas que reglamentan el procedimiento para las negociaciones colectivas. (Boletín Oficial, 1988-02-19, No. 26331, p. 2) "
ARGELIA,,"AUSTRALIA ISN=6799 Creación de organismos de empleo y formación. 1988-06-24 Ley núm. 80 sobre el empleo, la enseñanza y la formación. (Printed separately, 38 p.) ISN=7241 Revisión de la ley sobre relaciones de trabajo. 1988-11-08 Ley núm. 86 sobre relaciones de trabajo. (Printed separately, 189 p.) ISN=7242 1988-11-08 Ley núm. 87 sobre relaciones de trabajo. (Printed separately, 49 p.) 126",,,3,,"AUSTRALIA ISN=6799 Creación de organismos de empleo y formación. 1988-06-24 Ley núm. 80 sobre el empleo, la enseñanza y la formación. (Printed separately, 38 p.) ISN=7241 Revisión de la ley sobre relaciones de trabajo. 1988-11-08 Ley núm. 86 sobre relaciones de trabajo. (Printed separately, 189 p.) ISN=7242 1988-11-08 Ley núm. 87 sobre relaciones de trabajo. (Printed separately, 49 p.) 126 "
ARGELIA,,AUSTRALIA (cont.) ISN=6640,,,4,,AUSTRALIA (cont.) ISN=6640 
ARGELIA,Australia occidental,"AUSTRIA ISN=7243 Promoción de la integración de los minusválidos. 1988-09-27 Ley federal que modifica la ley de 1969 sobre la colocación de los minusválidos. (Bundesgesetzblatt, 1988-12-29, No. 270, p. 4619-4623)",,,4,,"AUSTRIA ISN=7243 Promoción de la integración de los minusválidos. 1988-09-27 Ley federal que modifica la ley de 1969 sobre la colocación de los minusválidos. (Bundesgesetzblatt, 1988-12-29, No. 270, p. 4619-4623) "
ARGELIA,Australia occidental,"BÉLGICA ISN=6950 Protección contra el plomo. 1988-11-07 Real orden por la que se modifican las disposiciones del reglamento general para la protección del trabajo relativas a la protección contra el plomo. (Moniteur belge-Belgisch Staatsblad, 1988-11-22, No. 222, p. 16120-16128)",,,4,,"BÉLGICA ISN=6950 Protección contra el plomo. 1988-11-07 Real orden por la que se modifican las disposiciones del reglamento general para la protección del trabajo relativas a la protección contra el plomo. (Moniteur belge-Belgisch Staatsblad, 1988-11-22, No. 222, p. 16120-16128) "
ARGELIA,Australia occidental,"BOTSWANA ISN=7244 Expedición de licencias e inspección de establecimientos industriales. 1988-11-15 Ley núm. 17 sobre Desarrollo industrial. (Botswana Government Gazette, Supplement A, 1988-11-25, Vol. XXVI, No. 63, p. A77-A84)",,,4,,"BOTSWANA ISN=7244 Expedición de licencias e inspección de establecimientos industriales. 1988-11-15 Ley núm. 17 sobre Desarrollo industrial. (Botswana Government Gazette, Supplement A, 1988-11-25, Vol. XXVI, No. 63, p. A77-A84) "
ARGELIA,Australia occidental,"BULGARIA ISN=6960 Nuevo régimen de salarios. 1988-07-04 Ordenanza núm. 20 por la que se establecen las condiciones de implementación de un nuevo régimen de salarios de base. (D'rjaven vestnik, 1988-07-15, No. 54, p. 1-3)",,,4,,"BULGARIA ISN=6960 Nuevo régimen de salarios. 1988-07-04 Ordenanza núm. 20 por la que se establecen las condiciones de implementación de un nuevo régimen de salarios de base. (D'rjaven vestnik, 1988-07-15, No. 54, p. 1-3) "
ARGELIA,Australia occidental,"CANADÁ ISN=7245 Seguridad en las minas de carbón. 1988-07-21 Ley por la que se modifica el Código Canadiense del Trabajo. 35-36-37 Eliz. II. Ch. 33. (Canadá Gazette/Gazette du Canadá, Part III, 1988-11-03, Vol. 11, No. 7, p. 871-877) 127",,,4,,"CANADÁ ISN=7245 Seguridad en las minas de carbón. 1988-07-21 Ley por la que se modifica el Código Canadiense del Trabajo. 35-36-37 Eliz. II. Ch. 33. (Canadá Gazette/Gazette du Canadá, Part III, 1988-11-03, Vol. 11, No. 7, p. 871-877) 127 "
ARGELIA,Australia occidental,"CEE ISN=6307 Información en el ámbito de la seguridad, la higiene y la salud. 1988-02-24 Decisión de la Comisión 88/383/CEE por la que se establece la mejora de la información en el ámbito de la seguridad, la higiene y la salud en el lugar de trabajo. (Journal officiel des Communautés européennes, 1988-07-14, No. L 183, p. 34) ISN=6308 Políticas migratorias, 1988-06-08 Decisión (núm. 88/384/CEE) de la Comisión por la que se establece un procedimiento de notificación previa y de concertación sobre las políticas migratorias en relación con terceros países. (Journal officiel des Communautés européennes, 1988-07-14, No. L 183, p. 35-36) ISN=6309 Protección de los trabajadores: agentes prohibidos. 1988-06-09 Directiva del Consejo 88/364/CEE relativa a la protección de los trabajadores mediante la prohibición de determinados agentes específicos y/o determinadas actividades (cuarta directiva especial con arreglo al articulo 8 de la directiva 80/1107/CEE). (Journal officiel des Communautés européennes, 1988-07-09, No. L 179, p. 44-47)",,,5,,"CEE ISN=6307 Información en el ámbito de la seguridad, la higiene y la salud. 1988-02-24 Decisión de la Comisión 88/383/CEE por la que se establece la mejora de la información en el ámbito de la seguridad, la higiene y la salud en el lugar de trabajo. (Journal officiel des Communautés européennes, 1988-07-14, No. L 183, p. 34) ISN=6308 Políticas migratorias, 1988-06-08 Decisión (núm. 88/384/CEE) de la Comisión por la que se establece un procedimiento de notificación previa y de concertación sobre las políticas migratorias en relación con terceros países. (Journal officiel des Communautés européennes, 1988-07-14, No. L 183, p. 35-36) ISN=6309 Protección de los trabajadores: agentes prohibidos. 1988-06-09 Directiva del Consejo 88/364/CEE relativa a la protección de los trabajadores mediante la prohibición de determinados agentes específicos y/o determinadas actividades (cuarta directiva especial con arreglo al articulo 8 de la directiva 80/1107/CEE). (Journal officiel des Communautés européennes, 1988-07-09, No. L 179, p. 44-47) "
ARGELIA,Australia occidental,"CHECOSLOVAQUIA ISN=6470 Garantía de los ingresos al término de la relación de trabajo. Sector público. 1988-05-27 Notificación del Ministerio Federal del Trabajo y de los Asuntos Sociales por la que se expide reglamento sobre la cesación de la relación de trabajo, la colocación y la seguridad de los ingresos de los asalariados, en relación con la reorganización de la economía nacional y de sus órganos centrales. Texto núm. 82. (Sbírka zákonu, 1988-05-30, No. 16, p. 436-438) ISN=6310 Principios de base reguladores de las empresas estatales. 1988-06-14 Ley sobre las empresas estatales. Texto núm. 88. (Sbírka zákonu, 1988-06-14, No. 17, p. 461-474) ISN=6311 Cooperativas agrícolas. 1988-06-15 Ley sobre las cooperativas agrícolas. Texto núm. 90. (Sbírka zákonu, 1988-06-15, No. 18, p. 493-511) 128",,,5,,"CHECOSLOVAQUIA ISN=6470 Garantía de los ingresos al término de la relación de trabajo. Sector público. 1988-05-27 Notificación del Ministerio Federal del Trabajo y de los Asuntos Sociales por la que se expide reglamento sobre la cesación de la relación de trabajo, la colocación y la seguridad de los ingresos de los asalariados, en relación con la reorganización de la economía nacional y de sus órganos centrales. Texto núm. 82. (Sbírka zákonu, 1988-05-30, No. 16, p. 436-438) ISN=6310 Principios de base reguladores de las empresas estatales. 1988-06-14 Ley sobre las empresas estatales. Texto núm. 88. (Sbírka zákonu, 1988-06-14, No. 17, p. 461-474) ISN=6311 Cooperativas agrícolas. 1988-06-15 Ley sobre las cooperativas agrícolas. Texto núm. 90. (Sbírka zákonu, 1988-06-15, No. 18, p. 493-511) 128 "
