country,region,text,date,year,page,extracted_date,full_text
BRAZIL,,"Decree no. 23,766, to regulate the hours of work of employees in land trans- port undertakings. (D.O. no. 17, p. 1356; errata: no. 24, p. 1956; no. 26, p. 2114) Text: Braz. 1 (A)",18.1.,1934,1,Jan. 18,"Jan. 18 Decree no. 23,766, to regulate the hours of work of employees in land trans- port undertakings. (D.O. no. 17, p. 1356; errata: no. 24, p. 1956; no. 26, p. 2114) Text: Braz. 1 (A) "
BRAZIL,,"Decree no. 23,768, to regulate the granting of annual leave to industrial employees who are members of industrial associations. (D.O. no. 18, p. 1412; errata: no. 28, p. 2276; Legislagdéo Social—Trabalhista, suplemento n. 1, p. 65) Text: Braz. 4",18.1.,1934,1,Jan. 18,"Jan. 18 Decree no. 23,768, to regulate the granting of annual leave to industrial employees who are members of industrial associations. (D.O. no. 18, p. 1412; errata: no. 28, p. 2276; Legislagdéo Social—Trabalhista, suplemento n. 1, p. 65) Text: Braz. 4 "
BRAZIL,,"Decree no. 23,849, to repeal a provision [section 26} contained in the Decree to regulate the hours of work of persons employed in land transport under- takings. (D.O. no. 46, p. 38333 errata: no. 59, p. 4862; B.M.T. 1935, January, p. 13)",7.2.,1934,1,Feb. 7,"Feb. 7 Decree no. 23,849, to repeal a provision [section 26} contained in the Decree to regulate the hours of work of persons employed in land transport under- takings. (D.O. no. 46, p. 38333 errata: no. 59, p. 4862; B.M.T. 1935, January, p. 13) "
BRAZIL,,"Decree no. 23,871, to extend [for two years} the time limit fixed for the be- ginning of the payment of contributions by members of the superannuation and pension funds. (D.O. no. 40, p. 3307)",14.2.,1934,1,Feb. 14,"Feb. 14 Decree no. 23,871, to extend [for two years} the time limit fixed for the be- ginning of the payment of contributions by members of the superannuation and pension funds. (D.O. no. 40, p. 3307) "
BRAZIL,,"Decree no. 24,077, to alter the organisation of the Seamen’s Retirement and Survivors’ Pension Institution and to provide for other inatters [relates to the administration of Decree no. 22,872 of 29th June, 1933, and Decree no. 22,992 of 26th July, 1933%*]. (D.O. no. 78, p. 6471)",3.4.,1934,1,Apr. 3,"Apr. 3 Decree no. 24,077, to alter the organisation of the Seamen’s Retirement and Survivors’ Pension Institution and to provide for other inatters [relates to the administration of Decree no. 22,872 of 29th June, 1933, and Decree no. 22,992 of 26th July, 1933%*]. (D.O. no. 78, p. 6471) "
BRAZIL,,"Decree no. 24,114, to approve the Regulations for the protection of vegeta- tion [§$§ 52~—119, inspection of insecticides, installation and equipment of industrial establishments, protection of workers, etc.}. (D.O. no. 101, p. 8514)",12.4.,1934,1,Apr. 12,"Apr. 12. Decree no. 24,114, to approve the Regulations for the protection of vegeta- tion [§$§ 52~—119, inspection of insecticides, installation and equipment of industrial establishments, protection of workers, etc.}. (D.O. no. 101, p. 8514) "
BRAZIL,,"Decree no. 24,215, to issue provisions respecting the entry of aliens into Brazilian territory. (D.O. no. 113, p. 9451; errata: no. 180, Pp. 16,121)",9.5.,1934,1,May 9,"May 9 Decree no. 24,215, to issue provisions respecting the entry of aliens into Brazilian territory. (D.O. no. 113, p. 9451; errata: no. 180, Pp. 16,121) "
BRAZIL,,"Decree no. 24,217, to transfer to the Welfare Institution for Public Employees of the Union the existing balance of the special fund created by Decree no. 19,482 of 12th December, 19308 [respecting immigration] and to pro- vide for other matters. (D.O. no. 116, p. 9697)",9.5.,1934,1,May 9,"May 9 Decree no. 24,217, to transfer to the Welfare Institution for Public Employees of the Union the existing balance of the special fund created by Decree no. 19,482 of 12th December, 19308 [respecting immigration] and to pro- vide for other matters. (D.O. no. 116, p. 9697) "
BRAZIL,,"Decree no. 24,222, to amend certain provisions of Decree no. 24,077 of 3rd April, 1934 [relating to the organisation of the Seamnen’s Retirement and Survivors’ Pension Institution}. (D.O. no. 108, p. 9098)",10.5.,1934,1,May 10,"May 10 Decree no. 24,222, to amend certain provisions of Decree no. 24,077 of 3rd April, 1934 [relating to the organisation of the Seamnen’s Retirement and Survivors’ Pension Institution}. (D.O. no. 108, p. 9098) "
BRAZIL,,"Decree no. 24,258, to approve the Regulations for the entry of aliens into Brazilian territory [chap. I, immigrants, i.e. persons coming to Brazil to engage in an occupation}. (D.O. no. 133, p. 11,190; errata: no. 180, p. 16,122)",16.5.,1934,1,May 16,"May 16 Decree no. 24,258, to approve the Regulations for the entry of aliens into Brazilian territory [chap. I, immigrants, i.e. persons coming to Brazil to engage in an occupation}. (D.O. no. 133, p. 11,190; errata: no. 180, p. 16,122) "
BRAZIL,,"Decree no. 24,273, to set up a Retirement and Survivors’ Pension Institu- tion for Persons engaged in Commerce, issue regulations for its operation, and provide for other matters. (D.O. no. 159, p. 13,928; errata: no. 180, p. 16,122; B.M.T. 1935, January, p. 64) Text: Braz. 2",22.5.,1934,1,May 22,"May 22 Decree no. 24,273, to set up a Retirement and Survivors’ Pension Institu- tion for Persons engaged in Commerce, issue regulations for its operation, and provide for other matters. (D.O. no. 159, p. 13,928; errata: no. 180, p. 16,122; B.M.T. 1935, January, p. 64) Text: Braz. 2 "
