country,region,text,date,year,page,extracted_date,full_text
TURQUIE,lire «pourra étre subordonnée »,"IV. REPERTOIRE CHRONOLOGIQUE DE LA LEGISLATION DU TRAVAIL POUR 1952 Ce répertoire donne le titre et la source des lois, décrets, etc., publiés en 1952 relativement au travail et aux domaines connexes (sécurité sociale, logement, coopé-",18.2.,1952,12,18 février 1952,"18 février 1952». IV. REPERTOIRE CHRONOLOGIQUE DE LA LEGISLATION DU TRAVAIL POUR 1952 Ce répertoire donne le titre et la source des lois, décrets, etc., publiés en 1952 relativement au travail et aux domaines connexes (sécurité sociale, logement, coopé- "
ALLEMAGNE (REPUBLIQUE DEMOCRATIQUE),,"Ordonnance relative 4 la protection des droits des travailleurs et au paiement de la rémunération des ouvriers et employés. (G.D.D.R., 27 mai) All. (R. D.) 1",20.5.,1952,13,20 mai,"20 mai Ordonnance relative 4 la protection des droits des travailleurs et au paiement de la rémunération des ouvriers et employés. (G.D.D.R., 27 mai) All. (R. D.) 1 "
ALLEMAGNE (REPUBLIQUE DEMOCRATIQUE),,"Ordonnance tendant a élever les salaires des ouvriers qualifiés dans les branches d’industrie les plus importantes (G.D.D.R., 2 juill.)",28.6.,1952,13,28 juin,"28 juin Ordonnance tendant a élever les salaires des ouvriers qualifiés dans les branches d’industrie les plus importantes (G.D.D.R., 2 juill.) "
ALLEMAGNE (REPUBLIQUE DEMOCRATIQUE),,"Ordonnance sur les droits et devoirs du personnel de maitrise dans les entreprises nationales et assimilées et sur ]’augmentation de leurs salaires. (G.D.D.R., 2 juill.)",28.6.,1952,13,28 juin,"28 juin Ordonnance sur les droits et devoirs du personnel de maitrise dans les entreprises nationales et assimilées et sur ]’augmentation de leurs salaires. (G.D.D.R., 2 juill.) "
ALLEMAGNE (REPUBLIQUE DEMOCRATIQUE),,"Arrété fixant une durée du travail réduite pour certains établissements sanitaires. (G.D.D.R., 2 aodt)",7.8.,1952,13,7 aodt,"7 aodt Arrété fixant une durée du travail réduite pour certains établissements sanitaires. (G.D.D.R., 2 aodt) "
ALLEMAGNE (REPUBLIQUE DEMOCRATIQUE),,"Notification des prescriptions relatives 4 la sécurité technique et 4 la protection du travail dans les mines, miniéres et carriéres. (G.D.D.R., 3 fév. 1953)",30.12.,1952,13,30 déc.,"30 déc. Notification des prescriptions relatives 4 la sécurité technique et 4 la protection du travail dans les mines, miniéres et carriéres. (G.D.D.R., 3 fév. 1953) "
ALLEMAGNE (REPUBLIQUE FEDERALE),,"Loi relative 4 la fixation des conditions minima de travail. (B.G.B., 17 janv.) All. (R. F.) 1",11.1.,1952,13,11 janv.,"11 janv. Loi relative 4 la fixation des conditions minima de travail. (B.G.B., 17 janv.) All. (R. F.) 1 "
ALLEMAGNE (REPUBLIQUE FEDERALE),,"Loi portant modification de la loi [du 9 avril 1949] sur les conventions collectives. (B.G.B., 17 janv.)",11.1.,1952,13,11 janv.,"11 janv. Loi portant modification de la loi [du 9 avril 1949] sur les conventions collectives. (B.G.B., 17 janv.) "
ALLEMAGNE (REPUBLIQUE FEDERALE),,"Loi sur la protection des travailleuses méres (lois sur la protection de la maternité). (B.G.B., 30 janv.) All. (R. F.) 2",24.1.,1952,13,24 janv.,"24 janv. Loi sur la protection des travailleuses méres (lois sur la protection de la maternité). (B.G.B., 30 janv.) All. (R. F.) 2 "
ALLEMAGNE (REPUBLIQUE FEDERALE),,"Loiinstituant un Etablissement fédéral du placement et de 1’assurance- chémage. (B.G.B., 12 mars) All, (R. F.) 3",10.3.,1952,13,10 mars,"10 mars Loiinstituant un Etablissement fédéral du placement et de 1’assurance- chémage. (B.G.B., 12 mars) All, (R. F.) 3 "
ALLEMAGNE (REPUBLIQUE FEDERALE),,"Loi abrogeant certaines dispositions en matiére de protection du travail [abroge les §§ 4 et 6 de l’ordonnance du 1¢ septembre 1939 ? modifiant et complétant certaines prescriptions en matiére de protec- tion du travail]. (B.G.B., 24 mars)",21.3.,1952,13,21 mars,"21 mars Loi abrogeant certaines dispositions en matiére de protection du travail [abroge les §§ 4 et 6 de l’ordonnance du 1¢ septembre 1939 ? modifiant et complétant certaines prescriptions en matiére de protec- tion du travail]. (B.G.B., 24 mars) "
ALLEMAGNE (REPUBLIQUE FEDERALE) (suite),,"Loi modifiant les prescriptions relatives 4 la protection de la rémuné- ration du travail. (B.G.B., 23 avril) All, (R. F.) 4",22.4.,1952,14,22 avril,"22 avril Loi modifiant les prescriptions relatives 4 la protection de la rémuné- ration du travail. (B.G.B., 23 avril) All, (R. F.) 4 "
ALLEMAGNE (REPUBLIQUE FEDERALE) (suite),,"Loi sur le régime des baux ruraux. (B.G.B., 26 juin)",25.6.,1952,14,25 juin,"25 juin Loi sur le régime des baux ruraux. (B.G.B., 26 juin) "
ALLEMAGNE (REPUBLIQUE FEDERALE) (suite),,"Cinquiéme ordonnance portant extension de ]’assurance-accidents aux maladies professionnelles. (B.G.B., 31 juill.) All, (R. F.) 5",26.7.,1952,14,26 juill.,"26 juill. Cinquiéme ordonnance portant extension de ]’assurance-accidents aux maladies professionnelles. (B.G.B., 31 juill.) All, (R. F.) 5 "
ALLEMAGNE (REPUBLIQUE FEDERALE) (suite),,"Loi sur le statut des entreprises [conseils d’entreprise, etc.]. (B.G.B., 14 oct.) All, (R. F.) 6",11.10.,1952,14,11 oct.,"11 oct. Loi sur le statut des entreprises [conseils d’entreprise, etc.]. (B.G.B., 14 oct.) All, (R. F.) 6 "
ALLEMAGNE (REPUBLIQUE FEDERALE) (suite),,"Loi modifiant la loi [du 16 juillet 1927 2] sur le placement et l’assurance- chémage. (B.G.B., 11 déc.)",9.12.,1952,14,9 déc.,"9 déc. Loi modifiant la loi [du 16 juillet 1927 2] sur le placement et l’assurance- chémage. (B.G.B., 11 déc.) "
ARGENTINE (REPUBLIQUE),,"nenekks n° 7763 portant loi relative 4 l’impét d’apprentissage, (B.O., 6 mai",18.4.,1952,14,18 avril,"18 avril nenekks n° 7763 portant loi relative 4 l’impét d’apprentissage, (B.O., 6 mai. "
ARGENTINE (REPUBLIQUE),,"Décret n° 7764 pour la réglementation de la loi sur l’impét d’ap- prentissage. (Boletin Informativo de Legislacién Argentina, n° 19, p. 2)",18.4.,1952,14,18 avril,"18 avril Décret n° 7764 pour la réglementation de la loi sur l’impét d’ap- prentissage. (Boletin Informativo de Legislacién Argentina, n° 19, p. 2) "
ARGENTINE (REPUBLIQUE),,"Décret n° 8284 portant réglement d’application de la loi n° 14069 du 29 septembre 1951] sur les régimes de pensions. (B.O., 2 mai.)",28.4.,1952,14,28 avril,"28 avril Décret n° 8284 portant réglement d’application de la loi n° 14069 du 29 septembre 1951] sur les régimes de pensions. (B.O., 2 mai.) "
ARGENTINE (REPUBLIQUE),,"Loin? 14130 modifiant Particle 59 de la loi relative 4 l’Institut natio- na] de la prévoyance sociale ?. (B.O., 28 aofat) PROVINCES",22.8.,1952,14,22 aofit,"22 aofit Loin? 14130 modifiant Particle 59 de la loi relative 4 l’Institut natio- na] de la prévoyance sociale ?. (B.O., 28 aofat) PROVINCES "
ARGENTINE (REPUBLIQUE),Mendoza,"Loi n° 2143 relative a l’organisationu des tribunaux du travail. (B.O., 8 janv. 1953)",23.12.,1952,14,23 déc.,"23 déc. Loi n° 2143 relative a l’organisationu des tribunaux du travail. (B.O., 8 janv. 1953) "
AUSTRALIE,,"Modifications au réglement de 1932 sur l’immigration, dans sa teneur modifiée. (S.R., n® 53)",13.6.,1952,14,13 juin,"13 juin Modifications au réglement de 1932 sur l’immigration, dans sa teneur modifiée. (S.R., n® 53). "
AUSTRALIE,,Loi n° 34 modifiant la loi de 1904 4 1951 ® sur la conciliation et ]’ar- bitrage [modifications diverses relatives a ]a compétence et a la pro- cédure du tribunal],17.6.,1952,14,17 juin,17 juin Loi n° 34 modifiant la loi de 1904 4 1951 ® sur la conciliation et ]’ar- bitrage [modifications diverses relatives a ]a compétence et a la pro- cédure du tribunal]. 
AUSTRALIE,,Loin°® 41 modifiant la loi codificatrice de 1947 4 1951 ¢ sur les services sociaux [notamment en ce qui concerne le droit 4 Ja pension],25.9.,1952,14,25 sept.,25 sept. Loin°® 41 modifiant la loi codificatrice de 1947 4 1951 ¢ sur les services sociaux [notamment en ce qui concerne le droit 4 Ja pension]. 
AUSTRALIE,,"Loi n° 88 modifiant la loi de 1946 4 1947 sur les artisans [notamment en ce qui concerne ]’agrément des artisans, les stagiaires et les appren- tis]",18.11.,1952,14,18 nov.,"18 nov. Loi n° 88 modifiant la loi de 1946 4 1947 sur les artisans [notamment en ce qui concerne ]’agrément des artisans, les stagiaires et les appren- tis]. "
AUSTRALIE,,"Loi n° 107 modifiant la loi de 1947 4 1951 * sur les services sociaux, dans sa teneur modiflée par la loi de 1952 sur les services sociaux déduction des prestations des frais de nourriture et de logement]",18.11.,1952,14,18 nov.,"18 nov. Loi n° 107 modifiant la loi de 1947 4 1951 * sur les services sociaux, dans sa teneur modiflée par la loi de 1952 sur les services sociaux déduction des prestations des frais de nourriture et de logement]. "
AUSTRALIE,,"Loi n° 109 modifiant la loi de 1912 4 1950 sur Ja navigation [disposi- tions concernant le logement des marins, l’4ge minimum d’admission service (quinze ans au lieu de quatorze ans), l’approbation des engagements, les salaires, etc.]. ETATS",8.12.,1952,14,8 déc.,"8 déc. Loi n° 109 modifiant la loi de 1912 4 1950 sur Ja navigation [disposi- tions concernant le logement des marins, l’4ge minimum d’admission service (quinze ans au lieu de quatorze ans), l’approbation des engagements, les salaires, etc.]. ETATS "
AUSTRALIE,Australie occidentale,"Loi n° 5 modifiant la Joi de 1912 4 1950 sur l’arbitrage des différends du travail [élections syndicales, etc.]",11.9.,1952,14,11 sept.,"11 sept. Loi n° 5 modifiant la Joi de 1912 4 1950 sur l’arbitrage des différends du travail [élections syndicales, etc.]. "
AUSTRALIE (suite),Australie occidentale (suite),"Réglement d’application de Ja loi de 1912 4 1952 sur l’arbitrage des différends du travail [abroge tous les réglements antérieurs a l’excep- tion du réglement de 1926 sur l’apprentissage dans les métiers du batiment]. (The Western Australia Government Gazette, 3 oct.)",30.9.,1952,15,30 sept.,"30 sept. Réglement d’application de Ja loi de 1912 4 1952 sur l’arbitrage des différends du travail [abroge tous les réglements antérieurs a l’excep- tion du réglement de 1926 sur l’apprentissage dans les métiers du batiment]. (The Western Australia Government Gazette, 3 oct.) "
AUSTRALIE (suite),Australie occidentale (suite),Loin® 59 modifiant la loi de 1920 4 1951 ' sur les fabriques et magasins pouvoirs du ministre relativement a la suppression des sources d’in- commodité],23.12.,1952,15,23 déc.,23 déc. Loin® 59 modifiant la loi de 1920 4 1951 ' sur les fabriques et magasins pouvoirs du ministre relativement a la suppression des sources d’in- commodité]. 
AUSTRALIE (suite),NouvelleGalles du Sud,Loi n° 12 portant nouvelles dispositions relatives aux congés d’an- cienneté auxquels les salariés ont droit en vertu de Il’article 88 C de la loi de 1940 4 1951 sur l’arbitrage des différends du travail et ala compé- tence des tribunaux du travail 4 cet égard ; modifiant a cet effet la loi susvisée et tendant a des fins connexes,17.4.,1952,15,17 avril,17 avril Loi n° 12 portant nouvelles dispositions relatives aux congés d’an- cienneté auxquels les salariés ont droit en vertu de Il’article 88 C de la loi de 1940 4 1951 sur l’arbitrage des différends du travail et ala compé- tence des tribunaux du travail 4 cet égard ; modifiant a cet effet la loi susvisée et tendant a des fins connexes. 
