country,region,text,date,year,page,extracted_date,full_text
PAÍSES BAJOS,,"Ley por la que se dictan disposiciones relativas a la protec- ción de los miembros de los órganos de representación de los trabajadores en la empresa que adquieran una formación [inser- ta un art. 78a en la ley de 15 enero 1972 (SL 1972 - A1.(R.P.) 1) sobre organización de las empresas]. (""Bundesgesetzblatt"", parte I, 22 enero.) - 16 - REPÚBLICA FEDERAL DE ALEMANIA (continuación)",18.1.,1975,54,18 enero,"18 enero Ley por la que se dictan disposiciones relativas a la protec- ción de los miembros de los órganos de representación de los trabajadores en la empresa que adquieran una formación [inser- ta un art. 78a en la ley de 15 enero 1972 (SL 1972 - A1.(R.P.) 1) sobre organización de las empresas]. (""Bundesgesetzblatt"", parte I, 22 enero.) - 16 - REPÚBLICA FEDERAL DE ALEMANIA (continuación) "
PAÍSES BAJOS,,"Ley modificatoria de la ley [de 17 sept. 1953: SL 1953 - A1.(R.P.) 3] de reglamentación de la artesanía [modifica los arts. 35, 55a y 56]. (Ibíd., 15 febrero.)",13.2.,1975,55,13 febrero,"13 febrero Ley modificatoria de la ley [de 17 sept. 1953: SL 1953 - A1.(R.P.) 3] de reglamentación de la artesanía [modifica los arts. 35, 55a y 56]. (Ibíd., 15 febrero.) "
PAÍSES BAJOS,,"Segunda ordenanza por la que se modifica la relativa al permi- so de trabajo de los trabajadores no alemanes [numerosas modi- ficaciones]. Reglamento sobre los permisos de trabajo. (Ibíd., 27 febrero.) 2 marzo Ley de introducción del Código Penal [título 8: modificación de las leyes en las esferas del derecho del trabajo, de la se- guridad social y de la asistencia a las víctimas de la guerra. ínter alia, modifica la ley de 14 agosto 1969 (SL 1969 - A1.(R.F.) 2) sobre la formación profesional, la ley de 15 ene- ro 1972 (SL 1972 - A1.(R.F.) 1) sobre organización de las em- presas, la ley de 29 junio 1936 (SL 1936 - Al. 1) sobre dura- ción del trabajo en las panaderías, la ley de 14 marzo 1951 (SL 1951 - A1.(R.F.) 1) sobre el trabajo a domicilio, la ley de 30 abril 1938 (SL 1938 - Al. 6) sobre la duración del tra- bajo, la ley de 9 agosto 1960 (SL 1960 - A1.(R.F.) 2) de pro- tección de la juventud trabajadora, la ley de 25 junio 1969 (SL 1969 - A1.(R.F.) 1, 1972 - A1.(R.F.) 3) sobre el fomento del empleo, la ley de 7 agosto 1972 (SL 1972 - A1.(R.F.) 2) sobre empresarios de trabajo temporal, la ley de 14 agosto 1961 (SL 1961 -A1.(R.F.) 6) de inválidos, el Código de Segu- ros del Reich. (SL 1924 - Al. 10 ... 1973 - A1.(R.F.) 1 ) , la ley sobre seguro de pensiones de los empleados (SL 1924 - Al. 6 ... SL 1957 - Al.(R.F-) 1 B ) , la ley de 1.° julio 1926 (SL 1926 - Al. 5 ... 1942 - Al. 1 B y F) sobre las cajas mine- ras, la ley de 14 sept. 1965 sobre asistencia a los agriculto- res de edad avanzada y la ley de 14 abril 1964 (SL 1964 - A1.(R.F.) 1) sobre subsidios familiares], (ibíd., 9 marzo.) Ley sobre órganos de representación del personal al servicio de la República Federal [en particular, modifica los arts. 1.°, 2, 15 y 16 de la ley de 10 agosto 1951 (SL 1969 - A1.(R.F.) 3 (texto codificado)) relativa a la protección de los trabajado- res contra el despido, y deroga la ley de 5 agosto 1955 (SL 1955 - A1.(R.F.) 1) sobre representación del personal]. (ibíd., 20 marzo.)",22.2.,1975,55,22 febrero,"22 febrero Segunda ordenanza por la que se modifica la relativa al permi- so de trabajo de los trabajadores no alemanes [numerosas modi- ficaciones]. Reglamento sobre los permisos de trabajo. (Ibíd., 27 febrero.) 2 marzo Ley de introducción del Código Penal [título 8: modificación de las leyes en las esferas del derecho del trabajo, de la se- guridad social y de la asistencia a las víctimas de la guerra. ínter alia, modifica la ley de 14 agosto 1969 (SL 1969 - A1.(R.F.) 2) sobre la formación profesional, la ley de 15 ene- ro 1972 (SL 1972 - A1.(R.F.) 1) sobre organización de las em- presas, la ley de 29 junio 1936 (SL 1936 - Al. 1) sobre dura- ción del trabajo en las panaderías, la ley de 14 marzo 1951 (SL 1951 - A1.(R.F.) 1) sobre el trabajo a domicilio, la ley de 30 abril 1938 (SL 1938 - Al. 6) sobre la duración del tra- bajo, la ley de 9 agosto 1960 (SL 1960 - A1.(R.F.) 2) de pro- tección de la juventud trabajadora, la ley de 25 junio 1969 (SL 1969 - A1.(R.F.) 1, 1972 - A1.(R.F.) 3) sobre el fomento del empleo, la ley de 7 agosto 1972 (SL 1972 - A1.(R.F.) 2) sobre empresarios de trabajo temporal, la ley de 14 agosto 1961 (SL 1961 -A1.(R.F.) 6) de inválidos, el Código de Segu- ros del Reich. (SL 1924 - Al. 10 ... 1973 - A1.(R.F.) 1 ) , la ley sobre seguro de pensiones de los empleados (SL 1924 - Al. 6 ... SL 1957 - Al.(R.F-) 1 B ) , la ley de 1.° julio 1926 (SL 1926 - Al. 5 ... 1942 - Al. 1 B y F) sobre las cajas mine- ras, la ley de 14 sept. 1965 sobre asistencia a los agriculto- res de edad avanzada y la ley de 14 abril 1964 (SL 1964 - A1.(R.F.) 1) sobre subsidios familiares], (ibíd., 9 marzo.) Ley sobre órganos de representación del personal al servicio de la República Federal [en particular, modifica los arts. 1.°, 2, 15 y 16 de la ley de 10 agosto 1951 (SL 1969 - A1.(R.F.) 3 (texto codificado)) relativa a la protección de los trabajado- res contra el despido, y deroga la ley de 5 agosto 1955 (SL 1955 - A1.(R.F.) 1) sobre representación del personal]. (ibíd., 20 marzo.) "
PAÍSES BAJOS,,"Tercera ley modificatoria de la ley federal [de 30 junio 1961: SL 1961 - A1.(R.F.) 5] sobre la ayuda social [numerosas modi- ficaciones]. (Ibíd., 28 marzo.)",25.3.,1975,55,25 marzo,"25 marzo Tercera ley modificatoria de la ley federal [de 30 junio 1961: SL 1961 - A1.(R.F.) 5] sobre la ayuda social [numerosas modi- ficaciones]. (Ibíd., 28 marzo.) "
PAÍSES BAJOS,,"Ley por la que se amplía nuevamente la legislación aplicable a las personas que sufran una enfermedad grave [modifica la ley de 14 agosto 1961 (SL 1961 - A1.(R.F.) 6) de inválidos (numero- sas modificaciones), el art. 61 de la ley de 25 junio 1969 (SL 1969 - Al.(iR.F.) 1, 1972 - A1.(R.F.) 3) sobre el fomento del empleo, y asimismo el art. 30 de la ley federal de 30 junio 1961: SL 1961 - A1.(R.F.) 5) sobre ayuda social]. (Ibíd., 27 abril.)",24.4.,1975,55,24 abril,"24 abril Ley por la que se amplía nuevamente la legislación aplicable a las personas que sufran una enfermedad grave [modifica la ley de 14 agosto 1961 (SL 1961 - A1.(R.F.) 6) de inválidos (numero- sas modificaciones), el art. 61 de la ley de 25 junio 1969 (SL 1969 - Al.(iR.F.) 1, 1972 - A1.(R.F.) 3) sobre el fomento del empleo, y asimismo el art. 30 de la ley federal de 30 junio 1961: SL 1961 - A1.(R.F.) 5) sobre ayuda social]. (Ibíd., 27 abril.) "
PAÍSES BAJOS,,"Notificación por la que se promulga el texto codificado de la ley de minusválidos. (Ibíd., 30 abril.) A1.(R.F.) 3",29.4.,1975,55,29 abril,"29 abril Notificación por la que se promulga el texto codificado de la ley de minusválidos. (Ibíd., 30 abril.) A1.(R.F.) 3 "
PAÍSES BAJOS,,"Ordenanza sobre la formación profesional en la industria de la construcción. (Ibíd., 15 mayo.)",8.5.,1975,55,8 mayo,"8 mayo Ordenanza sobre la formación profesional en la industria de la construcción. (Ibíd., 15 mayo.) "
PAÍSES BAJOS,,"Texto codificado de la ley [de 30 marzo 1957] relativa a la lucha contra el trabajo clandestino [aplicable a partir del 1.° enero 1975]. (Ibíd., 7 junio.)",31.5.,1975,55,31 mayo,"31 mayo Texto codificado de la ley [de 30 marzo 1957] relativa a la lucha contra el trabajo clandestino [aplicable a partir del 1.° enero 1975]. (Ibíd., 7 junio.) "
PAÍSES BAJOS,,17 -,15.3.,1975,55,15 marzo,15 marzo - 17 - 
BÉLGICA,,"Real orden que modifica la real orden de 4 nov. 1963 de ejecu- ción de la ley de 9 agosto 1963 que instituye y organiza un régimen de seguro obligatorio de enfermedad y de invalidez [modifica el art. 231]. (Ibíd., 22 mayo.)",14.3.,1975,67,14 marzo,"14 marzo Real orden que modifica la real orden de 4 nov. 1963 de ejecu- ción de la ley de 9 agosto 1963 que instituye y organiza un régimen de seguro obligatorio de enfermedad y de invalidez [modifica el art. 231]. (Ibíd., 22 mayo.) "
