,line_text,spans,x0,y0,x1,y1,page,label_kmeans_0,label_kmeans_1,label
0,AU5TRJA—conhjflued.,['AU5TRJA—conhjflued.'],48.0,25.28,123.92,32.98,1,0,1,country
1,Administrative Instruction of the State Departments for Social,['Administrative Instruction of the State Departments for Social'],65.0,34.59,326.6,45.09,1,0,0,start
2,Administration and for Justice respecting the standing orders,['Administration and for Justice respecting the standing orders'],82.0,42.96,325.58,52.96,1,0,0,start
3,"of the central concihation hoard. 25th February, 920. 5., Aus.","['of the central concihation hoard.', '25th February, 920.', '5.,', 'Aus.']",81.0,51.16,325.0,61.01,1,0,0,start
4,22 (so) . . . . . . . . . . . Act respecting domestic servants' contracts (Domestic Servants',"['22', '(so)', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'Act', ""respecting domestic servants' contracts (Domestic Servants'""]",65.0,60.31,323.66,76.89,1,0,0,start
5,"Act).. 26th February, 1920. T., Aus. iS ..","['Act).. 26th February, 1920.', 'T.,', 'Aus. iS ..']",82.0,74.89,246.58,84.84,1,0,2,other
6,Administrative Instruction of the State Department for Social,"['Administrative', 'Instruction of the State Department for Social']",64.0,82.46,324.37,93.26,1,0,0,start
7,Welfare respecting the employment of women and young persons,['Welfare respecting the employment of women and young persons'],82.0,91.36,324.22,100.56,1,0,0,start
8,"at aight in inns aad public-houses. 6th March, 1920. 1'., Aus. 8","['at aight in inns aad public-houses.', '6th March, 1920.', ""1'.,"", 'Aus. 8']",81.0,99.19,323.72,108.94,1,0,0,start
9,"Administrative Instruction of the State Department for Justice, in","['Administrative Instruction of the State Department for Justice, in']",64.0,106.76,324.25,116.76,1,0,0,start
10,"agreement with the State Department for Social Welfare,","['agreement with the State Department for', 'Social', 'Welfare,']",81.0,114.16,323.88,124.96,1,0,0,start
11,respecting the observance of Sundays and public holidays in the,['respecting the observance of Sundays and public holidays in the'],81.0,123.24,324.53,132.74,1,0,0,start
12,"offices of lawyers and notaries. 17th March, 1920. T., Aus. 9","['offices of lawyers and notaries.', '17th March, 1920.', 'T.,', 'Aus. 9']",81.0,131.21,324.02,141.86,1,0,0,start
13,Administrative Instruction of the State Department of Justice,"['Administrative Instruction of the State Department of', 'Justice']",64.0,138.31,324.59,149.01,1,0,0,start
14,respecting limitations on the giving of notice to terminate certain,['respecting limitations on the giving of notice to terminate certain'],81.0,147.11,325.12,156.51,1,0,0,start
15,"contracts of employment. 20th March. 1Q20. T., Aus. to","['contracts of employment.', '20th March. 1Q20.', 'T.,', 'Aus. to']",81.0,155.29,300.87,164.99,1,0,0,start
16,"Act relating to unemployment insurance. u4th March, 1920. 1'.,","['Act', 'relating to unemployment insurance.', 'u4th March, 1920.', ""1'.,""]",64.0,162.99,323.9,173.06,1,0,0,start
17,Aus. '—7 .. .. .. .. ..,"[""Aus. '—7"", '..', '..', '..', '..', '..']",81.0,172.11,246.5,182.71,1,0,2,other
18,Adnunistrative Instruction of the State Department for Social,"['Adnunistrative', 'Instruction', 'of the State Department for Social']",64.0,178.36,323.87,189.16,1,0,0,start
19,Welfare respecting the form of the notification for the establish,['Welfare respecting the form of the notification for the establish'],81.0,187.14,321.35,196.64,1,0,0,start
20,ment of a claim to unemployment benefit. (Executive Order,"['ment of a claim to unemployment benefit.', '(Executive Order']",81.0,194.74,323.68,204.94,1,0,0,start
21,"No. I, under the Unemployment Insurance Act.) 29th March,","['No. I, under the Unemployment Insurance Act.)', '29th March,']",81.0,202.91,322.97,212.86,1,0,0,start
22,"1920. S., Aus. 1—7 (12) . . . . . . . . . . Administrative Instruction of the State Department for Social","['1920.', 'S.,', 'Aus. 1—7', '(12)', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'Administrative', 'Instruction of the State Department for', 'Social']",64.0,211.96,324.0,229.09,1,0,0,start
23,Welfare respecting areas and seats of the district industrial,"['Welfare respecting areas and seats of the district', 'industrial']",81.0,226.46,325.27,236.96,1,0,0,start
24,"eonlmissions (Executive Order No. II, under the Unemployment","['eonlmissions (Executive Order No. II, under the Unemployment']",81.0,235.14,325.59,244.64,1,0,0,start
25,"Insurance Act). 29th March, 1920. 5., Aus. 1—7 (12). .","['Insurance Act).', '29th March, 1920.', '5.,', 'Aus. 1—7', '(12).', '.']",81.0,243.19,294.44,252.49,1,0,0,start
26,Administrative Inr.truetion of the State Department for Social Welfare,"['Administrative', 'Inr.truetion of the State Department for Social Welfare']",64.0,251.21,324.84,260.56,1,0,0,start
27,respecting approval of the payment of unemployment benefit.,['respecting approval of the payment of unemployment benefit.'],81.0,258.84,325.71,268.74,1,0,0,start
28,(Executive Order No. Iii. under the Unemployment Insurance,['(Executive Order No. Iii. under the Unemployment Insurance'],82.0,266.74,325.87,276.64,1,0,0,start
29,"Act.) 29th March, 1920. S., Aus. 1—7 (i 2) . . .","['Act.)', '29th March, 1920.', 'S.,', 'Aus. 1—7', '(i 2)', '.', '.', '.']",82.0,275.24,294.19,284.41,1,0,0,start
30,Administrative Instruction of the State Department for Social,"['Administrative', 'Instruction', 'of the State Department for Social']",65.0,282.09,326.24,292.99,1,0,0,start
31,Welfare respecting the amount of benefit. (Executive Order No.,"['Welfare respecting the amount of benefit.', '(Executive Order No.']",82.0,291.19,325.45,300.66,1,0,0,start
32,"IV. under the Unemployment insurance Act.) 29th March, 1920.","['IV. under the Unemployment insurance Act.)', '29th March, 1920.']",82.0,299.09,325.01,308.46,1,0,0,start
33,"S., Am. 1—7 (12)","['S.,', 'Am. 1—7', '(12)']",82.0,308.34,142.8,316.24,1,0,1,country
35,Administrative Instruction of the State Department for Social,"['Administrative', 'Instruction', 'of the State Department for', 'Social']",65.0,315.81,325.5,326.81,1,0,0,start
36,Welfare respecting the exclusion from unemployment benefit of,['Welfare respecting the exclusion from unemployment benefit of'],82.0,325.14,326.05,334.64,1,0,0,start
37,unemployed persons whose means of subsistence is not endan,['unemployed persons whose means of subsistence is not endan'],82.0,332.89,322.85,342.59,1,0,0,start
38,gered. (Executive Order No. V. under the Unemployment,"['gered.', '(Executive Order No. V. under the Unemployment']",82.0,340.39,326.45,350.89,1,0,0,start
39,"Insurance Act.) 29th March, 1920. 5., Aus. (m3)","['Insurance Act.)', '29th March, 1920.', '5.,', 'Aus.', '(m3)']",82.0,349.36,285.72,358.56,1,0,2,other
40,Instructions f or the district industrial commissions respecting the,"['Instructions', 'f or the district industrial commissions respecting the']",65.0,358.84,326.36,368.74,1,0,0,start
41,"administration of the Act of 24th March, 1920, relating to","['administration of the Act of 24th March, 1920,', 'relating', 'to']",82.0,366.46,325.7,376.86,1,0,0,start
42,"unemployment insurance. 31st March, 1920. S., Aus. 2—7 (13)","['unemployment insurance.', '31st', 'March,', '1920.', 'S.,', 'Aus. 2—7 (13)']",82.0,375.29,325.22,384.59,1,0,0,start
43,Administrative Instruction of the State Government respecting the,"['Administrative', 'Instruction of the State Government respecting the']",65.0,384.84,326.17,394.74,1,0,0,start
44,coming into operation of certain international agreements.,"['coming into operation', 'of', 'certain international agreements.']",82.0,392.71,326.11,402.91,1,0,0,start
45,"June, 1920. F., Aus. ii","['June, 1920.', 'F.,', 'Aus. ii']",102.0,400.49,193.93,410.74,1,0,2,other
48,Administrative Instruction relating to the coming into operation of,"['Administrative', 'Instruction relating to the coming into operation of']",65.0,410.94,327.01,420.84,1,0,0,start
49,"the Act of s7th December, 5919, respecting the 8-hour day. 26th","['the Act of s7th December, 5919,', 'respecting', 'the 8-hour day.', '26th']",82.0,419.36,326.36,428.56,1,0,0,start
50,"1920. T., Aus. 12—15","['1920.', 'T.,', 'Aus. 12—15']",105.0,428.14,186.38,436.49,1,0,2,other
54,Administrative Instruction of the State Department for Social,"['Administrative', 'Instruction of the State Department for', 'Social']",65.0,435.99,326.5,446.89,1,0,0,start
55,"V/elf are, authorising exceptions to the Act of December,","['V/elf are, authorising exceptions to the Act of', 'December,']",82.0,444.91,325.8,454.71,1,0,0,start
56,"1919, respecting the 8-hour day (Exceptions Order No. s under the","['1919,', 'respecting', 'the 8-hour day (Exceptions Order No. s', 'under', 'the']",83.0,453.11,325.49,462.64,1,0,0,start
57,"8-hour Day Act.). 28th July. 1920. T., Aus. 12—15 (.j)","['8-hour Day Act.).', '28th July. 1920.', 'T.,', 'Aus. 12—15', '(.j)']",82.0,461.01,293.16,470.81,1,0,0,start
58,Circular of the Siate Department for Social Welfare respecting the,"['Circular', 'of the Siate Department for Social Welfare respecting the']",65.0,470.74,326.64,480.64,1,0,0,start
59,authorisation of exceptions to the Eight-hour Day Act for,['authorisation of exceptions to the Eight-hour Day Act for'],82.0,478.31,325.17,488.91,1,0,0,start
60,"ornamental and market gardening. 2nd August, 1920.. '1., Aus.","['ornamental and market gardening.', '2nd August, 1920..', ""'1.,"", 'Aus.']",82.0,487.31,325.82,496.71,1,0,0,start
61,12—15 (8) ..,"['12—15', '(8)', '..']",83.0,495.46,145.8,505.06,1,0,1,country
65,Act respecting the engagement and employment of men disabled in,"['Act', 'respecting the engagement and employment of men disabled in']",65.0,505.06,324.63,514.66,1,0,0,start
66,"the war (Employment of Disabled Men Act). ist October,","['the war (Employment of Disabled Men Act).', 'ist October,']",82.0,512.44,325.13,522.89,1,0,0,start
67,"5920. T., Aus. 16 ..","['5920.', 'T.,', 'Aus. 16', '..']",83.0,520.31,171.3,530.91,1,0,1,country
70,"Act of 26th February, 5920, respecting the establishment of councils","['Act', 'of 26th February, 5920,', 'respecting', 'the establishment of councils']",65.0,531.21,325.4,540.71,1,0,0,start
