,country,region,text,page
0,BELGIUM,,"Royal Order instituting an Industrial Medical Service. s5th June, 1919. T., Bel. 1—3 ",3
1,BELGIUM,,"Ministerial Order in pursuance of Section 81 of the Royal Order dated 28th April, 1884 (respecting the inspection of mines). joth September, T., Bet. 4—6 .. ",3
2,BELGIUM,,"Royal Order defining the to be taken by the industrial Medical Service in respect of applications for permits for undertakings schcduled as dangerous, unhealthy or noxious, and in respect of supervision over the carrying out of regulations which concern the Labour Inspection Service. s5th September, 1919. T Eel. 1—3 (s) .. .. .. .. ",3
3,BELGIUM,,"Royal Decree respecting electrical plant in connection with mines and quarries, industries allied to coal-mining, and metallurgical works. 15th September, 5919. T., Bet. 4—6 (2) ",3
4,BELGIUM,,"Royal Order respecting surface works in connection with under- ground mines and quarries. s5th September, 2919. T., Eel. 4—6 (3) .. .. .. .. .. ",3
5,BELGIUM,,"Royal Order : Institution of a staff of labour supervisors. 20th September, E., Bel. 7 .. .. . Royal Orders Dangerous, unhealthy or noxious undertakings scheduling of places where films, thin sheets or slabs of celluloid, or similar easily ignited substances, are stored. i5th November, i9r9. T., Bel. 8—10 Royal Order Dangerous, unhealthy or noxious undertakings scheduling of apparatus used for projecting luminous images in connection with theatres, circuses, rinks, velodromes and show places in general. i5th November, 1919. T., Eel. 8—so (s) ",3
6,BELGIUM,,"Royal Order defining the action to be taken by the Industrial Medical Service in respect of questions of scheduling of undertakings, applications for permits for scheduled undertakings, and the snpervision of the carrying out of regulations which concern the Mines Department. 11th March, 1920. 1., Bel. 1—3 ",3
7,BELGIUM,,"Royal Order organising a system for supervising the medical and pharmaceutical services connected with friendly societies. rSth March, xgso. T., Bel. is Royal Order : Dangerous, unhealthy and noxious undertakings s2heduling of dance halls and apparatus used for producing cineniatograph shows. 30th April, 1920. 1'., Bel. 8—io (s) ",3
8,BELGIUM,,"Royal Order providing for the supervision of the health of young persons in employment. 1st June, 1920. T., Bel. 25 Act respecting old age pensions. soth August, 1920. T., Bel. 14 ",3
9,BELGIUM,,"Royal Decree promulgating the co-ordinated Acts relating to old age pensions for miners. 30th August, 5920. T., Eel. 12—13.. ",3
10,BELGIUM,,"Royal Decree respecting the administration of the .Act relating to miners' pensions. 5th November, 2920. T., Be!. 12—13 (6) ",3
11,BRAZIL,,"Decree respecting liability for industrial accidents. 15th January, 1919. T., Braz. I & 2 .. .. ",3
12,BRAZIL,,"Decree confirming the administrative regulations under the Acts of 15th January, 1919, respecting liability for industrial accidents. 12th March, 'gi9. S., Braz. i & z (6) . . . ",3
13,BULGARIA,,"Act respecting compulsory labour service. 5th June, 1920. T., Buig. 2 ",3
14,COLOMBIA,,"Act No. 21 of 1920 respecting conciliation and arbitration in collective labour disputes, supplementing Act No. 78 of 1919 respecting strikes. 4th October, 1920. T., Col. ",3
15,COSTA RICA,,"Decree fixing the working day for all workers at eight hours. ifith August) 1920. T., CR. x .. .. .. ",4
16,CZECIIO-SL0VAKIA,,"Act respecting the regulation of conditions of work and wages in home work. 12th December, 1919. T., Cz. i ",4
17,CZECIIO-SL0VAKIA,,"Act respecting works and district councils in the mining industry. February, 1920. T., Cz. 3—5 .. ",4
18,CZECIIO-SL0VAKIA,,"Act respecting the participation of miners in the management of mines and the allocation to them of a share in the net profits. 25th February, 1920. ]., Cs. 6 .. .. ",4
19,CZECIIO-SL0VAKIA,,"Act respecting mining arbitration courts. 25th February, 1920. ",4
20,CZECIIO-SL0VAKIA,,"Act concerning the regulation of international relations in the matter of social insurance. 7th April. 1920. T., Cs. 8 . . . ",4
21,CZECIIO-SL0VAKIA,,"Administrative Order under the Act of 25th February, 1920, respecting works and district councils in the mining industry. 13th July, 1920. '1., Cs. 3—5 (6).. ",4
22,CZECIIO-SL0VAKIA,,"Government Order concerning the coming into operation of the Act and Order respecting works and district councils in the nuuing industry. 3rd August, 1920. T., Cs. (20) . ",4
23,DENMARK,,"Notificatipn of Act No. So of 8th April, 1914, relating to recognised unemployment funds, as amended by the Act of 22nd December, 1919. 5th January, 1920. T., Den. a .. Act concerning the inspection of ships. 29th March, 1020. 5., Den. 4. ",4
24,DENMARK,,"Notification of the Act respecting work in bakeries and confectionery businesses, as amended by the Act of 9th June, 1920. gth June, 1920. T., Den. 3 .. .. .. .. ",4
25,DENMARK,,"Notification of Act No. 205 of 6th July, 1916, respecting insurance against the coasequences of accidents, as amended by the Act of 28th June, 1920. 28th June, 1920. T., Den. 2 ",4
26,FINLANu,,"Act respecting conditions of employment in shops and commercial establishments, offices, and warehouses. c4th October, 1919. ",4
27,FINLANu,,"Resolution of the Council of State respecting the hours of work in continuous industries. 20th December, 1919. T., Fin. 3.. ",4
28,FINLANu,,"Act to amend Section ra, paragraph a, of the Order of 2nd November, 1917, respecting unemployment funds which are entitled to a subsidy front public funds. 8th May, 1920. T., Fin. i ",4
29,FINLANu,,"Resolution of the Council of State relating to special exceptions from the provisions of the Act of 27th November, 1917, respecting the 8-hour working day. 23rd December, ig2n. T., Fin. ",4
30,FRANCE,,"Decree issuing public administrative regulations tinder the Act of ixth June, 1917, respecting Saturday afternoon rest in the industries specified in Section 33 of Book I of the Labour Code (ready-made garments for men, women and children, corset making, bespoke dressmaking, fur-sewing, making of women's underclothing, men's bespoke tailoring). r8th February, 1919. T., Fr. 5-2 .. .. .. .. .. ",4
31,FRANCE,,"Decree issuing public adnunistrative regulations under the Act of tith June, 1917, respecting Saturday afternoon rest in the wholesale millinery trade (provincial). 20th May, 1919. T., Fr. 1—2 (2) .. .. .. .. .. .. ",4
32,FRANCE,,"Act relating to the duration of working hours in mines. 24th June, 1919. T., Fr. 3 .. .. .. .. .. ",4
33,FRANCE,,"Act to amend a heading and a section in Fart it of the first book of the Labour Code. 25th June, 1919. T., Fr. 4 .. ",4
34,FRANCE,,"Act to limit the duration of work of persons of both sexes and of all ages employed on ocean-going vessels to eight hours a day. 2nd August, T., Fr. s .. .. .. .. .. ",4
35,FRANCE,,"Decree issuing public administrative regulations under the Act of 23rd April, 1919, respecting the 8-hour day in the industries connected with the dressing of hides. 3oth August, T., Fr. 13—19 (8) .. .. 6 ",4
