,line_text,spans,x0,y0,x1,y1,page,x0_type,x1_type,label
0,International ,['International '],40.32,40.85,86.17,51.93,1,0,0,country
1,Labour Office ,['Labour Office '],40.56,49.73,90.48,60.81,1,0,0,country
2,Legislative Series ,['Legislative Series '],306.48,41.09,369.71,52.17,1,-1,2,other
3,1987—List No. 3 ,['1987—List No. 3 '],307.68,49.49,369.88,60.57,1,-1,2,other
4,LIST OF RECENT LEGISLATION ,['LIST OF RECENT LEGISLATION '],105.6,69.11,305.78,86.45,1,-1,1,other
5,"This list indicates the more important enactments on labour, social security and related subjects ","['This list indicates the more important enactments on labour, social security and related subjects ']",51.84,99.19,370.1,108.96,1,1,2,middle
6,noted in the official gazettes recently received by the International Labour Office. ,['noted in the official gazettes recently received by the International Labour Office. '],39.36,107.59,314.19,117.36,1,0,1,other
7,"[This cumulative list, arranged in chronological order by country, contains the texts recorded in ","['[This cumulative list, arranged in chronological order by country, contains the texts recorded in ']",52.08,115.42,369.7,126.09,1,1,2,middle
8,1986.] ,['1986.] '],40.56,123.82,62.32,134.49,1,0,0,country
9,ALGERIA ,['ALGERIA '],39.6,148.13,78.7,159.21,1,0,0,country
10,l/X/1985  Decree No. 85-243 laying down model rules for national institutions of advanced ,"['l/X/1985 ', 'Decree No. 85-243 laying down model rules for national institutions of advanced ']",40.56,160.54,369.64,171.21,1,0,2,start
11,"training.  (Journal officiel, 2  Oct.) ","['training.', ' (Journal officiel, 2', ' Oct.) ']",51.36,168.94,165.5,179.61,1,1,0,end
12,17/XII/1985  Decree No. 85-306 to establish a general inspectorate for educational activities ,"['17/XII/1985 ', 'Decree No. 85-306 to establish a general inspectorate for educational activities ']",40.32,181.42,370.18,192.09,1,0,2,start
13,"attached to the Ministry of higher education, (ibid., 18 Dec). ","['attached to the Ministry of higher education, (ibid., 18 Dec). ']",51.36,189.82,264.38,200.49,1,1,1,end
14,"9/II/1986  National Charter, (ibid., 16 Feb.) ","['9/II/1986 ', 'National Charter, (ibid., 16 Feb.) ']",39.36,202.3,195.75,212.97,1,0,0,country
15,[The new National Charter promulgated on 16 February 1986 is a constitutional document. It is ,['[The new National Charter promulgated on 16 February 1986 is a constitutional document. It is '],52.08,214.78,371.44,225.45,1,1,2,middle
16,"a sequel to a number of basic texts adopted since the beginning of the Algerian revolution, ","['a sequel to a number of basic texts adopted since the beginning of the Algerian revolution, ']",51.36,223.18,370.33,233.85,1,1,2,middle
17,"including the first Charter of 1976, which this latest Charter is intended to supplement and ","['including the first Charter of 1976, which this latest Charter is intended to supplement and ']",51.36,231.58,369.63,242.25,1,1,2,middle
18,"extend. Like its predecessor, the 1986 Charter is in the form of a statement of general principles ","['extend. Like its predecessor, the 1986 Charter is in the form of a statement of general principles ']",51.12,239.98,369.94,250.65,1,1,2,middle
19,rather than a set of detailed rights and obligations. The preamble explains the historical bases of ,['rather than a set of detailed rights and obligations. The preamble explains the historical bases of '],51.6,248.38,369.81,259.05,1,1,2,middle
20,Algerian society in some detail. Title  1  then describes the ideological background of Islam and ,"['Algerian society in some detail. Title', ' 1', ' then describes the ideological background of Islam and ']",51.36,256.78,372.19,267.45,1,1,2,middle
