,line_text,spans,x0,y0,x1,y1,page,x0_type,x1_type,label
0,1987—List No. 3  2  (108) ,"['1987—List No. 3 ', '2 ', '(108) ']",75.36,38.5,404.51,52.27,1,0,2,start
1,ANGOLA  (cont.) ,"['ANGOLA', ' (cont.) ']",73.92,63.82,137.18,74.97,1,0,0,country
2,"29/III/1986  Act No. 7, to regulate the status of workers employed under co-operation schemes. ","['29/III/1986 ', 'Act No. 7, to regulate the status of workers employed under co-operation schemes. ']",73.92,76.3,404.79,86.97,1,0,2,start
3,"(ibid., 29 Mar.) ","['(ibid., 29 Mar.) ']",85.92,84.7,141.26,95.37,1,1,0,end
4,"[This statute supplements the Act governing the status of foreign workers, by regulating that of ","['[This statute supplements the Act governing the status of foreign workers, by regulating that of ']",86.64,97.18,404.85,107.85,1,1,2,middle
5,salaried foreign workers recruited abroad to take up employment in Angola. It differs from Act ,['salaried foreign workers recruited abroad to take up employment in Angola. It differs from Act '],85.92,105.58,404.68,116.25,1,1,2,middle
6,"No.  6/86 in several respects, notably by providing for an accommodation guarantee, an ","['No.', ' 6/86 in several respects, notably by providing for an accommodation guarantee, an ']",85.92,113.98,404.74,124.65,1,1,2,middle
7,"installation grant, the reimbursement of travel expenses and the remittance of part of the ","['installation grant, the reimbursement of travel expenses and the remittance of part of the ']",86.16,122.38,405.17,133.05,1,1,2,middle
8,"workers' remuneration. It provides for equality of treatment in respect of medical care, but not ","[""workers' remuneration. It provides for equality of treatment in respect of medical care, but not ""]",86.16,130.78,404.93,141.45,1,1,2,middle
9,in matters pertaining to remuneration and social insurance. The Act supersedes the corresponding provisions of Decree No. 22 of 1978.] ,['in matters pertaining to remuneration and social insurance. The Act supersedes the corresponding provisions of Decree No. 22 of 1978.] '],86.16,139.18,400.19,158.25,1,1,1,end
10,2/VI/1986  Executive Decree No. 22 to approve the internal regulations of the National ,"['2/VI/1986 ', 'Executive Decree No. 22 to approve the internal regulations of the National ']",73.92,160.78,404.86,171.45,1,0,2,start
11,"Department of Human Resources, (ibid., 2 June) ","['Department of Human Resources, (ibid., 2 June) ']",86.16,169.18,257.18,179.85,1,1,1,end
12,"[This Department, which comes under the State Secretary for Social Affairs, is responsible ","['[This Department, which comes under the State Secretary for Social Affairs, is responsible ']",86.64,181.66,404.93,192.33,1,1,2,middle
13,"particularly for studying, orienting, supervising, co-ordinating, issuing rules for and auditing ","['particularly for studying, orienting, supervising, co-ordinating, issuing rules for and auditing ']",85.92,190.3,404.85,200.97,1,1,2,middle
14,"activities related to the organisation of work and of wages, occupational health and safety, and ","['activities related to the organisation of work and of wages, occupational health and safety, and ']",85.44,198.94,403.96,209.61,1,1,2,middle
15,vocational training and counseling.] ,['vocational training and counseling.] '],85.44,207.58,211.18,218.25,1,1,0,end
16,9/VI/l  986  Decree No. 11 to approve the regulations governing the engagement of resident foreign ,"['9/VI/l', ' 986', ' Decree No. 11 to approve the regulations governing the engagement of resident foreign ']",73.44,220.06,404.26,230.73,1,0,2,start
17,"workers, including a model contract, (ibid., 9 June) ","['workers, including a model contract, (ibid., 9 June) ']",85.92,228.94,265.1,239.61,1,1,1,end
18,14/VI/1986  Decree No.  12  to approve the regulations governing the engagement of workers in the ,"['14/VI/1986 ', 'Decree No.', ' 12', ' to approve the regulations governing the engagement of workers in the ']",74.4,241.18,405.26,251.85,1,0,2,start
19,"context of co-operation activities, (ibid., 14 June) ","['context of co-operation activities, (ibid., 14 June) ']",85.44,249.58,257.19,260.25,1,1,1,end
20,[These workers (in the categories of higher or intermediate level technicians and specialised ,['[These workers (in the categories of higher or intermediate level technicians and specialised '],86.16,262.06,403.96,272.73,1,1,2,middle
21,"manual labourers) shall benefit from the same conditions as national workers, receiving wage ","['manual labourers) shall benefit from the same conditions as national workers, receiving wage ']",85.44,270.46,404.21,281.13,1,1,2,middle
22,increases for the exercise of occupational activities under abnormal conditions. Chap. Ill deals ,['increases for the exercise of occupational activities under abnormal conditions. Chap. Ill deals '],85.44,278.86,404.26,289.53,1,1,2,middle
23,"with training of national workers (in particular by means of training, retraining, seminars, ","['with training of national workers (in particular by means of training, retraining, seminars, ']",85.44,287.26,404.14,297.93,1,1,2,middle
24,workshops and conferences).] ,['workshops and conferences).] '],85.44,295.66,189.34,306.33,1,1,0,end
25,9/VIII/1986  Decree No.  16  to approve the regulations regarding medical assistance and medicines ,"['9/VIII/1986 ', 'Decree No.', ' 16', ' to approve the regulations regarding medical assistance and medicines ']",73.92,308.86,405.05,319.53,1,0,2,start
26,"in the people's Republic of Angola, and repealing all conflicting provisions, (ibid., 9 Aug.) ","[""in the people's Republic of Angola, and repealing all conflicting provisions, (ibid., 9 Aug.) ""]",86.16,317.26,399.02,327.93,1,1,1,end
27,"[The assistance shall include: assistance in regard to prevention and health promotion; medicalsurgical assistance; rehabilitation assistance; paramedical care; provision of medicines, medicalsurgical products and prosthesis.] ","['[The assistance shall include: assistance in regard to prevention and health promotion; medicalsurgical assistance; rehabilitation assistance; paramedical care; provision of medicines, medicalsurgical products and prosthesis.] ']",85.92,329.5,399.81,356.97,1,1,1,end
28,ANGUILLA ,['ANGUILLA '],74.16,370.37,120.22,381.45,1,0,0,country
29,"29/V/1986  The Social Security (Amendment) Ordinance 1986. No. 1.  (Official Gazette, ","['29/V/1986 ', 'The Social Security (Amendment) Ordinance 1986. No. 1.', ' (Official Gazette, ']",74.16,382.78,405.15,393.45,1,0,2,start
30,"Supplement, 30 June) ","['Supplement, 30 June) ']",86.16,390.94,162.39,401.61,1,1,0,end
31,"[Miscellaneous amendments to the Social Security Ordinance 1980, in particular regarding ","['[Miscellaneous amendments to the Social Security Ordinance 1980, in particular regarding ']",86.64,403.66,404.61,414.33,1,1,2,middle
32,employment injury.] ,['employment injury.] '],85.92,412.06,157.9,422.73,1,1,0,end
33,29/V/1986  The Control of Employment (Amendment) Ordinance 1986. No. 2. (ibid.) ,"['29/V/1986 ', 'The Control of Employment (Amendment) Ordinance 1986. No. 2. (ibid.) ']",74.16,424.78,373.82,435.45,1,0,1,other
34,"[Amends s.  3  of the Control of Employment Ordinance 1980, in regard to a husband or widower, ","['[Amends s.', ' 3', ' of the Control of Employment Ordinance 1980, in regard to a husband or widower, ']",86.64,437.26,405.25,447.93,1,1,2,middle
35,under stated circumstances.] ,['under stated circumstances.] '],85.92,445.42,185.5,456.09,1,1,0,end
36,"28/VII/l  986  The Social Security (Benefits) (Amendment) Regulations 1986. S.R.O. No. 4. (ibid., ","['28/VII/l', ' 986', ' The Social Security (Benefits) (Amendment) Regulations 1986. S.R.O. No. 4. (ibid., ']",74.16,458.14,404.14,468.81,1,0,2,start
