level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2298,3671,-1.0,
2,1,1,0,0,0,792,482,364,62,-1.0,
3,1,1,1,0,0,792,482,364,62,-1.0,
4,1,1,1,1,0,792,482,364,62,-1.0,
5,1,1,1,1,1,792,482,364,62,95.706932,INDEXES.
2,1,2,0,0,0,517,702,926,41,-1.0,
3,1,2,1,0,0,517,702,926,41,-1.0,
4,1,2,1,1,0,517,702,926,41,-1.0,
5,1,2,1,1,1,517,705,38,38,95.042976,I.
5,1,2,1,1,2,588,702,536,41,71.880219,CHRONOLOGICAL
5,1,2,1,1,3,1156,702,287,39,95.754333,INDEXES.
2,1,3,0,0,0,116,796,1735,232,-1.0,
3,1,3,1,0,0,116,796,1734,52,-1.0,
4,1,3,1,1,0,116,796,1734,52,-1.0,
5,1,3,1,1,1,116,796,52,52,95.61731,A)
5,1,3,1,1,2,198,797,494,40,95.61731,CHRONOLOGICAL
5,1,3,1,1,3,717,797,192,42,95.851044,INDEX
5,1,3,1,1,4,936,798,74,39,95.915199,OF
5,1,3,1,1,5,1035,797,161,42,95.333534,LAWS
5,1,3,1,1,6,1223,797,121,39,96.336685,AND
5,1,3,1,1,7,1371,797,240,40,96.037491,ORDERS
5,1,3,1,1,8,1639,797,63,39,95.833885,IN
5,1,3,1,1,9,1728,798,122,39,95.955864,THE
3,1,3,2,0,0,116,856,1735,43,-1.0,
4,1,3,2,1,0,116,856,1735,43,-1.0,
5,1,3,2,1,1,116,856,388,41,96.571312,LEGISLATIVE
5,1,3,2,1,2,551,857,209,40,96.271317,SERIES
5,1,3,2,1,3,803,858,73,39,96.509987,OF
5,1,3,2,1,4,917,858,119,41,95.965958,THE
5,1,3,2,1,5,1080,856,487,40,95.463173,INTERNATIONAL
5,1,3,2,1,6,1610,857,241,40,96.658302,LABOUR
3,1,3,3,0,0,117,916,1733,112,-1.0,
4,1,3,3,1,0,117,916,1733,52,-1.0,
5,1,3,3,1,1,117,916,220,47,96.206932,"OFFICE,"
