level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2370,3663,-1.0,
2,1,1,0,0,0,1203,260,963,48,-1.0,
3,1,1,1,0,0,1203,260,963,48,-1.0,
4,1,1,1,1,0,1203,260,963,48,-1.0,
5,1,1,1,1,1,1203,260,209,40,59.374947,—6—
5,1,1,1,1,2,2054,269,112,39,91.533493,(756)
2,1,2,0,0,0,436,389,1012,54,-1.0,
3,1,2,1,0,0,436,389,1012,54,-1.0,
4,1,2,1,1,0,436,389,1012,54,-1.0,
5,1,2,1,1,1,436,389,373,42,96.586739,ARGENTINE
5,1,2,1,1,2,840,390,312,41,96.476982,REPUBLIC
5,1,2,1,1,3,1184,389,264,54,96.12925,(continued)
2,1,3,0,0,0,439,494,996,81,-1.0,
3,1,3,1,0,0,439,494,996,81,-1.0,
4,1,3,1,1,0,1183,494,252,31,-1.0,
5,1,3,1,1,1,1183,494,252,31,95.878693,PROVINCES
4,1,3,1,2,0,439,540,188,35,-1.0,
5,1,3,1,2,1,439,540,114,35,96.544495,Santa
5,1,3,1,2,2,583,541,44,34,96.37545,Fe
2,1,4,0,0,0,480,604,1695,133,-1.0,
3,1,4,1,0,0,480,604,1695,133,-1.0,
4,1,4,1,1,0,480,604,1695,40,-1.0,
5,1,4,1,1,1,480,604,91,29,94.929947,Nov.
5,1,4,1,1,2,599,613,40,20,92.396156,20
5,1,4,1,1,3,680,604,128,31,92.396156,Decree
5,1,4,1,1,4,837,613,56,20,95.160744,no.
5,1,4,1,1,5,928,610,72,30,95.160744,"173,"
5,1,4,1,1,6,1032,608,36,25,95.394852,to
5,1,4,1,1,7,1095,604,88,31,95.394852,issue
5,1,4,1,1,8,1209,605,190,36,95.969444,provincial
5,1,4,1,1,9,1427,606,208,37,96.391762,regulations
5,1,4,1,1,10,1664,606,108,31,96.051071,under
5,1,4,1,1,11,1799,606,65,29,96.212524,Act
5,1,4,1,1,12,1893,616,55,20,95.523605,no.
5,1,4,1,1,13,1983,616,116,28,95.523605,"11,544"
5,1,4,1,1,14,2126,608,49,36,96.715485,[of
4,1,4,1,2,0,683,649,1491,42,-1.0,
5,1,4,1,2,1,683,653,82,28,27.829437,12th
5,1,4,1,2,2,787,650,213,39,96.585892,"September,"
5,1,4,1,2,3,1024,661,92,27,96.489456,"1929,"
5,1,4,1,2,4,1136,653,191,36,96.197861,respecting
5,1,4,1,2,5,1345,654,57,30,96.365303,the
5,1,4,1,2,6,1421,653,93,36,96.242088,eight
5,1,4,1,2,7,1534,654,85,30,93.287781,hour
5,1,4,1,2,8,1636,649,111,40,53.943855,day?].
5,1,4,1,2,9,1780,653,150,38,91.514137,(Boletin
5,1,4,1,2,10,1948,653,154,32,92.652832,Mensual
5,1,4,1,2,11,2120,656,54,29,96.72773,del
4,1,4,1,3,0,681,698,1051,39,-1.0,
5,1,4,1,3,1,681,698,278,38,95.92968,Departamento
5,1,4,1,3,2,984,698,192,31,96.44603,Provincial
5,1,4,1,3,3,1200,700,54,29,96.248863,del
5,1,4,1,3,4,1276,700,160,37,96.709671,"Trabajo,"
5,1,4,1,3,5,1463,709,54,20,96.906647,no.
5,1,4,1,3,6,1546,709,28,27,93.29187,"5,"
5,1,4,1,3,7,1598,709,34,28,92.973457,p.
5,1,4,1,3,8,1662,701,70,36,96.587746,136)
2,1,5,0,0,0,437,813,1066,100,-1.0,
3,1,5,1,0,0,437,813,1066,100,-1.0,
