level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2349,3679,-1.0,
2,1,1,0,0,0,174,248,980,40,-1.0,
3,1,1,1,0,0,174,248,980,40,-1.0,
4,1,1,1,1,0,174,248,980,40,-1.0,
5,1,1,1,1,1,174,248,111,39,93.328339,(1763)
5,1,1,1,1,2,920,262,51,6,82.723679,—
5,1,1,1,1,3,1012,250,50,38,80.163971,13
5,1,1,1,1,4,1100,262,54,5,80.163971,—
2,1,2,0,0,0,177,373,271,40,-1.0,
3,1,2,1,0,0,177,373,271,40,-1.0,
4,1,2,1,1,0,177,373,271,40,-1.0,
5,1,2,1,1,1,177,373,271,40,95.741516,AUSTRIA
2,1,3,0,0,0,217,466,1691,894,-1.0,
3,1,3,1,0,0,220,466,1687,87,-1.0,
4,1,3,1,1,0,220,466,1687,39,-1.0,
5,1,3,1,1,1,220,469,76,36,95.92395,Jan.
5,1,3,1,1,2,325,476,15,28,81.674248,5
5,1,3,1,1,3,411,468,106,31,81.674248,Order
5,1,3,1,1,4,545,472,35,25,96.254295,to
5,1,3,1,1,5,613,469,87,28,96.793518,issue
5,1,3,1,1,6,736,468,207,37,96.822052,regulations
5,1,3,1,1,7,978,466,49,29,96.497971,for
5,1,3,1,1,8,1060,466,103,30,95.861992,social
5,1,3,1,1,9,1196,468,179,28,96.463615,insurance
5,1,3,1,1,10,1410,466,139,30,96.085945,carriers
5,1,3,1,1,11,1583,468,84,28,96.386177,with
5,1,3,1,1,12,1702,471,133,33,96.160034,respect
5,1,3,1,1,13,1871,469,36,26,96.430878,to
4,1,3,1,2,0,411,513,968,40,-1.0,
5,1,3,1,2,1,411,519,162,34,96.533257,property
5,1,3,1,2,2,599,516,117,36,87.664505,rights.
5,1,3,1,2,3,756,514,155,38,87.127274,(B.G.Bl.
5,1,3,1,2,4,939,513,25,36,96.159172,"I,"
5,1,3,1,2,5,990,522,53,21,92.200783,no.
5,1,3,1,2,6,1074,522,54,27,91.992081,11;
5,1,3,1,2,7,1155,514,85,29,91.484573,A.N.
5,1,3,1,2,8,1266,522,32,29,92.434715,p.
5,1,3,1,2,9,1326,514,53,37,96.357872,60)
3,1,3,2,0,0,219,560,1687,87,-1.0,
4,1,3,2,1,0,219,560,1687,40,-1.0,
5,1,3,2,1,1,219,564,78,36,94.658447,Jan.
5,1,3,2,1,2,323,572,38,27,68.187096,23
5,1,3,2,1,3,411,564,106,29,94.429024,Order
5,1,3,2,1,4,535,562,193,37,96.188797,respecting
5,1,3,2,1,5,747,562,55,30,96.367683,the
5,1,3,2,1,6,819,562,233,37,96.654671,employment
5,1,3,2,1,7,1070,560,34,29,96.706879,of
5,1,3,2,1,8,1122,562,145,30,96.339424,workers
5,1,3,2,1,9,1285,562,34,29,96.723427,in
5,1,3,2,1,10,1338,562,203,29,95.510048,connection
5,1,3,2,1,11,1559,562,84,30,96.579437,with
5,1,3,2,1,12,1661,561,117,38,96.844803,public
