level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2327,3666,-1.0,
2,1,1,0,0,0,152,244,973,44,-1.0,
3,1,1,1,0,0,152,244,973,44,-1.0,
4,1,1,1,1,0,152,244,973,44,-1.0,
5,1,1,1,1,1,152,244,109,39,96.217056,(1767)
5,1,1,1,1,2,889,262,54,5,88.130013,—
5,1,1,1,1,3,983,249,49,39,65.031281,17
5,1,1,1,1,4,1071,261,54,4,65.031281,—
2,1,2,0,0,0,152,369,567,54,-1.0,
3,1,2,1,0,0,152,369,567,54,-1.0,
4,1,2,1,1,0,152,369,567,54,-1.0,
5,1,2,1,1,1,152,369,272,40,96.241501,AUSTRIA
5,1,2,1,1,2,456,370,263,53,96.001335,(continued)
2,1,3,0,0,0,192,465,1688,1367,-1.0,
3,1,3,1,0,0,193,465,1687,182,-1.0,
4,1,3,1,1,0,193,465,1687,40,-1.0,
5,1,3,1,1,1,193,466,80,30,95.655533,Dec.
5,1,3,1,1,2,300,468,17,28,81.3377,6
5,1,3,1,1,3,389,469,64,28,70.137589,Act
5,1,3,1,1,4,472,472,33,25,94.357521,to
5,1,3,1,1,5,522,468,143,37,96.121124,prolong
5,1,3,1,1,6,680,468,64,36,93.28997,[till
5,1,3,1,1,7,764,471,73,34,95.128868,31st
5,1,3,1,1,8,855,467,197,34,96.139687,"December,"
5,1,3,1,1,9,1075,465,92,38,96.506607,1935]
5,1,3,1,1,10,1188,468,55,28,96.792961,the
5,1,3,1,1,11,1261,466,116,37,96.930977,period
5,1,3,1,1,12,1396,466,33,29,96.946671,of
5,1,3,1,1,13,1447,465,177,38,96.344284,operation
5,1,3,1,1,14,1643,466,35,30,96.396721,of
5,1,3,1,1,15,1695,468,57,28,96.144501,the
5,1,3,1,1,16,1771,466,109,30,96.846718,Order
4,1,3,1,2,0,388,514,1491,38,-1.0,
5,1,3,1,2,1,388,516,35,28,93.24884,of
5,1,3,1,2,2,449,517,78,28,77.674759,r2th
5,1,3,1,2,3,551,515,158,36,96.496864,"October,"
5,1,3,1,2,4,737,524,94,28,95.721107,"1933,"
5,1,3,1,2,5,855,514,192,37,96.264687,respecting
5,1,3,1,2,6,1073,516,55,27,96.113525,the
5,1,3,1,2,7,1155,517,194,34,96.529358,temporary
5,1,3,1,2,8,1372,514,200,37,96.136887,suspension
5,1,3,1,2,9,1597,514,35,30,95.94191,of
5,1,3,1,2,10,1656,514,131,30,92.987709,certain
5,1,3,1,2,11,1811,524,68,20,92.192802,em-
4,1,3,1,3,0,388,561,1492,39,-1.0,
5,1,3,1,3,1,388,565,135,35,92.4534,ployees
5,1,3,1,3,2,546,563,35,29,96.42897,of
5,1,3,1,3,3,605,564,55,28,96.909836,the
5,1,3,1,3,4,683,563,162,30,96.419189,Austrian
5,1,3,1,3,5,872,563,95,28,96.630814,State
5,1,3,1,3,6,993,561,171,36,96.630814,Railways
5,1,3,1,3,7,1187,561,240,38,96.141365,Undertaking
5,1,3,1,3,8,1449,563,66,29,96.809296,and
5,1,3,1,3,9,1537,561,195,38,96.951935,respecting
5,1,3,1,3,10,1752,561,128,38,96.579079,special
4,1,3,1,4,0,390,609,1199,38,-1.0,
5,1,3,1,4,1,390,620,169,20,96.055962,measures
5,1,3,1,4,2,582,611,146,36,95.967834,relating
5,1,3,1,4,3,755,615,34,25,96.018692,to
5,1,3,1,4,4,816,611,92,28,96.018692,these
5,1,3,1,4,5,933,611,204,36,93.214317,employees.
5,1,3,1,4,6,1179,611,153,36,38.130817,(B.G.Bl.
5,1,3,1,4,7,1361,609,46,36,52.458626,"If,"
5,1,3,1,4,8,1435,617,53,20,95.545761,no.
5,1,3,1,4,9,1513,609,76,36,96.831467,427)
3,1,3,2,0,0,193,656,1686,133,-1.0,
4,1,3,2,1,0,193,656,1686,39,-1.0,
5,1,3,2,1,1,193,656,79,29,96.675056,Dec.
5,1,3,2,1,2,302,667,35,20,63.340591,rx
5,1,3,2,1,3,388,659,107,29,84.664948,Order
5,1,3,2,1,4,520,656,191,39,95.99791,respecting
5,1,3,2,1,5,739,660,53,28,96.818893,the
5,1,3,2,1,6,820,657,221,36,95.978485,compilation
5,1,3,2,1,7,1068,657,35,28,95.501816,of
5,1,3,2,1,8,1129,665,18,20,95.501816,a
5,1,3,2,1,9,1173,659,58,28,96.482803,list
5,1,3,2,1,10,1256,657,35,30,96.57402,of
5,1,3,2,1,11,1319,659,54,26,96.229507,the
5,1,3,2,1,12,1401,657,244,38,96.54229,undertakings
5,1,3,2,1,13,1673,657,120,30,93.898766,within
5,1,3,2,1,14,1824,659,55,26,93.898766,the
4,1,3,2,2,0,387,704,1492,39,-1.0,
5,1,3,2,2,1,387,707,214,36,95.817848,jurisdiction
5,1,3,2,2,2,630,705,35,30,96.036758,of
5,1,3,2,2,3,697,707,55,26,96.484169,the
5,1,3,2,2,4,784,705,143,30,96.65451,General
5,1,3,2,2,5,957,705,203,30,96.668976,Federation
5,1,3,2,2,6,1191,705,34,30,96.393097,of
5,1,3,2,2,7,1253,705,163,28,96.274628,Austrian
5,1,3,2,2,8,1447,704,186,31,96.455597,Industrial
5,1,3,2,2,9,1663,705,216,36,96.13205,Employers.
4,1,3,2,3,0,390,752,691,37,-1.0,
5,1,3,2,3,1,390,753,153,36,17.163101,(B.G.BIl.
5,1,3,2,3,2,573,752,46,35,81.215645,"II,"
5,1,3,2,3,3,646,761,53,20,95.758385,no.
5,1,3,2,3,4,727,761,78,28,93.117172,402;
5,1,3,2,3,5,833,753,86,28,88.281448,A.N.
5,1,3,2,3,6,947,763,32,26,91.495255,p.
5,1,3,2,3,7,1009,753,72,36,96.731956,347)
3,1,3,3,0,0,193,799,1686,85,-1.0,
4,1,3,3,1,0,193,799,1686,38,-1.0,
5,1,3,3,1,1,193,799,79,29,95.365227,Dec.
5,1,3,3,1,2,302,809,35,22,60.229568,12
5,1,3,3,1,3,388,801,105,30,96.581642,Order
5,1,3,3,1,4,520,800,191,36,96.408951,respecting
5,1,3,3,1,5,739,801,54,30,96.633835,the
5,1,3,3,1,6,820,800,200,37,96.515625,employers’
5,1,3,3,1,7,1049,800,233,29,96.210266,contribution
5,1,3,3,1,8,1312,804,35,25,96.637711,to
5,1,3,3,1,9,1376,801,55,27,96.552902,the
5,1,3,3,1,10,1457,800,142,29,96.723656,Federal
5,1,3,3,1,11,1626,800,158,37,96.614807,Housing
5,1,3,3,1,12,1809,800,70,29,96.140762,and
4,1,3,3,2,0,389,847,1199,37,-1.0,
5,1,3,3,2,1,389,849,94,30,96.128731,Land
5,1,3,3,2,2,512,848,204,29,95.986679,Settlement
5,1,3,3,2,3,743,848,109,29,93.099953,Fund.
5,1,3,3,2,4,895,847,153,37,91.075493,(B.G.BI.
5,1,3,3,2,5,1079,847,45,36,93.023605,"IT,"
5,1,3,3,2,6,1152,857,53,20,96.133987,no.
5,1,3,3,2,7,1234,848,78,35,93.172279,428;
5,1,3,3,2,8,1340,848,87,28,91.911179,A.N.
5,1,3,3,2,9,1453,856,34,28,92.663544,p.
5,1,3,3,2,10,1513,847,75,37,96.931679,352)
3,1,3,4,0,0,193,900,1686,87,-1.0,
4,1,3,4,1,0,193,900,1686,39,-1.0,
5,1,3,4,1,1,193,900,80,29,96.060989,Dec.
5,1,3,4,1,2,302,911,37,26,67.954117,13
5,1,3,4,1,3,388,903,107,29,88.596085,Order
5,1,3,4,1,4,513,905,34,26,95.789818,to
5,1,3,4,1,5,564,901,123,30,96.532059,amend
5,1,3,4,1,6,707,903,54,29,96.734039,the
5,1,3,4,1,7,779,903,108,29,96.294632,Order
5,1,3,4,1,8,903,903,34,29,96.804253,of
5,1,3,4,1,9,957,903,79,28,96.591927,18th
5,1,3,4,1,10,1053,901,160,36,96.408485,"October,"
5,1,3,4,1,11,1235,911,93,28,96.416626,"1932,"
5,1,3,4,1,12,1347,900,190,39,96.37339,respecting
5,1,3,4,1,13,1555,903,185,34,96.295685,voluntary
5,1,3,4,1,14,1757,901,122,30,95.934746,labour
4,1,3,4,2,0,388,949,895,38,-1.0,
5,1,3,4,2,1,388,951,135,29,93.21933,service.
5,1,3,4,2,2,569,949,152,36,88.25116,(B.G.Bl.
5,1,3,4,2,3,755,949,46,36,92.428726,"II,"
5,1,3,4,2,4,833,959,54,20,92.342972,no.
5,1,3,4,2,5,917,959,78,28,93.092239,419;
5,1,3,4,2,6,1027,949,85,28,90.463371,A.N.
5,1,3,4,2,7,1144,957,32,28,88.829102,p.
5,1,3,4,2,8,1209,951,74,36,63.243492,351)
3,1,3,5,0,0,193,1001,1686,135,-1.0,
4,1,3,5,1,0,193,1001,1686,39,-1.0,
5,1,3,5,1,1,193,1001,80,30,96.673149,Dec.
5,1,3,5,1,2,301,1011,39,21,58.592304,20
5,1,3,5,1,3,389,1004,64,28,93.021027,Act
5,1,3,5,1,4,471,1003,192,36,96.538689,respecting
5,1,3,5,1,5,683,1003,54,29,96.549515,the
5,1,3,5,1,6,756,1003,168,30,96.549515,dismissal
5,1,3,5,1,7,944,1004,33,28,96.737167,of
5,1,3,5,1,8,996,1003,133,37,96.537918,private
5,1,3,5,1,9,1149,1004,194,36,0.0,employees
5,1,3,5,1,10,1363,1003,49,28,96.367981,for
5,1,3,5,1,11,1432,1003,169,29,96.3022,activities
5,1,3,5,1,12,1623,1003,120,29,96.723297,hostile
5,1,3,5,1,13,1767,1005,35,27,96.819649,to
5,1,3,5,1,14,1823,1003,56,28,96.819649,the
