level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2332,3677,-1.0,
2,1,1,0,0,0,168,263,978,45,-1.0,
3,1,1,1,0,0,168,263,978,45,-1.0,
4,1,1,1,1,0,168,263,978,45,-1.0,
5,1,1,1,1,1,168,263,111,45,94.821259,(1771)
5,1,1,1,1,2,909,282,54,5,74.745728,—
5,1,1,1,1,3,1002,272,49,27,82.467781,2I
5,1,1,1,1,4,1092,282,54,3,82.467781,—
2,1,2,0,0,0,169,389,1313,200,-1.0,
3,1,2,1,0,0,169,389,1062,39,-1.0,
4,1,2,1,1,0,169,389,1062,39,-1.0,
5,1,2,1,1,1,169,395,198,28,96.329803,BERMUDA:
5,1,2,1,1,2,391,401,53,20,96.444519,see
5,1,2,1,1,3,467,392,94,29,45.906601,Great
5,1,2,1,1,4,585,392,151,29,95.335121,Britain:
5,1,2,1,1,5,760,391,240,37,96.487526,Dependencies
5,1,2,1,1,6,1027,389,204,38,95.734154,(America).
3,1,2,2,0,0,170,444,650,32,-1.0,
4,1,2,2,1,0,170,444,650,32,-1.0,
5,1,2,2,1,1,170,448,142,28,95.148117,BERNE:
5,1,2,2,1,2,335,455,53,20,96.518433,see
5,1,2,2,1,3,412,444,230,32,95.883675,Switzerland:
5,1,2,2,1,4,665,447,155,28,45.334671,Cantons.
3,1,2,3,0,0,170,499,601,30,-1.0,
4,1,2,3,1,0,170,499,601,30,-1.0,
5,1,2,3,1,1,170,500,170,28,86.891968,BomBAy:
5,1,2,3,1,2,364,508,55,20,95.704384,see
5,1,2,3,1,3,440,499,118,29,94.246635,India:
5,1,2,3,1,4,584,499,187,30,96.657654,Provinces.
3,1,2,4,0,0,169,549,1313,40,-1.0,
4,1,2,4,1,0,169,549,1313,40,-1.0,
5,1,2,4,1,1,169,555,162,34,90.39257,"BorNEO,"
5,1,2,4,1,2,357,553,148,30,95.345192,BRITISH
5,1,2,4,1,3,531,553,144,28,45.628162,NORTH:
5,1,2,4,1,4,701,563,54,20,96.41391,see
5,1,2,4,1,5,779,552,94,29,91.318306,Great
5,1,2,4,1,6,899,551,149,29,96.211349,Britain:
5,1,2,4,1,7,1075,551,243,36,96.055481,Dependencies
5,1,2,4,1,8,1347,549,135,38,95.641541,(Asta).
2,1,3,0,0,0,171,681,220,39,-1.0,
3,1,3,1,0,0,171,681,220,39,-1.0,
4,1,3,1,1,0,171,681,220,39,-1.0,
5,1,3,1,1,1,171,681,220,39,96.477234,BRAZIL
2,1,4,0,0,0,209,775,1696,1624,-1.0,
3,1,4,1,0,0,213,775,1689,136,-1.0,
4,1,4,1,1,0,213,775,1689,38,-1.0,
5,1,4,1,1,1,213,777,76,35,89.442291,Jan.
5,1,4,1,1,2,320,777,36,28,94.590652,18
5,1,4,1,1,3,408,776,125,29,91.492729,Decree
5,1,4,1,1,4,552,784,55,20,95.783424,no.
5,1,4,1,1,5,629,777,130,35,95.783424,"23,766,"
5,1,4,1,1,6,783,780,33,25,96.55719,to
5,1,4,1,1,7,835,777,149,36,96.076584,regulate
5,1,4,1,1,8,1007,777,56,28,96.522507,the
5,1,4,1,1,9,1083,777,103,28,96.8396,hours
5,1,4,1,1,10,1204,775,35,29,96.891396,of
5,1,4,1,1,11,1259,775,92,29,96.681396,work
5,1,4,1,1,12,1371,775,35,29,96.776466,of
5,1,4,1,1,13,1424,776,194,36,96.554573,employees
5,1,4,1,1,14,1636,776,35,28,96.414833,in
5,1,4,1,1,15,1690,776,81,29,93.26606,land
5,1,4,1,1,16,1793,780,109,27,91.713058,trans-
4,1,4,1,2,0,408,824,1491,37,-1.0,
5,1,4,1,2,1,408,828,77,32,96.373878,port
5,1,4,1,2,2,511,824,259,37,93.216331,undertakings.
5,1,4,1,2,3,809,824,98,36,90.19561,(D.O.
5,1,4,1,2,4,934,832,52,20,96.626854,no.
5,1,4,1,2,5,1016,830,48,29,93.201096,"17,"
5,1,4,1,2,6,1090,832,32,28,92.760056,p.
5,1,4,1,2,7,1152,825,98,35,94.557358,1356;
5,1,4,1,2,8,1275,827,122,26,95.874466,errata:
5,1,4,1,2,9,1423,832,54,20,95.117714,no.
5,1,4,1,2,10,1506,832,51,28,93.276703,"24,"
