level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2343,3650,-1.0,
2,1,1,0,0,0,1193,247,985,37,-1.0,
3,1,1,1,0,0,1193,247,985,37,-1.0,
4,1,1,1,1,0,1193,247,985,37,-1.0,
5,1,1,1,1,1,1193,262,55,6,70.075539,—
5,1,1,1,1,2,1285,250,54,30,88.273415,20
5,1,1,1,1,3,1376,263,55,6,83.698891,—
5,1,1,1,1,4,2067,247,111,37,94.08593,(1770)
2,1,2,0,0,0,441,369,596,54,-1.0,
3,1,2,1,0,0,441,369,596,54,-1.0,
4,1,2,1,1,0,441,369,596,54,-1.0,
5,1,2,1,1,1,441,369,292,41,95.957748,BELGIUM
5,1,2,1,1,2,767,369,270,54,94.788872,(continued)
2,1,3,0,0,0,484,440,1695,416,-1.0,
3,1,3,1,0,0,484,440,1695,181,-1.0,
4,1,3,1,1,0,484,440,1694,39,-1.0,
5,1,3,1,1,1,484,444,84,29,96.038734,Dec.
5,1,3,1,1,2,595,444,40,29,94.160149,18
5,1,3,1,1,3,685,440,108,32,94.857254,Order
5,1,3,1,1,4,809,447,36,25,95.234375,to
5,1,3,1,1,5,859,443,89,29,95.234375,issue
5,1,3,1,1,6,963,441,106,31,96.125938,scales
5,1,3,1,1,7,1083,443,50,28,96.125938,for
5,1,3,1,1,8,1149,443,56,28,96.435051,the
5,1,3,1,1,9,1221,441,67,30,96.229156,free
5,1,3,1,1,10,1301,443,58,28,96.229156,old
5,1,3,1,1,11,1372,440,141,39,96.265198,pension
5,1,3,1,1,12,1527,443,121,33,96.499298,"bonus,"
5,1,3,1,1,13,1663,440,109,29,96.055984,under
5,1,3,1,1,14,1785,441,58,28,96.055984,the
5,1,3,1,1,15,1857,441,65,30,96.146004,Act
5,1,3,1,1,16,1936,443,36,28,96.167587,of
5,1,3,1,1,17,1988,443,80,34,90.005516,14th
5,1,3,1,1,18,2083,441,95,38,96.555626,"July,"
4,1,3,1,2,0,685,485,1494,42,-1.0,
5,1,3,1,2,1,685,485,131,40,52.311661,"1930°’,"
5,1,3,1,2,2,840,488,196,39,96.357468,respecting
5,1,3,1,2,3,1056,488,179,31,96.383568,insurance
5,1,3,1,2,4,1257,488,135,37,96.556709,against
5,1,3,1,2,5,1413,488,56,31,96.350533,old
5,1,3,1,2,6,1493,497,60,30,96.592567,age
5,1,3,1,2,7,1576,489,67,28,96.334038,and
5,1,3,1,2,8,1667,491,193,34,96.386497,premature
5,1,3,1,2,9,1884,489,105,30,96.740036,death
5,1,3,1,2,10,2012,491,167,28,96.8144,amended
4,1,3,1,3,0,683,531,1493,44,-1.0,
5,1,3,1,3,1,683,536,49,36,96.272888,by
5,1,3,1,3,2,747,537,57,28,96.279648,the
5,1,3,1,3,3,819,537,65,30,96.856071,Act
5,1,3,1,3,4,896,536,37,29,96.707886,of
5,1,3,1,3,5,947,537,84,35,96.721733,23rd
5,1,3,1,3,6,1044,536,95,37,96.312691,"July,"
5,1,3,1,3,7,1155,531,128,41,71.950516,"193258,"
5,1,3,1,3,8,1296,537,68,28,96.241966,and
5,1,3,1,3,9,1379,539,57,28,96.521454,the
5,1,3,1,3,10,1448,535,124,32,96.755348,Orders
5,1,3,1,3,11,1589,536,36,29,95.094734,of
5,1,3,1,3,12,1643,539,76,33,95.094734,31st
5,1,3,1,3,13,1731,533,90,38,96.069183,"May,"
5,1,3,1,3,14,1838,532,128,40,13.023087,"19335"","
5,1,3,1,3,15,1988,539,79,33,93.15667,14th
5,1,3,1,3,16,2081,536,95,39,95.871826,"July,"
4,1,3,1,4,0,685,579,954,42,-1.0,
5,1,3,1,4,1,685,579,130,40,67.800186,"1933°9,"
5,1,3,1,4,2,841,583,71,30,96.375473,and
5,1,3,1,4,3,939,583,59,29,96.246834,8th
5,1,3,1,4,4,1027,583,205,36,96.81385,"November,"
5,1,3,1,4,5,1262,592,93,28,92.86483,1934.
5,1,3,1,4,6,1397,583,58,38,91.584717,(M.
5,1,3,1,4,7,1481,592,32,28,92.721664,p.
5,1,3,1,4,8,1541,583,98,37,96.88327,6726)
3,1,3,2,0,0,484,628,1694,133,-1.0,
4,1,3,2,1,0,484,628,1694,40,-1.0,
5,1,3,2,1,1,484,632,84,29,95.431633,Dec.
5,1,3,2,1,2,595,640,40,20,88.067719,22
5,1,3,2,1,3,685,629,111,31,88.067719,Order
5,1,3,2,1,4,816,635,36,25,94.853325,to
5,1,3,2,1,5,871,631,128,30,94.853325,amend
5,1,3,2,1,6,1017,632,67,28,95.238327,and
5,1,3,2,1,7,1101,629,216,39,96.375282,supplement
5,1,3,2,1,8,1337,631,130,30,96.130737,certain
