level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,3139,4650,-1.0,
2,1,1,0,0,0,1372,435,641,220,-1.0,
3,1,1,1,0,0,1372,435,641,220,-1.0,
4,1,1,1,1,0,1372,435,641,40,-1.0,
5,1,1,1,1,1,1372,435,301,37,95.893158,LEGISLATIVE
5,1,1,1,1,2,1711,435,161,38,95.95224,SERIES
5,1,1,1,1,3,1911,435,102,40,96.846703,1988
4,1,1,1,2,0,1456,616,472,39,-1.0,
5,1,1,1,2,1,1456,616,133,37,96.251297,TABLE
5,1,1,1,2,2,1625,616,50,37,96.316887,OF
5,1,1,1,2,3,1709,616,219,39,96.348305,CONTENTS
2,1,2,0,0,0,398,796,1767,767,-1.0,
3,1,2,1,0,0,398,796,385,171,-1.0,
4,1,2,1,1,0,400,796,304,38,-1.0,
5,1,2,1,1,1,400,796,304,38,96.573906,LEGISLATION
4,1,2,1,2,0,398,913,385,54,-1.0,
5,1,2,1,2,1,398,916,193,51,93.151657,Algeria
5,1,2,1,2,2,632,913,151,53,90.82531,(Alg.)
3,1,2,2,0,0,398,1036,1767,172,-1.0,
4,1,2,2,1,0,544,1036,1621,51,-1.0,
5,1,2,2,1,1,544,1039,39,37,85.982025,1.
5,1,2,2,1,2,653,1037,326,49,85.982025,Occupational
5,1,2,2,1,3,1021,1036,162,40,96.532646,health
5,1,2,2,1,4,1219,1037,74,39,96.308151,and
5,1,2,2,1,5,1331,1037,182,49,95.659775,safety;
5,1,2,2,1,6,1583,1037,322,50,91.965729,occupational
5,1,2,2,1,7,1945,1037,220,41,96.505196,medicine
4,1,2,2,2,0,398,1155,442,53,-1.0,
5,1,2,2,2,1,398,1159,250,49,96.652359,Argentina
5,1,2,2,2,2,689,1155,151,52,0.0,(Arg.
5,1,2,2,2,3,815,1149,27,64,0.0,)
3,1,2,3,0,0,545,1278,888,52,-1.0,
4,1,2,3,1,0,545,1278,888,52,-1.0,
5,1,2,3,1,1,545,1280,38,39,90.704788,1.
5,1,2,3,1,2,653,1278,276,41,92.231354,Collective
5,1,2,3,1,3,968,1278,159,41,96.917862,labour
5,1,2,3,1,4,1163,1283,270,47,96.539276,agreements
3,1,2,4,0,0,540,1399,1289,53,-1.0,
4,1,2,4,1,0,540,1399,1289,53,-1.0,
5,1,2,4,1,1,540,1402,44,38,93.921021,2.
5,1,2,4,1,2,655,1400,268,40,93.921021,Procedural
5,1,2,4,1,3,964,1399,133,41,95.822823,rules
5,1,2,4,1,4,1133,1400,78,40,96.48748,for
5,1,2,4,1,5,1244,1400,277,40,96.381973,collective
5,1,2,4,1,6,1555,1402,274,50,96.353867,bargaining
3,1,2,5,0,0,541,1523,780,40,-1.0,
4,1,2,5,1,0,541,1523,780,40,-1.0,
5,1,2,5,1,1,541,1524,43,39,86.793083,3.
5,1,2,5,1,2,655,1523,134,39,86.793083,Trade
5,1,2,5,1,3,823,1523,134,39,96.686806,union
5,1,2,5,1,4,995,1523,326,40,96.22776,associations
2,1,3,0,0,0,540,1642,1172,54,-1.0,
3,1,3,1,0,0,540,1642,1172,54,-1.0,
4,1,3,1,1,0,540,1642,1172,54,-1.0,
5,1,3,1,1,1,540,1646,44,40,94.406525,4.
5,1,3,1,1,2,655,1644,134,40,93.623795,Trade
5,1,3,1,1,3,824,1644,133,40,96.417305,union
5,1,3,1,1,4,995,1646,328,38,96.572983,associations
5,1,3,1,1,5,1364,1642,348,54,96.716293,(regulations)
2,1,4,0,0,0,397,1888,1708,880,-1.0,
3,1,4,1,0,0,545,1888,611,49,-1.0,
4,1,4,1,1,0,545,1888,611,49,-1.0,
5,1,4,1,1,1,545,1888,39,39,17.273979,1.
5,1,4,1,1,2,656,1888,191,39,82.527634,Private
5,1,4,1,1,3,880,1888,276,49,96.668434,enterprise
3,1,4,2,0,0,397,2004,1708,181,-1.0,
4,1,4,2,1,0,543,2004,1562,53,-1.0,
5,1,4,2,1,1,543,2008,44,39,91.767677,2.
5,1,4,2,1,2,657,2008,163,38,78.583466,Labour
5,1,4,2,1,3,855,2007,273,50,95.807663,protection
5,1,4,2,1,4,1169,2004,184,45,96.614571,(female
5,1,4,2,1,5,1389,2008,134,39,95.755768,staff
5,1,4,2,1,6,1555,2010,192,39,95.755768,members
5,1,4,2,1,7,1783,2010,77,37,96.721069,and
5,1,4,2,1,8,1891,2006,214,44,96.033035,workers)
4,1,4,2,2,0,397,2125,332,60,-1.0,
5,1,4,2,2,1,397,2127,172,58,92.785767,Greece
5,1,4,2,2,2,605,2125,124,44,89.918007,(Gr.)
3,1,4,3,0,0,397,2246,647,177,-1.0,
4,1,4,3,1,0,548,2246,496,40,-1.0,
5,1,4,3,1,1,548,2247,37,39,72.302689,1.
5,1,4,3,1,2,655,2247,134,39,87.153397,Works
5,1,4,3,1,3,825,2246,219,40,96.635582,councils
4,1,4,3,2,0,397,2363,360,60,-1.0,
5,1,4,3,2,1,397,2366,172,57,93.254707,Guinea
5,1,4,3,2,2,605,2363,152,46,88.263977,(Gui.)
3,1,4,4,0,0,397,2486,563,178,-1.0,
4,1,4,4,1,0,548,2486,412,39,-1.0,
5,1,4,4,1,1,548,2486,39,39,52.38517,1].
5,1,4,4,1,2,656,2486,163,39,88.311417,Labour
5,1,4,4,1,3,853,2486,107,39,96.120674,Code
4,1,4,4,2,0,397,2605,362,59,-1.0,
5,1,4,4,2,1,397,2607,172,57,91.088409,Norway
5,1,4,4,2,2,605,2605,154,44,90.885231,(Nor.)
3,1,4,5,0,0,548,2726,441,42,-1.0,
4,1,4,5,1,0,548,2726,441,42,-1.0,
5,1,4,5,1,1,548,2727,39,41,79.779495,1.
5,1,4,5,1,2,655,2726,158,40,90.621941,Annual
5,1,4,5,1,3,857,2726,132,40,96.786674,leave
2,1,5,0,0,0,404,2846,1169,52,-1.0,
3,1,5,1,0,0,404,2846,1169,52,-1.0,
4,1,5,1,1,0,404,2846,1169,52,-1.0,
5,1,5,1,1,1,404,2850,132,39,96.273102,Union
5,1,5,1,1,2,571,2850,52,40,96.701454,of
5,1,5,1,1,3,657,2849,162,40,96.442017,Soviet
5,1,5,1,1,4,855,2849,245,40,96.442017,Socialist
5,1,5,1,1,5,1136,2850,244,48,96.224586,Republics
5,1,5,1,1,6,1423,2846,150,47,96.667976,(USSR)
2,1,6,0,0,0,396,2900,983,5,-1.0,
3,1,6,1,0,0,396,2900,983,5,-1.0,
4,1,6,1,1,0,396,2900,983,5,-1.0,
5,1,6,1,1,1,396,2900,983,5,95.0, 
2,1,7,0,0,0,543,2969,1653,171,-1.0,
3,1,7,1,0,0,543,2969,1653,171,-1.0,
4,1,7,1,1,0,548,2969,1648,53,-1.0,
5,1,7,1,1,1,548,2972,37,38,75.899879,1.
5,1,7,1,1,2,656,2972,164,38,88.655838,Labour
5,1,7,1,1,3,857,2969,76,41,96.376221,law
5,1,7,1,1,4,968,2972,272,38,95.829948,amendments
5,1,7,1,1,5,1275,2970,192,40,96.753029,related
5,1,7,1,1,6,1500,2974,52,38,96.316231,to
5,1,7,1,1,7,1584,2973,220,39,96.249046,economic
5,1,7,1,1,8,1839,2972,357,50,95.900002,restructuring
4,1,7,1,2,0,543,3092,473,48,-1.0,
5,1,7,1,2,1,543,3092,42,38,93.905586,2.
5,1,7,1,2,2,655,3092,361,48,93.864662,Co-operatives
2,1,8,0,0,0,404,3205,521,53,-1.0,
3,1,8,1,0,0,404,3205,521,53,-1.0,
4,1,8,1,1,0,404,3205,521,53,-1.0,
5,1,8,1,1,1,404,3210,160,39,96.594551,United
5,1,8,1,1,2,600,3209,192,49,96.639465,Kingdom
5,1,8,1,1,3,831,3205,94,45,96.878395,(UK)
2,1,9,0,0,0,396,3260,399,5,-1.0,
3,1,9,1,0,0,396,3260,399,5,-1.0,
4,1,9,1,1,0,396,3260,399,5,-1.0,
5,1,9,1,1,1,396,3260,399,5,95.0, 
2,1,10,0,0,0,548,3326,1228,51,-1.0,
3,1,10,1,0,0,548,3326,1228,51,-1.0,
4,1,10,1,1,0,548,3326,1228,51,-1.0,
5,1,10,1,1,1,548,3328,39,38,76.962646,1.
5,1,10,1,1,2,655,3326,137,40,76.962646,Trade
5,1,10,1,1,3,827,3328,185,44,94.023941,unions;
5,1,10,1,1,4,1080,3328,240,49,94.023941,training;
5,1,10,1,1,5,1389,3328,275,48,95.302254,Employment
5,1,10,1,1,6,1697,3329,79,39,96.728928,Act
2,1,11,0,0,0,405,3446,358,40,-1.0,
3,1,11,1,0,0,405,3446,358,40,-1.0,
4,1,11,1,1,0,405,3446,358,40,-1.0,
5,1,11,1,1,1,405,3446,160,40,95.854774,United
5,1,11,1,1,2,600,3446,163,40,96.584343,States
2,1,12,0,0,0,397,3497,372,6,-1.0,
3,1,12,1,0,0,397,3497,372,6,-1.0,
4,1,12,1,1,0,397,3497,372,6,-1.0,
5,1,12,1,1,1,397,3497,372,6,95.0, 
2,1,13,0,0,0,548,3566,1508,53,-1.0,
3,1,13,1,0,0,548,3566,1508,53,-1.0,
4,1,13,1,1,0,548,3566,1508,53,-1.0,
5,1,13,1,1,1,548,3568,39,39,74.463699,1.
5,1,13,1,1,2,657,3566,331,41,91.047119,Notification
5,1,13,1,1,3,1023,3568,50,39,96.407242,of
5,1,13,1,1,4,1108,3566,132,50,95.967758,plant
5,1,13,1,1,5,1275,3568,242,49,95.875008,closings;
5,1,13,1,1,6,1583,3570,165,39,94.990387,worker
5,1,13,1,1,7,1783,3570,273,49,96.287567,retraining
2,1,14,0,0,0,401,3745,1036,168,-1.0,
3,1,14,1,0,0,401,3745,1036,168,-1.0,
4,1,14,1,1,0,402,3745,1035,40,-1.0,
5,1,14,1,1,1,402,3746,219,39,96.515739,TREATIES
5,1,14,1,1,2,655,3746,81,38,95.771019,AND
5,1,14,1,1,3,775,3745,352,40,95.771019,INTERNATIONAL
5,1,14,1,1,4,1161,3746,276,39,96.031372,AGREEMENTS
4,1,14,1,2,0,401,3865,475,48,-1.0,
5,1,14,1,2,1,401,3865,183,40,95.996613,Council
5,1,14,1,2,2,627,3865,52,40,96.322762,of
5,1,14,1,2,3,713,3865,163,48,96.893623,Europe
2,1,15,0,0,0,545,3984,1511,52,-1.0,
3,1,15,1,0,0,545,3984,1511,52,-1.0,
4,1,15,1,1,0,545,3984,1511,52,-1.0,
5,1,15,1,1,1,545,3985,39,40,83.753845,1.
5,1,15,1,1,2,653,3984,270,40,87.656647,Additional
5,1,15,1,1,3,967,3985,210,40,81.702873,Protocol
5,1,15,1,1,4,1219,3989,49,36,95.548813,to
5,1,15,1,1,5,1300,3988,80,39,96.696312,the
5,1,15,1,1,6,1415,3987,218,49,95.709549,European
5,1,15,1,1,7,1668,3988,156,40,96.075188,Social
5,1,15,1,1,8,1864,3988,192,40,96.557396,Charter
