level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2428,3745,-1.0,
2,1,1,0,0,0,260,252,1818,83,-1.0,
3,1,1,1,0,0,260,252,1818,83,-1.0,
4,1,1,1,1,0,260,252,1818,53,-1.0,
5,1,1,1,1,1,260,252,249,53,95.755493,International
5,1,1,1,1,2,1740,255,206,43,96.466393,Legislative
5,1,1,1,1,3,1963,255,115,33,96.331985,Series
4,1,1,1,2,0,261,300,1817,35,-1.0,
5,1,1,1,2,1,261,302,138,33,96.704849,Labour
5,1,1,1,2,2,416,300,113,35,96.269348,Office
5,1,1,1,2,3,1747,300,208,34,92.37542,1984—List
5,1,1,1,2,4,1972,300,67,34,95.607307,No.
5,1,1,1,2,5,2056,300,22,34,96.709541,3
2,1,2,0,0,0,627,390,1091,52,-1.0,
3,1,2,1,0,0,627,390,1091,52,-1.0,
4,1,2,1,1,0,627,390,1091,52,-1.0,
5,1,2,1,1,1,627,391,154,49,96.192818,LIST
5,1,2,1,1,2,808,390,92,49,95.719124,OF
5,1,2,1,1,3,927,390,283,49,95.908783,RECENT
5,1,2,1,1,4,1236,391,482,51,95.539932,LEGISLATION
2,1,3,0,0,0,261,519,1818,132,-1.0,
3,1,3,1,0,0,261,519,1818,132,-1.0,
4,1,3,1,1,0,331,519,1748,44,-1.0,
5,1,3,1,1,1,331,520,76,34,96.675552,This
5,1,3,1,1,2,420,520,53,34,96.990776,list
5,1,3,1,1,3,489,520,159,34,96.72187,indicates
5,1,3,1,1,4,663,520,53,32,96.999039,the
5,1,3,1,1,5,728,530,92,22,96.785797,more
5,1,3,1,1,6,835,520,177,40,95.784233,important
5,1,3,1,1,7,1027,527,205,25,96.735107,enactments
5,1,3,1,1,8,1245,531,43,21,96.81897,on
5,1,3,1,1,9,1303,519,127,40,96.774719,"labour,"
5,1,3,1,1,10,1444,520,106,34,96.98938,social
5,1,3,1,1,11,1560,523,144,40,96.956116,security
5,1,3,1,1,12,1718,520,66,34,96.622429,and
5,1,3,1,1,13,1796,520,128,35,96.674622,related
5,1,3,1,1,14,1935,520,144,43,96.674622,subjects
4,1,3,1,2,0,261,563,1509,43,-1.0,
5,1,3,1,2,1,261,564,102,34,96.861183,noted
5,1,3,1,2,2,376,567,32,31,96.923096,in
5,1,3,1,2,3,427,564,52,34,96.923096,the
5,1,3,1,2,4,496,563,124,43,91.421585,official
5,1,3,1,2,5,633,571,148,35,91.421585,gazettes
5,1,3,1,2,6,796,563,145,41,96.831955,recently
5,1,3,1,2,7,956,563,150,33,96.673538,received
5,1,3,1,2,8,1117,563,45,43,96.834595,by
5,1,3,1,2,9,1180,563,54,33,96.059265,the
5,1,3,1,2,10,1249,564,239,34,96.576637,International
5,1,3,1,2,11,1504,564,132,34,96.371902,Labour
5,1,3,1,2,12,1652,564,118,42,96.816612,Office.
4,1,3,1,3,0,331,607,1556,44,-1.0,
5,1,3,1,3,1,331,608,100,35,96.719055,Titles
5,1,3,1,3,2,444,608,143,34,96.696915,marked
5,1,3,1,3,3,601,608,74,35,96.69912,with
5,1,3,1,3,4,691,619,42,23,96.951424,an
5,1,3,1,3,5,749,607,140,35,96.398262,asterisk
5,1,3,1,3,6,907,619,57,23,96.349319,are
5,1,3,1,3,7,981,608,155,34,96.638191,intended
5,1,3,1,3,8,1141,608,62,42,96.652649,for
5,1,3,1,3,9,1214,608,205,42,96.792336,publication
5,1,3,1,3,10,1436,612,32,31,96.296913,in
5,1,3,1,3,11,1486,610,53,33,95.434158,the
5,1,3,1,3,12,1556,610,198,41,93.76651,Legislative
5,1,3,1,3,13,1771,610,116,33,96.663185,Series.
2,1,4,0,0,0,261,752,207,32,-1.0,
3,1,4,1,0,0,261,752,207,32,-1.0,
4,1,4,1,1,0,261,752,207,32,-1.0,
5,1,4,1,1,1,261,752,207,32,96.375755,ALGERIA
2,1,5,0,0,0,263,827,1815,176,-1.0,
3,1,5,1,0,0,263,827,1815,176,-1.0,
4,1,5,1,1,0,263,827,1815,44,-1.0,
5,1,5,1,1,1,263,828,166,40,80.811043,7/V/1983
5,1,5,1,1,2,477,828,128,34,93.458344,Decree
5,1,5,1,1,3,617,828,68,40,95.562523,No.
5,1,5,1,1,4,701,827,132,39,96.557854,"83-313,"
5,1,5,1,1,5,847,832,36,28,95.161316,to
5,1,5,1,1,6,896,827,55,41,95.161316,lay
5,1,5,1,1,7,963,827,103,33,96.392128,down
5,1,5,1,1,8,1077,827,197,33,95.911095,conditions
5,1,5,1,1,9,1288,827,53,33,95.911095,for
5,1,5,1,1,10,1353,828,55,34,97.00544,the
5,1,5,1,1,11,1422,828,206,43,96.019142,assignment
5,1,5,1,1,12,1640,828,42,34,95.973938,of
5,1,5,1,1,13,1691,828,147,34,96.692047,workers
5,1,5,1,1,14,1850,828,180,43,76.897278,employed
5,1,5,1,1,15,2044,829,34,33,96.991768,in
4,1,5,1,2,0,349,871,1729,43,-1.0,
5,1,5,1,2,1,349,874,142,33,96.970894,services
5,1,5,1,2,2,504,872,40,35,96.393616,of
5,1,5,1,2,3,553,874,55,33,96.833824,the
5,1,5,1,2,4,621,872,102,39,97.002235,"State,"
5,1,5,1,2,5,737,872,86,34,96.89241,local
5,1,5,1,2,6,836,872,210,39,96.969482,"authorities,"
5,1,5,1,2,7,1060,872,114,42,96.728523,public
5,1,5,1,2,8,1185,871,274,36,96.446602,establishments
5,1,5,1,2,9,1471,874,68,33,96.492043,and
5,1,5,1,2,10,1552,874,148,33,96.998558,socialist
5,1,5,1,2,11,1712,874,208,33,96.344093,institutions
5,1,5,1,2,12,1934,880,36,27,96.615288,to
5,1,5,1,2,13,1983,874,95,33,96.217339,work
4,1,5,1,3,0,351,915,1725,43,-1.0,
5,1,5,1,3,1,351,918,33,32,96.223129,in
5,1,5,1,3,2,404,916,53,34,96.235085,the
5,1,5,1,3,3,476,916,111,42,96.235184,"Party,"
5,1,5,1,3,4,607,926,88,24,95.843208,mass
5,1,5,1,3,5,713,915,260,43,96.146309,"organisations,"
5,1,5,1,3,6,992,916,144,34,96.711472,cultural
5,1,5,1,3,7,1155,915,68,33,95.870544,and
5,1,5,1,3,8,1241,916,241,42,96.362022,occupational
5,1,5,1,3,9,1502,916,122,35,96.443489,unions
5,1,5,1,3,10,1642,918,68,33,95.899918,and
5,1,5,1,3,11,1727,918,125,33,95.899918,elected
5,1,5,1,3,12,1871,918,205,33,95.326996,assemblies.
4,1,5,1,4,0,349,959,495,44,-1.0,
5,1,5,1,4,1,349,962,163,40,88.662849,(Journal
5,1,5,1,4,2,528,960,140,43,91.390945,"Officiel,"
5,1,5,1,4,3,692,960,36,34,94.876678,10
5,1,5,1,4,4,745,959,99,41,96.670387,May)
2,1,6,0,0,0,263,1024,1376,111,-1.0,
3,1,6,1,0,0,263,1024,1376,111,-1.0,
4,1,6,1,1,0,332,1024,868,44,-1.0,
5,1,6,1,1,1,332,1026,156,42,91.880981,[Repeals
5,1,6,1,1,2,507,1027,126,33,96.259926,Decree
5,1,6,1,1,3,651,1027,68,32,96.259926,No.
5,1,6,1,1,4,735,1026,121,33,96.787422,79-104
5,1,6,1,1,5,872,1024,41,35,96.274658,of
5,1,6,1,1,6,927,1026,40,33,96.497414,23
5,1,6,1,1,7,984,1026,87,33,93.273178,June
