level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2170,3597,-1.0,
2,1,1,0,0,0,833,624,337,55,-1.0,
3,1,1,1,0,0,833,624,337,55,-1.0,
4,1,1,1,1,0,833,624,337,55,-1.0,
5,1,1,1,1,1,833,624,337,55,95.850273,INDEXES
2,1,2,0,0,0,513,861,982,154,-1.0,
3,1,2,1,0,0,513,861,982,154,-1.0,
4,1,2,1,1,0,532,861,950,47,-1.0,
5,1,2,1,1,1,532,864,35,41,83.228455,I.
5,1,2,1,1,2,632,861,526,47,94.626236,CHRONOLOGICAL
5,1,2,1,1,3,1190,864,292,44,96.230835,INDEXES.
4,1,2,1,2,0,513,948,982,67,-1.0,
5,1,2,1,2,1,513,965,83,50,96.74231,(A)
5,1,2,1,2,2,635,964,170,43,96.779396,LAWS
5,1,2,1,2,3,836,948,126,59,96.908348,AND
5,1,2,1,2,4,995,965,239,43,95.835732,ORDERS
5,1,2,1,2,5,1265,968,77,42,96.764221,OF
5,1,2,1,2,6,1375,969,120,41,93.639107,1938.
2,1,3,0,0,0,142,1191,1733,455,-1.0,
3,1,3,1,0,0,142,1191,1729,272,-1.0,
4,1,3,1,1,0,228,1191,1640,42,-1.0,
5,1,3,1,1,1,228,1191,81,40,96.357666,The
5,1,3,1,1,2,335,1192,104,31,96.925308,titles
5,1,3,1,1,3,463,1199,62,25,96.323845,are
5,1,3,1,1,4,551,1193,193,38,96.209251,arranged
5,1,3,1,1,5,765,1193,322,39,96.215881,chronologically
5,1,3,1,1,6,1111,1197,121,33,96.295624,under
5,1,3,1,1,7,1259,1196,64,34,96.914391,the
5,1,3,1,1,8,1350,1204,134,26,96.265785,names
5,1,3,1,1,9,1507,1196,43,31,96.369942,of
5,1,3,1,1,10,1574,1196,65,34,96.461212,the
5,1,3,1,1,11,1666,1196,202,37,96.461212,"countries,"
4,1,3,1,2,0,144,1236,1727,48,-1.0,
5,1,3,1,2,1,144,1236,127,32,96.769844,which
5,1,3,1,2,2,304,1245,64,26,96.796555,are
5,1,3,1,2,3,403,1238,41,32,96.596924,in
5,1,3,1,2,4,477,1239,276,45,96.466339,alphabetical
5,1,3,1,2,5,773,1241,121,38,96.469292,"order,"
5,1,3,1,2,6,927,1241,200,38,95.748253,provinces
