level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2271,3634,-1.0,
2,1,1,0,0,0,161,237,1726,67,-1.0,
3,1,1,1,0,0,161,237,1726,67,-1.0,
4,1,1,1,1,0,161,237,1726,67,-1.0,
5,1,1,1,1,1,161,239,802,65,96.006828,INTERNATIONAL
5,1,1,1,1,2,1056,239,387,62,93.167908,LABOUR
5,1,1,1,1,3,1537,237,350,66,93.167908,OFFICE
2,1,2,0,0,0,158,328,1731,9,-1.0,
3,1,2,1,0,0,158,328,1731,9,-1.0,
4,1,2,1,1,0,158,328,1731,9,-1.0,
5,1,2,1,1,1,158,328,1731,9,95.0, 
2,1,3,0,0,0,353,1039,1440,258,-1.0,
3,1,3,1,0,0,353,1039,1440,258,-1.0,
4,1,3,1,1,0,353,1039,1440,96,-1.0,
5,1,3,1,1,1,353,1039,830,96,95.186874,LEGISLATIVE
5,1,3,1,1,2,1263,1039,442,94,95.996582,SERIES
5,1,3,1,1,3,1733,1035,57,134,59.848984,|
4,1,3,1,2,0,888,1205,280,92,-1.0,
5,1,3,1,2,1,888,1205,280,92,93.588943,1948
2,1,4,0,0,0,831,1783,386,59,-1.0,
3,1,4,1,0,0,831,1783,386,59,-1.0,
4,1,4,1,1,0,831,1783,386,59,-1.0,
5,1,4,1,1,1,831,1783,386,59,96.420128,INDEXES
2,1,5,0,0,0,888,2914,279,116,-1.0,
3,1,5,1,0,0,888,2914,279,116,-1.0,
4,1,5,1,1,0,888,2914,279,44,-1.0,
5,1,5,1,1,1,888,2914,279,44,96.302368,GENEVA
4,1,5,1,2,0,979,2987,108,43,-1.0,
5,1,5,1,2,1,979,2987,108,43,93.469032,1954
2,1,6,0,0,0,170,3119,1727,51,-1.0,
3,1,6,1,0,0,170,3119,1727,51,-1.0,
4,1,6,1,1,0,170,3119,1727,51,-1.0,
5,1,6,1,1,1,170,3119,133,40,95.437126,Price:
5,1,6,1,1,2,335,3119,52,36,95.845459,2s.
5,1,6,1,1,3,420,3120,71,44,96.584572,(40
5,1,6,1,1,4,521,3122,119,44,96.469444,cents)
5,1,6,1,1,5,1368,3124,400,46,96.301422,January-February
5,1,6,1,1,6,1800,3126,97,34,95.739265,1951
1,2,0,0,0,0,0,0,2279,3628,-1.0,
2,2,1,0,0,0,399,1008,914,166,-1.0,
3,2,1,1,0,0,399,1008,914,166,-1.0,
4,2,1,1,1,0,399,1008,186,27,-1.0,
5,2,1,1,1,1,399,1008,186,27,96.340973,INDEXES
4,2,1,1,2,0,467,1062,636,48,-1.0,
5,2,1,1,2,1,467,1063,32,36,86.348969,I.
5,2,1,1,2,2,553,1062,300,48,90.303703,Chronological
5,2,1,1,2,3,881,1064,222,38,89.529312,Indexes—
4,2,1,1,3,0,556,1127,757,47,-1.0,
5,2,1,1,3,1,556,1128,63,46,78.020325,(A)
5,2,1,1,3,2,653,1129,112,43,96.410629,"Acts,"
5,2,1,1,3,3,795,1127,160,45,93.294006,"Orders,"
5,2,1,1,3,4,981,1128,91,44,92.714287,"etc.,"
5,2,1,1,3,5,1101,1128,40,36,96.651657,of
5,2,1,1,3,6,1169,1131,98,33,92.286583,1948
5,2,1,1,3,7,1307,1157,6,7,91.898956,.
2,2,2,0,0,0,555,801,1427,433,-1.0,
3,2,2,1,0,0,555,801,1427,433,-1.0,
4,2,2,1,1,0,761,801,1014,68,-1.0,
5,2,2,1,1,1,761,803,499,56,95.567039,LEGISLATIVE
5,2,2,1,1,2,1305,801,280,68,95.425629,"SERIES,"
5,2,2,1,1,3,1628,801,147,55,94.965096,1948
4,2,2,1,2,0,555,1156,1427,78,-1.0,
5,2,2,1,2,1,555,1187,61,47,92.346466,(B)
5,2,2,1,2,2,653,1188,114,43,96.444237,"Acts,"
5,2,2,1,2,3,795,1187,160,45,92.773178,"Orders,"
5,2,2,1,2,4,983,1187,90,44,92.430908,"etc.,"
5,2,2,1,2,5,1101,1187,42,36,96.397736,of
5,2,2,1,2,6,1172,1197,113,37,96.397736,years
5,2,2,1,2,7,1317,1187,115,55,96.448349,prior
5,2,2,1,2,8,1453,1189,40,34,95.973587,to
5,2,2,1,2,9,1527,1189,110,41,95.973587,"1948,"
