level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2184,3673,-1.0,
2,1,1,0,0,0,463,470,1102,80,-1.0,
3,1,1,1,0,0,463,470,1102,80,-1.0,
4,1,1,1,1,0,463,470,1102,80,-1.0,
5,1,1,1,1,1,463,470,233,80,96.741737,Bureau
5,1,1,1,1,2,741,498,417,49,96.109009,international
5,1,1,1,1,3,1206,497,81,52,94.383247,du
5,1,1,1,1,4,1332,495,233,52,94.383247,Travail
2,1,2,0,0,0,631,717,760,189,-1.0,
3,1,2,1,0,0,631,717,760,189,-1.0,
4,1,2,1,1,0,631,717,760,61,-1.0,
5,1,2,1,1,1,631,717,221,61,95.861694,SERIE
5,1,2,1,1,2,892,717,499,61,95.861694,LEGISLATIVE
4,1,2,1,2,0,748,860,531,46,-1.0,
5,1,2,1,2,1,748,861,271,44,91.080017,Supplément
5,1,2,1,2,2,1040,869,118,37,86.339935,"1952,"
5,1,2,1,2,3,1182,865,49,29,93.416092,n°
5,1,2,1,2,4,1254,860,25,36,95.396416,6
2,1,3,0,0,0,279,977,1470,49,-1.0,
3,1,3,1,0,0,279,977,1470,49,-1.0,
4,1,3,1,1,0,279,977,1470,49,-1.0,
5,1,3,1,1,1,279,981,165,45,77.289047,(Publié
5,1,3,1,1,2,464,990,88,24,95.688889,avec
5,1,3,1,1,3,573,982,34,34,93.284302,le
5,1,3,1,1,4,629,980,137,34,92.149429,cahier
5,1,3,1,1,5,785,978,433,36,90.942223,novembre-décembre
5,1,3,1,1,6,1239,980,45,34,96.638618,de
5,1,3,1,1,7,1304,981,42,33,96.182228,la
5,1,3,1,1,8,1367,980,110,34,93.290657,Série
5,1,3,1,1,9,1498,977,251,47,92.145226,législative)
2,1,4,0,0,0,156,1118,1713,96,-1.0,
3,1,4,1,0,0,156,1118,1713,96,-1.0,
4,1,4,1,1,0,240,1118,1629,48,-1.0,
5,1,4,1,1,1,240,1121,120,36,95.996834,Cette
5,1,4,1,1,2,393,1120,94,34,92.502838,liste
5,1,4,1,1,3,521,1118,193,36,92.502838,contient
5,1,4,1,1,4,747,1120,59,34,96.678459,les
5,1,4,1,1,5,840,1118,120,35,96.217285,titres
5,1,4,1,1,6,995,1118,53,35,96.253616,de
5,1,4,1,1,7,1082,1118,276,47,93.299904,dispositions
5,1,4,1,1,8,1390,1118,257,47,92.659241,législatives
5,1,4,1,1,9,1682,1118,187,48,92.697083,publiées
4,1,4,1,2,0,156,1165,1271,49,-1.0,
5,1,4,1,2,1,156,1169,193,45,96.353836,pendant
5,1,4,1,2,2,368,1168,57,33,96.317307,les
5,1,4,1,2,3,445,1165,106,36,96.707512,mois
5,1,4,1,2,4,569,1166,53,35,96.948364,de
5,1,4,1,2,5,642,1166,225,35,96.352821,décembre
5,1,4,1,2,6,890,1176,98,36,96.163605,1951
5,1,4,1,2,7,1015,1166,25,35,78.355408,4
5,1,4,1,2,8,1059,1166,231,35,96.162552,novembre
5,1,4,1,2,9,1312,1176,115,34,95.301201,1952.
2,1,5,0,0,0,157,1270,1714,174,-1.0,
3,1,5,1,0,0,157,1270,1714,174,-1.0,
4,1,5,1,1,0,609,1270,1105,52,-1.0,
5,1,5,1,1,1,609,1270,291,47,90.98909,Législation
5,1,5,1,1,2,930,1272,64,36,96.384979,du
5,1,5,1,1,3,1020,1270,175,39,93.298981,travail
5,1,5,1,1,4,1223,1270,187,38,91.327049,récente
4,1,5,1,2,0,240,1350,1631,47,-1.0,
5,1,5,1,2,1,240,1353,60,35,96.976372,La
5,1,5,1,2,2,324,1352,93,36,96.189095,liste
5,1,5,1,2,3,443,1352,50,36,93.293259,de
5,1,5,1,2,4,517,1352,239,45,91.484657,législation
5,1,5,1,2,5,780,1353,58,35,96.101921,du
5,1,5,1,2,6,864,1350,159,37,91.538406,travail
5,1,5,1,2,7,1048,1352,168,35,91.538406,récente
5,1,5,1,2,8,1240,1350,143,47,92.560966,parait
5,1,5,1,2,9,1406,1361,102,24,95.617096,avec
5,1,5,1,2,10,1534,1350,165,46,92.85936,chaque
5,1,5,1,2,11,1730,1350,141,35,92.411324,cahier
4,1,5,1,3,0,157,1398,751,46,-1.0,
5,1,5,1,3,1,157,1398,228,37,91.859436,bimestriel
5,1,5,1,3,2,404,1400,53,35,94.816505,de
5,1,5,1,3,3,476,1400,41,35,96.567871,la
5,1,5,1,3,4,537,1400,114,36,92.982841,Série
5,1,5,1,3,5,672,1398,236,46,83.118011,législative.
2,1,6,0,0,0,157,1454,1713,98,-1.0,
3,1,6,1,0,0,157,1454,1713,98,-1.0,
4,1,6,1,1,0,239,1454,1631,51,-1.0,
5,1,6,1,1,1,239,1460,42,36,96.553139,Si
5,1,6,1,1,2,301,1460,38,33,96.431602,le
5,1,6,1,1,3,360,1460,100,35,93.286179,titre
5,1,6,1,1,4,480,1458,111,35,92.579529,n’est
5,1,6,1,1,5,611,1468,77,37,93.26767,pas
5,1,6,1,1,6,709,1458,314,35,67.275925,sufisamment
5,1,6,1,1,7,1046,1457,213,47,92.351349,"explicite,"
5,1,6,1,1,8,1284,1466,82,27,96.630722,une
5,1,6,1,1,9,1387,1458,102,34,93.03714,note
5,1,6,1,1,10,1511,1454,128,38,91.132202,bréve
5,1,6,1,1,11,1663,1454,207,49,91.132202,précisera
4,1,6,1,2,0,157,1504,1202,48,-1.0,
5,1,6,1,2,1,157,1508,38,35,96.574463,le
5,1,6,1,2,2,213,1509,183,34,96.392708,contenu
5,1,6,1,2,3,415,1506,53,35,93.827675,de
5,1,6,1,2,4,484,1506,41,34,93.827675,la
5,1,6,1,2,5,546,1505,253,47,93.299644,disposition
5,1,6,1,2,6,817,1504,238,47,91.359154,législative
5,1,6,1,2,7,1075,1516,51,24,96.168312,en
5,1,6,1,2,8,1147,1505,212,47,96.509209,question.
2,1,7,0,0,0,157,1561,1714,87,-1.0,
3,1,7,1,0,0,157,1561,1714,87,-1.0,
4,1,7,1,1,0,239,1561,1632,51,-1.0,
5,1,7,1,1,1,239,1565,281,47,91.304649,L’astérisque
5,1,7,1,1,2,548,1565,52,47,91.763519,(*)
5,1,7,1,1,3,627,1565,177,47,91.629227,indique
5,1,7,1,1,4,829,1576,83,35,95.528061,que
5,1,7,1,1,5,936,1565,36,35,95.528061,le
5,1,7,1,1,6,996,1566,119,34,96.019638,texte
5,1,7,1,1,7,1138,1574,92,26,93.297798,sera
5,1,7,1,1,8,1251,1562,146,47,91.460144,publié
5,1,7,1,1,9,1419,1564,108,35,95.783264,dans
5,1,7,1,1,10,1550,1564,43,33,95.783264,la
5,1,7,1,1,11,1617,1561,112,38,77.149803,Série
5,1,7,1,1,12,1751,1562,120,46,90.926468,légis-
4,1,7,1,2,0,157,1613,132,35,-1.0,
5,1,7,1,2,1,157,1613,132,35,96.539268,lative.
2,1,8,0,0,0,620,1887,769,53,-1.0,
3,1,8,1,0,0,620,1887,769,53,-1.0,
4,1,8,1,1,0,620,1887,769,53,-1.0,
5,1,8,1,1,1,620,1887,472,53,96.30748,LEGISLATION
5,1,8,1,1,2,1131,1895,91,44,95.046906,DE
5,1,8,1,1,3,1270,1896,119,44,95.313774,1951
2,1,9,0,0,0,827,2021,417,35,-1.0,
3,1,9,1,0,0,827,2021,417,35,-1.0,
4,1,9,1,1,0,827,2021,417,35,-1.0,
5,1,9,1,1,1,827,2023,203,28,91.669907,BIRMANE
5,1,9,1,1,2,1068,2021,176,35,96.678612,(UNION)
2,1,10,0,0,0,215,2092,1312,108,-1.0,
3,1,10,1,0,0,215,2092,1312,108,-1.0,
4,1,10,1,1,0,244,2092,1249,48,-1.0,
5,1,10,1,1,1,244,2093,101,37,92.649956,*Loi
5,1,10,1,1,2,364,2097,51,33,91.764679,n°
5,1,10,1,1,3,433,2093,103,37,96.025284,LIX
5,1,10,1,1,4,555,2095,53,35,96.456238,de
5,1,10,1,1,5,632,2103,100,35,95.626816,1951
5,1,10,1,1,6,757,2103,73,28,95.669525,sur
5,1,10,1,1,7,850,2092,57,36,91.681633,les
5,1,10,1,1,8,928,2092,215,46,91.681633,magasins
5,1,10,1,1,9,1164,2096,43,34,96.014305,et
5,1,10,1,1,10,1228,2092,265,48,96.432205,entreprises.
4,1,10,1,2,0,215,2152,1312,48,-1.0,
5,1,10,1,2,1,215,2153,189,47,43.743481,(Burma
5,1,10,1,2,2,420,2152,165,38,95.961533,Labour
5,1,10,1,2,3,608,2153,167,42,93.245842,"Gazette,"
5,1,10,1,2,4,799,2152,152,38,90.37281,février
5,1,10,1,2,5,975,2163,116,35,96.575874,"1952,"
5,1,10,1,2,6,1112,2152,86,38,93.265694,vol.
5,1,10,1,2,7,1220,2153,51,42,91.807495,"V,"
5,1,10,1,2,8,1292,2157,51,33,82.641251,n°
5,1,10,1,2,9,1366,2163,37,31,92.977295,"2,"
5,1,10,1,2,10,1423,2164,43,35,89.964554,p.
5,1,10,1,2,11,1490,2153,37,47,96.915245,3)
2,1,11,0,0,0,315,2257,1414,85,-1.0,
3,1,11,1,0,0,315,2257,1414,85,-1.0,
4,1,11,1,1,0,315,2257,1414,38,-1.0,
5,1,11,1,1,1,315,2259,431,29,91.508698,GRANDE-BRETAGNE
5,1,11,1,1,2,772,2260,56,27,91.088303,ET
5,1,11,1,1,3,854,2260,188,27,88.885269,IRLANDE
5,1,11,1,1,4,1067,2261,61,27,96.294357,DU
5,1,11,1,1,5,1154,2260,121,28,91.423874,NORD
5,1,11,1,1,6,1303,2259,327,36,91.423874,(ROYAUME-UNI
5,1,11,1,1,7,1655,2257,74,33,96.580315,DE)
4,1,11,1,2,0,888,2307,252,35,-1.0,
