level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2300,3723,-1.0,
2,1,1,0,0,0,1132,260,201,36,-1.0,
3,1,1,1,0,0,1132,260,201,36,-1.0,
4,1,1,1,1,0,1132,260,201,36,-1.0,
5,1,1,1,1,1,1132,278,50,7,85.758522,—
5,1,1,1,1,2,1211,260,122,36,72.207123,72
5,1,1,1,1,3,1292,243,44,58,63.304829,—
2,1,2,0,0,0,385,358,1320,108,-1.0,
3,1,2,1,0,0,385,358,1320,108,-1.0,
4,1,2,1,1,0,385,358,1320,47,-1.0,
5,1,2,1,1,1,385,359,403,36,96.201843,INTERNATIONAL
5,1,2,1,1,2,813,359,240,36,96.018478,TREATIES
5,1,2,1,1,3,1080,359,102,36,95.801636,AND
5,1,2,1,1,4,1211,359,330,36,92.993874,AGREEMENTS
5,1,2,1,1,5,1571,358,134,47,45.639748,({cont.)
4,1,2,1,2,0,385,431,318,35,-1.0,
5,1,2,1,2,1,385,431,318,35,91.60788,Canada-France
2,1,3,0,0,0,437,500,1647,96,-1.0,
3,1,3,1,0,0,437,500,1647,96,-1.0,
4,1,3,1,1,0,437,500,1647,48,-1.0,
5,1,3,1,1,1,437,502,85,37,77.00209,Oct.
5,1,3,1,1,2,546,506,22,32,77.00209,4
5,1,3,1,1,3,660,503,232,45,83.118103,Agreement
5,1,3,1,1,4,918,502,217,46,96.370956,respecting
5,1,3,1,1,5,1162,502,66,36,96.683159,the
5,1,3,1,1,6,1257,501,209,37,95.861748,admission
5,1,3,1,1,7,1495,502,40,36,96.289154,of
5,1,3,1,1,8,1563,502,169,36,96.384445,trainees
5,1,3,1,1,9,1761,502,40,34,95.653809,to
5,1,3,1,1,10,1833,500,145,39,95.653809,France
5,1,3,1,1,11,2006,504,78,35,96.071701,and
4,1,3,1,2,0,659,548,1053,48,-1.0,
5,1,3,1,2,1,659,551,169,36,96.410019,Canada.
5,1,3,1,2,2,885,549,177,46,96.263596,(France:
5,1,3,1,2,3,1091,550,165,35,93.22654,Journal
5,1,3,1,2,4,1280,549,151,47,91.937271,"Officiel,"
5,1,3,1,2,5,1461,551,110,34,96.102386,10-11
5,1,3,1,2,6,1604,548,108,47,48.871616,Dec.)
2,1,4,0,0,0,384,633,1069,47,-1.0,
3,1,4,1,0,0,384,633,1069,47,-1.0,
4,1,4,1,1,0,384,633,1069,47,-1.0,
5,1,4,1,1,1,384,635,576,36,90.139595,Czechoslovakia-Democratic
5,1,4,1,1,2,986,635,182,45,84.669533,Republic
5,1,4,1,1,3,1196,633,41,36,96.811562,of
5,1,4,1,1,4,1263,633,190,46,95.972588,Germany
2,1,5,0,0,0,433,697,1650,193,-1.0,
3,1,5,1,0,0,433,697,1650,193,-1.0,
4,1,5,1,1,0,433,697,1649,49,-1.0,
5,1,5,1,1,1,433,700,87,46,52.509453,Sep.
5,1,5,1,1,2,545,702,44,32,52.509453,11
5,1,5,1,1,3,656,700,232,45,68.805466,Agreement
5,1,5,1,1,4,913,698,230,47,96.493896,concerning
5,1,5,1,1,5,1167,700,266,44,96.200256,co-operation
5,1,5,1,1,6,1460,698,38,35,96.382309,in
5,1,5,1,1,7,1525,698,67,36,96.215233,the
5,1,5,1,1,8,1618,697,90,36,96.645256,field
5,1,5,1,1,9,1735,698,40,36,96.866539,of
5,1,5,1,1,10,1799,698,117,36,95.794357,social
5,1,5,1,1,11,1942,698,140,47,95.737305,policy.
4,1,5,1,2,0,659,745,1421,49,-1.0,
5,1,5,1,2,1,659,746,352,48,48.590046,(Czechoslovakia:
5,1,5,1,2,2,1051,748,136,36,92.363121,Sbirka
5,1,5,1,2,3,1220,746,173,44,21.380913,"Zakonui,"
5,1,5,1,2,4,1431,749,47,33,96.95015,28
5,1,5,1,2,5,1517,746,102,36,95.988327,Nov.
5,1,5,1,2,6,1660,748,109,42,96.615913,"1957,"
5,1,5,1,2,7,1808,745,272,48,96.59465,Supplement;
4,1,5,1,3,0,655,794,1428,48,-1.0,
5,1,5,1,3,1,655,797,244,36,94.6903,Democratic
5,1,5,1,3,2,945,795,190,47,96.510567,Republic
5,1,5,1,3,3,1180,794,40,39,96.821259,of
5,1,5,1,3,4,1264,794,213,48,93.170746,Germany:
5,1,5,1,3,5,1524,794,215,37,91.868286,Gesetzblatt
5,1,5,1,3,6,1774,794,64,36,95.814339,der
5,1,5,1,3,7,1874,794,209,39,96.45649,Deutschen
4,1,5,1,4,0,651,843,711,47,-1.0,
5,1,5,1,4,1,651,843,197,47,95.358078,"Republik,"
5,1,5,1,4,2,878,846,21,33,95.358078,6
5,1,5,1,4,3,926,846,97,44,89.814041,Aug.
5,1,5,1,4,4,1058,845,108,42,84.636909,"1957,"
5,1,5,1,4,5,1196,845,93,36,94.814644,Part
5,1,5,1,4,6,1320,843,42,46,89.16806,1.)
2,1,6,0,0,0,383,928,724,46,-1.0,
3,1,6,1,0,0,383,928,724,46,-1.0,
4,1,6,1,1,0,383,928,724,46,-1.0,
5,1,6,1,1,1,383,928,724,46,91.062317,Denmark-Iceland-Norway-Sweden
2,1,7,0,0,0,434,991,1652,384,-1.0,
3,1,7,1,0,0,434,991,1652,384,-1.0,
4,1,7,1,1,0,434,991,1650,48,-1.0,
5,1,7,1,1,1,434,993,90,37,82.27861,Dec.
5,1,7,1,1,2,549,995,48,35,82.27861,19
5,1,7,1,1,3,655,995,236,54,87.489098,Agreement
5,1,7,1,1,4,909,992,218,55,96.475426,respecting
5,1,7,1,1,5,1146,992,65,36,96.811539,the
5,1,7,1,1,6,1233,992,167,36,96.59127,transfer
5,1,7,1,1,7,1419,992,39,36,96.74485,of
5,1,7,1,1,8,1479,992,68,36,96.305504,the
5,1,7,1,1,9,1568,992,193,36,96.566223,members
5,1,7,1,1,10,1781,991,43,37,96.505676,of
5,1,7,1,1,11,1841,1001,23,27,96.831177,a
5,1,7,1,1,12,1882,992,83,36,96.656181,sick
5,1,7,1,1,13,1984,992,100,36,96.656181,fund
4,1,7,1,2,0,654,1039,1428,46,-1.0,
5,1,7,1,2,1,654,1041,40,35,96.40139,in
5,1,7,1,2,2,711,1052,73,25,96.934265,one
5,1,7,1,2,3,800,1041,43,36,96.482414,of
5,1,7,1,2,4,857,1040,65,37,96.209747,the
5,1,7,1,2,5,938,1040,245,45,96.209747,contracting
5,1,7,1,2,6,1199,1040,193,36,96.60392,countries
5,1,7,1,2,7,1411,1043,39,33,96.770836,to
5,1,7,1,2,8,1469,1051,24,25,96.484894,a
5,1,7,1,2,9,1506,1040,84,36,96.484894,sick
5,1,7,1,2,10,1604,1039,127,37,96.867996,fund
5,1,7,1,2,11,1720,1051,40,24,94.995407,in
5,1,7,1,2,12,1777,1040,164,36,94.995407,another
5,1,7,1,2,13,1956,1040,42,36,96.322441,of
5,1,7,1,2,14,2014,1040,68,36,96.678482,the
4,1,7,1,3,0,655,1087,1431,49,-1.0,
5,1,7,1,3,1,655,1089,245,46,96.226433,contracting
5,1,7,1,3,2,936,1088,208,44,95.971672,"countries,"
5,1,7,1,3,3,1183,1088,77,36,96.316719,and
5,1,7,1,3,4,1296,1087,219,49,96.219887,respecting
5,1,7,1,3,5,1551,1087,173,37,96.328796,sickness
5,1,7,1,3,6,1761,1088,145,36,95.917107,benefit
5,1,7,1,3,7,1943,1088,143,45,95.947678,during
4,1,7,1,4,0,654,1134,1426,48,-1.0,
5,1,7,1,4,1,654,1139,224,43,96.138802,temporary
5,1,7,1,4,2,904,1136,194,36,96.310768,residence
5,1,7,1,4,3,1123,1136,39,36,96.322968,in
5,1,7,1,4,4,1189,1145,72,25,96.59716,one
5,1,7,1,4,5,1287,1136,40,34,96.59716,of
5,1,7,1,4,6,1352,1136,66,36,96.46846,the
5,1,7,1,4,7,1442,1134,87,38,96.356758,said
5,1,7,1,4,8,1555,1135,197,38,96.560722,countries
5,1,7,1,4,9,1773,1136,141,44,91.322853,{under
5,1,7,1,4,10,1939,1137,92,35,96.531212,arts.
5,1,7,1,4,11,2060,1138,20,32,96.755814,7
4,1,7,1,5,0,655,1182,1427,48,-1.0,
5,1,7,1,5,1,655,1184,77,36,96.459091,and
5,1,7,1,5,2,747,1188,20,32,96.95031,8
5,1,7,1,5,3,783,1185,40,36,96.784927,of
5,1,7,1,5,4,836,1185,65,35,96.897369,the
5,1,7,1,5,5,916,1184,243,36,96.150093,Convention
5,1,7,1,5,6,1174,1185,40,35,96.163811,of
5,1,7,1,5,7,1227,1182,46,36,95.921249,15
5,1,7,1,5,8,1288,1184,86,45,96.203773,Sep.
5,1,7,1,5,9,1392,1185,94,35,96.875748,1955
5,1,7,1,5,10,1502,1184,221,46,96.040237,respecting
5,1,7,1,5,11,1733,1182,119,38,96.782875,social
5,1,7,1,5,12,1863,1184,219,45,95.678596,security
5,1,7,1,5,13,2052,1178,35,58,65.38623,3.
4,1,7,1,6,0,654,1208,1428,74,-1.0,
5,1,7,1,6,1,654,1231,80,36,95.499649,The
5,1,7,1,6,2,753,1232,244,37,96.014542,Convention
5,1,7,1,6,3,1017,1231,40,38,95.724266,of
5,1,7,1,6,4,1078,1233,45,33,95.674057,20
5,1,7,1,6,5,1144,1231,95,46,95.690987,July
5,1,7,1,6,6,1259,1233,95,34,90.733185,1953
5,1,7,1,6,7,1370,1234,15,20,63.337105,*
5,1,7,1,6,8,1407,1231,76,36,96.515602,and
5,1,7,1,6,9,1505,1231,66,36,96.239716,the
5,1,7,1,6,10,1591,1230,330,48,96.065712,Supplementary
5,1,7,1,6,11,1942,1208,140,74,92.279816,Agree-
4,1,7,1,7,0,652,1278,1430,45,-1.0,
5,1,7,1,7,1,652,1282,108,35,95.493149,ment
5,1,7,1,7,2,788,1281,40,36,96.554764,of
5,1,7,1,7,3,857,1282,45,35,95.846199,30
5,1,7,1,7,4,932,1279,90,38,94.027092,"Dec,"
5,1,7,1,7,5,1053,1281,95,34,95.427208,1954
5,1,7,1,7,6,1176,1289,109,26,96.78215,cease
5,1,7,1,7,7,1313,1281,40,34,96.53196,to
5,1,7,1,7,8,1383,1278,99,36,96.890907,have
5,1,7,1,7,9,1511,1278,113,37,96.515213,effect
5,1,7,1,7,10,1654,1281,99,34,96.167358,from
5,1,7,1,7,11,1784,1281,18,33,82.83094,41
5,1,7,1,7,12,1833,1279,89,35,95.956741,Jan.
5,1,7,1,7,13,1954,1279,128,44,93.875076,1957].
4,1,7,1,8,0,659,1327,1151,48,-1.0,
5,1,7,1,8,1,659,1328,190,47,95.979095,(Sweden:
5,1,7,1,8,2,880,1328,141,37,93.196724,Svensk
5,1,7,1,8,3,1045,1328,434,47,85.4608,"Férfatiningssamling,"
5,1,7,1,8,4,1509,1330,109,42,96.575089,"1957,"
