level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2300,3728,-1.0,
2,1,1,0,0,0,546,655,951,52,-1.0,
3,1,1,1,0,0,546,655,951,52,-1.0,
4,1,1,1,1,0,546,655,951,52,-1.0,
5,1,1,1,1,1,546,656,443,50,95.645721,International
5,1,1,1,1,2,1025,655,240,52,96.425278,Labour
5,1,1,1,1,3,1308,655,189,51,95.563736,Office
2,1,2,0,0,0,607,833,826,51,-1.0,
3,1,2,1,0,0,607,833,826,51,-1.0,
4,1,2,1,1,0,607,833,826,51,-1.0,
5,1,2,1,1,1,607,833,516,51,96.094917,LEGISLATIVE
5,1,2,1,1,2,1166,833,267,51,95.888794,SERIES
2,1,3,0,0,0,246,973,1556,130,-1.0,
3,1,3,1,0,0,246,973,1556,130,-1.0,
4,1,3,1,1,0,728,973,589,46,-1.0,
5,1,3,1,1,1,728,973,246,46,96.294212,Supplement
5,1,3,1,1,2,999,974,75,35,96.497749,No.
5,1,3,1,1,3,1103,974,21,35,93.594009,1
5,1,3,1,1,4,1152,973,40,46,95.687302,of
5,1,3,1,1,5,1219,974,98,35,96.575691,1957
4,1,3,1,2,0,246,1054,1556,49,-1.0,
5,1,3,1,2,1,246,1054,155,45,96.201683,(Issued
5,1,3,1,2,2,424,1055,85,36,96.201683,with
5,1,3,1,2,3,531,1056,58,36,96.352524,the
5,1,3,1,2,4,611,1056,393,47,96.559723,January-February
5,1,3,1,2,5,1027,1055,214,37,96.295227,instalment
5,1,3,1,2,6,1261,1056,40,47,96.295227,of
5,1,3,1,2,7,1322,1056,58,36,96.724007,the
5,1,3,1,2,8,1401,1055,233,47,96.070625,Legislative
5,1,3,1,2,9,1657,1055,145,47,96.017326,Series)
2,1,4,0,0,0,710,1232,631,48,-1.0,
3,1,4,1,0,0,710,1232,631,48,-1.0,
4,1,4,1,1,0,710,1232,631,48,-1.0,
5,1,4,1,1,1,710,1232,158,40,95.392502,Recent
5,1,4,1,1,2,896,1233,165,39,96.568222,Labour
5,1,4,1,1,3,1090,1233,251,47,95.85495,Legislation
2,1,5,0,0,0,171,1338,1708,96,-1.0,
3,1,5,1,0,0,171,1338,1708,96,-1.0,
4,1,5,1,1,0,268,1338,1611,48,-1.0,
5,1,5,1,1,1,268,1341,36,34,94.812622,A
5,1,5,1,1,2,325,1339,66,38,94.812622,list
5,1,5,1,1,3,413,1339,40,36,96.251884,of
5,1,5,1,1,4,474,1341,132,36,96.495338,recent
5,1,5,1,1,5,626,1339,140,38,95.917915,labour
5,1,5,1,1,6,785,1339,219,47,96.189079,legislation
5,1,5,1,1,7,1026,1339,32,36,96.766296,is
5,1,5,1,1,8,1082,1341,128,36,96.687752,issued
5,1,5,1,1,9,1231,1341,96,36,96.718208,with
5,1,5,1,1,10,1344,1341,94,36,93.292664,each
5,1,5,1,1,11,1453,1339,276,47,90.411621,two-monthly
5,1,5,1,1,12,1745,1338,134,37,91.174614,instal-
4,1,5,1,2,0,171,1387,662,47,-1.0,
5,1,5,1,2,1,171,1390,108,35,95.881691,ment
5,1,5,1,2,2,302,1387,41,38,95.881691,of
5,1,5,1,2,3,365,1389,66,36,96.878326,the
5,1,5,1,2,4,450,1387,228,47,96.746529,Legislative
5,1,5,1,2,5,699,1387,134,38,94.226509,Series.
2,1,6,0,0,0,173,1458,1708,96,-1.0,
3,1,6,1,0,0,173,1458,1708,96,-1.0,
4,1,6,1,1,0,268,1458,1613,48,-1.0,
5,1,6,1,1,1,268,1459,141,36,95.92289,Where
5,1,6,1,1,2,432,1459,66,36,96.260391,the
5,1,6,1,1,3,524,1458,85,38,96.260391,title
5,1,6,1,1,4,633,1459,30,36,96.764694,is
5,1,6,1,1,5,687,1460,71,35,96.173767,not
5,1,6,1,1,6,779,1459,235,47,96.120438,sufficiently
5,1,6,1,1,7,1038,1459,172,47,96.790886,"explicit,"
5,1,6,1,1,8,1233,1459,66,36,96.231461,the
5,1,6,1,1,9,1322,1459,157,47,96.510117,subject
5,1,6,1,1,10,1499,1459,40,36,96.510117,of
