level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2306,3600,-1.0,
2,1,1,0,0,0,185,198,1851,91,-1.0,
3,1,1,1,0,0,185,198,1851,91,-1.0,
4,1,1,1,1,0,185,198,1851,47,-1.0,
5,1,1,1,1,1,185,198,144,36,95.846184,Oficina
5,1,1,1,1,2,342,199,261,35,95.676537,Internacional
5,1,1,1,1,3,1711,203,101,35,92.893311,Serie
5,1,1,1,1,4,1826,203,210,42,89.623764,Legislativa
4,1,1,1,2,0,185,247,1847,42,-1.0,
5,1,1,1,2,1,185,247,56,35,95.819511,del
5,1,1,1,2,2,254,247,155,42,96.597717,Trabajo
5,1,1,1,2,3,1653,251,239,34,91.175819,1984—Lista
5,1,1,1,2,4,1906,251,93,35,76.030785,num.
5,1,1,1,2,5,2017,251,15,32,54.127747,1
2,1,2,0,0,0,464,394,1299,108,-1.0,
3,1,2,1,0,0,464,394,1299,108,-1.0,
4,1,2,1,1,0,464,394,1299,45,-1.0,
5,1,2,1,1,1,464,394,477,43,91.871399,DISPOSICIONES
5,1,2,1,1,2,958,394,446,45,92.079178,LEGISLATIVAS
5,1,2,1,1,3,1421,397,342,42,95.819695,RECIENTES
4,1,2,1,2,0,720,458,787,44,-1.0,
5,1,2,1,2,1,720,459,82,40,96.895271,EN
5,1,2,1,2,2,820,458,285,43,96.158699,MATERIA
5,1,2,1,2,3,1124,458,81,41,94.741356,DE
5,1,2,1,2,4,1221,458,286,44,94.741356,TRABAJO
2,1,3,0,0,0,178,589,1861,375,-1.0,
3,1,3,1,0,0,186,589,1853,137,-1.0,
4,1,3,1,1,0,254,589,1785,45,-1.0,
5,1,3,1,1,1,254,591,53,31,96.403542,La
5,1,3,1,1,2,321,596,164,34,96.403542,presente
5,1,3,1,1,3,501,589,80,35,93.174019,lista
5,1,3,1,1,4,599,590,176,34,93.091255,relaciona
5,1,3,1,1,5,793,590,54,34,93.29483,las
5,1,3,1,1,6,861,590,259,42,91.893867,disposiciones
5,1,3,1,1,7,1136,590,212,43,92.138,legislativas
5,1,3,1,1,8,1365,603,43,23,96.438507,en
5,1,3,1,1,9,1425,595,150,31,96.004227,materia
5,1,3,1,1,10,1592,593,45,33,95.549606,de
5,1,3,1,1,11,1653,593,138,41,93.28511,trabajo
5,1,3,1,1,12,1804,603,23,31,90.826736,y
5,1,3,1,1,13,1839,595,200,31,90.826736,cuestiones
4,1,3,1,2,0,186,635,1849,47,-1.0,
5,1,3,1,2,1,186,647,158,23,92.037483,conexas
5,1,3,1,2,2,360,635,215,43,92.036102,publicadas
5,1,3,1,2,3,592,647,41,25,95.285751,en
5,1,3,1,2,4,653,635,54,37,91.262932,los
5,1,3,1,2,5,721,637,200,43,76.414764,periddicos
5,1,3,1,2,6,940,637,157,43,92.925529,oficiales
5,1,3,1,2,7,1117,639,271,35,91.679886,recientemente
5,1,3,1,2,8,1407,639,172,35,96.264252,recibidos
5,1,3,1,2,9,1599,650,42,24,96.64608,en
5,1,3,1,2,10,1661,638,32,35,96.802811,la
5,1,3,1,2,11,1715,639,141,43,93.28299,Oficina
5,1,3,1,2,12,1876,641,159,33,91.635307,Interna-
4,1,3,1,3,0,186,682,1677,44,-1.0,
5,1,3,1,3,1,186,682,122,35,92.81572,cional
5,1,3,1,3,2,318,682,59,36,96.535629,del
5,1,3,1,3,3,394,683,162,43,96.116203,Trabajo.
5,1,3,1,3,4,1856,711,7,10,9.382744,F
3,1,3,2,0,0,186,731,1849,90,-1.0,
4,1,3,2,1,0,260,731,1775,46,-1.0,
5,1,3,2,1,1,260,731,53,35,93.206642,Un
5,1,3,2,1,2,329,733,171,33,92.808693,asterisco
5,1,3,2,1,3,515,731,48,42,81.651871,(*)
5,1,3,2,1,4,581,733,116,33,96.746277,indica
5,1,3,2,1,5,715,742,68,31,96.962578,que
5,1,3,2,1,6,799,731,34,35,96.735847,el
5,1,3,2,1,7,848,740,92,26,96.501038,texto
5,1,3,2,1,8,957,731,44,35,96.833588,de
5,1,3,2,1,9,1019,743,72,23,93.179749,una
5,1,3,2,1,10,1108,731,213,43,59.431702,disposicion
5,1,3,2,1,11,1341,734,46,34,95.980881,ha
5,1,3,2,1,12,1403,734,80,34,93.283119,sido
5,1,3,2,1,13,1497,734,246,35,91.891052,seleccionado
5,1,3,2,1,14,1756,745,89,32,96.885277,para
5,1,3,2,1,15,1861,745,43,24,92.935265,su
5,1,3,2,1,16,1919,733,116,43,91.615105,publi-
4,1,3,2,2,0,186,777,574,44,-1.0,
5,1,3,2,2,1,186,778,126,34,90.261986,cacion
5,1,3,2,2,2,325,789,44,23,96.031303,en
5,1,3,2,2,3,385,777,34,35,96.133583,la
5,1,3,2,2,4,435,778,93,35,93.277779,Serie
5,1,3,2,2,5,544,778,216,43,92.664078,Legislativa.
3,1,3,3,0,0,178,823,1858,141,-1.0,
4,1,3,3,1,0,254,823,1781,46,-1.0,
5,1,3,3,1,1,254,826,117,34,96.500427,Como
5,1,3,3,1,2,389,825,34,35,83.82235,la
5,1,3,3,1,3,441,825,138,35,55.20163,edicién
5,1,3,3,1,4,597,835,42,25,96.815178,en
5,1,3,3,1,5,657,823,152,43,12.816994,espanol
5,1,3,3,1,6,824,823,44,35,96.439857,de
5,1,3,3,1,7,884,823,33,35,96.64888,la
5,1,3,3,1,8,936,825,93,35,92.073013,Serie
5,1,3,3,1,9,1048,825,193,43,91.881493,legislativa
5,1,3,3,1,10,1259,827,172,34,75.779556,comenz6
5,1,3,3,1,11,1448,837,21,23,92.130074,a
5,1,3,3,1,12,1485,825,203,44,92.292885,publicarse
5,1,3,3,1,13,1703,835,44,25,96.779625,en
5,1,3,3,1,14,1768,825,95,38,96.681747,"1948,"
5,1,3,3,1,15,1885,825,81,33,93.113708,toda
5,1,3,3,1,16,1985,835,50,23,91.259918,re-
4,1,3,3,2,0,178,870,1858,47,-1.0,
5,1,3,3,2,1,178,870,162,44,73.025299,ferencia
5,1,3,3,2,2,361,884,23,22,96.222359,a
5,1,3,3,2,3,406,872,67,36,95.302673,ella
5,1,3,3,2,4,493,873,310,41,95.50013,correspondiente
5,1,3,3,2,5,823,885,21,23,96.805946,a
5,1,3,3,2,6,868,885,71,23,93.26667,una
5,1,3,3,2,7,961,873,216,43,76.317574,disposicién
5,1,3,3,2,8,1200,876,156,33,96.896889,anterior
5,1,3,3,2,9,1376,886,21,23,92.915176,a
5,1,3,3,2,10,1417,874,110,43,92.915176,aquel
5,1,3,3,2,11,1543,877,73,32,91.285454,ano
5,1,3,3,2,12,1639,876,116,33,96.379311,indica
5,1,3,3,2,13,1777,874,34,35,93.131546,la
5,1,3,3,2,14,1832,876,136,33,80.420853,edicién
5,1,3,3,2,15,1992,886,44,23,96.868835,en
4,1,3,3,3,0,188,920,364,44,-1.0,
5,1,3,3,3,1,188,920,112,42,93.138145,inglés
5,1,3,3,3,2,312,932,21,22,89.992798,o
5,1,3,3,3,3,346,930,45,24,94.538551,en
5,1,3,3,3,4,397,920,155,44,96.21637,francés.
2,1,4,0,0,0,188,1092,212,34,-1.0,
3,1,4,1,0,0,188,1092,212,34,-1.0,
4,1,4,1,1,0,188,1092,212,34,-1.0,
5,1,4,1,1,1,188,1092,212,34,96.583344,AUSTRIA
2,1,5,0,0,0,193,1161,1847,139,-1.0,
3,1,5,1,0,0,193,1161,1847,139,-1.0,
4,1,5,1,1,0,193,1161,1846,44,-1.0,
5,1,5,1,1,1,193,1162,188,35,87.046394,19/1/1983
5,1,5,1,1,2,432,1164,69,40,82.735855,Ley
5,1,5,1,1,3,523,1161,126,36,96.068275,federal
5,1,5,1,1,4,671,1173,65,31,96.068275,por
5,1,5,1,1,5,752,1162,33,35,96.74028,la
5,1,5,1,1,6,804,1173,68,31,96.937782,que
5,1,5,1,1,7,891,1173,34,24,96.427864,se
5,1,5,1,1,8,945,1161,170,36,96.700378,modifica
5,1,5,1,1,9,1135,1161,32,35,96.915146,la
5,1,5,1,1,10,1184,1161,55,43,96.571701,ley
5,1,5,1,1,11,1259,1162,108,42,96.571701,[texto
5,1,5,1,1,12,1385,1164,39,33,96.878036,31
5,1,5,1,1,13,1448,1162,44,35,96.526878,de
5,1,5,1,1,14,1516,1164,101,41,96.526878,1969]
5,1,5,1,1,15,1637,1163,102,34,96.634262,sobre
5,1,5,1,1,16,1756,1162,31,36,93.241272,el
5,1,5,1,1,17,1805,1162,159,35,92.384796,fomento
5,1,5,1,1,18,1983,1162,56,35,96.564659,del
4,1,5,1,2,0,282,1209,1758,43,-1.0,
5,1,5,1,2,1,282,1209,145,41,93.280327,empleo
5,1,5,1,2,2,431,1205,22,51,93.004227,y
5,1,5,1,2,3,484,1209,33,35,96.513939,la
5,1,5,1,2,4,537,1209,52,41,96.255783,ley
5,1,5,1,2,5,608,1209,41,35,96.178123,de
5,1,5,1,2,6,675,1210,86,34,96.099197,1977
5,1,5,1,2,7,784,1209,65,41,89.560883,[SL
5,1,5,1,2,8,872,1210,225,34,89.560883,1977—Aus.
5,1,5,1,2,9,1113,1209,20,33,96.80806,2
5,1,5,1,2,10,1152,1210,111,40,93.292343,(texto
5,1,5,1,2,11,1280,1209,228,43,87.779167,codificado)]
5,1,5,1,2,12,1528,1210,101,35,96.53746,sobre
5,1,5,1,2,13,1649,1209,30,36,96.58963,el
5,1,5,1,2,14,1699,1220,125,32,96.798264,seguro
5,1,5,1,2,15,1841,1209,44,35,93.125099,de
5,1,5,1,2,16,1904,1209,136,35,92.782883,desem-
4,1,5,1,3,0,284,1256,681,44,-1.0,
5,1,5,1,3,1,284,1257,92,41,92.908127,pleo.
5,1,5,1,3,2,392,1256,373,44,87.12635,"(Bundesgesetzbiatt,"
5,1,5,1,3,3,783,1262,96,30,96.714073,texto
5,1,5,1,3,4,892,1257,73,40,96.436699,61.)
2,1,6,0,0,0,190,1328,1849,136,-1.0,
3,1,6,1,0,0,190,1328,1849,136,-1.0,
4,1,6,1,1,0,190,1328,1849,41,-1.0,
5,1,6,1,1,1,190,1328,181,35,30.498512,1/11/1983
5,1,6,1,1,2,421,1328,123,35,74.397415,Orden
5,1,6,1,1,3,561,1328,55,35,93.294327,del
5,1,6,1,1,4,633,1328,168,35,92.859261,Ministro
5,1,6,1,1,5,820,1328,144,35,95.693687,Federal
5,1,6,1,1,6,981,1328,43,35,95.693687,de
5,1,6,1,1,7,1043,1328,31,35,93.303459,la
5,1,6,1,1,8,1092,1328,307,36,34.570427,Administracién
5,1,6,1,1,9,1416,1328,117,36,96.712387,Social
5,1,6,1,1,10,1551,1338,68,31,96.792145,por
5,1,6,1,1,11,1635,1328,32,35,96.00309,la
5,1,6,1,1,12,1683,1338,69,31,96.217674,que
5,1,6,1,1,13,1768,1338,35,26,96.533325,se
5,1,6,1,1,14,1820,1328,168,35,96.842255,modifica
5,1,6,1,1,15,2007,1328,32,33,96.884628,la
4,1,6,1,2,0,281,1373,1757,43,-1.0,
5,1,6,1,2,1,281,1374,112,35,95.619164,orden
5,1,6,1,2,2,409,1385,68,31,93.188072,que
5,1,6,1,2,3,491,1374,174,35,91.230721,establece
5,1,6,1,2,4,681,1374,150,35,90.194572,oficinas
5,1,6,1,2,5,845,1374,42,35,93.183228,de
5,1,6,1,2,6,901,1374,211,35,8.649834,colocacién
5,1,6,1,2,7,1128,1374,43,35,96.1847,de
5,1,6,1,2,8,1184,1373,108,35,93.268242,Land
5,1,6,1,2,9,1292,1369,22,51,92.045349,y
5,1,6,1,2,10,1340,1374,151,35,91.231689,oficinas
5,1,6,1,2,11,1505,1374,43,35,93.267448,de
5,1,6,1,2,12,1561,1374,211,35,89.990326,colocacién
5,1,6,1,2,13,1788,1385,20,31,91.656593,y
5,1,6,1,2,14,1823,1385,36,24,93.295868,se
5,1,6,1,2,15,1875,1374,163,35,90.747124,determi-
4,1,6,1,3,0,282,1421,701,43,-1.0,
5,1,6,1,3,1,282,1433,45,23,93.369942,na
5,1,6,1,3,2,340,1433,40,23,92.87529,su
5,1,6,1,3,3,396,1421,256,43,90.20887,competencia.
5,1,6,1,3,4,669,1421,115,43,92.490494,"(/bid.,"
5,1,6,1,3,5,799,1427,97,30,96.2033,texto
5,1,6,1,3,6,911,1422,72,41,95.869484,74.)
2,1,7,0,0,0,185,1492,1854,136,-1.0,
3,1,7,1,0,0,185,1492,1854,136,-1.0,
4,1,7,1,1,0,185,1492,1853,43,-1.0,
5,1,7,1,1,1,185,1493,186,35,3.665359,3/11/1983
5,1,7,1,1,2,423,1493,69,40,89.167732,Ley
5,1,7,1,1,3,509,1492,127,36,93.290527,federal
5,1,7,1,1,4,653,1492,263,35,90.80442,modificatoria
5,1,7,1,1,5,932,1492,44,35,95.786575,de
5,1,7,1,1,6,993,1492,32,35,96.70005,la
5,1,7,1,1,7,1040,1492,55,43,96.693993,ley
5,1,7,1,1,8,1112,1492,108,41,95.576477,[texto
5,1,7,1,1,9,1235,1492,70,35,96.432755,200
5,1,7,1,1,10,1320,1493,45,35,96.155869,de
5,1,7,1,1,11,1387,1493,101,42,96.155869,1967]
5,1,7,1,1,12,1504,1492,103,36,96.513863,sobre
5,1,7,1,1,13,1623,1493,30,35,96.835327,el
5,1,7,1,1,14,1668,1502,125,33,96.238953,seguro
5,1,7,1,1,15,1808,1493,43,35,93.275017,de
5,1,7,1,1,16,1865,1492,173,35,91.087616,enferme-
4,1,7,1,2,0,281,1538,1758,46,-1.0,
5,1,7,1,2,1,281,1540,68,35,93.090042,dad
5,1,7,1,2,2,373,1550,22,33,91.299278,y
5,1,7,1,2,3,417,1540,202,35,90.874191,accidentes
5,1,7,1,2,4,640,1540,44,35,96.691193,de
5,1,7,1,2,5,708,1540,51,35,93.287361,los
5,1,7,1,2,6,783,1539,242,36,91.212708,funcionarios
5,1,7,1,2,7,1047,1538,230,43,91.720558,(duodécima
5,1,7,1,2,8,1301,1538,56,46,93.301659,ley
5,1,7,1,2,9,1382,1540,262,36,91.764351,modificatoria
5,1,7,1,2,10,1667,1540,102,35,93.278984,sobre
5,1,7,1,2,11,1792,1540,31,35,77.573662,e!
5,1,7,1,2,12,1848,1549,122,34,96.815742,seguro
5,1,7,1,2,13,1995,1540,44,33,96.676949,de
4,1,7,1,3,0,282,1584,1210,44,-1.0,
5,1,7,1,3,1,282,1585,229,36,92.671585,enfermedad
5,1,7,1,3,2,516,1580,18,52,91.664795,y
5,1,7,1,3,3,560,1585,199,35,91.664795,accidentes
5,1,7,1,3,4,772,1585,44,35,96.621552,de
5,1,7,1,3,5,831,1585,52,35,93.295822,los
5,1,7,1,3,6,897,1584,267,41,92.818665,funcionarios).
5,1,7,1,3,7,1179,1584,112,43,91.635078,"(/bid.,"
5,1,7,1,3,8,1308,1592,97,29,96.651436,texto
5,1,7,1,3,9,1420,1588,72,40,95.748795,78.)
2,1,8,0,0,0,186,1657,1854,278,-1.0,
3,1,8,1,0,0,186,1657,1854,278,-1.0,
4,1,8,1,1,0,186,1657,1852,43,-1.0,
5,1,8,1,1,1,186,1659,185,34,56.206032,3/11/1983
5,1,8,1,1,2,423,1660,69,40,46.130604,Ley
5,1,8,1,1,3,511,1657,125,35,95.329178,federal
5,1,8,1,1,4,656,1668,67,32,96.702667,nor
5,1,8,1,1,5,739,1657,33,35,83.991127,la
5,1,8,1,1,6,788,1669,69,31,84.754463,que
5,1,8,1,1,7,875,1668,34,24,91.452202,se
5,1,8,1,1,8,927,1657,194,34,91.452202,modifican
5,1,8,1,1,9,1140,1657,125,35,92.900749,ciertas
5,1,8,1,1,10,1281,1657,259,43,91.915222,disnosiciones
5,1,8,1,1,11,1556,1659,127,41,92.422371,legales
5,1,8,1,1,12,1699,1657,162,35,91.359283,relativas
5,1,8,1,1,13,1876,1668,19,23,96.86628,a
5,1,8,1,1,14,1915,1657,47,34,93.264343,las
5,1,8,1,1,15,1980,1668,58,23,92.73951,va-
4,1,8,1,2,0,281,1705,1759,43,-1.0,
5,1,8,1,2,1,281,1705,167,36,91.858765,caciones
5,1,8,1,2,2,461,1707,43,34,94.778534,de
5,1,8,1,2,3,523,1705,32,35,94.778534,la
5,1,8,1,2,4,571,1705,52,43,96.653999,ley
5,1,8,1,2,5,639,1706,101,34,96.653999,sobre
5,1,8,1,2,6,757,1705,51,35,96.685555,las
5,1,8,1,2,7,824,1705,209,35,96.33036,vacaciones
5,1,8,1,2,8,1049,1707,111,41,95.308327,{texto
5,1,8,1,2,9,1176,1705,71,35,96.763184,390
5,1,8,1,2,10,1264,1705,41,35,96.704079,de
5,1,8,1,2,11,1329,1707,115,41,96.670532,"1976],"
5,1,8,1,2,12,1461,1707,43,33,95.726875,de
5,1,8,1,2,13,1523,1707,30,33,95.726875,la
5,1,8,1,2,14,1570,1707,55,41,96.297829,ley
5,1,8,1,2,15,1643,1705,101,35,96.699692,sobre
5,1,8,1,2,16,1763,1705,50,35,93.299995,los
5,1,8,1,2,17,1831,1705,209,42,92.885223,periodistas
4,1,8,1,3,0,282,1752,1756,43,-1.0,
5,1,8,1,3,1,282,1753,109,42,96.363297,[texto
5,1,8,1,3,2,406,1753,45,35,96.548386,88
5,1,8,1,3,3,467,1753,41,35,96.02652,de
5,1,8,1,3,4,530,1753,114,42,93.297493,"1920],"
5,1,8,1,3,5,659,1753,44,34,96.945496,de
5,1,8,1,3,6,719,1752,30,35,96.863312,la
5,1,8,1,3,7,765,1752,55,43,96.775337,ley
5,1,8,1,3,8,835,1753,101,34,96.668037,sobre
5,1,8,1,3,9,953,1753,51,35,93.231339,los
5,1,8,1,3,10,1019,1759,161,36,92.107315,porteros
5,1,8,1,3,11,1195,1753,109,42,95.63327,[texto
5,1,8,1,3,12,1323,1753,41,35,95.647423,16
5,1,8,1,3,13,1380,1753,41,35,95.647423,de
5,1,8,1,3,14,1443,1753,114,42,93.545013,"1970],"
5,1,8,1,3,15,1573,1753,43,35,96.498703,de
5,1,8,1,3,16,1632,1753,31,34,96.162292,la
5,1,8,1,3,17,1679,1753,52,42,96.456261,ley
5,1,8,1,3,18,1748,1752,128,35,96.89975,federal
5,1,8,1,3,19,1889,1752,102,35,96.8797,sobre
5,1,8,1,3,20,2007,1752,31,35,96.176315,el
4,1,8,1,4,0,281,1799,1759,41,-1.0,
5,1,8,1,4,1,281,1799,136,41,96.164467,trabajo
5,1,8,1,4,2,439,1799,41,34,96.164467,de
5,1,8,1,4,3,503,1799,53,34,93.171898,los
5,1,8,1,4,4,576,1799,104,34,71.047485,nifios
5,1,8,1,4,5,700,1809,20,31,92.888779,y
5,1,8,1,4,6,741,1799,52,34,93.299118,los
5,1,8,1,4,7,815,1799,241,34,91.783218,adolescentes
5,1,8,1,4,8,1079,1799,109,41,95.90905,[texto
5,1,8,1,4,9,1216,1799,64,34,96.472221,146
5,1,8,1,4,10,1301,1799,44,34,95.946068,de
5,1,8,1,4,11,1373,1800,99,33,95.946068,1948:
5,1,8,1,4,12,1497,1799,51,34,92.519234,SL
5,1,8,1,4,13,1573,1799,226,34,86.148323,1948—Aus.
5,1,8,1,4,14,1815,1799,18,33,84.788391,3
5,1,8,1,4,15,1851,1827,32,5,84.788391,...
5,1,8,1,4,16,1905,1799,135,33,83.184776,1969—
4,1,8,1,5,0,280,1845,1756,43,-1.0,
5,1,8,1,5,1,280,1847,87,34,96.231277,Aus.
5,1,8,1,5,2,382,1847,66,41,93.293236,4B]
5,1,8,1,5,3,472,1857,20,31,93.158089,y
5,1,8,1,5,4,516,1847,43,34,96.121162,de
5,1,8,1,5,5,583,1847,30,33,94.685135,la
5,1,8,1,5,6,636,1847,55,41,96.685066,ley
5,1,8,1,5,7,713,1847,43,34,93.295044,de
5,1,8,1,5,8,777,1847,211,41,92.551521,empleados
5,1,8,1,5,9,1008,1845,219,36,85.792267,domésticos
5,1,8,1,5,10,1249,1847,110,41,95.818108,[texto
5,1,8,1,5,11,1382,1847,67,34,96.846611,235
5,1,8,1,5,12,1476,1847,41,34,96.805817,de
5,1,8,1,5,13,1545,1847,102,34,96.683655,1962:
5,1,8,1,5,14,1671,1847,52,34,92.754669,SL
5,1,8,1,5,15,1752,1845,221,35,86.15699,1962—Aus.
5,1,8,1,5,16,1989,1845,47,42,96.890022,2].
4,1,8,1,6,0,280,1892,315,43,-1.0,
5,1,8,1,6,1,280,1892,117,43,1.379433,"(bid.,"
5,1,8,1,6,2,413,1899,95,29,96.758942,texto
5,1,8,1,6,3,523,1893,72,42,96.260887,81.)
2,1,9,0,0,0,184,1963,1856,91,-1.0,
3,1,9,1,0,0,184,1963,1856,91,-1.0,
4,1,9,1,1,0,184,1963,1856,44,-1.0,
5,1,9,1,1,1,184,1965,184,34,93.339233,3/11/1983
5,1,9,1,1,2,421,1965,68,42,90.124474,Ley
5,1,9,1,1,3,511,1964,126,35,93.291016,federal
5,1,9,1,1,4,659,1963,261,36,91.631142,modificatoria
5,1,9,1,1,5,937,1964,46,33,96.404938,de
5,1,9,1,1,6,1001,1963,31,33,94.769585,la
5,1,9,1,1,7,1052,1963,55,42,96.738869,ley
5,1,9,1,1,8,1127,1964,54,41,96.842064,[de
5,1,9,1,1,9,1199,1964,21,32,96.853783,2
5,1,9,1,1,10,1236,1963,104,42,95.781425,junio
5,1,9,1,1,11,1366,1964,99,35,96.397163,1948:
5,1,9,1,1,12,1487,1965,50,35,92.495384,SL
5,1,9,1,1,13,1560,1965,225,34,88.624634,1948—Aus.
5,1,9,1,1,14,1804,1964,20,33,92.715851,2
5,1,9,1,1,15,1847,1992,30,5,92.032028,...
5,1,9,1,1,16,1904,1964,136,33,84.973808,1971—
4,1,9,1,2,0,280,2009,991,45,-1.0,
5,1,9,1,2,1,280,2012,88,35,96.58429,Aus.
5,1,9,1,2,2,388,2012,67,42,67.705261,1A]
5,1,9,1,2,3,469,2012,103,35,67.705261,sobre
5,1,9,1,2,4,585,2011,31,35,96.701988,el
5,1,9,1,2,5,629,2011,136,43,95.174706,trabajo
5,1,9,1,2,6,777,2009,166,45,91.793625,agricola.
5,1,9,1,2,7,959,2009,110,43,87.203537,"(Jbid.,"
5,1,9,1,2,8,1088,2016,96,30,96.914902,texto
5,1,9,1,2,9,1199,2011,72,40,96.890984,82.)
2,1,10,0,0,0,184,2055,1855,116,-1.0,
3,1,10,1,0,0,184,2055,1855,116,-1.0,
4,1,10,1,1,0,184,2055,1855,73,-1.0,
5,1,10,1,1,1,184,2083,185,35,51.208817,3/11/1983
5,1,10,1,1,2,421,2084,70,40,82.494461,Ley
5,1,10,1,1,3,507,2082,128,36,93.200752,federal
5,1,10,1,1,4,649,2081,264,37,91.941559,modificatoria
5,1,10,1,1,5,927,2083,45,33,96.83374,de
5,1,10,1,1,6,988,2083,29,33,96.489319,la
5,1,10,1,1,7,1033,2083,55,41,96.845787,ley
5,1,10,1,1,8,1103,2083,42,33,96.693794,de
5,1,10,1,1,9,1167,2083,88,33,96.806229,1972
5,1,10,1,1,10,1272,2081,103,37,95.372314,sobre
5,1,10,1,1,11,1391,2083,48,35,95.372314,las
5,1,10,1,1,12,1452,2083,212,35,96.400322,vacaciones
5,1,10,1,1,13,1676,2083,41,35,95.793335,de
5,1,10,1,1,14,1736,2083,51,35,96.7043,los
5,1,10,1,1,15,1801,2055,238,73,89.558746,trabajadores
4,1,10,1,2,0,280,2129,692,42,-1.0,
5,1,10,1,2,1,280,2131,43,33,96.486,de
5,1,10,1,2,2,338,2129,32,35,93.287445,la
5,1,10,1,2,3,384,2129,260,37,3.914383,construccién.
5,1,10,1,2,4,659,2129,112,42,85.152222,"(/bid.,"
5,1,10,1,2,5,789,2135,96,29,95.59024,texto
5,1,10,1,2,6,900,2131,72,40,95.59024,83.)
2,1,11,0,0,0,184,2199,1854,91,-1.0,
3,1,11,1,0,0,184,2199,1854,91,-1.0,
4,1,11,1,1,0,184,2199,1854,44,-1.0,
5,1,11,1,1,1,184,2201,185,34,47.083782,3/11/1983
5,1,11,1,1,2,420,2201,69,42,84.884621,Ley
5,1,11,1,1,3,507,2200,128,35,93.22963,federal
5,1,11,1,1,4,651,2200,264,35,92.395256,modificatoria
5,1,11,1,1,5,929,2200,44,35,95.489799,de
5,1,11,1,1,6,989,2200,31,35,95.489799,la
5,1,11,1,1,7,1036,2200,55,43,96.445297,ley
5,1,11,1,1,8,1107,2200,42,35,96.885567,de
5,1,11,1,1,9,1169,2200,91,35,96.879341,1960
5,1,11,1,1,10,1277,2200,102,35,96.710014,sobre
5,1,11,1,1,11,1393,2200,30,35,95.922699,el
5,1,11,1,1,12,1439,2200,136,43,95.808601,trabajo
5,1,11,1,1,13,1589,2212,20,23,93.289139,a
5,1,11,1,1,14,1624,2200,196,35,92.281128,domicilio.
