level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2423,3745,-1.0,
2,1,1,0,0,0,226,225,1845,88,-1.0,
3,1,1,1,0,0,226,225,1845,88,-1.0,
4,1,1,1,1,0,226,225,1845,52,-1.0,
5,1,1,1,1,1,226,225,246,52,92.790489,International
5,1,1,1,1,2,1737,231,203,42,0.0,Legislative
5,1,1,1,1,3,1956,231,115,32,96.527763,Series
4,1,1,1,2,0,226,278,1845,35,-1.0,
5,1,1,1,2,1,226,278,137,33,96.535477,Labour
5,1,1,1,2,2,380,278,113,33,96.89653,Office
5,1,1,1,2,3,1744,279,204,34,90.662521,1986—List
5,1,1,1,2,4,1967,279,65,32,95.662804,No.
5,1,1,1,2,5,2051,279,20,34,96.96714,3
2,1,2,0,0,0,601,372,1090,50,-1.0,
3,1,2,1,0,0,601,372,1090,50,-1.0,
4,1,2,1,1,0,601,372,1090,50,-1.0,
5,1,2,1,1,1,601,372,155,48,95.199112,LIST
5,1,2,1,1,2,781,372,93,48,95.199112,OF
5,1,2,1,1,3,900,372,280,48,96.347298,RECENT
5,1,2,1,1,4,1208,372,483,50,96.144524,LEGISLATION
2,1,3,0,0,0,223,501,1849,182,-1.0,
3,1,3,1,0,0,223,501,1849,92,-1.0,
4,1,3,1,1,0,295,501,1777,44,-1.0,
5,1,3,1,1,1,295,503,74,33,96.098686,This
5,1,3,1,1,2,385,503,54,33,96.546432,list
5,1,3,1,1,3,457,501,161,34,96.682274,indicates
5,1,3,1,1,4,635,501,53,34,96.854523,the
5,1,3,1,1,5,704,513,91,22,95.800262,more
5,1,3,1,1,6,813,504,176,40,95.800262,important
5,1,3,1,1,7,1006,511,203,25,96.241562,enactments
5,1,3,1,1,8,1225,515,43,21,96.670334,on
5,1,3,1,1,9,1285,504,126,36,95.355606,"labour,"
5,1,3,1,1,10,1430,504,106,33,96.617622,social
5,1,3,1,1,11,1550,507,143,38,96.831993,security
5,1,3,1,1,12,1709,504,68,33,96.15905,and
5,1,3,1,1,13,1790,504,128,33,96.547325,related
5,1,3,1,1,14,1930,504,142,41,96.40255,subjects
4,1,3,1,2,0,223,548,1510,45,-1.0,
5,1,3,1,2,1,223,549,104,33,96.414207,noted
5,1,3,1,2,2,339,552,32,29,96.904716,in
5,1,3,1,2,3,388,549,54,33,96.856689,the
5,1,3,1,2,4,458,548,127,42,93.306152,official
5,1,3,1,2,5,598,556,148,33,92.642105,gazettes
5,1,3,1,2,6,761,549,144,41,96.554146,recently
5,1,3,1,2,7,920,549,150,33,96.554146,received
5,1,3,1,2,8,1082,550,42,40,96.987892,by
5,1,3,1,2,9,1142,549,53,33,96.133415,the
5,1,3,1,2,10,1212,550,239,34,96.764221,International
5,1,3,1,2,11,1467,550,132,34,96.865135,Labour
5,1,3,1,2,12,1616,550,117,43,96.829796,Office.
3,1,3,2,0,0,224,594,1845,89,-1.0,
4,1,3,2,1,0,294,594,1775,44,-1.0,
5,1,3,2,1,1,294,594,91,42,78.009171,[This
5,1,3,2,1,2,396,594,206,35,95.298141,cumulative
5,1,3,2,1,3,615,594,63,39,96.952423,"list,"
5,1,3,2,1,4,692,596,165,41,96.617332,arranged
5,1,3,2,1,5,870,596,32,32,96.225616,in
